x kk_over_kt2
56.8500 1.208016e-04
57.1001 4.990529e-04
57.3501 2.940761e-04
57.6006 1.873997e-05
57.8520 1.391341e-04
58.1534 3.810313e-05
58.4038 5.397249e-06
58.6552 3.503875e-04
58.9123 3.403397e-05
59.1760 8.079860e-04
59.4963 3.978385e-04
59.7593 2.054129e-03
60.0191 4.083566e-03
60.2773 7.143603e-04
60.5856 6.835444e-04
60.8406 1.506745e-03
61.0932 3.664728e-04
61.3449 1.656146e-04
61.5965 7.790298e-04
61.8973 5.462376e-04
62.1454 9.463127e-05
62.3893 2.687974e-04
62.6276 1.251615e-04
62.9055 1.787868e-04
63.1310 1.224149e-04
63.3520 2.139555e-04
63.5697 7.407203e-04
63.7855 1.136909e-03
64.0454 6.362807e-04
64.2632 3.733604e-04
64.4818 1.575133e-03
64.7009 2.166821e-03
64.9646 1.251820e-03
65.1854 4.171162e-04
65.4070 1.400125e-04
65.6294 4.485401e-04
65.8524 8.049525e-04
66.1209 7.387429e-04
66.3454 3.689453e-04
66.5702 2.958394e-04
66.7951 4.575803e-04
67.0652 3.350911e-04
67.2905 1.283081e-04
67.5161 3.190050e-06
67.7422 4.133804e-04
67.9687 9.782422e-04
68.2411 2.904260e-04
68.4687 1.362352e-04
68.6961 4.908127e-04
68.9227 8.007050e-04
69.1925 3.545943e-04
69.4150 3.601262e-05
69.6353 3.558319e-05
69.8533 3.077553e-05
70.0692 5.779796e-05
70.3254 1.225501e-04
70.5366 1.584292e-04
70.7457 2.237775e-04
70.9527 1.393265e-04
71.1981 2.205163e-04
