separation,t,drift_phantom_nr,drift_phantom_pointmass,ratio_phantom,drift_canon_nr,drift_canon_pointmass
8,20,0.295765,0.199506,1.4825,0.134608,0.240094
8,30,0.956773,0.447949,2.1359,0.591095,0.539080
8,40,2.516691,0.794038,3.1695,1.382992,0.955577
8,50,5.386632,1.236098,4.3578,2.495599,1.487570
12,20,0.095385,0.088775,1.0745,-0.020087,0.106835
12,30,0.271989,0.199619,1.3625,0.006944,0.240229
12,40,0.707639,0.354568,1.9958,0.107331,0.426701
12,50,1.469468,0.553392,2.6554,0.428213,0.665974
16,20,0.055359,0.049950,1.1083,-0.026478,0.060112
16,30,0.131869,0.112359,1.1736,-0.093379,0.135217
16,40,0.295975,0.199675,1.4823,-0.222244,0.240297
16,50,0.499251,0.311844,1.6010,-0.311678,0.375285
