# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  1.1732686421345488e+01  3.4192534077047684e-02  6.6438447096449051e+00  2.6923808530206700e-01  3.2000223457346145e+01  3.2000152192395646e+01  3.2000152192395646e+01  4.7999999999999998e+00  1.1551544176965329e+01  6.6517993067122818e+00  2.6858442117178977e-01  nan  nan  nan  nan  nan  1.0000000010101013e+00
8.0000000000000004e-01  1.1852864360146274e+01  3.4579928868063423e-02  6.6428792921211217e+00  2.6944730123060229e-01  3.2000244980758417e+01  3.2000164561652305e+01  3.2000164561652902e+01  4.7999999999999998e+00  1.1669808283612925e+01  6.6508335424764224e+00  2.6879321955467994e-01  nan  nan  nan  nan  nan  1.0002278800609878e+00
1.6000000000000001e+00  1.1814791648453882e+01  3.4322794783024149e-02  6.6418662675948488e+00  2.6978113561961076e-01  3.2000300201853875e+01  3.2000211849942190e+01  3.2000211849943845e+01  4.7999999999999998e+00  1.1632204624105373e+01  6.6498276151730709e+00  2.6912565301510311e-01  nan  nan  nan  nan  nan  1.0002059060519484e+00
2.3999999999999901e+00  1.1794171448652417e+01  3.4001859915109692e-02  6.6405943526785416e+00  2.7028604813687984e-01  3.2000311151933204e+01  3.2000266187870011e+01  3.2000266187870011e+01  4.7999999999999998e+00  1.1611617313827736e+01  6.6485885365143176e+00  2.6962646663346174e-01  nan  nan  nan  nan  nan  1.0001525370980606e+00
3.1999999999999802e+00  1.1910281351862142e+01  3.4347129330897043e-02  6.6373347163618268e+00  2.7135081491690699e-01  3.2000373313878072e+01  3.2000364532515071e+01  3.2000364532510410e+01  4.7999999999999998e+00  1.1725550976391268e+01  6.6453675410705833e+00  2.7068621367297258e-01  nan  nan  nan  nan  nan  1.0001270022979214e+00
3.9999999999999600e+00  1.1804157828627925e+01  3.4050963643891562e-02  6.6346478647221954e+00  2.7251720848151273e-01  3.2000379854170539e+01  3.2000455471486362e+01  3.2000455471477920e+01  4.7999999999999998e+00  1.1620838588939169e+01  6.6427004792280204e+00  2.7184922448459231e-01  nan  nan  nan  nan  nan  1.0001432346081296e+00
4.7999999999999403e+00  1.1880563546890118e+01  3.4273545644812067e-02  6.6302850473707338e+00  2.7407056853114542e-01  3.2000406812768276e+01  3.2000603874901046e+01  3.2000603874880646e+01  4.7999999999999998e+00  1.1695952903486283e+01  6.6383384996593788e+00  2.7339948941922088e-01  nan  nan  nan  nan  nan  1.0001457136699232e+00
5.5999999999999304e+00  1.1912076409281694e+01  3.4366860175297748e-02  6.6237918885219003e+00  2.7603800570304760e-01  3.2000645874887034e+01  3.2000886355519619e+01  3.2000886355473966e+01  4.7999999999999998e+00  1.1726909335606138e+01  6.6318461436296641e+00  2.7536368152070645e-01  nan  nan  nan  nan  nan  1.0001461857158456e+00
6.3999999999999098e+00  1.1824102683675569e+01  3.4093639056657118e-02  6.6192288514707567e+00  2.7781865322806321e-01  3.2000730416863050e+01  3.2001112842901911e+01  3.2001112842828789e+01  4.7999999999999998e+00  1.1640210234053612e+01  6.6273067109108075e+00  2.7713971124886705e-01  nan  nan  nan  nan  nan  1.0001711222570633e+00
7.1999999999998900e+00  1.1952272315360519e+01  3.4443508458805554e-02  6.6113259986225854e+00  2.8009117713134346e-01  3.2001009173065015e+01  3.2001490616639259e+01  3.2001490616529388e+01  4.7999999999999998e+00  1.1766216589810821e+01  6.6194319566617228e+00  2.7940591084903460e-01  nan  nan  nan  nan  nan  1.0002063222670787e+00
