# time  Re(R=8)  Im(R=8)  Re(R=16)  Im(R=16)
0.0000000000000000e+00  -3.6291642986189577e-04  -7.8536350627373079e-08  -1.9516549240982306e-05  1.0389492164829209e-09
8.0000000000000004e-01  -3.4847604766682222e-04  2.4927716515773760e-07  -2.1605201657993737e-05  -4.8511495477121595e-10
1.6000000000000001e+00  -3.4914413257800035e-04  -2.5010616146274062e-08  -2.1296906030298266e-05  -1.0559985139859041e-08
2.3999999999999901e+00  -3.4581236586330203e-04  5.6003204982605190e-08  -2.1322836592088319e-05  2.1670661114500736e-08
3.1999999999999802e+00  -3.4248842072000837e-04  2.1451690868505351e-08  -2.1322021878333689e-05  -8.3289498942330988e-09
3.9999999999999600e+00  -3.3059095282325797e-04  -4.3717729750016564e-08  -2.1480091803313206e-05  -3.0874276438257273e-08
4.7999999999999403e+00  -3.0968037602945421e-04  5.5678423067921484e-08  -2.1170039137403065e-05  6.2204338763967683e-08
5.5999999999999304e+00  -2.7787892922071975e-04  -4.9638924763007942e-08  -2.1527158190413065e-05  -1.2456646432462611e-08
6.3999999999999098e+00  -2.5065749634231566e-04  -7.7837912875274637e-08  -2.1365463150801859e-05  -6.4688481259410684e-08
7.1999999999998900e+00  -2.4690017431385083e-04  3.0983616198549676e-08  -2.1724621280697059e-05  8.5014530112269068e-08
7.9999999999998703e+00  -2.6430740867228728e-04  9.8788381787628783e-08  -2.1413774228962625e-05  -6.1571084110542249e-08
8.7999999999998604e+00  -2.9148266583077498e-04  -1.5034020283552865e-07  -2.1880723256066376e-05  4.2564976986615437e-08
9.5999999999998398e+00  -3.0324322581625417e-04  3.3863788091290865e-08  -1.9999249703046464e-05  -4.0210711486294412e-08
1.0399999999999800e+01  -2.9708312045322239e-04  9.9258167494805465e-09  -1.8319850079642222e-05  4.4267439126731607e-08
1.1199999999999800e+01  -2.8177626573919104e-04  -8.0531964997002220e-08  -1.4239094596224653e-05  -6.6606378579568426e-08
1.1999999999999799e+01  -2.6828300446752994e-04  6.4825732287748416e-08  -3.7281361593567054e-06  8.0811440322986477e-08
1.2799999999999800e+01  -2.6145342126143343e-04  1.1813777609809447e-09  1.5763117045051824e-05  -3.8839666939131371e-08
1.3599999999999801e+01  -2.5938101473425824e-04  -6.1767416289148051e-08  4.1793614997702759e-05  5.8709147777524236e-08
1.4399999999999700e+01  -2.5514159610158331e-04  -4.4810258548841703e-09  5.8024715200213979e-05  -1.6233164734307324e-07
1.5199999999999701e+01  -2.4992144793837688e-04  1.9655933823183950e-08  5.1510065279091675e-05  1.1025586446119781e-07
1.5999999999999700e+01  -2.4403823117661059e-04  -8.0296886610366282e-09  2.3202955702465445e-05  6.4564475512729581e-08
1.6799999999999802e+01  -2.3675397917509835e-04  -3.1182668376067100e-08  -9.3159121612569106e-06  -8.9009025539832955e-08
1.7600000000000001e+01  -2.2877960214768103e-04  4.4936893105543339e-09  -2.6714066241906514e-05  9.0171355437466006e-09
1.8400000000000102e+01  -2.1870594527252706e-04  4.1005931486075473e-09  -2.3466263951184791e-05  3.3572784135169229e-09
1.9200000000000198e+01  -2.0592530700347205e-04  -1.1024547257699655e-08  -1.2293963898948545e-05  -1.5496465128220424e-08
2.0000000000000298e+01  -1.9144941066026887e-04  -6.6276620265393584e-09  -4.4833460746335018e-06  3.4393622042083272e-08
2.0800000000000502e+01  -1.7588285429802141e-04  -3.5277265847585478e-09  -4.8161126653152225e-06  1.6814975827239148e-08
2.1600000000000598e+01  -1.5907114126688564e-04  -4.7084200228807419e-09  -9.0494179839357705e-06  -4.7333712908629454e-08
2.2400000000000698e+01  -1.3999478009437048e-04  -6.0767169671863022e-09  -1.1509672637951493e-05  -2.8719026606441308e-10
2.3200000000000799e+01  -1.1794567437023072e-04  -5.5330739739640843e-09  -1.2509016741163064e-05  3.0166220305254353e-08
2.4000000000000998e+01  -9.3786750206964557e-05  -4.9116833107237063e-09  -1.2898147690630331e-05  -6.0860075366556748e-09
2.4800000000001098e+01  -6.8451342584911732e-05  -4.4490642919396623e-09  -1.2265887123161174e-05  -1.9310444119079903e-08
2.5600000000001199e+01  -4.1174089060448262e-05  -4.0723603324086641e-09  -1.0862297739416367e-05  9.7876414506204950e-09
2.6400000000001299e+01  -1.0382261559634842e-05  -3.7709265172170688e-09  -7.7327552154918565e-06  9.2668668373857216e-09
2.7200000000001499e+01  2.4130801598259884e-05  -3.2845089488447967e-09  -2.4034082639311625e-06  -4.5651719103948347e-09
2.8000000000001599e+01  6.1354527585976164e-05  -2.8667890094992171e-09  3.9854944896649395e-06  -1.2353336170533170e-09
2.8800000000001699e+01  1.0182844611509700e-04  -2.6904574980103906e-09  1.0559018148052764e-05  1.4557917250015178e-09
