# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  8.1069754578917870e+00  2.4551680953110173e-02  6.6292838083926515e+00  2.7592533162007749e-01  3.1823895960581417e+01  3.2000004301491778e+01  3.2000004301491778e+01  4.7999999999999998e+00  8.1032309885801421e+00  6.6297596744971159e+00  2.7703535243740557e-01  4.3375556292421038e+00  7.4559023853031714e-01  4.3742451094275472e+00  7.4011287608696119e-01  4.8235707649560200e-01  9.8985108321788806e-01
8.0000000000000004e-01  8.1131979748773055e+00  2.4619808266767181e-02  6.6292689819441382e+00  2.7492673722894195e-01  3.1823303172547668e+01  3.2000005912667483e+01  3.2000005912661670e+01  4.7999999999999998e+00  8.1094340924589137e+00  6.6297572495264632e+00  2.7688598299094519e-01  4.3377908550414492e+00  7.4556557631453957e-01  4.3740979513126996e+00  7.4015417611918444e-01  4.8229373579036888e-01  9.8982357593586279e-01
1.6000000000000001e+00  8.1195824691785639e+00  2.4559455676455226e-02  6.6292538315463867e+00  2.7761941959922520e-01  3.1822473725545560e+01  3.2000009994983422e+01  3.2000009994926643e+01  4.7999999999999998e+00  8.1157883969875524e+00  6.6297617419085357e+00  2.7691473626709451e-01  4.3382542476675328e+00  7.4557264399295375e-01  4.3738512546086650e+00  7.4027351392926355e-01  4.8220241689046167e-01  9.8981943329193933e-01
2.3999999999999901e+00  8.1261690904650106e+00  2.4492663732476692e-02  6.6292238622456088e+00  2.7765382864090243e-01  3.1823001619521772e+01  3.2000014952222081e+01  3.2000014952037816e+01  4.7999999999999998e+00  8.1223392636722274e+00  6.6297770440270520e+00  2.7692611795470357e-01  4.3385915119002059e+00  7.4554805665849366e-01  4.3735916493624334e+00  7.4030308448655124e-01  4.8224863512700233e-01  9.8985520448403541e-01
3.1999999999999802e+00  8.1326755914865458e+00  2.4593896395036161e-02  6.6292247938792661e+00  2.7600528549139092e-01  3.1825381897689660e+01  3.2000018607904380e+01  3.2000018607513596e+01  4.7999999999999998e+00  8.1288141244427212e+00  6.6298232577997487e+00  2.7706908381892276e-01  4.3390015098653807e+00  7.4514594278226354e-01  4.3731552583522912e+00  7.4028600672890332e-01  4.8248138021102671e-01  9.8982755706808279e-01
3.9999999999999600e+00  8.1389132003952973e+00  2.4617944254899108e-02  6.6292300751278912e+00  2.7602133404016249e-01  3.1828662979055363e+01  3.2000021979310240e+01  3.2000021978646167e+01  4.7999999999999998e+00  8.1350389974391639e+00  6.6298476417629164e+00  2.7707829040058324e-01  4.3398257857591780e+00  7.4465665757294686e-01  4.3723247403710950e+00  7.4067860536499697e-01  4.8279767129627726e-01  9.8980019073611636e-01
4.7999999999999403e+00  8.1445307836607554e+00  2.4553081023795692e-02  6.6291601287694313e+00  2.7606315323223113e-01  3.1831313120654560e+01  3.2000030933670871e+01  3.2000030932689285e+01  4.7999999999999998e+00  8.1406711628490385e+00  6.6297804577888799e+00  2.7711867790078193e-01  4.3410938172449711e+00  7.4431389952916149e-01  4.3711564755074033e+00  7.4126587013793699e-01  4.8303778740979053e-01  9.8987792536438646e-01
5.5999999999999304e+00  8.1498068335032343e+00  2.4512307606093939e-02  6.6289201655861412e+00  2.7613220637620950e-01  3.1832907692689059e+01  3.2000048464646120e+01  3.2000048463336967e+01  4.7999999999999998e+00  8.1459800731085785e+00  6.6295442937104667e+00  2.7718527356359141e-01  4.3423724392974012e+00  7.4425283023380528e-01  4.3698074383712422e+00  7.4171182827465199e-01  4.8316170353667115e-01  9.8987071223142875e-01
6.3999999999999098e+00  8.1556180742284496e+00  2.4529020315254106e-02  6.6285361458864038e+00  2.7622288720960175e-01  3.1834691680451808e+01  3.2000069594987991e+01  3.2000069593375798e+01  4.7999999999999998e+00  8.1518147264885350e+00  6.6291718157394568e+00  2.7726288966109908e-01  4.3434224559032160e+00  7.4415914130606464e-01  4.3682949945704035e+00  7.4177556380138743e-01  4.8330076687525897e-01  9.8986167735729635e-01
7.1999999999998900e+00  8.1623222379773921e+00  2.4564239234556438e-02  6.6281595728242468e+00  2.7632351652700743e-01  3.1837758196566035e+01  3.2000090323529676e+01  3.2000090321654874e+01  4.7999999999999998e+00  8.1585114986553151e+00  6.6288116508262194e+00  2.7462721758010261e-01  4.3447691268381119e+00  7.4404663512078228e-01  4.3664453075381298e+00  7.4187489239263671e-01  4.8356326605044342e-01  9.8985351456111992e-01
