# time  Re_m-2(R=8)  Im_m-2(R=8)  Re_m-1(R=8)  Im_m-1(R=8)  Re_m0(R=8)  Im_m0(R=8)  Re_m1(R=8)  Im_m1(R=8)  Re_m2(R=8)  Im_m2(R=8)  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)
0.0000000000000000e+00  4.5030724489455632e-05  3.7987851040867722e-05  4.2990740959359983e-05  -5.7515085796488075e-06  -4.4153448115341379e-05  1.9397688756216886e-07  -1.4998962966282649e-05  5.3129217099414630e-06  4.6091872178193277e-05  -3.8537807588655828e-05  9.3319095474221254e-07  8.3562486734832873e-07  -1.0145619531483489e-06  -1.0378949711768219e-07  6.3981369873196668e-08  1.3412534010659677e-09  -1.9175513869685327e-07  1.0687428783139989e-07  9.0614071829399232e-07  -8.0844784071281355e-07
8.0000000000000004e-01  4.6699797830211566e-05  3.4213436118026105e-05  3.2212877549627877e-05  5.5043514002414472e-07  -3.6270615141811800e-05  -5.0560116013856342e-08  -2.9974053522163719e-05  -2.3492123465281371e-07  4.5269365265798852e-05  -3.3919502588811387e-05  7.5231413342909207e-07  4.2638926845707630e-08  1.4311943112141098e-07  -6.3570184713352077e-09  -6.1471521881215462e-07  -1.7186022401165831e-09  1.2451179688003023e-07  1.2965035077394269e-08  7.5042054607428843e-07  -4.3717463918778205e-08
1.6000000000000001e+00  4.2191466011805638e-05  3.2345379774034434e-05  3.3349037068505894e-05  -8.0921339693972791e-07  -3.5500830067875297e-05  -8.7145888195996008e-08  -2.8331138725135177e-05  7.2775504494945725e-07  4.3471273543223891e-05  -3.2259616466557581e-05  7.3040561143706397e-07  6.2152714959397197e-08  8.1506326122486741e-08  2.2862769821045209e-08  -5.9170746781011212e-07  -4.2043106954085708e-09  7.8731491530739595e-09  -2.9422984448424581e-09  7.3335604899747104e-07  -6.5775014577604382e-08
2.3999999999999901e+00  4.1546632224700575e-05  3.2401112536988406e-05  3.3256349370470930e-05  -5.1260811997832527e-08  -3.4113473585014863e-05  -4.9610816203799617e-07  -2.8384910705606554e-05  -2.8084741353884135e-08  4.0985114552571274e-05  -3.2634728698428651e-05  7.4883964915150283e-07  3.7094918846601479e-08  6.6579011171361241e-08  -1.9168668478683069e-08  -6.5083984455388267e-07  2.4056634874256895e-08  2.4483208232938304e-08  -6.9735220332513371e-09  7.8028276333757864e-07  -1.6492453932679796e-08
3.1999999999999802e+00  3.8646199851138184e-05  3.2810341350791979e-05  3.4125878378279891e-05  -4.4867781933133636e-08  -3.2420442229811748e-05  1.1390030768563636e-07  -2.9012545962118884e-05  6.4351776150216244e-07  3.9057125160283398e-05  -3.2667447250046566e-05  8.0647114497369737e-07  3.4572068238132052e-08  7.3315644999351281e-08  7.6345832613560902e-08  -6.1178650027100751e-07  -3.7474281137171595e-08  3.7790067513437439e-08  -4.9808642079172406e-08  6.9258344034781101e-07  -6.3338521195536251e-08
3.9999999999999600e+00  3.6777964920985016e-05  3.1033225094530322e-05  3.2505619948676638e-05  1.2035969354597494e-07  -3.0099530867110204e-05  -6.0120549000023639e-07  -2.7024522073217859e-05  -1.4737858796749040e-07  3.6213481545526097e-05  -3.1389622189444132e-05  5.8739919763480792e-07  1.2193622822013298e-07  1.4724852257778667e-07  -8.4243674567688011e-08  -5.7629840178826910e-07  4.7285582064638636e-08  -3.1499121554655939e-08  1.1037725298135228e-07  8.0826267068744872e-07  -8.2893814050030836e-08
4.7999999999999403e+00  3.5067704644152701e-05  3.0872308353302302e-05  3.2243881272217239e-05  -3.3228883659377616e-07  -2.9461647133630409e-05  6.5530085629517767e-08  -2.6984566003866170e-05  4.7487172593990865e-07  3.5447172208673219e-05  -3.0748409166297657e-05  8.9023623900087776e-07  -2.9264891744248496e-08  8.3266051443592318e-09  5.2122210279886502e-08  -6.3078467404900091e-07  -5.6114206312787180e-08  4.5210022072366412e-08  -1.6586875406856469e-07  7.0149002094870251e-07  -2.0776654622984951e-08
5.5999999999999304e+00  3.2473427293650182e-05  3.0500027104970621e-05  3.1768318087898155e-05  -1.0912727737630195e-07  -2.7063931139586667e-05  -1.8005691228732666e-07  -2.6870063163035395e-05  3.3652749435711997e-07  3.2716597663577147e-05  -3.0576059556719338e-05  6.6975606689285828e-07  1.3250049689502292e-07  1.8251370498795901e-07  7.3304759242501913e-08  -6.0377038745130454e-07  3.2492799962520348e-08  -3.3861382997010822e-08  4.9400442081104286e-08  6.8535656563483936e-07  -1.1273175955964438e-07
6.3999999999999098e+00  2.9477168151959858e-05  3.0432013736154984e-05  3.1517010694444506e-05  -1.1409951054858620e-07  -2.4389261728359180e-05  -2.6888302097832550e-08  -2.6733107512899221e-05  1.1899568600579308e-07  2.9520243900840370e-05  -3.0370331144722990e-05  4.5531906296222002e-07  1.8729221508982021e-07  1.9139299495517595e-07  -1.5131440751825012e-07  -4.3366034675015394e-07  2.6092443190124974e-08  -1.2269308190497498e-07  1.1628172053746583e-07  7.1408364568814369e-07  -1.5448513372754379e-07
7.1999999999998900e+00  3.0010533702222176e-05  2.9573984903939322e-05  3.1108756633644737e-05  5.1146336449723214e-07  -2.4494467722033921e-05  -4.1794564658797643e-07  -2.5789671858230054e-05  -3.7483888313510208e-07  2.8881552183179112e-05  -2.9849057111828360e-05  8.9325202316227840e-07  8.1216784496134900e-08  1.4823055586002823e-07  2.5696735500613399e-07  -6.1416971178025013e-07  -7.6369206961061892e-08  -4.5925008555104668e-08  -1.9663155942083752e-07  5.2365716004516569e-07  -1.5018706094062853e-07
