# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
0.0000000000000000e+00  3.9105722735987456e+00  3.7000171858879270e+01  3.1999886574458543e+01  3.1999886574458543e+01  4.3375546827939608e+00  4.0367822862423415e+00  2.7000457256951840e+01  3.2000109392879118e+01  3.2000109392879118e+01  4.4068417579449664e+00
8.0000000000000004e-01  3.9130866957456041e+00  3.7000178195220535e+01  3.1999859747042407e+01  3.1999859747039519e+01  4.3377831194017551e+00  4.0404461113629289e+00  2.7000527691385180e+01  3.2000135993452908e+01  3.2000135993457938e+01  4.4066954930598570e+00
1.6000000000000001e+00  3.9154646456535769e+00  3.7000182339795337e+01  3.1999796129372221e+01  3.1999796129348734e+01  4.3382343269628620e+00  4.0443883683502335e+00  2.7000680148345019e+01  3.2000198835783230e+01  3.2000198835826005e+01  4.4064461587640640e+00
2.3999999999999901e+00  3.9190012150038669e+00  3.7000163790546210e+01  3.1999726377137957e+01  3.1999726377070736e+01  4.3385617505746872e+00  4.0473102650035822e+00  2.7000818430200741e+01  3.2000266885418739e+01  3.2000266885551916e+01  4.4061923904243070e+00
3.1999999999999802e+00  3.9239441036299318e+00  3.7000164647073767e+01  3.1999686200555786e+01  3.1999686200438813e+01  4.3389561274788084e+00  4.0486741406336595e+00  2.7000919331450145e+01  3.2000305961433320e+01  3.2000305961715270e+01  4.4057886930655252e+00
3.9999999999999600e+00  3.9294140523016412e+00  3.7000211458147945e+01  3.1999633959919375e+01  3.1999633959773455e+01  4.3397485343692273e+00  4.0491919687258555e+00  2.7001109721316773e+01  3.2000359917588540e+01  3.2000359918077194e+01  4.4050268023987513e+00
4.7999999999999403e+00  3.9340036970585919e+00  3.7000269901407975e+01  3.1999481773514717e+01  3.1999481773368259e+01  4.3409700996710487e+00  4.0499812945051792e+00  2.7001529018237992e+01  3.2000513925415909e+01  3.2000513926166789e+01  4.4039260173275885e+00
5.5999999999999304e+00  3.9375268314239857e+00  3.7000313743645869e+01  3.1999230445588083e+01  3.1999230445465621e+01  4.3421989049647456e+00  4.0515175413289723e+00  2.7002137138761540e+01  3.2000763312459533e+01  3.2000763313512458e+01  4.4026003458729255e+00
6.3999999999999098e+00  3.9414207259032512e+00  3.7000367116586290e+01  3.1998966536129096e+01  3.1998966536050734e+01  4.3431985876727488e+00  4.0531732213166727e+00  2.7002792515864989e+01  3.2001023390028180e+01  3.2001023391403173e+01  4.4010641762774343e+00
7.1999999999998900e+00  3.9467038470606761e+00  3.7000465672383413e+01  3.1998713922866756e+01  3.1998713922833868e+01  4.3444787339577138e+00  4.0542252478584615e+00  2.7003508290909085e+01  3.2001278780838057e+01  3.2001278782540865e+01  4.3991599447651240e+00
7.9999999999998703e+00  3.9523499536048270e+00  3.7000601863703714e+01  3.1998373937498215e+01  3.1998373937473826e+01  4.3466522132234955e+00  4.0550061473116532e+00  2.7004486998529348e+01  3.2001634759773992e+01  3.2001634761795145e+01  4.3968029907342183e+00
8.7999999999998604e+00  3.9564912789310682e+00  3.7000740375022531e+01  3.1997866501168609e+01  3.1997866501097260e+01  4.3495193877394440e+00  4.0564086694715060e+00  2.7005851156292348e+01  3.2002173372736856e+01  3.2002173375057950e+01  4.3942637950121597e+00
9.5999999999998398e+00  3.9590625628771763e+00  3.7000885666339371e+01  3.1997265523461671e+01  3.1997265523301426e+01  4.3524744367935098e+00  4.0586712049905067e+00  2.7007462275768578e+01  3.2002824274622945e+01  3.2002824277223318e+01  4.3919177565932452e+00
1.0399999999999800e+01  3.9620687124659799e+00  3.7001085317208535e+01  3.1996707095004357e+01  3.1996707094716168e+01  4.3560974080160939e+00  4.0612140382818778e+00  2.7009142721553822e+01  3.2003470894815088e+01  3.2003470897668706e+01  4.3900177119808772e+00
1.1199999999999800e+01  3.9669158073991655e+00  3.7001362187787763e+01  3.1996209213128466e+01  3.1996209212631207e+01  4.3627534013886420e+00  4.0637162039797055e+00  2.7010995681914483e+01  3.2004150054006516e+01  3.2004150057082832e+01  4.3891994514879684e+00
1.1999999999999799e+01  3.9724976092418376e+00  3.7001691053176550e+01  3.1995670190485683e+01  3.1995670189636567e+01  4.3743690060837066e+00  4.0667489949105864e+00  2.7013297076191478e+01  3.2005016266844443e+01  3.2005016270106324e+01  4.3907288396255781e+00
1.2799999999999800e+01  3.9770746387019407e+00  3.7002030746453585e+01  3.1995061324063119e+01  3.1995061322666377e+01  4.3912993085920737e+00  4.0710161235372215e+00  2.7016020859635514e+01  3.2006067572452416e+01  3.2006067575869757e+01  4.3956347718400721e+00
1.3599999999999801e+01  3.9811055115791993e+00  3.7002475137596157e+01  3.1994535947068584e+01  3.1994535944877335e+01  4.4144835895524981e+00  4.0767391944930456e+00  2.7018847936155257e+01  3.2007117136042815e+01  3.2007117139612909e+01  4.4055664372392567e+00
1.4399999999999700e+01  3.9860804514154440e+00  3.7003100131597975e+01  3.1994102165242456e+01  3.1994102162163415e+01  4.4426464018660825e+00  4.0839702913652358e+00  2.7022051294559180e+01  3.2008287051523602e+01  3.2008287055078092e+01  4.4240610780067460e+00
1.5199999999999701e+01  3.9922899168123998e+00  3.7003815250956919e+01  3.1993559405841896e+01  3.1993559401819176e+01  4.4741239504117019e+00  4.0920626846340316e+00  2.7025776837156553e+01  3.2009657118363293e+01  3.2009657121681002e+01  4.4510871587166649e+00
1.5999999999999700e+01  3.9981596403181965e+00  3.7004553260687111e+01  3.1992761000797504e+01  3.1992760995781829e+01  4.5075385360881608e+00  4.1004631057688083e+00  2.7029726179579871e+01  3.2011050166620798e+01  3.2011050169631019e+01  4.4836406217414222e+00
1.6799999999999802e+01  4.0024256664513267e+00  3.7005358142979688e+01  3.1991819214766650e+01  3.1991819208754908e+01  4.5420138007147575e+00  4.1098364390404836e+00  2.7033985469400140e+01  3.2012558934282559e+01  3.2012558936847810e+01  4.5226061280351315e+00
1.7600000000000001e+01  4.0058977031316694e+00  3.7006284010822597e+01  3.1990932009393379e+01  3.1990932002332684e+01  4.5781088420663458e+00  4.1199691896692396e+00  2.7038205939778390e+01  3.2014029239887300e+01  3.2014029241937493e+01  4.5675860061421334e+00
1.8400000000000102e+01  4.0102032087636363e+00  3.7007334858487077e+01  3.1990158283398021e+01  3.1990158275178750e+01  4.6166882998154097e+00  4.1296224362427587e+00  2.7042009398936585e+01  3.2015168296402400e+01  3.2015168297991274e+01  4.6151087941215296e+00
1.9200000000000198e+01  4.0160864989475717e+00  3.7008556859762436e+01  3.1989245515205766e+01  3.1989245506263320e+01  4.6601189252512931e+00  4.1384200407478389e+00  2.7045777023742360e+01  3.2016180749949072e+01  3.2016180751065576e+01  4.6641532227187898e+00
2.0000000000000298e+01  4.0224551724649800e+00  3.7009781831246343e+01  3.1987938183393741e+01  3.1987938173587498e+01  4.7092252073288128e+00  4.1470909144458430e+00  2.7049733110830253e+01  3.2017212374258037e+01  3.2017212374966952e+01  4.7167315253049100e+00
2.0800000000000502e+01  4.0276294966101469e+00  3.7010978343166272e+01  3.1986686329515575e+01  3.1986686318377213e+01  4.7597688339770921e+00  4.1567122347005210e+00  2.7053360365811976e+01  3.2018000354380519e+01  3.2018000354625123e+01  4.7766413154836309e+00
2.1600000000000598e+01  4.0323265838327202e+00  3.7012258705145037e+01  3.1985750328559611e+01  3.1985750315990288e+01  4.8115680037647142e+00  4.1667989916362682e+00  2.7056614538262870e+01  3.2018513997237839e+01  3.2018513996520923e+01  4.8429095470458270e+00
2.2400000000000698e+01  4.0383416122873772e+00  3.7013705106437492e+01  3.1985231374197838e+01  3.1985231359928495e+01  4.8684931889709580e+00  4.1761612735539471e+00  2.7059786133246629e+01  3.2018882470439372e+01  3.2018882468986178e+01  4.9116097243085699e+00
2.3200000000000799e+01  4.0459313520230538e+00  3.7015153596810492e+01  3.1984900721825301e+01  3.1984900704962161e+01  4.9324691762978290e+00  4.1846633215845497e+00  2.7063247515852968e+01  3.2019379249400664e+01  3.2019379247324387e+01  4.9825233398815909e+00
2.4000000000000998e+01  4.0533469929600283e+00  3.7016439163516772e+01  3.1984373332541455e+01  3.1984373312875615e+01  4.9990188091847170e+00  4.1925740353373957e+00  2.7067073302060884e+01  3.2020029697980853e+01  3.2020029695422416e+01  5.0563299395744448e+00
2.4800000000001098e+01  4.0599239507009131e+00  3.7017617909972884e+01  3.1983929412563235e+01  3.1983929390302336e+01  5.0661588249612004e+00  4.1999733404493718e+00  2.7070914688356975e+01  3.2020591507451854e+01  3.2020591504776945e+01  5.1323020559287960e+00
2.5600000000001199e+01  4.0672166660874414e+00  3.7018672210737527e+01  3.1984100238711868e+01  3.1984100213501005e+01  5.1388108941380164e+00  4.2067855672482608e+00  2.7074787746655744e+01  3.2021004114595804e+01  3.2021004112166615e+01  5.2090850860983817e+00
2.6400000000001299e+01  4.0767109456863508e+00  3.7019347937946129e+01  3.1984334084792042e+01  3.1984334056595543e+01  5.2221932563909830e+00  4.2129911806157345e+00  2.7079006930744967e+01  3.2021471151410019e+01  3.2021471149430020e+01  5.2867850152901577e+00
2.7200000000001499e+01  4.0868003262350197e+00  3.7019549293259018e+01  3.1984145869087591e+01  3.1984145837823782e+01  5.3098326611568538e+00  4.2185865231856914e+00  2.7083775684526454e+01  3.2022088349273169e+01  3.2022088347710834e+01  5.3657208081314769e+00
