time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  1.4391422518011946e-05
8.0000000000000004e-01  -2.0834108376930614e-16  5.6230364709795059e-08
1.6000000000000001e+00  -1.3652945979678521e-16  2.5616790344965764e-08
2.3999999999999901e+00  1.1462304167349652e-16  3.1551487065723148e-08
3.1999999999999802e+00  2.3284995555364017e-16  3.2615129278946931e-08
3.9999999999999600e+00  8.1968715464654297e-17  3.2190427711281524e-08
4.7999999999999403e+00  -1.4789012590415643e-16  3.1074875517348549e-08
5.5999999999999304e+00  -1.6662665742168787e-16  2.9434125541453080e-08
6.3999999999999098e+00  5.6609605504389990e-17  2.7335340039486342e-08
7.1999999999998900e+00  2.4396457887521563e-16  2.5710179549794012e-08
7.9999999999998703e+00  1.5524211017076225e-16  2.4582706367389753e-08
8.7999999999998604e+00  -1.0088226042929173e-16  2.4055726453157825e-08
9.5999999999998398e+00  -1.9726914916857140e-16  2.3820732660674846e-08
1.0399999999999800e+01  -5.8649462768983985e-18  2.3753309667860684e-08
1.1199999999999800e+01  2.2231718290913368e-16  2.3873526678125012e-08
1.1999999999999799e+01  2.3067727715087268e-16  2.7950607257702823e-08
1.2799999999999800e+01  -2.9009581453048030e-17  2.7195770400813834e-08
1.3599999999999801e+01  -1.3402981887066169e-16  3.9909403750571912e-08
1.4399999999999700e+01  6.7075770759974347e-16  3.9204364808618324e-08
1.5199999999999701e+01  5.5295195228996327e-15  4.7561585804431779e-08
1.5999999999999700e+01  1.9730019629082441e-14  5.9383171091330237e-08
1.6799999999999802e+01  1.1393318740949483e-13  5.2243194350204305e-08
1.7600000000000001e+01  2.6108585846952342e-13  5.4920349642429373e-08
1.8400000000000102e+01  9.9091144067546386e-13  6.9900654315240372e-08
1.9200000000000198e+01  3.8743380262121196e-12  7.7145395426183182e-08
2.0000000000000298e+01  4.8964764739482913e-12  7.6058853245027232e-08
2.0800000000000502e+01  2.3977260057377137e-11  8.4412040369650712e-08
2.1600000000000598e+01  3.1101928268685598e-11  8.7807763332104375e-08
2.2400000000000698e+01  8.3466904253269036e-11  9.5284281079180172e-08
2.3200000000000799e+01  1.2376455380269496e-10  1.0614405146784463e-07
2.4000000000000998e+01  2.2572407406537607e-10  1.1921602401335192e-07
2.4800000000001098e+01  2.6481628602431183e-10  1.0525212767942121e-07
2.5600000000001199e+01  4.4177789720867029e-10  1.1900486593417458e-07
2.6400000000001299e+01  3.5268798050022082e-10  1.1722171811437013e-07
2.7200000000001499e+01  5.6179374230640278e-10  1.3297912234876972e-07
2.8000000000001599e+01  3.9274912602320964e-10  1.1897895142761842e-07
2.8800000000001699e+01  5.7944008383575071e-10  1.2737195086072422e-07
2.9600000000001799e+01  6.0706810545879572e-10  1.1211899812017414e-07
3.0400000000001999e+01  7.7195793394615111e-10  1.3443562779781742e-07
3.1200000000002099e+01  8.6460302389235783e-10  1.1740396460671562e-07
3.2000000000002203e+01  9.8237396353164065e-10  1.3761375766867091e-07
3.2800000000002001e+01  8.3266839243318377e-10  1.2353432459249850e-07
3.3600000000001899e+01  8.3831398455828394e-10  1.3918143703158311e-07
