# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  7.9473120447136782e+00  2.4527730907745900e-02  7.4237162496119291e+00  1.5614862002301014e-01  3.1905458932863283e+01  3.2000000424081328e+01  3.2000000424081328e+01  4.7999999999999998e+00  7.9477451991972696e+00  7.4234875998329768e+00  1.5410294213719419e-01  4.3375423658745120e+00  7.4559054087304222e-01  4.4068578469252966e+00  7.3603481244346347e-01  4.9210264285454353e-01  9.8925908012909114e-01
8.0000000000000004e-01  7.9534761559296410e+00  2.4596387922380804e-02  7.4237090664178575e+00  1.5617125499267712e-01  3.1904814181097013e+01  3.2000000870321642e+01  3.2000000870320754e+01  4.7999999999999998e+00  7.9538989466883550e+00  7.4234933540646439e+00  1.5412418111657100e-01  4.3377487818591627e+00  7.4557027131142628e-01  4.4067385687137550e+00  7.3606721896280214e-01  4.9204664744519150e-01  9.8923219947878505e-01
1.6000000000000001e+00  7.9597744690106689e+00  2.4533985777478774e-02  7.4237003874957415e+00  1.5619313503489030e-01  3.1903940962802416e+01  3.2000001685689227e+01  3.2000001685680019e+01  4.7999999999999998e+00  7.9601802884031336e+00  7.4235048100074819e+00  1.5414251772341442e-01  4.3381596406589642e+00  7.4558411586407103e-01  4.4065364582962792e+00  7.3617083817674434e-01  4.9196925558642363e-01  9.8922813673677834e-01
2.3999999999999901e+00  7.9662341484544914e+00  2.4461358986787290e-02  7.4236628679867582e+00  1.5621481490119252e-01  3.1904430879905561e+01  3.2000002003294533e+01  3.2000002003265344e+01  4.7999999999999998e+00  7.9666223297307388e+00  7.4235114563423616e+00  1.5415389470396199e-01  4.3384563506885927e+00  7.4556523607900460e-01  4.4063181892017642e+00  7.3621913028936892e-01  4.9200651788377436e-01  9.8931464255422885e-01
3.1999999999999802e+00  7.9725727190578723e+00  2.4559646488928621e-02  7.4236399981319758e+00  1.5623664472987198e-01  3.1906794308970248e+01  3.2000002134890309e+01  3.2000002134833885e+01  4.7999999999999998e+00  7.9729509432825783e+00  7.4235292916611799e+00  1.5543962386652477e-01  4.3388039929343627e+00  7.4519110502123120e-01  4.4059655637514874e+00  7.3615546206131011e-01  4.9220034263079171e-01  9.8924429114058876e-01
3.9999999999999600e+00  7.9786064292574839e+00  2.4586969138739839e-02  7.4236161469339326e+00  1.5626169093097272e-01  3.1910095512010731e+01  3.2000004036370825e+01  3.2000004036287791e+01  4.7999999999999998e+00  7.9789869459165299e+00  7.4235206306559665e+00  1.5687345109013245e-01  4.3394968445200508e+00  7.4476998008294781e-01  4.4053079143337870e+00  7.3643199333424236e-01  4.9246821501216154e-01  9.8921111309161780e-01
4.7999999999999403e+00  7.9840289687604695e+00  2.4528458117917221e-02  7.4235197212043138e+00  1.5630358029106453e-01  3.1912758759517978e+01  3.2000007522556182e+01  3.2000007522458169e+01  4.7999999999999998e+00  7.9844191964758044e+00  7.4234289392648067e+00  1.5691104667380368e-01  4.3405677339190047e+00  7.4450696460625221e-01  4.4043582209087768e+00  7.3694342020980985e-01  4.9267591391636362e-01  9.8930906012422937e-01
5.5999999999999304e+00  7.9891235043498270e+00  2.4491714935425572e-02  7.4232653501937236e+00  1.5636008792178910e-01  3.1914316509835569e+01  3.2000010240046350e+01  3.2000010239948828e+01  4.7999999999999998e+00  7.9895260202704623e+00  7.4231820419450649e+00  1.5674084170905891e-01  4.3416306101952893e+00  7.4449718514611440e-01  4.4031916107071778e+00  7.3739678505862993e-01  4.9278663751111718e-01  9.8929433125926791e-01
6.3999999999999098e+00  7.9946952826612456e+00  2.4507789099697704e-02  7.4228738274607231e+00  1.5641887307229987e-01  3.1916041004957428e+01  3.2000011914921302e+01  3.2000011914841060e+01  4.7999999999999998e+00  7.9951154060285781e+00  7.4227953979400816e+00  1.5679678498563984e-01  4.3424637736351297e+00  7.4442125711773888e-01  4.4018151066901483e+00  7.3750163652214962e-01  4.9290976998029373e-01  9.8931605933034084e-01
7.1999999999998900e+00  8.0010288751331480e+00  2.4539789543050798e-02  7.4224659493644287e+00  1.5648762730119434e-01  3.1919078385888351e+01  3.2000016675585606e+01  3.2000016675545780e+01  4.7999999999999998e+00  8.0014725315503572e+00  7.4223860262372368e+00  1.5685719447925073e-01  4.3435324417224894e+00  7.4432321544789481e-01  4.4001234121654536e+00  7.3763771299419989e-01  4.9313911709866065e-01  9.8932013678665542e-01
