# time  chi_mean_R8  chi_min_R8  chi_max_R8  lapse_mean_R8  lapse_min_R8  lapse_max_R8  K_mean_R8  K_min_R8  K_max_R8  chi_mean_R16  chi_min_R16  chi_max_R16  lapse_mean_R16  lapse_min_R16  lapse_max_R16  K_mean_R16  K_min_R16  K_max_R16
0.0000000000000000e+00  9.9999466755550159e-01  9.9107850790411445e-01  1.0099092030374073e+00  9.9999899563311601e-01  9.9442222075148368e-01  1.0068904886492738e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0000015606857136e+00  9.9845831545133090e-01  1.0015488228499811e+00  9.9999718169826946e-01  9.9918760478361279e-01  1.0008067768993003e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
8.0000000000000004e-01  9.9999740516426727e-01  9.9115516705155515e-01  1.0100276847816174e+00  9.9999506752874223e-01  9.9406559947359985e-01  1.0064187464425969e+00  2.8394387581151169e-06  -2.2927675521610883e-04  4.1021552027314121e-04  1.0000016782591030e+00  9.9846747937194691e-01  1.0015396155319300e+00  9.9999725184451649e-01  9.9919227944493372e-01  1.0008020791932437e+00  3.7959619925746106e-09  -1.2023186209564872e-05  1.3130653398847865e-05
1.6000000000000001e+00  9.9999772119636210e-01  9.9112259488501087e-01  1.0099874856003555e+00  9.9998626380689271e-01  9.9378030529646932e-01  1.0061264016477622e+00  6.2488956396063699e-07  -1.0334476963024703e-04  1.0327376130048081e-04  1.0000016847836508e+00  9.9846486879977570e-01  1.0015426474405291e+00  9.9999728478352123e-01  9.9919181186078609e-01  1.0008020626947558e+00  1.2578870357965617e-08  -4.4859399620103876e-06  7.6788426348357915e-06
2.3999999999999901e+00  9.9999507182580227e-01  9.9093697875838926e-01  1.0097555846369091e+00  9.9998294926433395e-01  9.9395156824774145e-01  1.0063461502713029e+00  -4.7473376195201905e-06  -4.2039920178838284e-04  1.3472632289324943e-04  1.0000016957476652e+00  9.9846139745726870e-01  1.0015435176369769e+00  9.9999733386017775e-01  9.9919471903744705e-01  1.0008033936954148e+00  2.9833909536637884e-08  -7.1228910504586899e-06  4.4175715112403883e-06
3.1999999999999802e+00  9.9999089194674218e-01  9.9085653338490243e-01  1.0097900364525987e+00  9.9998582382894408e-01  9.9414519977327342e-01  1.0063228637527173e+00  -6.4670803636825479e-06  -3.5773840586257816e-04  1.8979211301359261e-04  1.0000016884213854e+00  9.9846385164088003e-01  1.0015406414285615e+00  9.9999741739094150e-01  9.9919097277386204e-01  1.0008114356565294e+00  -8.9942647520657061e-08  -1.0783290214401063e-05  5.1023928654186387e-06
3.9999999999999600e+00  9.9998853304954993e-01  9.9088378511085795e-01  1.0098063911912756e+00  9.9998781539401604e-01  9.9410614420162546e-01  1.0062132471274619e+00  -3.6968354770110307e-06  -2.3635025527645140e-04  1.7767492191199320e-04  1.0000015754111171e+00  9.9846030874792702e-01  1.0015410696347071e+00  9.9999774237481653e-01  9.9919343067687771e-01  1.0008167421423213e+00  -1.3233476848736238e-07  -1.2337230070501240e-05  7.9268832399533044e-06
4.7999999999999403e+00  9.9998835993414514e-01  9.9086971206874874e-01  1.0097550197030876e+00  9.9998541409260522e-01  9.9407464641783383e-01  1.0061952194658323e+00  -2.1597978518826685e-06  -1.2459835380905225e-04  1.1570359120936423e-04  1.0000015028630953e+00  9.9844999804609902e-01  1.0015430093282116e+00  9.9999805518049734e-01  9.9921408361503761e-01  1.0008163636031919e+00  -2.5807828748301050e-07  -1.7318927626312707e-05  6.8347141627741054e-06
5.5999999999999304e+00  9.9998569210382859e-01  9.9086110324809795e-01  1.0097063085675801e+00  9.9998644174670415e-01  9.9401867246021280e-01  1.0062343532824995e+00  -6.8448814361539689e-06  -1.2642583083203601e-04  8.9856680717836687e-05  1.0000011300846374e+00  9.9845024467071564e-01  1.0015537193599795e+00  9.9999899351955412e-01  9.9922055062239490e-01  1.0007990282435613e+00  -5.7441415245919291e-07  -2.2630426660054470e-05  3.1766238225715901e-05
6.3999999999999098e+00  9.9998068452550448e-01  9.9082483621552853e-01  1.0096915402591971e+00  9.9999357280523471e-01  9.9403436116849508e-01  1.0062161431216583e+00  -7.5185974061818338e-06  -1.1751326974781097e-04  8.0197079662324932e-05  1.0000014921799405e+00  9.9847017617114575e-01  1.0015770363991010e+00  9.9999878465943237e-01  9.9918406578326080e-01  1.0007495822855765e+00  1.2884200382278596e-06  -2.0270728553330401e-05  6.1426098146738137e-05
7.1999999999998900e+00  9.9997888059144691e-01  9.9081300505623726e-01  1.0096716472859752e+00  9.9999658123201907e-01  9.9402044310588278e-01  1.0062017914909884e+00  -2.2185471453446139e-06  -1.0090205272035584e-04  8.2241758372708667e-05  1.0000030908616584e+00  9.9847209927894465e-01  1.0015708622014654e+00  9.9999562028486522e-01  9.9916573688565724e-01  1.0007439307969441e+00  2.2399559932808190e-06  -2.2861958178530910e-05  5.8665602031308481e-05
