# time  Re(R=8)  Im(R=8)  Re(R=16)  Im(R=16)
0.0000000000000000e+00  1.4016343315388474e-05  5.3937380328655275e-07  1.9833364379060208e-06  -3.0700236192909781e-08
8.0000000000000004e-01  6.1066523882082583e-06  -3.3366333559524940e-07  -1.2975550717868901e-06  -2.0290578151851220e-08
1.6000000000000001e+00  7.5706454011685933e-06  -5.2650042257613784e-07  -1.0899268321616451e-06  6.9521886043165450e-09
2.3999999999999901e+00  7.7475422095452665e-06  -2.9479060695105551e-07  -9.1549596288249094e-07  -3.3554831031247437e-10
3.1999999999999802e+00  7.8588310157620378e-06  -7.5872106658323979e-09  -9.4361247804003788e-07  -1.7887874735026380e-08
3.9999999999999600e+00  7.7489922377992276e-06  -1.7647244450226631e-07  -7.7982236516656316e-07  2.6702075269077172e-08
4.7999999999999403e+00  7.2226495273290925e-06  -2.0510533127152014e-07  -8.1960280509811677e-07  -3.7222890485339886e-08
5.5999999999999304e+00  6.9368820487879767e-06  -1.1144864163731993e-07  -9.9284652265758750e-07  -3.3790402507340458e-08
6.3999999999999098e+00  6.8829947621016485e-06  -9.7626915709808568e-08  -8.2684410011509087e-07  6.0433936576602621e-08
7.1999999999998900e+00  6.3853714050703497e-06  -1.5607233133044807e-07  -6.6549233093996299e-07  -2.3991437347911653e-09
7.9999999999998703e+00  6.0189055983210224e-06  -6.4649287680712040e-08  -6.6219814739381372e-07  -5.1978006731320106e-08
8.7999999999998604e+00  5.7647232060857847e-06  -1.3896248988846773e-07  -7.9232877941793275e-07  4.2538064376352198e-09
9.5999999999998398e+00  5.1430443400025090e-06  -1.0305557833238496e-07  -6.1689385939843851e-07  -3.0043053317823286e-09
1.0399999999999800e+01  5.2069445437372460e-06  -5.0208050384448076e-08  -5.6036873241425622e-07  -9.3620746738264143e-09
1.1199999999999800e+01  4.7423696328074516e-06  -9.6706195464401469e-08  -4.0183098716944706e-07  1.6371948616461347e-08
1.1999999999999799e+01  4.2989656658280621e-06  -1.0532310309277269e-07  -2.9968174836054289e-07  -1.3122751422630187e-08
1.2799999999999800e+01  4.1714944620819024e-06  -4.8349180323195290e-08  -3.6406099345061120e-07  -5.4012835602256737e-08
1.3599999999999801e+01  4.2647389646299201e-06  -4.3089283814948018e-08  -3.4484395317099420e-07  3.9885073212055085e-08
1.4399999999999700e+01  3.7814754869193775e-06  -8.7429407579886222e-08  -1.9417084406445679e-07  -1.4115233523328152e-08
1.5199999999999701e+01  3.5385818917662492e-06  -7.4363102886591360e-08  -4.7958350686312998e-07  -3.9346784335188651e-08
1.5999999999999700e+01  3.4822682737412225e-06  -4.5265949635536288e-08  -5.6253550928507896e-07  1.3860395420825652e-08
1.6799999999999802e+01  3.3154171682781653e-06  -2.3586122716523305e-08  -5.3186130590413098e-07  6.4482567957890767e-09
1.7600000000000001e+01  3.1836271861343598e-06  -4.4292141732070161e-08  -7.4719946985808472e-07  -3.0561145729008251e-08
1.8400000000000102e+01  3.0131322668119276e-06  -6.1511224085027939e-08  -8.5441689557528107e-07  -2.1577325194655923e-10
1.9200000000000198e+01  2.8413877925030433e-06  -3.8826641507531053e-08  -8.8003222264494691e-07  -1.6758581254083573e-08
2.0000000000000298e+01  2.7064143112350249e-06  -2.5008487183434462e-08  -9.6382161011485155e-07  -1.4966994902347980e-08
2.0800000000000502e+01  2.5683174030530511e-06  -3.3703814670939306e-08  -8.8663863504521999e-07  1.0858352328632131e-08
2.1600000000000598e+01  2.4255878606582633e-06  -3.3131763807514912e-08  -7.7249798083235608e-07  9.7236178754884387e-10
2.2400000000000698e+01  2.2926965665752316e-06  -2.4361419679935423e-08  -8.1427271264762476e-07  -2.5214556823207587e-08
2.3200000000000799e+01  2.1753712208730705e-06  -2.2142786507248810e-08  -8.6186416967994892e-07  -2.7470446967430829e-08
2.4000000000000998e+01  2.0500621118272238e-06  -2.2433595223725529e-08  -7.8016553402326617e-07  9.4370560145342831e-09
2.4800000000001098e+01  1.9120668838320948e-06  -1.9430987637791711e-08  -6.7251024230126009e-07  1.6689640369160368e-08
2.5600000000001199e+01  1.7809626618551631e-06  -1.6300838033907182e-08  -6.2385363662588400e-07  -1.3276276639908485e-08
2.6400000000001299e+01  1.6708285976374376e-06  -1.4602709110849314e-08  -6.0155043288450427e-07  -2.3491059123936627e-08
2.7200000000001499e+01  1.5717163207984654e-06  -1.2836937881573000e-08  -5.7739668353687712e-07  -5.3555602869955716e-09
2.8000000000001599e+01  1.4621085234004277e-06  -1.0969914967544881e-08  -5.3269002408925315e-07  2.5502816434442306e-10
2.8800000000001699e+01  1.3424605553648836e-06  -9.5928292114867763e-09  -4.6381647823212765e-07  -7.1392551261047635e-09
