# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
0.0000000000000000e+00  3.9112982740834648e+00  4.0000001298274050e+01  3.1999882061030760e+01  3.1999882061030760e+01  4.3375327651168361e+00  4.0359636147898108e+00  2.4000255536422070e+01  3.2000115631615344e+01  3.2000115631615337e+01  4.4068579929385807e+00
8.0000000000000004e-01  3.9139798928817631e+00  3.9999989059659747e+01  3.1999854417278634e+01  3.1999854417274769e+01  4.3377138814149268e+00  4.0394321971173355e+00  2.4000297940601083e+01  3.2000143369784062e+01  3.2000143369785995e+01  4.4067743079679333e+00
1.6000000000000001e+00  3.9165966189283621e+00  3.9999952796907635e+01  3.1999789154144569e+01  3.1999789154111820e+01  4.3380755216137974e+00  4.0430928901201035e+00  2.4000395828080460e+01  3.2000208228714058e+01  3.2000208228726926e+01  4.4066297389795208e+00
2.3999999999999901e+00  3.9199954777743522e+00  3.9999903116492618e+01  3.1999717943644022e+01  3.1999717943546798e+01  4.3383340771483825e+00  4.0461588898932606e+00  2.4000492459574307e+01  3.2000277811865246e+01  3.2000277811899615e+01  4.4064516024802352e+00
3.1999999999999802e+00  3.9243095854456107e+00  3.9999879787660220e+01  3.1999676592078533e+01  3.1999676591895049e+01  4.3386227112939890e+00  4.0482179508903418e+00  2.4000558315675331e+01  3.2000318416188634e+01  3.2000318416250430e+01  4.4061578554726628e+00
3.9999999999999600e+00  3.9289600716453137e+00  3.9999868396097369e+01  3.1999622518198532e+01  3.1999622517928543e+01  4.3391889749477235e+00  4.0496411084025272e+00  2.4000670713645562e+01  3.2000375612583326e+01  3.2000375612673082e+01  4.4056276086176140e+00
4.7999999999999403e+00  3.9329553431849460e+00  3.9999799770087087e+01  3.1999466663760092e+01  3.1999466663414186e+01  4.3400699313157380e+00  4.0510923439759425e+00  2.4000935933621477e+01  3.2000535082735873e+01  3.2000535082865731e+01  4.4048684736598016e+00
5.5999999999999304e+00  3.9361779244676471e+00  3.9999662512042448e+01  3.1999209360471113e+01  3.1999209360061471e+01  4.3409276892094590e+00  4.0529787608446197e+00  2.4001332502991396e+01  3.2000790598803640e+01  3.2000790598998641e+01  4.4039055096720228e+00
6.3999999999999098e+00  3.9396995200242970e+00  3.9999521443034425e+01  3.1998937976733231e+01  3.1998937976275720e+01  4.3415555720555474e+00  4.0550610675460916e+00  2.4001750956364614e+01  3.2001056738369904e+01  3.2001056738658505e+01  4.4027284436387415e+00
7.1999999999998900e+00  3.9442624531911195e+00  3.9999406760286860e+01  3.1998676511372096e+01  3.1998676510883683e+01  4.3423544901638227e+00  4.0568822947528034e+00  2.4002188518350561e+01  3.2001320067608816e+01  3.2001320068020490e+01  4.4012919135590680e+00
7.9999999999998703e+00  3.9490837130512126e+00  3.9999252216619638e+01  3.1998324136072576e+01  3.1998324135568108e+01  4.3438254533797407e+00  4.0584811819413940e+00  2.4002790934736577e+01  3.2001687701047643e+01  3.2001687701610855e+01  4.3995919212106225e+00
8.7999999999998604e+00  3.9527442424242532e+00  3.9998990893478037e+01  3.1997797203011832e+01  3.1997797202509325e+01  4.3458195069864338e+00  4.0602699711223202e+00  2.4003652517479921e+01  3.2002239250550311e+01  3.2002239251294853e+01  4.3977706010860693e+00
9.5999999999998398e+00  3.9551987847099781e+00  3.9998668328523259e+01  3.1997167987714086e+01  3.1997167987240843e+01  4.3478365665862748e+00  4.0624892991133184e+00  2.4004670818087590e+01  3.2002900122073029e+01  3.2002900123038209e+01  4.3960124140987151e+00
1.0399999999999800e+01  3.9580089645827474e+00  3.9998385534957492e+01  3.1996572903643905e+01  3.1996572903227310e+01  4.3503361983880646e+00  4.0650287742036806e+00  2.4005704759205567e+01  3.2003551966194941e+01  3.2003551967433545e+01  4.3945849894398288e+00
1.1199999999999800e+01  3.9622961650481612e+00  3.9998157890691971e+01  3.1996025506331421e+01  3.1996025505976579e+01  4.3553031834267797e+00  4.0677868415180196e+00  2.4006809614573392e+01  3.2004227281095304e+01  3.2004227282666399e+01  4.3942153641073141e+00
1.1999999999999799e+01  3.9672118490982635e+00  3.9997910168663552e+01  3.1995418138500838e+01  3.1995418138183897e+01  4.3644021453330959e+00  4.0709370333385833e+00  2.4008169372804563e+01  3.2005072576536854e+01  3.2005072578488011e+01  4.3959264249300833e+00
1.2799999999999800e+01  3.9713694406170506e+00  3.9997614758883621e+01  3.1994728892106320e+01  3.1994728891785794e+01  4.3779011079555650e+00  4.0747468929322599e+00  2.4009769333772812e+01  3.2006089156691026e+01  3.2006089159079153e+01  4.4003615601807260e+00
1.3599999999999801e+01  3.9751690025442716e+00  3.9997411933261354e+01  3.1994130986620540e+01  3.1994130986244070e+01  4.3968539511044789e+00  4.0795198212875352e+00  2.4011341623955861e+01  3.2007065851791182e+01  3.2007065854639613e+01  4.4089479456161706e+00
1.4399999999999700e+01  3.9798064859338820e+00  3.9997360964878041e+01  3.1993657721128077e+01  3.1993657720736788e+01  4.4203987155758684e+00  4.0854456948374889e+00  2.4012985080527098e+01  3.2008050702083331e+01  3.2008050705232165e+01  4.4239364460884758e+00
1.5199999999999701e+01  3.9854824039558645e+00  3.9997296908104865e+01  3.1993097759917536e+01  3.1993097759575683e+01  4.4469959932745740e+00  4.0921312249784529e+00  2.4015010767272233e+01  3.2009283769927890e+01  3.2009283773413550e+01  4.4452297488977415e+00
1.5999999999999700e+01  3.9908898861183193e+00  3.9997064439895972e+01  3.1992263041207959e+01  3.1992263040967515e+01  4.4753263788518760e+00  4.0989369929021331e+00  2.4017303871943909e+01  3.2010678343056568e+01  3.2010678347011776e+01  4.4705008141380844e+00
1.6799999999999802e+01  3.9949101017916941e+00  3.9996758498472083e+01  3.1991281790728163e+01  3.1991281790684589e+01  4.5040585003791369e+00  4.1062604969690133e+00  2.4019821423293237e+01  3.2012188911851588e+01  3.2012188916396283e+01  4.5005368766629266e+00
1.7600000000000001e+01  3.9982518176597277e+00  3.9996550752384458e+01  3.1990392568282697e+01  3.1990392568539662e+01  4.5336623944016869e+00  4.1143281167033123e+00  2.4022486860702795e+01  3.2013808771198597e+01  3.2013808776415686e+01  4.5361369801954607e+00
1.8400000000000102e+01  4.0023227587058816e+00  3.9996453922234402e+01  3.1989631196878182e+01  3.1989631197437895e+01  4.5654074312537070e+00  4.1222343168712872e+00  2.4024843690297065e+01  3.2015128784960318e+01  3.2015128790864843e+01  4.5738543085540790e+00
1.9200000000000198e+01  4.0074784690730976e+00  3.9996309809237225e+01  3.1988788817531784e+01  3.1988788818602725e+01  4.6002767717574171e+00  4.1296461038451513e+00  2.4027079066151387e+01  3.2016268503250473e+01  3.2016268509807276e+01  4.6127745114089578e+00
2.0000000000000298e+01  4.0129768712536507e+00  3.9995856943500598e+01  3.1987532895514459e+01  3.1987532897486744e+01  4.6393241488767831e+00  4.1367915996818585e+00  2.4029521369848911e+01  3.2017474895949292e+01  3.2017474903113339e+01  4.6538824647936847e+00
2.0800000000000502e+01  4.0177057879273672e+00  3.9995269194544868e+01  3.1986218984071275e+01  3.1986218986789840e+01  4.6802406869913531e+00  4.1441926728985878e+00  2.4031976193489673e+01  3.2018604116630712e+01  3.2018604124561520e+01  4.6990452097631019e+00
2.1600000000000598e+01  4.0220574831712668e+00  3.9994743709771804e+01  3.1985233966899390e+01  3.1985233970214139e+01  4.7219909988508073e+00  4.1519964124814308e+00  2.4034131175179176e+01  3.2019340452403419e+01  3.2019340461272201e+01  4.7487566952464855e+00
