# time  core_x_canon  core_y_canon  core_z_canon  peak_canon  core_x_phantom  core_y_phantom  core_z_phantom  peak_phantom  coord_sep  proper_sep  px_canon  px_phantom  px_total  shift_x_canon  shift_x_phantom  max_abs_shift
0.0000000000000000e+00  3.9999601586886889e+01  3.1999525955578143e+01  3.1999525955578140e+01  2.4522396532958766e-02  2.4000551237321719e+01  3.2000465264013123e+01  3.2000465264013123e+01  2.4424926191572612e-02  1.5999050349565170e+01  1.5500050389977604e+01  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
8.0000000000000004e-01  3.9999565263057733e+01  3.1999452764221374e+01  3.1999452764240598e+01  2.4591569752865968e-02  2.4000668441157803e+01  3.2000539184991837e+01  3.2000539184982941e+01  2.4494363306181710e-02  1.5998896821899930e+01  1.5500159482128197e+01  -1.2200848665901852e-06  2.4534084467842284e-06  -3.6734933133744134e-06  -2.8264562472463465e-05  3.8422523938465048e-05  7.5364165230454609e-05
1.6000000000000001e+00  3.9999398638004465e+01  3.1999191040034741e+01  3.1999191040143270e+01  2.4527239046620509e-02  2.4001044342691252e+01  3.2000804356404288e+01  3.2000804356361321e+01  2.4410569518920788e-02  1.5998354295313213e+01  1.5500130717198777e+01  -1.9633749844694490e-06  4.4384875197057335e-06  -6.4018625041751825e-06  -1.7777266539122140e-04  1.0720248508916910e-04  3.0772787501617290e-04
2.3999999999999901e+00  3.9999170435678707e+01  3.1998840983485714e+01  3.1998840983685444e+01  2.4449361345084433e-02  2.4001541671880457e+01  3.2001159114303597e+01  3.2001159114260439e+01  2.4310576314228054e-02  1.5997628763798250e+01  1.6002491632648255e+01  -2.2450269334585196e-06  5.9901293206072922e-06  -8.2351562540658114e-06  -5.1325825830597734e-05  5.3163804952087799e-05  1.1566672605034531e-04
3.1999999999999802e+00  3.9999027111280725e+01  3.1998551070338195e+01  3.1998551070627297e+01  2.4544668141724631e-02  2.4002009228481246e+01  3.2001454292924443e+01  3.2001454292942434e+01  2.4391008816912533e-02  1.5997017882799479e+01  1.5499584947785900e+01  -2.5021117727571179e-06  7.5443145733267728e-06  -1.0046426346083890e-05  5.2931897810567541e-05  -5.2891003244314491e-05  1.3812508112090194e-04
3.9999999999999600e+00  3.9998822084233851e+01  3.1998157191720253e+01  3.1998157192114430e+01  2.4574992616561750e-02  2.4002625662347352e+01  3.2001850523680147e+01  3.2001850523815534e+01  2.4429477292864658e-02  1.5996196421886498e+01  1.5499522455762234e+01  -2.9890910881968511e-06  9.3276944726774518e-06  -1.2316785560874304e-05  3.1780662123266714e-05  3.3001409573800923e-06  1.1687438074827029e-04
4.7999999999999403e+00  3.9998557551930233e+01  3.1997677042900929e+01  3.1997677043339436e+01  2.4522830768959031e-02  2.4003344986107880e+01  3.2002322158837593e+01  3.2002322159183251e+01  2.4417229660577949e-02  1.5995212565822353e+01  1.5499449839853042e+01  -3.4819360087450936e-06  1.1095532947792241e-05  -1.4577468956537334e-05  1.7134712009916364e-05  -5.3172277757190236e-06  8.7377669748269716e-05
5.5999999999999304e+00  3.9998373599200129e+01  3.1997282420081302e+01  3.1997282420495186e+01  2.4490832101193044e-02  2.4003966461024557e+01  3.2002703404075930e+01  3.2002703404674811e+01  2.4424287445955570e-02  1.5994407138175571e+01  1.5499365332835941e+01  -3.8461979009875652e-06  1.2727309804089772e-05  -1.6573507705077336e-05  1.3567326979073785e-05  -8.7533554149103630e-07  6.7366146681287469e-05
6.3999999999999098e+00  3.9998259864930411e+01  3.1996954685692494e+01  3.1996954686072208e+01  2.4505676098047775e-02  2.4004536728113344e+01  3.2003027165540750e+01  3.2003027166387355e+01  2.4429333582218694e-02  1.5993723136817067e+01  1.5499294014795060e+01  -4.1242029211724434e-06  1.4293470339230823e-05  -1.8417673260403265e-05  1.3485256367158024e-05  1.3485000767796561e-06  5.2878535442264329e-05
7.1999999999998900e+00  3.9998114731361035e+01  3.1996553469374689e+01  3.1996553469744004e+01  2.4531823313022599e-02  2.4005243401576106e+01  3.2003435050164526e+01  3.2003435051253682e+01  2.4416286829028511e-02  1.5992871329784929e+01  1.5499229443850922e+01  -4.3392713707576593e-06  1.5812114300290519e-05  -2.0151385671048178e-05  1.0335181489461780e-05  3.7107597724517513e-06  4.3682322712100348e-05
