NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.500060e+01        2.435420e+01        
2                   8.696458e+00        8.368602e+00        
3                   3.306311e+00        3.165538e+00        
4                   1.296894e+00        1.238572e+00        
5                   5.147941e-01        4.909140e-01        
6                   2.053032e-01        1.955752e-01        
7                   8.203003e-02        7.807801e-02        
8                   3.280208e-02        3.119822e-02        
9                   1.312540e-02        1.247125e-02        
10                  5.263781e-03        4.986397e-03        
11                  2.138461e-03        1.994012e-03        
12                  9.328327e-04        7.974809e-04        
