# time  f_op  f_geo  geo_trustworthy  max_local_speed  superluminal_fraction  max_shift  structure_coherence  reachable  n_rays  n_reached  max_h_rel_drift  f_geo_evol  f_geo_evol_ok
0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0122313136125276e+00  0.0000000000000000e+00  0.0000000000000000e+00  nan  1  5  5  1.1595797374944544e-04  0.0000000000000000e+00  0
8.0000000000000004e-01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0123465081660723e+00  0.0000000000000000e+00  6.8304728744804060e-05  nan  1  5  5  1.1679886153957926e-04  0.0000000000000000e+00  0
1.6000000000000001e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0126856469067673e+00  0.0000000000000000e+00  2.4775278227817503e-04  nan  1  5  5  1.2351271463391272e-04  0.0000000000000000e+00  0
2.3999999999999901e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0122758797405573e+00  0.0000000000000000e+00  1.0553266138738234e-04  nan  1  5  5  1.1492514321663309e-04  0.0000000000000000e+00  0
3.1999999999999802e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0122267824811093e+00  0.0000000000000000e+00  1.3703849673447647e-04  nan  1  5  5  1.1535463480640337e-04  0.0000000000000000e+00  0
3.9999999999999600e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0120850175011751e+00  0.0000000000000000e+00  1.0828270324739754e-04  nan  1  5  5  1.1774799839732268e-04  0.0000000000000000e+00  0
4.7999999999999403e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0122603485024750e+00  0.0000000000000000e+00  7.5712644722892826e-05  nan  1  5  5  1.1761299382106843e-04  0.0000000000000000e+00  0
5.5999999999999304e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0123278161467997e+00  0.0000000000000000e+00  6.4701119475644103e-05  nan  1  5  5  1.1782618353973799e-04  0.0000000000000000e+00  0
6.3999999999999098e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0123432015353908e+00  0.0000000000000000e+00  4.5998427097825750e-05  nan  1  5  5  1.1591723948715497e-04  0.0000000000000000e+00  0
7.1999999999998900e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0122900604293099e+00  0.0000000000000000e+00  4.0943423998804922e-05  nan  1  5  5  1.1682867533267279e-04  0.0000000000000000e+00  0
7.9999999999998703e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0122710935775125e+00  0.0000000000000000e+00  4.5359977348986197e-05  nan  1  5  5  1.1892263275625447e-04  0.0000000000000000e+00  0
8.7999999999998604e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0122785749764782e+00  0.0000000000000000e+00  4.0000269233303183e-05  nan  1  5  5  1.1844387374776382e-04  0.0000000000000000e+00  0
9.5999999999998398e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0122912400420343e+00  0.0000000000000000e+00  3.6673272893024651e-05  nan  1  5  5  1.1719369019656845e-04  0.0000000000000000e+00  0
1.0399999999999800e+01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0123050030724230e+00  0.0000000000000000e+00  4.1779323757884930e-05  nan  1  5  5  1.1740526019781439e-04  0.0000000000000000e+00  0
1.1199999999999800e+01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0123068028464703e+00  0.0000000000000000e+00  5.0379817543491015e-05  nan  1  5  5  1.1782259066395489e-04  0.0000000000000000e+00  0
1.1999999999999799e+01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0122990864075272e+00  0.0000000000000000e+00  5.7409216337160695e-05  nan  1  5  5  1.1842612576064958e-04  0.0000000000000000e+00  0
