# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  2.5212286259495673e-09  1.5241431114404751e-09  5.5489342740125802e-01  3.2195737096050321e+00  9.2996527942699314e-01
8.0000000000000004e-01  2.1535020890217544e-09  1.4130267518196532e-09  4.3044384516475159e-01  2.7217753806590066e+00  9.9156999629126863e-01
1.6000000000000001e+00  2.1930748729291228e-09  1.3797158228468176e-09  6.3015227835129695e-01  3.5206091134051878e+00  9.9514582018462761e-01
2.3999999999999901e+00  1.9532514750626719e-09  1.2110171114452936e-09  5.8025257999943447e-01  3.3210103199977379e+00  9.9291437022241558e-01
3.1999999999999802e+00  1.9563148059439984e-09  1.1799379095251565e-09  5.8208541418994686e-01  3.3283416567597874e+00  9.9490896718203203e-01
3.9999999999999600e+00  1.7959109803335940e-09  1.0591621088867019e-09  5.9812181763322303e-01  3.3924872705328921e+00  9.8917725290853975e-01
4.7999999999999403e+00  1.6643181556104006e-09  9.8326295113156000e-10  5.5509938933255820e-01  3.2203975573302328e+00  9.6678955996036609e-01
5.5999999999999304e+00  1.5018766883672169e-09  8.7242641960497528e-10  5.8011202695574970e-01  3.3204481078229988e+00  9.6350238674578947e-01
6.3999999999999098e+00  1.4510006538861911e-09  7.9913997246880766e-10  5.8430164873629908e-01  3.3372065949451963e+00  9.7965979898076672e-01
7.1999999999998900e+00  1.3795863711615383e-09  7.7044100091460728e-10  5.5735349665883915e-01  3.2294139866353566e+00  9.3637637327201484e-01
7.9999999999998703e+00  1.3292869286073650e-09  7.5163775241055765e-10  5.6530633918546602e-01  3.2612253567418641e+00  9.5283638802556614e-01
8.7999999999998604e+00  1.3221185649242297e-09  7.4991139345213193e-10  5.8766880459264392e-01  3.3506752183705757e+00  9.7446414269816961e-01
9.5999999999998398e+00  1.3256405783444545e-09  7.5476539576998110e-10  6.2449021881344302e-01  3.4979608752537721e+00  8.8149230622471464e-01
1.0399999999999800e+01  1.2724381301500588e-09  7.2177405186512181e-10  5.2899756640306139e-01  3.1159902656122456e+00  9.3508736264012093e-01
1.1199999999999800e+01  1.1966192746452313e-09  6.7020839174875894e-10  5.9120399955073166e-01  3.3648159982029267e+00  8.2537368071853801e-01
1.1999999999999799e+01  1.1098130005384367e-09  6.2538869214704810e-10  6.3322482593219398e-01  3.5328993037287759e+00  6.2801404778279335e-01
1.2799999999999800e+01  1.0272821055839920e-09  5.7177496623633617e-10  6.4173406008775102e-01  3.5669362403510041e+00  7.3578795860548540e-01
1.3599999999999801e+01  9.8343011678440475e-10  5.3981792413588801e-10  6.4299561821989260e-01  3.5719824728795704e+00  6.0980562629818280e-01
1.4399999999999700e+01  9.6039646560911469e-10  5.2927154819880807e-10  6.3991754983197580e-01  3.5596701993279032e+00  3.8807950307466849e-01
1.5199999999999701e+01  8.9340772925937943e-10  4.9179294428187871e-10  6.3852516681163674e-01  3.5541006672465469e+00  4.2610191060437907e-01
1.5999999999999700e+01  8.0956469454297276e-10  4.3737516841354806e-10  6.1916425539772302e-01  3.4766570215908921e+00  6.9131580660038539e-01
1.6799999999999802e+01  7.6075359802618606e-10  4.0572578269315431e-10  5.7982008647562489e-01  3.3192803459024995e+00  9.0923046995128798e-01
1.7600000000000001e+01  7.1387679323069553e-10  3.7827687217083644e-10  5.8491460078591773e-01  3.3396584031436709e+00  8.9657376691774926e-01
1.8400000000000102e+01  6.6794543523924585e-10  3.5154954756713092e-10  5.3446608212690072e-01  3.1378643285076029e+00  8.6505074944950855e-01
1.9200000000000198e+01  6.3163961508295406e-10  3.3019785072555568e-10  6.0032561087201597e-01  3.4013024434880639e+00  8.8412651548769416e-01
2.0000000000000298e+01  5.9697178792111869e-10  3.1044515400974634e-10  6.1563934192040681e-01  3.4625573676816273e+00  9.1188410000103215e-01
2.0800000000000502e+01  5.6489361711619816e-10  2.9257640766480758e-10  4.5745594921297850e-01  2.8298237968519140e+00  9.6120394105232310e-01
2.1600000000000598e+01  5.3918379788374843e-10  2.7887536186733059e-10  5.9250211344702608e-01  3.3700084537881043e+00  8.5390299593526753e-01
2.2400000000000698e+01  5.1660570238475707e-10  2.6744720986566692e-10  5.9041643923574916e-01  3.3616657569429966e+00  8.6114833895707588e-01
2.3200000000000799e+01  4.9785099315102187e-10  2.5871145157863126e-10  5.1376812297162111e-01  3.0550724918864844e+00  9.5871117100560233e-01
2.4000000000000998e+01  4.8433979511977898e-10  2.5359353980921751e-10  5.7882743420947302e-01  3.3153097368378921e+00  9.5176337199491012e-01
2.4800000000001098e+01  4.7521670503306566e-10  2.5157316455918721e-10  6.0775282934548636e-01  3.4310113173819454e+00  8.7150349591895115e-01
2.5600000000001199e+01  4.6965649718753084e-10  2.5207160803317960e-10  6.1870837474417018e-01  3.4748334989766807e+00  8.5332642434131156e-01
2.6400000000001299e+01  4.6812523961699884e-10  2.5535970810332328e-10  6.3161001347471202e-01  3.5264400538988481e+00  8.3401088714267224e-01
2.7200000000001499e+01  4.7029767715483538e-10  2.6119103267755365e-10  6.3716638546932902e-01  3.5486655418773161e+00  7.9441557414020703e-01
2.8000000000001599e+01  4.7503769264017305e-10  2.6878041821902574e-10  6.4362164755896401e-01  3.5744865902358560e+00  7.6251761935856377e-01
2.8800000000001699e+01  4.8264964133058436e-10  2.7834081963819707e-10  6.5184610824223532e-01  3.6073844329689413e+00  7.2717437621834369e-01
2.9600000000001799e+01  4.9414124930367119e-10  2.9056472357415066e-10  6.5877514300757434e-01  3.6351005720302974e+00  6.9033402991720849e-01
3.0400000000001999e+01  5.0966087978614059e-10  3.0557115785824742e-10  6.6575082422960419e-01  3.6630032969184168e+00  6.6255021660438984e-01
3.1200000000002099e+01  5.2857817684278334e-10  3.2291618117956845e-10  6.7217862192720967e-01  3.6887144877088387e+00  6.3871917119780042e-01
3.2000000000002203e+01  5.5039784915185162e-10  3.4224856387928070e-10  6.7811323384598066e-01  3.7124529353839226e+00  6.1753606266172156e-01
3.2800000000002001e+01  5.7598697704585967e-10  3.6420261261802466e-10  6.8438679064525965e-01  3.7375471625810386e+00  6.0414984731418275e-01
