# time  Re_m-2(R=8)  Im_m-2(R=8)  Re_m-1(R=8)  Im_m-1(R=8)  Re_m0(R=8)  Im_m0(R=8)  Re_m1(R=8)  Im_m1(R=8)  Re_m2(R=8)  Im_m2(R=8)  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)
0.0000000000000000e+00  2.6284082719734912e-05  2.7647461390019508e-05  3.0552470346907697e-05  -6.1423936162362447e-06  -2.8551554682505783e-05  -5.3607058381313147e-07  -1.3186156991171547e-05  5.7283637691320739e-06  2.7880008569602074e-05  -2.8546765305390377e-05  1.7569284767194474e-07  6.3394057855787507e-07  -7.2970563256699610e-07  -6.2169340750199593e-08  5.2013868096779870e-07  8.9881376858196031e-10  -9.9183168207807221e-08  6.5829804535196409e-08  1.6919138110563552e-07  -6.1403220683661593e-07
8.0000000000000004e-01  2.7829870029496588e-05  2.4614686058317299e-05  2.3368779779291699e-05  -1.6323055344961364e-06  -2.0934707280092437e-05  -4.1516576784896919e-07  -2.2215907667223395e-05  4.3607036487556696e-07  2.8780003939827091e-05  -2.4847062030482995e-05  3.5998737214341101e-08  2.6376316692988623e-08  9.2067061128728874e-08  -8.0668692997296063e-09  -1.9396527264596307e-08  -1.0471443930262627e-09  7.8867157918813670e-08  1.4266921574129329e-08  3.5060890861335023e-08  -2.6996717400838003e-08
1.6000000000000001e+00  2.7415013661674430e-05  2.5288711211517680e-05  2.5327732215643234e-05  4.7199612814300799e-07  -2.1316376970268298e-05  -6.8413599537974505e-07  -2.3020220523673913e-05  -4.6085193243534992e-07  2.6680026817131085e-05  -2.5622291642001100e-05  1.8970975669667484e-08  4.0544468168766616e-08  4.6214804360747730e-08  1.1002849416817099e-08  -9.9949423856399421e-09  3.7724276287984184e-12  -4.3154697712120667e-09  -4.3102582702672185e-09  2.1196086172661890e-08  -4.0545133130444347e-08
2.3999999999999901e+00  2.5125444410277642e-05  2.3752133616038869e-05  2.3559129804177141e-05  -5.9421163545973341e-07  -2.0652685177125006e-05  1.8589973332158461e-07  -2.2405909958873239e-05  6.9613586374277300e-07  2.5874820902250432e-05  -2.3602317370923428e-05  5.6353586054195653e-08  1.2787003601774489e-08  3.7152509425226667e-08  6.4189495737890625e-09  -6.4310151519676435e-08  4.1831359084619886e-09  7.1974704988696289e-09  -6.7871271895028041e-09  5.6951474569677624e-08  -9.4898136930593982e-09
3.1999999999999802e+00  2.3474020591887268e-05  2.4919031632472269e-05  2.5329498353088933e-05  1.7191770053307372e-07  -1.9129429314542120e-05  -3.2775392836955985e-07  -2.3345460403114112e-05  2.9145132891237490e-07  2.3530802772430392e-05  -2.5183045599357294e-05  1.6010914434039100e-08  3.3455516379836596e-08  4.8685661077703445e-08  1.0291698410825065e-08  2.8484619983309217e-09  -1.4553147186619138e-08  -1.8710858215132951e-09  -9.8414039659675843e-09  5.9331703436441839e-09  -4.6510257124372703e-08
3.9999999999999600e+00  2.0776203533427856e-05  2.4831078500538216e-05  2.5136588304468412e-05  -1.4666857078172663e-08  -1.6901850381422119e-05  -4.0345056968137551e-07  -2.3571071421055168e-05  4.5636524256129168e-07  2.0977030556887166e-05  -2.5100581524260549e-05  1.0978839358026242e-07  1.5840857064043840e-08  2.1985549896672626e-08  2.9269426592906406e-08  -7.3163071352915507e-08  1.3005832467090320e-08  2.2380305391588004e-08  -5.5654388842824392e-08  6.1296301707347674e-08  -7.7142559171395621e-09
4.7999999999999403e+00  2.0711950825096675e-05  2.3570631382287608e-05  2.4361760342856004e-05  3.3453927781636612e-07  -1.6846591312047081e-05  -4.5308399960635386e-07  -2.2008186144035607e-05  -1.2618200735023670e-07  2.0236175239632542e-05  -2.3923635049397923e-05  -1.8949934521539847e-07  1.8355212282287996e-07  2.1220322139971611e-07  8.3217684297469464e-08  1.5195233599687893e-07  -9.5311081377229010e-09  -1.3751738544565391e-07  1.4133455097418768e-07  -1.3388628001425355e-07  -1.8895051392303352e-07
5.5999999999999304e+00  1.7227335861942688e-05  2.3562153285412659e-05  2.3656029163124513e-05  -9.1562196877871554e-07  -1.4695653714267663e-05  4.5246998489574388e-07  -2.1941532681384501e-05  8.6457954351220428e-07  1.8850120256444631e-05  -2.3182306538174143e-05  2.0362208141286334e-07  -9.7765598610069803e-08  -9.3008356349821248e-08  -1.6565376252613800e-07  -2.1657035754690171e-07  1.7986691710520596e-08  1.3496591096464451e-07  -8.7195381713371373e-08  2.9149233367842243e-07  1.1963656335637059e-07
6.3999999999999098e+00  1.3475020524896211e-05  2.4683699682961923e-05  2.4959259042054018e-05  -1.2324401520606484e-07  -1.1264608586283611e-05  -9.7534621246868634e-08  -2.3528638789733792e-05  4.6317543219899964e-07  1.4001629724157775e-05  -2.4725003178509943e-05  -4.9374730121675559e-08  3.6486820627883140e-08  6.6017916763697256e-08  1.1027482085463801e-07  9.1753088489543343e-08  6.6119358064314113e-09  -4.2729793987085189e-08  -4.9601937138126344e-08  -2.0432984999837032e-07  -4.2424087344951092e-08
7.1999999999998900e+00  1.4557179607186128e-05  2.3755053012273721e-05  2.4249704384044647e-05  3.7567618162442136e-07  -1.1532811954093611e-05  -2.8855603615170101e-07  -2.2284294813567255e-05  -3.0375153046549637e-07  1.3764235949484425e-05  -2.3974980027344885e-05  -2.4615945980244770e-07  3.9417363190386217e-07  4.2498752325467921e-07  1.6911469426445585e-08  1.7168316450865162e-07  -6.1683941335611801e-08  -3.2532033642670275e-07  1.0175937566470625e-07  -1.1134827928137880e-07  -4.3099389984221278e-07
