# time  Re_m-2(R=8)  Im_m-2(R=8)  Re_m-1(R=8)  Im_m-1(R=8)  Re_m0(R=8)  Im_m0(R=8)  Re_m1(R=8)  Im_m1(R=8)  Re_m2(R=8)  Im_m2(R=8)  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)
0.0000000000000000e+00  3.3420936824811189e-05  3.6727729331651620e-05  4.1628626096691651e-05  -5.3926875942206899e-06  -3.3898007921791302e-05  1.2086791223030047e-07  -1.4720233213172320e-05  5.0017879436932331e-06  3.4615177953693048e-05  -3.7310887591276106e-05  2.0523391572695714e-07  8.1087405114938319e-07  -9.3226449609216895e-07  -6.9022568354324116e-08  5.7889274485530488e-07  1.2807190495317899e-09  -1.3311439114358717e-07  7.2532118700214604e-08  1.9799414101698624e-07  -7.8450063541692078e-07
8.0000000000000004e-01  3.4492582669344103e-05  3.3549012592441264e-05  3.1578851813150697e-05  2.1164435648616873e-07  -2.6441944541100688e-05  -5.8447129387958995e-08  -2.9334316300992804e-05  4.7809267529715179e-08  3.3639782202232911e-05  -3.3341037410497732e-05  4.6678337866170970e-08  4.1154360646554530e-08  1.3944570702576059e-07  -5.6946933944632010e-09  -2.5738619248311425e-08  -1.6564090357943780e-09  1.2141354742080759e-07  1.2059072175120274e-08  4.5185215892966826e-08  -4.2179577213567114e-08
1.6000000000000001e+00  3.0576833977257553e-05  3.1558060244292890e-05  3.2577602766144896e-05  -1.0158867981931778e-06  -2.6037623928717253e-05  1.7602250987697123e-09  -2.7562155169123093e-05  6.9938744423829314e-07  3.2040626720970617e-05  -3.1490084668291419e-05  2.5049424503049225e-08  6.0373001818713695e-08  7.9989747364133799e-08  2.3222156124335825e-08  -1.2234123078613705e-08  -4.0046372008032406e-09  8.1130215838925120e-09  -3.7930528943892818e-09  2.7749516587630522e-08  -6.3797322685749472e-08
2.3999999999999901e+00  2.9934262994384132e-05  3.1528444262764259e-05  3.2331463091817131e-05  9.0660556041968574e-09  -2.4405219785242429e-05  -6.5233251094839809e-07  -2.7727361957448010e-05  7.9879156968915119e-08  2.9445952256217418e-05  -3.1865425107940800e-05  4.4632454225283108e-08  3.4654845707253547e-08  6.3859114927122089e-08  -1.7684956550306012e-08  -7.1747453851336658e-08  2.4674137942515832e-08  2.4849342699099711e-08  -9.6036781095327978e-09  7.2433818510771574e-08  -1.3539446692351314e-08
3.1999999999999802e+00  2.7145682975293025e-05  3.2047351045622469e-05  3.3290802210367350e-05  -4.2009558805227664e-08  -2.2784147779099651e-05  1.5094159151729583e-07  -2.8363454405380429e-05  4.9900845384823507e-07  2.7453379585022946e-05  -3.1870199791150446e-05  8.8382247453605148e-08  3.6727891947286428e-08  7.5752372798975476e-08  6.9691268099925421e-08  -2.5998975023402861e-08  -3.8198825304383808e-08  2.9575792137120618e-08  -4.2276845458744133e-08  -6.4074462793955008e-09  -6.6203427047917145e-08
3.9999999999999600e+00  2.5205306260100444e-05  3.0218022519125583e-05  3.1689004795249512e-05  1.9964852565442005e-07  -2.0511485346415314e-05  -6.0307316305792387e-07  -2.6299193417750972e-05  -2.2352073096340954e-07  2.4565731912117857e-05  -3.0586337391860992e-05  -1.0516447373879091e-07  1.1268145468296783e-07  1.4396065652778943e-07  -6.9361239290902324e-08  -3.4956187841695394e-09  3.7543955542803426e-08  -2.5247123995161365e-08  1.1215229710753294e-07  9.8842300796142118e-08  -8.2864387981809502e-08
4.7999999999999403e+00  2.3509944145512319e-05  3.0083637653871277e-05  3.1357204459696154e-05  -3.9557779276968739e-07  -1.9834168010858959e-05  6.1784113972973570e-08  -2.6333702474604629e-05  4.5249306098391393e-07  2.3961960533470928e-05  -2.9960493924300695e-05  1.7644699406560259e-07  -2.7731355685756480e-08  3.5115805439443594e-09  3.8711214833496412e-08  -4.4985395922862466e-08  -3.5731827438404745e-08  5.1502662560707832e-08  -1.8475983388881269e-07  -2.0028863707906998e-08  -8.2170092786782763e-09
5.5999999999999304e+00  2.1172213821520975e-05  2.9755940239210914e-05  3.0968674297950395e-05  -1.0959530735634157e-07  -1.7626605655754665e-05  -1.7880187052264992e-07  -2.6252535799377975e-05  2.7316970490675220e-07  2.1390335235145931e-05  -2.9828091995985306e-05  -2.8810099215797905e-08  1.3065708345581433e-07  1.7309789074782829e-07  6.7452436177199869e-08  -2.6081640536790493e-08  2.4909615152160472e-08  -4.0345318212113273e-08  6.4566433715833413e-08  7.3799308639586720e-09  -1.1477119582222883e-07
6.3999999999999098e+00  1.8341168023715200e-05  2.9700571108135993e-05  3.0748605787850612e-05  -1.5736861562509133e-07  -1.5176427975400363e-05  -6.4729757629042285e-08  -2.6116272598378148e-05  9.8473617122657729e-08  1.8445064879685588e-05  -2.9678362396970922e-05  -2.3155581922468091e-07  1.7118420244091159e-07  1.8478073886010491e-07  -1.1569708057358078e-07  1.4183671157055026e-07  1.1819911475384699e-08  -1.1032285140723398e-07  1.0549497839482173e-07  -1.5826494347442450e-08  -1.4441592007421244e-07
7.1999999999998900e+00  1.8906883290429783e-05  2.8884057328310833e-05  3.0325629267408219e-05  5.1908595671920204e-07  -1.5198293963094548e-05  -3.6059893943041307e-07  -2.5210683314346997e-05  -4.6990815347041656e-07  1.7715122618670814e-05  -2.9108359613134274e-05  1.7057896185177003e-07  1.0148392020837990e-07  1.6029864039750421e-07  2.1586712372814595e-07  -3.6319045454308146e-08  -5.5068985882000929e-08  -6.1798899378721044e-08  -1.9022107461458511e-07  -1.5688571524780885e-07  -1.6089625648732774e-07
