# time  chi_mean_R8  chi_min_R8  chi_max_R8  lapse_mean_R8  lapse_min_R8  lapse_max_R8  K_mean_R8  K_min_R8  K_max_R8  chi_mean_R16  chi_min_R16  chi_max_R16  lapse_mean_R16  lapse_min_R16  lapse_max_R16  K_mean_R16  K_min_R16  K_max_R16
0.0000000000000000e+00  1.0000100312154119e+00  9.9337661897803387e-01  1.0079399099137281e+00  1.0000014922211742e+00  9.9638011286575268e-01  1.0046425231110574e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0000026999815632e+00  9.9878077373089280e-01  1.0012277581224975e+00  9.9999718978325380e-01  9.9935576224323674e-01  1.0006386832137766e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
8.0000000000000004e-01  1.0000112751065573e+00  9.9334078016842087e-01  1.0079265181429380e+00  1.0000032145681756e+00  9.9631014662883610e-01  1.0044532366916858e+00  -1.7289747049910315e-06  -2.0320882537965603e-04  1.3165305360804522e-04  1.0000028033614989e+00  9.9878772820053618e-01  1.0012207574280463e+00  9.9999725252665383e-01  9.9935931900363972e-01  1.0006351178969342e+00  5.0260779412395930e-09  -9.1307371526624287e-06  1.1017010360225251e-05
1.6000000000000001e+00  1.0000118608264801e+00  9.9333473110807791e-01  1.0079211272218176e+00  9.9999849985414913e-01  9.9612202338784372e-01  1.0041729540743931e+00  1.5079485470839130e-06  -1.1477148950127590e-04  1.1285950276517397e-04  1.0000028096416245e+00  9.9878561861831361e-01  1.0012230707933416e+00  9.9999728466714055e-01  9.9935915446074763e-01  1.0006349481208261e+00  1.2964394071391007e-08  -3.4451408392056997e-06  6.3862901958322339e-06
2.3999999999999901e+00  1.0000123221493264e+00  9.9327787918644572e-01  1.0078366783880961e+00  9.9999023022843758e-01  9.9605753023344501e-01  1.0040889982776271e+00  -5.1810865643627959e-07  -2.0043561331217861e-04  1.0749653072128498e-04  1.0000028179587321e+00  9.9878371038335123e-01  1.0012238112141107e+00  9.9999733323343221e-01  9.9936025840195319e-01  1.0006360593523682e+00  2.0929095382940514e-08  -4.0838022852954471e-06  3.1522328174638734e-06
3.1999999999999802e+00  1.0000096923792405e+00  9.9315081474186362e-01  1.0076826715681029e+00  9.9998766644878068e-01  9.9618691814320359e-01  1.0042709361169666e+00  -3.7376264719703381e-06  -3.1237727241292319e-04  1.1132981256515884e-04  1.0000028486331849e+00  9.9878254761618712e-01  1.0012246689498103e+00  9.9999734728716638e-01  9.9936241405630089e-01  1.0006360459335764e+00  2.2642993269411466e-08  -4.2256743737823367e-06  5.1114053333574315e-06
3.9999999999999600e+00  1.0000061802636773e+00  9.9309450640192243e-01  1.0076844354167109e+00  9.9998902320429006e-01  9.9628193520710084e-01  1.0042503298006922e+00  -6.2948318735504183e-06  -2.4065401112736626e-04  1.3658334331688267e-04  1.0000027630040371e+00  9.9878162329756581e-01  1.0012219815170909e+00  9.9999756968321141e-01  9.9936349457613771e-01  1.0006433738065941e+00  -1.7621910725093601e-07  -6.5024665001035651e-06  3.4660848308384101e-06
4.7999999999999403e+00  1.0000026348133493e+00  9.9310185811814478e-01  1.0077100432352195e+00  9.9999229932680078e-01  9.9624150256982336e-01  1.0041234334621745e+00  -5.9408823138057442e-06  -1.4630079474263819e-04  1.0250905907701843e-04  1.0000027292160638e+00  9.9878187321120948e-01  1.0012258363377005e+00  9.9999779479757533e-01  9.9936274601786701e-01  1.0006387731144983e+00  3.4280332749832376e-08  -8.1937280957065787e-06  6.8326514346550957e-06
5.5999999999999304e+00  9.9999844286238471e-01  9.9308902315595482e-01  1.0076478138487837e+00  9.9999751552110949e-01  9.9620416804833956e-01  1.0041357131099411e+00  -8.7877248697191742e-06  -1.1218811489663362e-04  8.3025965585184237e-05  1.0000025477375978e+00  9.9877357869991135e-01  1.0012212470033006e+00  9.9999824430497530e-01  9.9937807765139952e-01  1.0006496496236281e+00  -6.9478451501591019e-07  -1.9074631770284203e-05  5.4725359366202835e-06
6.3999999999999098e+00  9.9999358018439610e-01  9.9306288831171097e-01  1.0076151360272714e+00  1.0000055604359894e+00  9.9618401982390103e-01  1.0041381909534652e+00  -6.9318547022950740e-06  -1.0480650950385458e-04  9.3398880936183975e-05  1.0000019285960127e+00  9.9877411442105879e-01  1.0012334777521352e+00  9.9999976764102527e-01  9.9938430090283925e-01  1.0006304630633727e+00  -5.4844955969557732e-07  -1.9341147308729983e-05  3.5755689220822699e-05
7.1999999999998900e+00  9.9999382536041836e-01  9.9304718017621041e-01  1.0075940566493424e+00  1.0000044343065282e+00  9.9616103673132772e-01  1.0041184702581756e+00  4.1395267977251073e-07  -9.1339791699940510e-05  8.0606089627100440e-05  1.0000028245470824e+00  9.9879355098368605e-01  1.0012540783462558e+00  9.9999865413948474e-01  9.9934603943263922e-01  1.0005846697651937e+00  2.1226806569635086e-06  -1.8768809531971091e-05  5.5936420426004226e-05
