# time  Re_m-2(R=8)  Im_m-2(R=8)  Re_m-1(R=8)  Im_m-1(R=8)  Re_m0(R=8)  Im_m0(R=8)  Re_m1(R=8)  Im_m1(R=8)  Re_m2(R=8)  Im_m2(R=8)  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)
0.0000000000000000e+00  4.1049395299004040e-05  4.5284298425117261e-05  5.3264150117440177e-05  -3.1980117645529004e-06  -3.8203036993402956e-05  1.2168366267182130e-06  -1.4668541527733777e-05  2.4993142959215407e-06  4.2015417106694131e-05  -4.5251073629884698e-05  1.2690440667537096e-06  1.0281604378368223e-06  -1.2385133540118958e-06  -1.0922309654437040e-07  -1.8071119960451195e-07  1.8344357590406879e-09  -2.3719513797501419e-07  1.1467456995753479e-07  1.2398457699810076e-06  -9.9343737132024137e-07
8.0000000000000004e-01  3.9743765004143151e-05  3.9705098993936489e-05  3.9674458412717223e-05  -6.3033931889331571e-07  -3.3265246096524507e-05  -3.7154812699607352e-07  -3.1983784852106288e-05  9.7271972019286049e-07  4.0123297536073526e-05  -3.9500369909263544e-05  1.0753810125503002e-06  6.4455055269640622e-08  2.1431822537049575e-07  -1.6699646198896866e-09  -8.8193685045597999e-07  -2.2674592123637732e-09  1.8891862878648812e-07  1.1265925194202093e-08  1.0739718510901744e-06  -6.5915024784091583e-08
1.6000000000000001e+00  3.7767454573735715e-05  3.8402240172290329e-05  4.0504763354566099e-05  -3.3693058878003280e-07  -3.1802851981495517e-05  -1.9372167998695677e-07  -3.0764667742159166e-05  5.6885491838883536e-07  3.7666363778528583e-05  -3.8325680718635685e-05  1.0416140845498783e-06  9.2650083281216430e-08  1.3357676103875150e-07  2.3724642228356702e-08  -8.6608373158910222e-07  -3.7578556342043285e-10  3.3572156583223889e-08  -4.0127327837307612e-09  1.0571133340359893e-06  -9.3295376083472070e-08
2.3999999999999901e+00  3.7021363410543422e-05  3.7153336422208777e-05  3.9980219088300135e-05  3.6406071019908459e-07  -3.0806619327319317e-05  -1.4730920123430464e-08  -2.9380440034428186e-05  -4.6085542653023563e-07  3.5965699585867059e-05  -3.6963643819163290e-05  1.1345850494678000e-06  1.6350644766047552e-08  3.9222768483758289e-08  1.6382102673610657e-08  -9.1874944815199096e-07  2.1894004992211849e-08  6.1122322177365748e-08  -4.3658531586895458e-08  1.1041874588669668e-06  2.3893139310393138e-09
3.1999999999999802e+00  3.3178182577540976e-05  3.6552122205492353e-05  3.9724260611502174e-05  -4.2241656692608762e-07  -2.8244093680376339e-05  -2.8525117547700540e-07  -2.9204153527830437e-05  5.8314060136296895e-07  3.3663972645310640e-05  -3.6628868296276272e-05  9.6951136708483399e-07  1.4337046148461222e-07  2.3049197949857500e-07  -2.6976220070175972e-08  -8.3342443872847265e-07  -2.9706948118298804e-08  1.1863543611214147e-08  3.7643035570769753e-08  1.0721827501939180e-06  -1.6679845637106896e-07
3.9999999999999600e+00  3.3073098701065082e-05  3.5201842570737414e-05  3.8845718024620445e-05  7.3401454451091567e-08  -2.7858194385111289e-05  -2.4019161873201596e-07  -2.7377754504675350e-05  -3.5033615179282317e-07  3.2378560374740236e-05  -3.5245716064234219e-05  1.1933306504994376e-06  6.9753762514693470e-12  6.3068141217410304e-08  1.8037637322973924e-07  -8.7809902418529392e-07  -2.2374451975953698e-08  1.1450516482545649e-07  -1.3929895097307355e-07  9.2163926056196655e-07  -1.6450309632992609e-08
4.7999999999999403e+00  3.0470391034814756e-05  3.4641020615324798e-05  3.7629013460377983e-05  -1.5832315042931060e-07  -2.5729872816536850e-05  -1.3516585689117968e-07  -2.7478388775357146e-05  2.0698925261610531e-07  3.0524205478708031e-05  -3.4601015512440931e-05  9.8269906412914597e-07  1.5874836818781018e-07  1.8378869272424356e-07  -1.0305194638864797e-07  -9.0848062113539639e-07  6.1807808810939336e-08  -1.4777964409410361e-08  1.0641461768268397e-07  1.2373901237558910e-06  -1.0280253248824167e-07
5.5999999999999304e+00  2.8569964914889835e-05  3.4151674357843877e-05  3.7450473476943676e-05  -7.0354800546611311e-08  -2.3932460686651398e-05  -1.6207230564080278e-07  -2.6622821934282995e-05  9.7262518430827599e-08  2.8457862545031407e-05  -3.4150304512914020e-05  8.4557277317854684e-07  1.5411563115288192e-07  2.6218838765831667e-07  -5.1105454911850859e-08  -7.3458637475788595e-07  -1.5799331134807521e-08  -3.5798712538284491e-08  2.3985697443855349e-08  9.3062826614250300e-07  -1.7748253781254318e-07
6.3999999999999098e+00  2.8208873091256687e-05  3.3081049054796748e-05  3.6322159087701002e-05  1.2023680388681773e-07  -2.3527068591795811e-05  -2.2365305756092549e-07  -2.5753599663722455e-05  -3.4359054697433352e-07  2.7474403512233977e-05  -3.3153592418621774e-05  1.2001208447039906e-06  1.4572962574069589e-07  1.6324310320686128e-07  2.8671746602379240e-07  -8.1773494935061305e-07  -5.8141221027376970e-08  -7.3542547085543217e-08  -1.8408674136427948e-07  8.0131125990689968e-07  -1.8535546519722448e-07
7.1999999999998900e+00  2.6585831590562999e-05  3.2679600739222490e-05  3.5851105078004423e-05  2.5625196877272431e-07  -2.2236367406963111e-05  -1.5827949995999506e-07  -2.5359914404801795e-05  -1.9317775054905512e-07  2.6019996264310862e-05  -3.2698631271683538e-05  9.0804962468828271e-07  -1.4329345685623240e-08  1.0220014833910769e-07  -2.3183229433518088e-07  -9.2445436544369656e-07  2.6202010915798201e-08  1.7496958612452106e-07  1.4270979781432399e-07  1.2984597888050823e-06  2.8510062000134713e-08
7.9999999999998703e+00  2.6627605740119869e-05  3.1475340369640139e-05  3.4552221353777461e-05  1.6794287448981017e-07  -2.2027538016872018e-05  -1.4108377270723250e-07  -2.4166269779174883e-05  -3.1199126907796888e-07  2.5805464062938702e-05  -3.1474567143379478e-05  1.0397210053199547e-06  1.7209689056285914e-07  2.3979161211494012e-07  1.6256112711873859e-07  -7.8246548401621303e-07  3.5503061066094292e-08  -4.7253499991884412e-08  -7.9474946100143704e-08  8.3421050696232079e-07  -1.3909278312712646e-07
8.7999999999998604e+00  2.6436090432158285e-05  3.0905548084768437e-05  3.4039361384555938e-05  4.5694290584520316e-07  -2.1748310551578088e-05  -1.9685917260173040e-07  -2.3598971308248079e-05  -4.7198632069410795e-07  2.5346708546386403e-05  -3.0969248839075567e-05  1.6733842438701112e-07  3.6758299662485618e-07  4.0652764243469429e-07  -9.8252448281088488e-08  -3.1745566426471763e-07  -6.3004641236116332e-09  -2.7319489333659076e-07  3.0250655853319558e-07  6.2202575973814081e-07  -3.7063621726020416e-07
9.5999999999998398e+00  2.5246973800180458e-05  3.0136416013110036e-05  3.3062708284144947e-05  1.8590422405577893e-07  -2.0946618240148490e-05  -5.1058661172860467e-08  -2.2912652074849778e-05  -1.9314719121034346e-07  2.4643843245722530e-05  -3.0090323241248622e-05  8.0275642097716300e-07  1.0259713320937817e-07  1.7289823749637987e-07  2.0475673374599322e-07  -5.5199718676940971e-07  -4.3919083081546675e-08  -2.8456906709170690e-08  -9.6861323305189614e-08  5.3773182548672767e-07  -1.5076785629465023e-07
1.0399999999999800e+01  2.5141389412011136e-05  2.9581218470011477e-05  3.2550424948554703e-05  4.2723754185245823e-07  -2.0649317733890561e-05  -1.3739890626811748e-07  -2.2365233940259031e-05  -4.5989341411099315e-07  2.4005256836047287e-05  -2.9604449666170337e-05  4.6149837820913962e-07  3.0770632722914799e-07  3.5866482061074328e-07  1.4360522805454916e-07  -3.7630337660482479e-07  1.1635431218039237e-08  -2.0259244936734845e-07  7.9705129740175509e-08  4.1904089457029409e-07  -2.8941016103985973e-07
1.1199999999999800e+01  2.4670337267139902e-05  2.8773224240871264e-05  3.1712611666794103e-05  4.6858085095318951e-07  -2.0196323219727168e-05  -1.3638121111604585e-07  -2.1548426637751661e-05  -3.7858821301448043e-07  2.3687247647528629e-05  -2.8807014346221043e-05  1.3377432977451845e-07  2.2582356875300416e-07  3.3874477704275732e-07  -3.9897102131836942e-08  -1.7362884597074316e-07  -1.8609713400750766e-08  -6.6237371103219046e-08  9.6527448526684728e-08  3.1334890481896855e-07  -2.4028026254941244e-07
1.1999999999999799e+01  2.3173531688012787e-05  2.8166230787819063e-05  3.1018553686643714e-05  3.1187332094248808e-07  -1.9021900059435711e-05  2.2859696005558803e-09  -2.0905795625957767e-05  -2.5968847180674724e-07  2.2385495173514110e-05  -2.8089439012825213e-05  -8.1929430930737289e-08  8.6982658086548591e-08  1.6648666602203782e-07  3.5151829283085595e-08  5.2046184130355380e-08  5.2415137861864895e-10  4.5272362411291803e-08  -5.7735236640882442e-08  -9.9968230331739315e-08  -9.3726225968214454e-08
1.2799999999999800e+01  2.2841532773009575e-05  2.7565309119104084e-05  3.0445955546572814e-05  6.4062702328988510e-07  -1.8556368205670912e-05  -1.3343694381713622e-07  -2.0376108031571301e-05  -4.8263356463199610e-07  2.1498743434282803e-05  -2.7600380545212492e-05  -8.3438106850255327e-07  4.8346031152723495e-07  5.0280339913531587e-07  -1.1386399864290918e-07  5.4298683148845374e-07  7.4765457346676038e-08  -4.3091987958440549e-07  1.6503729900156950e-07  -5.6470051107930528e-07  -4.2010620593528295e-07
1.3599999999999801e+01  2.2586788029699072e-05  2.6676416528519423e-05  2.9486990539891005e-05  6.2545492865147598e-07  -1.8247938533432621e-05  -1.5333111774097933e-07  -1.9555991949700722e-05  -6.5186673950066424e-07  2.1138215623862505e-05  -2.6736617868448794e-05  -8.8181004346237440e-07  3.4175057825374818e-07  3.7665118531401162e-07  -7.1075415024895664e-09  7.0658838303875413e-07  -2.9475134215121646e-08  -2.3829310171791143e-07  6.7857607741912018e-08  -7.7326424067408359e-07  -3.6479944168815622e-07
1.4399999999999700e+01  2.1754090598149061e-05  2.6034916331484813e-05  2.8809761638950017e-05  4.5865069996375603e-07  -1.7601080563718789e-05  -5.0153101327355346e-08  -1.8852297629689884e-05  -5.6189732017037971e-07  2.0551284539145823e-05  -2.6016714677487894e-05  -3.4366795021099959e-07  2.5972174131262214e-07  3.8792590901762420e-07  2.0061195242722715e-07  4.0087514879138013e-07  -1.1228387627241174e-07  -1.6503166301710529e-07  -2.0001185132946241e-07  -6.6847421243636859e-07  -3.5652204289469985e-07
1.5199999999999701e+01  2.0923700996869285e-05  2.5607904222836530e-05  2.8374063531811495e-05  4.7591566272918227e-07  -1.6923413320157123e-05  -1.2760926492177005e-09  -1.8399978870800983e-05  -5.5158634590133015e-07  1.9704336978904507e-05  -2.5551309623119237e-05  -6.5761066138611148e-07  3.2626564369959394e-07  3.7499094617604033e-07  -8.0752226195088688e-08  4.4007017425853022e-07  1.1140002053493386e-07  -1.3616597649587669e-07  3.4501571780298344e-08  -4.6019279180425583e-07  -2.3055741576093823e-07
