NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.501546e+01        2.438321e+01        
2                   8.703714e+00        8.387510e+00        
3                   3.309678e+00        3.175887e+00        
4                   1.298437e+00        1.243886e+00        
5                   5.154939e-01        4.935306e-01        
6                   2.056171e-01        1.968241e-01        
7                   8.216944e-02        7.865987e-02        
8                   3.286355e-02        3.146422e-02        
9                   1.315255e-02        1.259103e-02        
10                  5.276321e-03        5.039684e-03        
11                  2.145739e-03        2.017484e-03        
12                  9.401614e-04        8.077362e-04        
