# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  2.5017723768494432e-01  2.5000000000000000e-01
8.0000000000000004e-01  2.5017084132146938e-01  2.5000000000000000e-01
1.6000000000000001e+00  2.5017153201710446e-01  2.5000000000000000e-01
2.3999999999999901e+00  2.5017773322184267e-01  2.5000000000000000e-01
3.1999999999999802e+00  2.5017014720423969e-01  2.5000000000000000e-01
3.9999999999999600e+00  2.5014889606706270e-01  2.5000000000000000e-01
4.7999999999999403e+00  2.5014205513753157e-01  2.5000000000000000e-01
5.5999999999999304e+00  2.5014454671379432e-01  2.5000000000000000e-01
6.3999999999999098e+00  2.5014107675156461e-01  2.5000000000000000e-01
7.1999999999998900e+00  2.5013853434579181e-01  2.5000000000000000e-01
7.9999999999998703e+00  2.5013530433536496e-01  2.5000000000000000e-01
8.7999999999998604e+00  2.5013147725632323e-01  2.5000000000000000e-01
9.5999999999998398e+00  2.5012780029978171e-01  2.5000000000000000e-01
1.0399999999999800e+01  2.5012405711379515e-01  2.5000000000000000e-01
1.1199999999999800e+01  2.5012078670069215e-01  2.5000000000000000e-01
1.1999999999999799e+01  2.5011781875937389e-01  2.5000000000000000e-01
1.2799999999999800e+01  2.5011472146578367e-01  2.5000000000000000e-01
1.3599999999999801e+01  2.5011152043720547e-01  2.5000000000000000e-01
1.4399999999999700e+01  2.5010851528935629e-01  2.5000000000000000e-01
1.5199999999999701e+01  2.5010585533481750e-01  2.5000000000000000e-01
1.5999999999999700e+01  2.5010334456549477e-01  2.5000000000000000e-01
1.6799999999999802e+01  2.5010062455635274e-01  2.5000000000000000e-01
1.7600000000000001e+01  2.5009765611369061e-01  2.5000000000000000e-01
1.8400000000000102e+01  2.5009476229968830e-01  2.5000000000000000e-01
1.9200000000000198e+01  2.5009220157626783e-01  2.5000000000000000e-01
2.0000000000000298e+01  2.5008979499457556e-01  2.5000000000000000e-01
2.0800000000000502e+01  2.5008717182545465e-01  2.5000000000000000e-01
2.1600000000000598e+01  2.5008425067649254e-01  2.5000000000000000e-01
2.2400000000000698e+01  2.5008129072149943e-01  2.5000000000000000e-01
2.3200000000000799e+01  2.5007859916231329e-01  2.5000000000000000e-01
2.4000000000000998e+01  2.5007610522215290e-01  2.5000000000000000e-01
2.4800000000001098e+01  2.5007340561104069e-01  2.5000000000000000e-01
2.5600000000001199e+01  2.5007041079341463e-01  2.5000000000000000e-01
2.6400000000001299e+01  2.5006747843449306e-01  2.5000000000000000e-01
2.7200000000001499e+01  2.5006484541745072e-01  2.5000000000000000e-01
2.8000000000001599e+01  2.5006229336094943e-01  2.5000000000000000e-01
2.8800000000001699e+01  2.5005947489390024e-01  2.5000000000000000e-01
2.9600000000001799e+01  2.5005639675025249e-01  2.5000000000000000e-01
3.0400000000001999e+01  2.5005339258086579e-01  2.5000000000000000e-01
3.1200000000002099e+01  2.5005065960175588e-01  2.5000000000000000e-01
3.2000000000002203e+01  2.5004799802415156e-01  2.5000000000000000e-01
3.2800000000002001e+01  2.5004509904899241e-01  2.5000000000000000e-01
3.3600000000001899e+01  2.5004195356326070e-01  2.5000000000000000e-01
3.4400000000001697e+01  2.5003884363390494e-01  2.5000000000000000e-01
3.5200000000001602e+01  2.5003592460914320e-01  2.5000000000000000e-01
3.6000000000001400e+01  2.5003299509732196e-01  2.5000000000000000e-01
3.6800000000001198e+01  2.5002983718842714e-01  2.5000000000000000e-01
3.7600000000001103e+01  2.5002643582503448e-01  2.5000000000000000e-01
3.8400000000000901e+01  2.5002303347922217e-01  2.5000000000000000e-01
3.9200000000000799e+01  2.5001997011435179e-01  2.5000000000000000e-01
4.0000000000000597e+01  2.5001693294580968e-01  2.5000000000000000e-01
4.0800000000000502e+01  2.5001332667348919e-01  2.5000000000000000e-01
4.1600000000000300e+01  2.5000942739478943e-01  2.5000000000000000e-01
4.2400000000000098e+01  2.5000583398106407e-01  2.5000000000000000e-01
4.3200000000000003e+01  2.5000254858325227e-01  2.5000000000000000e-01
4.3999999999999801e+01  2.4999915680683718e-01  2.5000000000000000e-01
4.4799999999999699e+01  2.4999526739709357e-01  2.5000000000000000e-01
4.5599999999999497e+01  2.4999114437921394e-01  2.5000000000000000e-01
4.6399999999999302e+01  2.4998741627880983e-01  2.5000000000000000e-01
4.7199999999999200e+01  2.4998386228009303e-01  2.5000000000000000e-01
4.7999999999998998e+01  2.4997989486885966e-01  2.5000000000000000e-01
4.8799999999998903e+01  2.4997567292399495e-01  2.5000000000000000e-01
4.9599999999998701e+01  2.4997154558494980e-01  2.5000000000000000e-01
5.0399999999998499e+01  2.4996745937452924e-01  2.5000000000000000e-01
5.1199999999998397e+01  2.4996329143030876e-01  2.5000000000000000e-01
5.1999999999998202e+01  2.4995903953201756e-01  2.5000000000000000e-01
5.2799999999998100e+01  2.4995470229091610e-01  2.5000000000000000e-01
5.3599999999997898e+01  2.4995024750671396e-01  2.5000000000000000e-01
5.4399999999997704e+01  2.4994574018960997e-01  2.5000000000000000e-01
5.5199999999997601e+01  2.4994119954216118e-01  2.5000000000000000e-01
5.5999999999997399e+01  2.4993656252786650e-01  2.5000000000000000e-01
5.6799999999997297e+01  2.4993206383787989e-01  2.5000000000000000e-01
5.7599999999997102e+01  2.4992730719911885e-01  2.5000000000000000e-01
5.8399999999997000e+01  2.4992164943122566e-01  2.5000000000000000e-01
5.9199999999996798e+01  2.4991651074096541e-01  2.5000000000000000e-01
5.9999999999996597e+01  2.4991267392636204e-01  2.5000000000000000e-01
6.0799999999996501e+01  2.4990775669529630e-01  2.5000000000000000e-01
6.1599999999996299e+01  2.4990163392184520e-01  2.5000000000000000e-01
6.2399999999996197e+01  2.4989678746988972e-01  2.5000000000000000e-01
6.3199999999996002e+01  2.4989200984298787e-01  2.5000000000000000e-01
6.3999999999995801e+01  2.4988565184783043e-01  2.5000000000000000e-01
6.4799999999996203e+01  2.4987983317387163e-01  2.5000000000000000e-01
6.5599999999996697e+01  2.4987515472357630e-01  2.5000000000000000e-01
6.6399999999997107e+01  2.4986978433007861e-01  2.5000000000000000e-01
6.7199999999997502e+01  2.4986376474087985e-01  2.5000000000000000e-01
6.7999999999997897e+01  2.4985797548917221e-01  2.5000000000000000e-01
6.8799999999998306e+01  2.4985218503257431e-01  2.5000000000000000e-01
6.9599999999998701e+01  2.4984620709554639e-01  2.5000000000000000e-01
7.0399999999999096e+01  2.4984012263295111e-01  2.5000000000000000e-01
7.1199999999999505e+01  2.4983375326718327e-01  2.5000000000000000e-01
7.1999999999999901e+01  2.4982773945153217e-01  2.5000000000000000e-01
7.2800000000000296e+01  2.4982220272231798e-01  2.5000000000000000e-01
7.3600000000000705e+01  2.4981557123760179e-01  2.5000000000000000e-01
7.4400000000001199e+01  2.4980830744022003e-01  2.5000000000000000e-01
7.5200000000001594e+01  2.4980193162423661e-01  2.5000000000000000e-01
7.6000000000002004e+01  2.4979542780270222e-01  2.5000000000000000e-01
7.6800000000002399e+01  2.4978879891307670e-01  2.5000000000000000e-01
7.7600000000002794e+01  2.4978283469902257e-01  2.5000000000000000e-01
7.8400000000003203e+01  2.4977589949531825e-01  2.5000000000000000e-01
7.9200000000003598e+01  2.4976813557733710e-01  2.5000000000000000e-01
8.0000000000003993e+01  2.4976122230211500e-01  2.5000000000000000e-01
8.0800000000004403e+01  2.4975447581512930e-01  2.5000000000000000e-01
8.1600000000004798e+01  2.4974723215289643e-01  2.5000000000000000e-01
8.2400000000005207e+01  2.4973988591821827e-01  2.5000000000000000e-01
8.3200000000005701e+01  2.4973257442083993e-01  2.5000000000000000e-01
8.4000000000006096e+01  2.4972527923258869e-01  2.5000000000000000e-01
8.4800000000006506e+01  2.4971786567408752e-01  2.5000000000000000e-01
8.5600000000006901e+01  2.4971023655498245e-01  2.5000000000000000e-01
8.6400000000007296e+01  2.4970251060126397e-01  2.5000000000000000e-01
8.7200000000007705e+01  2.4969481984903183e-01  2.5000000000000000e-01
8.8000000000008100e+01  2.4968713799173786e-01  2.5000000000000000e-01
8.8800000000008495e+01  2.4967931104078228e-01  2.5000000000000000e-01
8.9600000000008905e+01  2.4967128313717019e-01  2.5000000000000000e-01
9.0400000000009300e+01  2.4966320381549656e-01  2.5000000000000000e-01
9.1200000000009794e+01  2.4965514022435731e-01  2.5000000000000000e-01
9.2000000000010203e+01  2.4964700699567927e-01  2.5000000000000000e-01
9.2800000000010598e+01  2.4963884874093353e-01  2.5000000000000000e-01
9.3600000000010994e+01  2.4963065894018188e-01  2.5000000000000000e-01
9.4400000000011403e+01  2.4962221671069418e-01  2.5000000000000000e-01
9.5200000000011798e+01  2.4961358259415439e-01  2.5000000000000000e-01
9.6000000000012193e+01  2.4960508764862899e-01  2.5000000000000000e-01
9.6800000000012602e+01  2.4959665399842210e-01  2.5000000000000000e-01
9.7600000000012997e+01  2.4958795064490610e-01  2.5000000000000000e-01
9.8400000000013407e+01  2.4957910411911760e-01  2.5000000000000000e-01
9.9200000000013802e+01  2.4957044842059914e-01  2.5000000000000000e-01
1.0000000000001400e+02  2.4956184135214590e-01  2.5000000000000000e-01
1.0080000000001500e+02  2.4955296522540529e-01  2.5000000000000000e-01
1.0160000000001500e+02  2.4954388915269390e-01  2.5000000000000000e-01
1.0240000000001500e+02  2.4953477473352423e-01  2.5000000000000000e-01
1.0320000000001600e+02  2.4952565757237988e-01  2.5000000000000000e-01
1.0400000000001600e+02  2.4951666143387607e-01  2.5000000000000000e-01
1.0480000000001699e+02  2.4950776346388326e-01  2.5000000000000000e-01
1.0560000000001700e+02  2.4949874532305938e-01  2.5000000000000000e-01
1.0640000000001800e+02  2.4948961364368724e-01  2.5000000000000000e-01
1.0720000000001799e+02  2.4948038149202656e-01  2.5000000000000000e-01
1.0800000000001801e+02  2.4947088672227066e-01  2.5000000000000000e-01
1.0880000000001900e+02  2.4946133507848320e-01  2.5000000000000000e-01
1.0960000000001899e+02  2.4945213478682224e-01  2.5000000000000000e-01
1.1040000000002000e+02  2.4944312868957091e-01  2.5000000000000000e-01
1.1120000000002000e+02  2.4943386095707432e-01  2.5000000000000000e-01
1.1200000000001999e+02  2.4942433267579470e-01  2.5000000000000000e-01
1.1280000000002100e+02  2.4941485063691976e-01  2.5000000000000000e-01
1.1360000000002100e+02  2.4940547148943107e-01  2.5000000000000000e-01
1.1440000000002200e+02  2.4939605036346724e-01  2.5000000000000000e-01
1.1520000000002200e+02  2.4938658162628882e-01  2.5000000000000000e-01
1.1600000000002200e+02  2.4937713925486193e-01  2.5000000000000000e-01
1.1680000000002300e+02  2.4936770171186684e-01  2.5000000000000000e-01
1.1760000000002300e+02  2.4935826793572299e-01  2.5000000000000000e-01
1.1840000000002399e+02  2.4934882510808859e-01  2.5000000000000000e-01
1.1920000000002400e+02  2.4933927636853409e-01  2.5000000000000000e-01
1.2000000000002400e+02  2.4932977840698453e-01  2.5000000000000000e-01
1.2080000000002499e+02  2.4932054306654675e-01  2.5000000000000000e-01
1.2160000000002501e+02  2.4931123908911440e-01  2.5000000000000000e-01
1.2240000000002600e+02  2.4930163830474858e-01  2.5000000000000000e-01
1.2320000000002599e+02  2.4929219245604564e-01  2.5000000000000000e-01
1.2400000000002700e+02  2.4928301962567029e-01  2.5000000000000000e-01
1.2480000000002700e+02  2.4927361917399685e-01  2.5000000000000000e-01
1.2560000000002699e+02  2.4926403135535868e-01  2.5000000000000000e-01
1.2640000000002800e+02  2.4925486603253399e-01  2.5000000000000000e-01
1.2720000000002800e+02  2.4924600064877192e-01  2.5000000000000000e-01
