# time  f_op  f_geo  geo_trustworthy  max_local_speed  superluminal_fraction  max_shift  structure_coherence  reachable  n_rays  n_reached  max_h_rel_drift  f_geo_evol  f_geo_evol_ok
0.0000000000000000e+00  0.0000000000000000e+00  1.6180275448424768e-04  1  1.0128404853167163e+00  0.0000000000000000e+00  0.0000000000000000e+00  nan  1  5  5  1.1908216365056804e-04  0.0000000000000000e+00  0
8.0000000000000004e-01  0.0000000000000000e+00  1.7027302478359963e-04  1  1.0129336005516740e+00  0.0000000000000000e+00  6.8386039803435930e-05  nan  1  5  5  1.1617369627627106e-04  0.0000000000000000e+00  0
1.6000000000000001e+00  0.0000000000000000e+00  1.7891062403191998e-04  1  1.0133105670046338e+00  0.0000000000000000e+00  2.4981380303649715e-04  nan  1  5  5  1.2293713137940407e-04  0.0000000000000000e+00  0
2.3999999999999901e+00  0.0000000000000000e+00  1.7767561707287484e-04  1  1.0128953913394685e+00  0.0000000000000000e+00  1.1106836195811740e-04  nan  1  5  5  1.1411184922590732e-04  0.0000000000000000e+00  0
3.1999999999999802e+00  0.0000000000000000e+00  1.8119639511556446e-04  1  1.0128355233592130e+00  0.0000000000000000e+00  1.4142549411095022e-04  nan  1  5  5  1.1593373444700689e-04  0.0000000000000000e+00  0
3.9999999999999600e+00  0.0000000000000000e+00  1.7475444655369441e-04  1  1.0126680540082893e+00  0.0000000000000000e+00  1.1453151754952048e-04  nan  1  5  5  1.1721994122667575e-04  0.0000000000000000e+00  0
4.7999999999999403e+00  0.0000000000000000e+00  1.6814384703220693e-04  1  1.0128494222177404e+00  0.0000000000000000e+00  7.5865447457820653e-05  nan  1  5  5  1.1707640551422173e-04  0.0000000000000000e+00  0
5.5999999999999304e+00  0.0000000000000000e+00  1.7499583420973092e-04  1  1.0129133412183007e+00  0.0000000000000000e+00  6.7910222350500769e-05  nan  1  5  5  1.1720713690701817e-04  0.0000000000000000e+00  0
6.3999999999999098e+00  0.0000000000000000e+00  1.8774752847283691e-04  1  1.0129296470216842e+00  0.0000000000000000e+00  4.8166821480700053e-05  nan  1  5  5  1.1527123148845113e-04  0.0000000000000000e+00  0
7.1999999999998900e+00  0.0000000000000000e+00  1.9639206133508714e-04  1  1.0128798149542395e+00  0.0000000000000000e+00  4.1482094988310783e-05  nan  1  5  5  1.1626971876293545e-04  0.0000000000000000e+00  0
7.9999999999998703e+00  0.0000000000000000e+00  1.9860411520738409e-04  1  1.0128624655362157e+00  0.0000000000000000e+00  4.5664448270251880e-05  nan  1  5  5  1.1837764042744065e-04  0.0000000000000000e+00  0
8.7999999999998604e+00  0.0000000000000000e+00  1.9983839896567067e-04  1  1.0128682191348370e+00  0.0000000000000000e+00  4.1417088884482768e-05  nan  1  5  5  1.1795674479703017e-04  0.0000000000000000e+00  0
9.5999999999998398e+00  0.0000000000000000e+00  2.0482365197866450e-04  1  1.0128779267738366e+00  0.0000000000000000e+00  3.9555504301281090e-05  nan  1  5  5  1.1663256094048676e-04  0.0000000000000000e+00  0
1.0399999999999800e+01  0.0000000000000000e+00  2.1098897754034948e-04  1  1.0128898073449146e+00  0.0000000000000000e+00  4.3525809240570531e-05  nan  1  5  5  1.1681320748808488e-04  0.0000000000000000e+00  0
1.1199999999999800e+01  0.0000000000000000e+00  2.1419190213170202e-04  1  1.0128912348552763e+00  0.0000000000000000e+00  5.1464045451969649e-05  nan  1  5  5  1.1725140531943785e-04  0.0000000000000000e+00  0
1.1999999999999799e+01  0.0000000000000000e+00  2.1493181345329696e-04  1  1.0128832382939037e+00  0.0000000000000000e+00  5.8752599572424664e-05  nan  1  5  5  1.1787349571174002e-04  0.0000000000000000e+00  0
1.2799999999999800e+01  0.0000000000000000e+00  2.1645491293477269e-04  1  1.0128863781190618e+00  0.0000000000000000e+00  6.0841058275775477e-05  nan  1  5  5  1.1785454448431259e-04  0.0000000000000000e+00  0
