# time  core_x_canon  core_y_canon  core_z_canon  peak_canon  core_x_phantom  core_y_phantom  core_z_phantom  peak_phantom  coord_sep  proper_sep  px_canon  px_phantom  px_total  shift_x_canon  shift_x_phantom  max_abs_shift
0.0000000000000000e+00  3.5999838562573970e+01  3.1999537258833978e+01  3.1999537258833978e+01  2.4513509394667749e-02  2.8000843068862888e+01  3.2000467352503989e+01  3.2000467352503989e+01  2.4437204460887266e-02  7.9989954937110817e+00  7.4993098955975217e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
8.0000000000000004e-01  3.5999919949576942e+01  3.1999469331894574e+01  3.1999469331913012e+01  2.4580925586749677e-02  2.8001116149870601e+01  3.2000541971488730e+01  3.2000541971484921e+01  2.4501595485226041e-02  7.9988037997063408e+00  7.4994120570630161e+00  6.7911037337677373e-07  4.9196864348232841e-06  -4.2405760614465100e-06  -2.8291639194179947e-05  3.6380867538994873e-05  7.5548909013867070e-05
1.6000000000000001e+00  3.6000058960917251e+01  3.1999220722841834e+01  3.1999220722940485e+01  2.4523334865894239e-02  2.8001849948738311e+01  3.2000789242256317e+01  3.2000789242222126e+01  2.4433120306744154e-02  7.9982090121789398e+00  8.0017831689574681e+00  1.8491649141254096e-06  9.3634027930618252e-06  -7.5142378789364156e-06  -1.6648529048951863e-04  1.0691637494894324e-04  3.1309489438395403e-04
2.3999999999999901e+00  3.6000216226682916e+01  3.1998887656789542e+01  3.1998887656962879e+01  2.4463474207688560e-02  2.8002767120473443e+01  3.2001111145960778e+01  3.2001111145861479e+01  2.4297118906065389e-02  7.9974491062094728e+00  8.4988627726783541e+00  3.4834926859087984e-06  1.3340274180188161e-05  -9.8567814942793627e-06  -5.6728819082547769e-05  1.4255220910862545e-05  1.2770901394891645e-04
3.1999999999999802e+00  3.6000935367778794e+01  3.1998290019599057e+01  3.1998290019862111e+01  2.4567574650008098e-02  2.8003741713541856e+01  3.2001370110070319e+01  3.2001370109885251e+01  2.4363583992127690e-02  7.9971936542369377e+00  8.0012331352648793e+00  5.1470925327735662e-06  1.7245260737479525e-05  -1.2098168204705959e-05  7.5289073012525283e-05  -4.3205515774836900e-05  1.5107211481067134e-04
3.9999999999999600e+00  3.6001477597025676e+01  3.1998170429471291e+01  3.1998170429826146e+01  2.4588607333979110e-02  2.8005029572982778e+01  3.2001728607027090e+01  3.2001728606772708e+01  2.4418658246189426e-02  7.9964480240428983e+00  8.0012095749754550e+00  6.6186198366492939e-06  2.1311642941941626e-05  -1.4693023105292332e-05  4.9806069948641639e-07  1.7139524280180481e-05  1.2537479037691762e-04
4.7999999999999403e+00  3.6001356026014662e+01  3.1997802786089846e+01  3.1997802786515809e+01  2.4515746700915581e-02  2.8006543986776212e+01  3.2002183856948257e+01  3.2002183856548811e+01  2.4423451816351624e-02  7.9948120392384503e+00  8.0011019970615536e+00  8.1209407299748861e-06  2.5343781201345655e-05  -1.7222840471370769e-05  -1.2045751947443317e-07  2.7603430608024576e-05  8.8564794346982100e-05
5.5999999999999304e+00  3.6001828851643090e+01  3.1997436530367299e+01  3.1997436530941268e+01  2.4468555796404671e-02  2.8007942860518959e+01  3.2002550705270380e+01  3.2002550704622486e+01  2.4442737532866157e-02  7.9938859911241309e+00  8.0009357316724206e+00  9.7195580271430736e-06  2.9276243651489933e-05  -1.9556685624346862e-05  -2.5685281443118270e-05  2.4763633330495662e-05  7.5816091330392556e-05
6.3999999999999098e+00  3.6002371721350322e+01  3.1997135466575582e+01  3.1997135467387260e+01  2.4489078970310652e-02  2.8009245780264930e+01  3.2002835532588684e+01  3.2002835531683246e+01  2.4445458683085536e-02  7.9931259410853919e+00  8.0007850852348774e+00  1.1308470960502597e-05  3.3232625959253469e-05  -2.1924154998750870e-05  -5.0995675648959846e-06  -1.9858730836417958e-06  6.2185731643509627e-05
7.1999999999998900e+00  3.6003021802003026e+01  3.1996762706883828e+01  3.1996762707979840e+01  2.4534068362132760e-02  2.8010791566095477e+01  3.2003184265470111e+01  3.2003184264292031e+01  2.4417086687575168e-02  7.9922302359075488e+00  8.0007497441443931e+00  1.2872649819508815e-05  3.7211421603755346e-05  -2.4338771784246531e-05  1.6445979443026625e-05  1.1408800108356439e-05  5.5857242277034566e-05
7.9999999999998703e+00  3.6003764943711445e+01  3.1996239091308851e+01  3.1996239092726281e+01  2.4552422415349245e-02  2.8012823558511979e+01  3.2003694637808948e+01  3.2003694636355348e+01  2.4398535735946480e-02  7.9909413851994664e+00  8.0007333668743268e+00  1.4496151065258267e-05  4.1107305635746290e-05  -2.6611154570488021e-05  2.0868414256349218e-06  3.6120050640030099e-05  5.0813643246766083e-05
8.7999999999998604e+00  3.6004579613595943e+01  3.1995646794557398e+01  3.1995646796367119e+01  2.4524140975932668e-02  2.8015154543283149e+01  3.2004290802102396e+01  3.2004290800359463e+01  2.4406560496314390e-02  7.9894250703127945e+00  8.0006827600978454e+00  1.6274364419383870e-05  4.4852139539940004e-05  -2.8577775120556134e-05  -1.3276757746366174e-05  3.8298239018425046e-05  4.7470130002364049e-05
9.5999999999998398e+00  3.6005477469127854e+01  3.1995106658642904e+01  3.1995106660925178e+01  2.4491063831318834e-02  2.8017454836023727e+01  3.2004834779800817e+01  3.2004834777727091e+01  2.4423366622461962e-02  7.9880226331041264e+00  8.0006289822751615e+00  1.8199339630953518e-05  4.8517169372686425e-05  -3.0317829741732907e-05  -2.1396174684790477e-05  3.3022618340952134e-05  4.4169296500829060e-05
