time  net_outward_flux  psi4_boundary_amp
1.3599999999999801e+01  -1.2110932749407071e-16  1.3100900873527341e-06
1.4399999999999700e+01  1.0334118341734416e-16  1.9694201808837214e-06
0.0000000000000000e+00  0.0000000000000000e+00  3.4691813128125925e-05
8.0000000000000004e-01  -1.2871389061446993e-16  1.4234351625137509e-07
1.6000000000000001e+00  -8.6153218526054362e-17  1.6327485919597518e-07
2.3999999999999901e+00  6.8980210999826692e-17  1.8915053190796608e-07
3.1999999999999802e+00  1.4283272464705337e-16  2.0276071001405760e-07
3.9999999999999600e+00  4.8787697032423167e-17  2.0631481931334034e-07
4.7999999999999403e+00  -9.4307225893380543e-17  1.9895036909051172e-07
5.5999999999999304e+00  -1.0573091193811747e-16  1.8525677492477305e-07
6.3999999999999098e+00  3.2636240160380548e-17  1.6540609197124692e-07
7.1999999999998900e+00  1.4814763784099236e-16  1.4361851784440231e-07
7.9999999999998703e+00  9.3085915984825031e-17  1.2556143480985869e-07
8.7999999999998604e+00  -6.4809378637482477e-17  1.1223412809148628e-07
9.5999999999998398e+00  -1.2418510134686157e-16  1.0331915314848015e-07
1.0399999999999800e+01  -6.9700764827454637e-18  9.6835991055295848e-08
1.1199999999999800e+01  1.3980282227616605e-16  9.2413506310281289e-08
1.1999999999999799e+01  1.1806334166977922e-16  8.9697322112370503e-08
1.2799999999999800e+01  -1.8761847608576247e-17  8.7278225422415243e-08
1.5199999999999701e+01  3.3625035543476109e-16  2.9910584641803949e-06
1.5199999999999701e+01  1.0309395541331206e-15  8.5679043528274047e-08
1.5999999999999700e+01  5.0707677549602940e-15  9.3363824255556628e-08
1.5999999999999700e+01  1.1133648526803923e-15  3.8002630958623680e-06
1.6799999999999802e+01  2.4114417858698219e-14  1.0253301216231364e-07
1.6799999999999802e+01  1.3050671775356691e-14  4.2601625183478994e-06
1.7600000000000001e+01  1.3684827763276603e-13  8.9510317887342170e-08
1.8400000000000102e+01  2.5528852452386292e-13  9.5896243911510215e-08
1.9200000000000198e+01  1.2099849085554128e-12  1.0756767220876361e-07
2.0000000000000298e+01  3.8767175848434944e-12  1.1291696192405925e-07
2.0800000000000502e+01  5.4156028494869013e-12  1.1862991027110875e-07
2.1600000000000598e+01  2.1484515532771408e-11  1.1579816971511852e-07
2.2400000000000698e+01  2.9724190798301447e-11  1.1373157432470940e-07
2.3200000000000799e+01  5.5884706478197475e-11  1.1439582293109495e-07
2.4000000000000998e+01  1.1737903191642653e-10  1.4257852023584230e-07
2.4800000000001098e+01  1.4163400102405796e-10  1.7323397428871310e-07
2.5600000000001199e+01  4.9945646436072631e-10  2.8746266618018195e-07
2.6400000000001299e+01  6.6304081120029636e-10  6.1330326557104654e-07
2.7200000000001499e+01  2.2699697737254434e-09  1.0517473094033474e-06
2.8000000000001599e+01  3.1595905613259791e-09  1.3616841135920363e-06
2.8800000000001699e+01  7.8589414647589136e-09  1.2353234685845290e-06
2.9600000000001799e+01  9.2836697881617844e-09  6.5579600782405332e-07
3.0400000000001999e+01  1.9494811521163093e-08  2.5671091800531203e-07
