# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
1.3599999999999801e+01  9.2285856933610759e+00  2.4104050924330801e-02  7.2993816688981363e+00  2.9229532900671634e-01  3.1932701109601044e+01  3.1919762998185654e+01  3.1919762995909903e+01  4.7999999999999998e+00  9.3538912854782090e+00  7.2786921605344128e+00  2.9363704807865221e-01  7.2993816688981363e+00  2.9229532900671634e-01  nan  nan  1.0000000000000000e+00  9.8271456666725343e-01
1.4399999999999700e+01  9.4071352464882523e+00  2.4253524401359413e-02  7.5020366524615607e+00  2.9118836201458798e-01  3.1931213615995592e+01  3.1918431774362737e+01  3.1918431772674225e+01  4.7999999999999998e+00  9.5327126230325412e+00  7.4812054193264492e+00  2.9268628252280476e-01  7.5020366524615607e+00  2.9118836201458798e-01  nan  nan  1.0000000000000000e+00  9.8307907425058128e-01
0.0000000000000000e+00  7.8291771324466470e+00  2.4575081368984553e-02  6.6189808278891569e+00  2.7054734269194486e-01  3.1999816077338515e+01  3.1999874095109330e+01  3.1999874095109330e+01  4.7999999999999998e+00  7.9477487562053373e+00  6.6113206598506489e+00  2.7117034319687311e-01  6.6189808278891569e+00  2.7054734269194486e-01  nan  nan  1.0000000000000000e+00  9.8495866632156270e-01
8.0000000000000004e-01  7.8383771103983122e+00  2.4637538931948644e-02  6.6182742800616099e+00  2.7071025099017210e-01  3.1999771279564097e+01  3.1999844999776293e+01  3.1999844999771881e+01  4.7999999999999998e+00  7.9571145202238869e+00  6.6106149188001622e+00  2.7133364794610337e-01  6.6182742800616099e+00  2.7071025099017210e-01  nan  nan  1.0000000000000000e+00  9.8489479099059318e-01
1.6000000000000001e+00  7.8508154757183561e+00  2.4533665043785527e-02  6.6166517748458524e+00  2.7117013940917800e-01  3.1999682946011482e+01  3.1999775655583957e+01  3.1999775655545886e+01  4.7999999999999998e+00  7.9698095904798052e+00  6.6089876053915013e+00  2.7179493474977723e-01  6.6166517748458524e+00  2.7117013940917800e-01  nan  nan  1.0000000000000000e+00  9.8489525708877301e-01
2.3999999999999901e+00  7.8597037988735341e+00  2.4359074114661834e-02  6.6149362499451128e+00  2.7174649261379524e-01  3.1999626714877127e+01  3.1999699171784634e+01  3.1999699171671054e+01  4.7999999999999998e+00  7.9790217456918437e+00  6.6072416006794681e+00  2.7237512651420981e-01  6.6149362499451128e+00  2.7174649261379524e-01  nan  nan  1.0000000000000000e+00  9.8496721507136187e-01
3.1999999999999802e+00  7.8622330179409232e+00  2.4351497531194859e-02  6.6130499208674651e+00  2.7249100577644708e-01  3.1999649301814646e+01  3.1999653094964593e+01  3.1999653094750315e+01  4.7999999999999998e+00  7.9818404509262013e+00  6.6053158417707083e+00  2.7312433688265342e-01  6.6130499208674651e+00  2.7249100577644708e-01  nan  nan  1.0000000000000000e+00  9.8495994178109059e-01
3.9999999999999600e+00  7.8625954162355356e+00  2.4411809708005647e-02  6.6099633842360905e+00  2.7359625237629071e-01  3.1999680208307471e+01  3.1999594972865832e+01  3.1999594972552885e+01  4.7999999999999998e+00  7.9823849575263326e+00  6.6022108894100136e+00  2.7423265813188880e-01  6.6099633842360905e+00  2.7359625237629071e-01  nan  nan  1.0000000000000000e+00  9.8494955750046098e-01
4.7999999999999403e+00  7.8655843270023809e+00  2.4477648965066909e-02  6.6051912318233139e+00  2.7509799347893632e-01  3.1999594984800893e+01  3.1999430780941282e+01  3.1999430780550632e+01  4.7999999999999998e+00  7.9854942301647807e+00  6.5974392882528168e+00  2.7573727994455166e-01  6.6051912318233139e+00  2.7509799347893632e-01  nan  nan  1.0000000000000000e+00  9.8506237048491074e-01
5.5999999999999304e+00  7.8712843020804684e+00  2.4533945019882802e-02  6.5993182451069528e+00  2.7685284968780072e-01  3.1999387827741227e+01  3.1999152466213751e+01  3.1999152465776209e+01  4.7999999999999998e+00  7.9913198618992860e+00  6.5915647747345760e+00  2.7749530493505553e-01  6.5993182451069528e+00  2.7685284968780072e-01  nan  nan  1.0000000000000000e+00  9.8501553209117465e-01
