# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
1.3599999999999801e+01  9.2285856933610759e+00  3.1932701109601048e+01  3.1919762998185657e+01  3.1919762995909903e+01  7.2993816688981363e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.4399999999999700e+01  9.4071352464882523e+00  3.1931213615995599e+01  3.1918431774362741e+01  3.1918431772674221e+01  7.5020366524615616e+00  0.0000000000000000e+00  nan  nan  nan  nan
0.0000000000000000e+00  7.8291771324466470e+00  3.1999816077338515e+01  3.1999874095109330e+01  3.1999874095109337e+01  6.6189808278891569e+00  0.0000000000000000e+00  nan  nan  nan  nan
8.0000000000000004e-01  7.8383771103983113e+00  3.1999771279564101e+01  3.1999844999776297e+01  3.1999844999771891e+01  6.6182742800616099e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.6000000000000001e+00  7.8508154757183561e+00  3.1999682946011482e+01  3.1999775655583953e+01  3.1999775655545886e+01  6.6166517748458533e+00  0.0000000000000000e+00  nan  nan  nan  nan
2.3999999999999901e+00  7.8597037988735332e+00  3.1999626714877131e+01  3.1999699171784638e+01  3.1999699171671057e+01  6.6149362499451128e+00  0.0000000000000000e+00  nan  nan  nan  nan
3.1999999999999802e+00  7.8622330179409232e+00  3.1999649301814653e+01  3.1999653094964593e+01  3.1999653094750311e+01  6.6130499208674651e+00  0.0000000000000000e+00  nan  nan  nan  nan
3.9999999999999600e+00  7.8625954162355356e+00  3.1999680208307471e+01  3.1999594972865832e+01  3.1999594972552885e+01  6.6099633842360905e+00  0.0000000000000000e+00  nan  nan  nan  nan
4.7999999999999403e+00  7.8655843270023809e+00  3.1999594984800893e+01  3.1999430780941278e+01  3.1999430780550625e+01  6.6051912318233139e+00  0.0000000000000000e+00  nan  nan  nan  nan
5.5999999999999304e+00  7.8712843020804684e+00  3.1999387827741224e+01  3.1999152466213751e+01  3.1999152465776209e+01  6.5993182451069528e+00  0.0000000000000000e+00  nan  nan  nan  nan
6.3999999999999098e+00  7.8759115037095029e+00  3.1999173270226656e+01  3.1998847994194591e+01  3.1998847993752374e+01  6.5930180387323141e+00  0.0000000000000000e+00  nan  nan  nan  nan
7.1999999999998900e+00  7.8770533635399698e+00  3.1998990890623592e+01  3.1998549115453283e+01  3.1998549115053205e+01  6.5859701775413049e+00  0.0000000000000000e+00  nan  nan  nan  nan
7.9999999999998703e+00  7.8771616153776609e+00  3.1998708754739816e+01  3.1998151522522061e+01  3.1998151522214570e+01  6.5771723670566447e+00  0.0000000000000000e+00  nan  nan  nan  nan
8.7999999999998604e+00  7.8803301704313249e+00  3.1998199645625551e+01  3.1997547285712823e+01  3.1997547285565474e+01  6.5663640491943358e+00  0.0000000000000000e+00  nan  nan  nan  nan
9.5999999999998398e+00  7.8869167730266447e+00  3.1997531293047818e+01  3.1996785969780984e+01  3.1996785969882939e+01  6.5544676527943917e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.0399999999999800e+01  7.8934349365459031e+00  3.1996863731335345e+01  3.1995997867576889e+01  3.1995997868028756e+01  6.5424523090506010e+00  0.0000000000000000e+00  nan  nan  nan  nan
