# time  chi_mean_R8  chi_min_R8  chi_max_R8  lapse_mean_R8  lapse_min_R8  lapse_max_R8  K_mean_R8  K_min_R8  K_max_R8  chi_mean_R16  chi_min_R16  chi_max_R16  lapse_mean_R16  lapse_min_R16  lapse_max_R16  K_mean_R16  K_min_R16  K_max_R16
1.3599999999999801e+01  9.9315863898155277e-01  9.8622453730142157e-01  9.9753765917814752e-01  9.9760446492123955e-01  9.9138448628842557e-01  1.0024723787565666e+00  -5.0497337477660204e-04  -2.1938249201754381e-03  -8.5846161569916318e-05  1.0069717042071860e+00  1.0017433856961682e+00  1.0130915590483116e+00  9.6675060206140762e-01  9.5026674661369337e-01  9.8699323775608838e-01  -4.0657578254735495e-03  -1.2555417295003918e-02  4.3484142104860159e-03
1.4399999999999700e+01  9.9322238701927157e-01  9.8639025180792328e-01  9.9781869836224291e-01  9.9814775099514752e-01  9.9319950934700174e-01  1.0034072893664070e+00  -2.3670061853763637e-04  -1.7052529147064037e-03  1.5615206021593527e-04  1.0039850382032216e+00  9.9934388288675946e-01  1.0065675503903599e+00  9.7403777723764373e-01  9.6400748897507582e-01  9.8254769685887766e-01  -5.0869014922326483e-03  -1.2319160624376740e-02  3.6668509650522253e-03
0.0000000000000000e+00  9.9415684025314177e-01  9.8844720807797082e-01  9.9515741351217535e-01  9.9655269657616630e-01  9.9305188588391946e-01  9.9707604570163588e-01  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  9.9739236379876162e-01  9.9691326873450337e-01  9.9760455107346269e-01  9.9822742811121101e-01  9.9797549912898620e-01  9.9833727390881322e-01  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
8.0000000000000004e-01  9.9415664463991960e-01  9.8846274624911024e-01  9.9515887681374449e-01  9.9655388545301637e-01  9.9323373075187182e-01  9.9707454620790115e-01  -2.3235801173728578e-06  -2.0980615422037588e-04  1.7386287982099064e-04  9.9739406671662367e-01  9.9692550296832116e-01  9.9756538008476425e-01  9.9822832971594766e-01  9.9798170556895782e-01  9.9831841267294019e-01  -1.4387301789976071e-06  -2.1336769772390419e-05  1.7027799326489555e-05
1.6000000000000001e+00  9.9415500235841237e-01  9.8846647681458499e-01  9.9515301855184846e-01  9.9655699605973913e-01  9.9351571041966613e-01  9.9707646180240095e-01  -3.7571645134786021e-06  -1.3542240616290336e-04  1.1674378888582386e-04  9.9739351734537762e-01  9.9692138423456134e-01  9.9756464789613897e-01  9.9822872928943773e-01  9.9798173052267591e-01  9.9831835942329339e-01  -9.6184987259357413e-07  -1.2212626676269423e-05  7.8265462323361361e-06
2.3999999999999901e+00  9.9415362644102323e-01  9.8854807753480156e-01  9.9514862717166219e-01  9.9656016458462904e-01  9.9360744001900969e-01  9.9707890024135670e-01  -2.4479152054159219e-06  -1.3269477252897391e-04  1.9225153922916926e-04  9.9739298722657099e-01  9.9691850158609496e-01  9.9756454731226640e-01  9.9822951900005075e-01  9.9798079046039989e-01  9.9831866969330574e-01  -1.1049169631724320e-06  -6.7550179575849511e-06  2.7608046646269292e-06
3.1999999999999802e+00  9.9415312228530728e-01  9.8870098237980220e-01  9.9514792748743486e-01  9.9656084694442315e-01  9.9342611875778686e-01  9.9707788222855187e-01  -3.1400859366660191e-06  -3.1027810232881240e-04  3.2067353504558981e-04  9.9739238175831968e-01  9.9691645985007782e-01  9.9756468306382073e-01  9.9823070569876915e-01  9.9798195896670006e-01  9.9831890100017306e-01  -1.2520478884500349e-06  -7.6493706793074891e-06  1.8166260848765758e-06
3.9999999999999600e+00  9.9414811944093950e-01  9.8869239266086406e-01  9.9514525440961543e-01  9.9656905438692112e-01  9.9345592737378596e-01  9.9707893780189893e-01  -9.9969113667873187e-06  -2.6825922657048288e-04  2.2656260791943306e-04  9.9739163802444564e-01  9.9691419537485682e-01  9.9756433568479164e-01  9.9823234647187609e-01  9.9797738657394597e-01  9.9832040757529827e-01  -1.4568579953023820e-06  -7.1730139080695853e-06  3.2536945416607876e-06
4.7999999999999403e+00  9.9414049383972780e-01  9.8866112614257262e-01  9.9512520996969056e-01  9.9658577840895357e-01  9.9361796057166218e-01  9.9711860052611057e-01  -1.4020654894130421e-05  -1.6617024968541407e-04  1.2836364995088013e-04  9.9739098905842227e-01  9.9691254040342347e-01  9.9756286800658145e-01  9.9823399363186838e-01  9.9798669893863678e-01  9.9832274339358440e-01  -1.3216809139851401e-06  -5.9901955685700031e-06  6.8985319496353169e-06
5.5999999999999304e+00  9.9413251833238747e-01  9.8872507605213655e-01  9.9512075329457028e-01  9.9660755497401121e-01  9.9364894937862758e-01  9.9714588180425068e-01  -1.5164080126736949e-05  -1.0453805299558369e-04  9.6923744908842299e-05  9.9739017444158140e-01  9.9690505851908795e-01  9.9756175460323360e-01  9.9823597230733729e-01  9.9797831628561817e-01  9.9832601290623724e-01  -1.8464820499386222e-06  -2.0476653102489457e-05  1.0681414162220640e-05
6.3999999999999098e+00  9.9412729228460206e-01  9.8878960132787552e-01  9.9516915545429208e-01  9.9662679226670237e-01  9.9363528742219964e-01  9.9713886897849269e-01  -1.2132142543189492e-05  -9.4192084820210692e-05  1.1214055936368683e-04  9.9738895724022192e-01  9.9690453973222570e-01  9.9756079761421013e-01  9.9823888163319241e-01  9.9799476888916461e-01  9.9832909336970443e-01  -2.3915988892670244e-06  -3.4846600128306463e-05  1.2995755181409477e-05
7.1999999999998900e+00  9.9412345874557495e-01  9.8882815220042142e-01  9.9516943115248957e-01  9.9664307746290914e-01  9.9364177195347803e-01  9.9715492537844053e-01  -1.1787162749625748e-05  -9.9498438475936930e-05  8.1084531023659152e-05  9.9738748987914938e-01  9.9688268842889116e-01  9.9756000117519339e-01  9.9824258629393814e-01  9.9797961098563448e-01  9.9833206556216625e-01  -2.6449627431924786e-06  -5.9909866983400218e-05  4.2141513567900407e-05
7.9999999999998703e+00  9.9411888350171318e-01  9.8883620152567087e-01  9.9510973343534892e-01  9.9666027779060351e-01  9.9370738434772077e-01  9.9716818766020809e-01  -1.2668598552483281e-05  -1.0868967162975642e-04  6.3413855087863090e-05  9.9738636931122859e-01  9.9688886805490085e-01  9.9756161582725678e-01  9.9824591107648986e-01  9.9797151963752229e-01  9.9833780163896546e-01  -2.0884431897844995e-06  -5.6531610005788156e-05  4.6137541920040041e-05
