# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  2.4927954871896735e-01  2.5000000000000000e-01
8.0000000000000004e-01  2.4928079006358819e-01  2.5000000000000000e-01
1.6000000000000001e+00  2.4928293623489889e-01  2.5000000000000000e-01
2.3999999999999901e+00  2.4928091579959230e-01  2.5000000000000000e-01
3.1999999999999802e+00  2.4927825717490334e-01  2.5000000000000000e-01
3.9999999999999600e+00  2.4928409112245789e-01  2.5000000000000000e-01
4.7999999999999403e+00  2.4928969052498295e-01  2.5000000000000000e-01
5.5999999999999304e+00  2.4928722983468277e-01  2.5000000000000000e-01
6.3999999999999098e+00  2.4928758521789290e-01  2.5000000000000000e-01
7.1999999999998900e+00  2.4928926940570420e-01  2.5000000000000000e-01
7.9999999999998703e+00  2.4929024814154696e-01  2.5000000000000000e-01
8.7999999999998604e+00  2.4929084972610407e-01  2.5000000000000000e-01
9.5999999999998398e+00  2.4929136644144526e-01  2.5000000000000000e-01
1.0399999999999800e+01  2.4929202463411285e-01  2.5000000000000000e-01
1.1199999999999800e+01  2.4929278107551572e-01  2.5000000000000000e-01
1.1999999999999799e+01  2.4929338877936344e-01  2.5000000000000000e-01
1.2799999999999800e+01  2.4929379674611435e-01  2.5000000000000000e-01
1.3599999999999801e+01  2.4929435294324778e-01  2.5000000000000000e-01
1.4399999999999700e+01  2.4929494243477096e-01  2.5000000000000000e-01
1.5199999999999701e+01  2.4929545305283163e-01  2.5000000000000000e-01
1.5999999999999700e+01  2.4929589025119567e-01  2.5000000000000000e-01
1.6799999999999802e+01  2.4929632023415380e-01  2.5000000000000000e-01
1.7600000000000001e+01  2.4929682292199823e-01  2.5000000000000000e-01
1.8400000000000102e+01  2.4929731657457346e-01  2.5000000000000000e-01
1.9200000000000198e+01  2.4929774586856895e-01  2.5000000000000000e-01
2.0000000000000298e+01  2.4929813975576237e-01  2.5000000000000000e-01
2.0800000000000502e+01  2.4929850655979033e-01  2.5000000000000000e-01
2.1600000000000598e+01  2.4929856991343488e-01  2.5000000000000000e-01
2.2400000000000698e+01  2.4929848360540308e-01  2.5000000000000000e-01
2.3200000000000799e+01  2.4929859411396180e-01  2.5000000000000000e-01
2.4000000000000998e+01  2.4929854001458246e-01  2.5000000000000000e-01
2.4800000000001098e+01  2.4929817171455504e-01  2.5000000000000000e-01
2.5600000000001199e+01  2.4929778842987385e-01  2.5000000000000000e-01
2.6400000000001299e+01  2.4929746174444845e-01  2.5000000000000000e-01
2.7200000000001499e+01  2.4929713068057113e-01  2.5000000000000000e-01
2.8000000000001599e+01  2.4929679210081968e-01  2.5000000000000000e-01
2.8800000000001699e+01  2.4929648745581953e-01  2.5000000000000000e-01
2.9600000000001799e+01  2.4929622405769741e-01  2.5000000000000000e-01
3.0400000000001999e+01  2.4929599406349148e-01  2.5000000000000000e-01
3.1200000000002099e+01  2.4929593167129918e-01  2.5000000000000000e-01
3.2000000000002203e+01  2.4929604025148475e-01  2.5000000000000000e-01
3.2800000000002001e+01  2.4929617832180642e-01  2.5000000000000000e-01
3.3600000000001899e+01  2.4929634620370458e-01  2.5000000000000000e-01
3.4400000000001697e+01  2.4929655238886450e-01  2.5000000000000000e-01
3.5200000000001602e+01  2.4929677581263623e-01  2.5000000000000000e-01
3.6000000000001400e+01  2.4929701687817293e-01  2.5000000000000000e-01
3.6800000000001198e+01  2.4929734612532364e-01  2.5000000000000000e-01
3.7600000000001103e+01  2.4929779683359624e-01  2.5000000000000000e-01
3.8400000000000901e+01  2.4929809726982138e-01  2.5000000000000000e-01
3.9200000000000799e+01  2.4929815556603213e-01  2.5000000000000000e-01
4.0000000000000597e+01  2.4929841582741383e-01  2.5000000000000000e-01
4.0800000000000502e+01  2.4929889288232429e-01  2.5000000000000000e-01
4.1600000000000300e+01  2.4929912116764541e-01  2.5000000000000000e-01
4.2400000000000098e+01  2.4929920864001015e-01  2.5000000000000000e-01
4.3200000000000003e+01  2.4929943548200773e-01  2.5000000000000000e-01
4.3999999999999801e+01  2.4929960030805551e-01  2.5000000000000000e-01
4.4799999999999699e+01  2.4929968977049380e-01  2.5000000000000000e-01
4.5599999999999497e+01  2.4929996107433983e-01  2.5000000000000000e-01
4.6399999999999302e+01  2.4930020601037037e-01  2.5000000000000000e-01
4.7199999999999200e+01  2.4930011994525433e-01  2.5000000000000000e-01
4.7999999999998998e+01  2.4930000278193240e-01  2.5000000000000000e-01
4.8799999999998903e+01  2.4930017458622408e-01  2.5000000000000000e-01
4.9599999999998701e+01  2.4930039639158733e-01  2.5000000000000000e-01
5.0399999999998499e+01  2.4930040222723424e-01  2.5000000000000000e-01
5.1199999999998397e+01  2.4930032000912614e-01  2.5000000000000000e-01
5.1999999999998202e+01  2.4930033512996028e-01  2.5000000000000000e-01
5.2799999999998100e+01  2.4930038947071828e-01  2.5000000000000000e-01
5.3599999999997898e+01  2.4930033361747880e-01  2.5000000000000000e-01
5.4399999999997704e+01  2.4930030466150438e-01  2.5000000000000000e-01
5.5199999999997601e+01  2.4930040968443545e-01  2.5000000000000000e-01
