time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  1.8278699848993661e-05
8.0000000000000004e-01  0.0000000000000000e+00  7.5572570909365082e-08
1.6000000000000001e+00  0.0000000000000000e+00  8.4338168755662191e-08
2.3999999999999901e+00  0.0000000000000000e+00  9.9106948611487906e-08
3.1999999999999802e+00  0.0000000000000000e+00  1.0590092278125372e-07
3.9999999999999600e+00  0.0000000000000000e+00  1.0741916334846177e-07
4.7999999999999403e+00  0.0000000000000000e+00  1.0335842059747611e-07
5.5999999999999304e+00  0.0000000000000000e+00  9.5800402133518505e-08
6.3999999999999098e+00  0.0000000000000000e+00  8.5198993127135154e-08
7.1999999999998900e+00  0.0000000000000000e+00  7.3787652143690888e-08
7.9999999999998703e+00  0.0000000000000000e+00  6.4442499438068803e-08
8.7999999999998604e+00  0.0000000000000000e+00  5.7482806669968813e-08
9.5999999999998398e+00  0.0000000000000000e+00  5.2806931781706701e-08
1.0399999999999800e+01  0.0000000000000000e+00  4.9566719928060135e-08
1.1199999999999800e+01  0.0000000000000000e+00  4.6595055071641619e-08
1.1999999999999799e+01  0.0000000000000000e+00  4.6733793122121641e-08
1.2799999999999800e+01  0.0000000000000000e+00  4.3216536959317005e-08
1.3599999999999801e+01  0.0000000000000000e+00  4.7600938207066069e-08
1.4399999999999700e+01  0.0000000000000000e+00  4.5345652486804343e-08
1.5199999999999701e+01  0.0000000000000000e+00  4.7832482535038634e-08
1.5999999999999700e+01  0.0000000000000000e+00  4.7631547769996754e-08
1.6799999999999802e+01  0.0000000000000000e+00  5.5115559679921305e-08
1.7600000000000001e+01  0.0000000000000000e+00  5.4588890692020787e-08
1.8400000000000102e+01  0.0000000000000000e+00  6.0454557733935059e-08
1.9200000000000198e+01  0.0000000000000000e+00  6.7059349108938046e-08
2.0000000000000298e+01  0.0000000000000000e+00  7.0428576246756538e-08
2.0800000000000502e+01  0.0000000000000000e+00  7.9271766275235397e-08
2.1600000000000598e+01  0.0000000000000000e+00  6.7202091595521993e-08
2.2400000000000698e+01  0.0000000000000000e+00  7.1097772458051978e-08
2.3200000000000799e+01  0.0000000000000000e+00  7.7426318945517888e-08
2.4000000000000998e+01  0.0000000000000000e+00  8.5293033070413805e-08
2.4800000000001098e+01  0.0000000000000000e+00  7.8582776732647108e-08
2.5600000000001199e+01  0.0000000000000000e+00  8.4347214219309869e-08
2.6400000000001299e+01  0.0000000000000000e+00  9.0394880427483855e-08
2.7200000000001499e+01  0.0000000000000000e+00  9.6782153964619754e-08
2.8000000000001599e+01  0.0000000000000000e+00  1.0098829467738727e-07
2.8800000000001699e+01  0.0000000000000000e+00  9.7127101105471116e-08
2.9600000000001799e+01  0.0000000000000000e+00  1.0405885989274529e-07
3.0400000000001999e+01  0.0000000000000000e+00  1.0562108938180847e-07
3.1200000000002099e+01  0.0000000000000000e+00  1.0444804478081524e-07
3.2000000000002203e+01  0.0000000000000000e+00  9.2880095012642690e-08
3.2800000000002001e+01  0.0000000000000000e+00  9.7898328611205256e-08
3.3600000000001899e+01  0.0000000000000000e+00  9.9004404009791503e-08
3.4400000000001697e+01  0.0000000000000000e+00  9.8378429313004644e-08
3.5200000000001602e+01  0.0000000000000000e+00  9.4975204525336942e-08
3.6000000000001400e+01  0.0000000000000000e+00  9.8747375058868831e-08
3.6800000000001198e+01  0.0000000000000000e+00  1.0810345790629762e-07
3.7600000000001103e+01  0.0000000000000000e+00  1.0218312131355132e-07
3.8400000000000901e+01  0.0000000000000000e+00  1.0944010047052990e-07
3.9200000000000799e+01  0.0000000000000000e+00  1.1327390168510106e-07
4.0000000000000597e+01  0.0000000000000000e+00  1.1689178175861754e-07
4.0800000000000502e+01  0.0000000000000000e+00  1.4021605708482401e-07
4.1600000000000300e+01  0.0000000000000000e+00  1.3981251113721675e-07
4.2400000000000098e+01  0.0000000000000000e+00  1.4084649307922818e-07
4.3200000000000003e+01  0.0000000000000000e+00  1.5438836923299000e-07
4.3999999999999801e+01  0.0000000000000000e+00  1.5123004133686985e-07
4.4799999999999699e+01  0.0000000000000000e+00  1.7536471079001963e-07
4.5599999999999497e+01  0.0000000000000000e+00  1.7206380609839255e-07
4.6399999999999302e+01  0.0000000000000000e+00  1.7842354601044614e-07
4.7199999999999200e+01  0.0000000000000000e+00  1.8795819972838820e-07
4.7999999999998998e+01  0.0000000000000000e+00  1.8716726488060304e-07
4.8799999999998903e+01  0.0000000000000000e+00  2.1969167197138753e-07
4.9599999999998701e+01  0.0000000000000000e+00  2.1533761692600109e-07
5.0399999999998499e+01  0.0000000000000000e+00  2.2368931164513021e-07
5.1199999999998397e+01  0.0000000000000000e+00  2.4506045486774545e-07
5.1999999999998202e+01  0.0000000000000000e+00  2.5232934890132305e-07
5.2799999999998100e+01  0.0000000000000000e+00  2.6773658232706968e-07
5.3599999999997898e+01  0.0000000000000000e+00  2.8122230049049275e-07
5.4399999999997704e+01  0.0000000000000000e+00  3.0242258745835948e-07
5.5199999999997601e+01  0.0000000000000000e+00  2.7346950091672937e-07
