# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  4.3914237691660931e-08  3.1561751841610135e-08  5.7306797094509787e-01  3.2922718837803915e+00  6.1482975815256968e-01
8.0000000000000004e-01  4.4403127101097996e-08  3.2902551029461877e-08  7.4013329323677546e-01  3.9605331729471018e+00  7.5755833469321943e-01
1.6000000000000001e+00  4.4725172258148518e-08  3.3143219474292983e-08  7.4380828919810615e-01  3.9752331567924246e+00  7.5858002882344766e-01
2.3999999999999901e+00  4.4831268213413828e-08  3.3207093652318900e-08  7.4411579911405967e-01  3.9764631964562387e+00  7.5917111183938613e-01
3.1999999999999802e+00  4.5698513901070259e-08  3.3857388999871415e-08  7.4381647542650309e-01  3.9752659017060124e+00  7.6142885121330528e-01
3.9999999999999600e+00  4.6105750208421095e-08  3.4134214977513590e-08  7.4346310268574933e-01  3.9738524107429973e+00  7.6080988253183057e-01
4.7999999999999403e+00  4.6492468529843375e-08  3.4469931298496963e-08  7.4457531610118410e-01  3.9783012644047364e+00  7.6554874509900261e-01
5.5999999999999304e+00  4.6599581771851602e-08  3.4544681609585303e-08  7.4395464143908008e-01  3.9758185657563203e+00  7.6235256820850417e-01
6.3999999999999098e+00  4.7165057797159529e-08  3.4977957150540254e-08  7.4446096946352025e-01  3.9778438778540810e+00  7.6385318251669576e-01
7.1999999999998900e+00  4.7649953258999258e-08  3.5316291574589134e-08  7.4392608053708398e-01  3.9757043221483359e+00  7.6503020861615911e-01
7.9999999999998703e+00  4.7658658579211923e-08  3.5371037221497000e-08  7.4495589501770221e-01  3.9798235800708088e+00  7.6682894093407150e-01
8.7999999999998604e+00  4.8124779484172743e-08  3.5688657345132451e-08  7.4387825731526014e-01  3.9755130292610406e+00  7.6292739678333632e-01
9.5999999999998398e+00  4.8231600409514519e-08  3.5793917803172747e-08  7.4441186635184919e-01  3.9776474654073968e+00  7.7018774498942266e-01
1.0399999999999800e+01  4.8343611778041271e-08  3.5882764810426912e-08  7.4622263322549576e-01  3.9848905329019830e+00  7.7645078388278588e-01
1.1199999999999800e+01  4.8642876009479054e-08  3.6103326319445228e-08  7.4377731264151159e-01  3.9751092505660464e+00  7.6806418951858568e-01
1.1999999999999799e+01  4.8806754949745912e-08  3.6236159523290703e-08  7.4420759126577618e-01  3.9768303650631047e+00  7.6268200090425931e-01
1.2799999999999800e+01  4.9050498366410749e-08  3.6418688875177274e-08  7.4490312200119790e-01  3.9796124880047916e+00  7.6611976414042415e-01
1.3599999999999801e+01  4.9900299386059746e-08  3.7059863052489416e-08  7.4622859048463652e-01  3.9849143619385461e+00  7.8032841770955741e-01
1.4399999999999700e+01  5.0038692695431689e-08  3.7171013234291341e-08  7.4461279792502721e-01  3.9784511917001089e+00  7.6865285005132400e-01
1.5199999999999701e+01  4.9945167403349511e-08  3.7102131520117394e-08  7.4452994511051129e-01  3.9781197804420452e+00  7.6046715907143791e-01
1.5999999999999700e+01  4.9963277625363572e-08  3.7120832010324675e-08  7.4541324155837285e-01  3.9816529662334914e+00  7.7378851282833050e-01
1.6799999999999802e+01  5.0068206153768133e-08  3.7202531495892049e-08  7.4460799463077609e-01  3.9784319785231044e+00  7.7557548261315845e-01
1.7600000000000001e+01  5.0393047143982365e-08  3.7447917808958157e-08  7.4513321493003004e-01  3.9805328597201202e+00  7.7022858033633135e-01
1.8400000000000102e+01  5.0662107805101208e-08  3.7653573916773524e-08  7.4566581930012699e-01  3.9826632772005079e+00  7.7709697391742871e-01
1.9200000000000198e+01  5.0872424034689080e-08  3.7813759271543155e-08  7.4558985806191358e-01  3.9823594322476543e+00  7.7891943670343666e-01
2.0000000000000298e+01  5.1079459595540866e-08  3.7970957911736053e-08  7.4462017301999750e-01  3.9784806920799900e+00  7.8413574362519312e-01
2.0800000000000502e+01  5.1263687076398518e-08  3.8111388196066972e-08  7.4473194262026521e-01  3.9789277704810608e+00  7.7549956379536245e-01
2.1600000000000598e+01  5.1442059272754463e-08  3.8248574883414293e-08  7.4582933792419037e-01  3.9833173516967615e+00  7.6090937145644633e-01
2.2400000000000698e+01  5.1590821082991297e-08  3.8360962015348650e-08  7.4556675427004748e-01  3.9822670170801899e+00  7.6415440820323388e-01
2.3200000000000799e+01  5.1728790401425833e-08  3.8466315499044542e-08  7.4516477644646151e-01  3.9806591057858460e+00  7.7549616340732375e-01
2.4000000000000998e+01  5.1892256202053616e-08  3.8591372054661230e-08  7.4555209002747092e-01  3.9822083601098837e+00  7.8126604017909274e-01
2.4800000000001098e+01  5.2070359732426988e-08  3.8725895858508677e-08  7.4532176268873118e-01  3.9812870507549247e+00  7.8284846773380801e-01
2.5600000000001199e+01  5.2256301219819034e-08  3.8866640282087069e-08  7.4530983995734967e-01  3.9812393598293987e+00  7.7971830683939647e-01
2.6400000000001299e+01  5.2438093989176745e-08  3.9004247587259297e-08  7.4556039114701278e-01  3.9822415645880511e+00  7.7670046431423512e-01
2.7200000000001499e+01  5.2611624506563707e-08  3.9135515584475201e-08  7.4549133718751648e-01  3.9819653487500659e+00  7.7613654432243662e-01
2.8000000000001599e+01  5.2782091525576137e-08  3.9264192643759951e-08  7.4548531552305597e-01  3.9819412620922239e+00  7.7595862811776573e-01
2.8800000000001699e+01  5.2948726630382114e-08  3.9389961339658096e-08  7.4554973926185697e-01  3.9821989570474279e+00  7.7675835597068477e-01
2.9600000000001799e+01  5.3112662680624059e-08  3.9513725701364013e-08  7.4555608732829382e-01  3.9822243493131753e+00  7.7827166905284506e-01
3.0400000000001999e+01  5.3277731673753081e-08  3.9637988894131457e-08  7.4557573731428017e-01  3.9823029492571207e+00  7.7946836936185770e-01
3.1200000000002099e+01  5.3446112861075400e-08  3.9764658300682167e-08  7.4554414832215199e-01  3.9821765932886080e+00  7.8005565908098162e-01
3.2000000000002203e+01  5.3615706907046801e-08  3.9892319809899172e-08  7.4548771735569708e-01  3.9819508694227883e+00  7.8026404352496448e-01
3.2800000000002001e+01  5.3783373906599741e-08  4.0018555418387097e-08  7.4552721668386746e-01  3.9821088667354698e+00  7.8035073418404421e-01
3.3600000000001899e+01  5.3950904010704750e-08  4.0144429029698543e-08  7.4556059393961371e-01  3.9822423757584549e+00  7.8047285792559928e-01
3.4400000000001697e+01  5.4120156381018410e-08  4.0271380556462450e-08  7.4564197811032884e-01  3.9825679124413154e+00  7.8068839607279261e-01
3.5200000000001602e+01  5.4289432453649356e-08  4.0398470143977979e-08  7.4586730222566422e-01  3.9834692089026569e+00  7.8094718709693278e-01
3.6000000000001400e+01  5.4457095542860468e-08  4.0523889986010527e-08  7.4569831111021334e-01  3.9827932444408534e+00  7.8115915442825468e-01
3.6800000000001198e+01  5.4623974511270720e-08  4.0648406855177776e-08  7.4543580033217394e-01  3.9817432013286957e+00  7.8143310733133375e-01
3.7600000000001103e+01  5.4792180703677547e-08  4.0774824356177529e-08  7.4551570576686421e-01  3.9820628230674568e+00  7.8189651258532911e-01
3.8400000000000901e+01  5.4959560581600313e-08  4.0901104540016284e-08  7.4561214398847842e-01  3.9824485759539137e+00  7.8220993298337660e-01
3.9200000000000799e+01  5.5127491816835934e-08  4.1026950839955535e-08  7.4566387852177685e-01  3.9826555140871074e+00  7.8227972986828620e-01
4.0000000000000597e+01  5.5300285906075928e-08  4.1155446706705988e-08  7.4572444316340458e-01  3.9828977726536183e+00  7.8245750111199375e-01
4.0800000000000502e+01  5.5471508586302426e-08  4.1282412366851767e-08  7.4572986597302904e-01  3.9829194638921162e+00  7.8268918716753300e-01
4.1600000000000300e+01  5.5640338756591715e-08  4.1407670258645272e-08  7.4548745699973407e-01  3.9819498279989363e+00  7.8293549032298904e-01
4.2400000000000098e+01  5.5813998119311194e-08  4.1537950122501506e-08  7.4556595062369324e-01  3.9822638024947730e+00  7.8324023570384160e-01
4.3200000000000003e+01  5.5988497308227085e-08  4.1669058492384990e-08  7.4583497098701668e-01  3.9833398839480667e+00  7.8331795987659192e-01
4.3999999999999801e+01  5.6160865142192714e-08  4.1797110465382661e-08  7.4567896067128570e-01  3.9827158426851428e+00  7.8337025226388868e-01
4.4799999999999699e+01  5.6338013813208723e-08  4.1929109729658086e-08  7.4568976139634890e-01  3.9827590455853956e+00  7.8377277442372362e-01
4.5599999999999497e+01  5.6518513779485549e-08  4.2063709613232791e-08  7.4558900361013170e-01  3.9823560144405268e+00  7.8408374728466246e-01
4.6399999999999302e+01  5.6698658669490977e-08  4.2197632271973617e-08  7.4526323519135618e-01  3.9810529407654247e+00  7.8392863890807496e-01
4.7199999999999200e+01  5.6884411679854594e-08  4.2336022647333531e-08  7.4553778173188501e-01  3.9821511269275400e+00  7.8396821819512086e-01
4.7999999999998998e+01  5.7073464836799327e-08  4.2475233087491647e-08  7.4604559192239106e-01  3.9841823676895642e+00  7.8469259201305996e-01
4.8799999999998903e+01  5.7264033297580889e-08  4.2614853527711807e-08  7.4615741366210486e-01  3.9846296546484195e+00  7.8524897167591201e-01
4.9599999999998701e+01  5.7459980959747569e-08  4.2762488301011004e-08  7.4566546865928118e-01  3.9826618746371247e+00  7.8488588589714636e-01
5.0399999999998499e+01  5.7635666593930470e-08  4.2897687397369845e-08  7.4462653434087267e-01  3.9785061373634907e+00  7.8422934566676317e-01
5.1199999999998397e+01  5.7749452623031096e-08  4.2982550278507693e-08  7.4415406984172472e-01  3.9766162793668989e+00  7.8437730979599485e-01
5.1999999999998202e+01  5.7813097924969492e-08  4.3025147035750958e-08  7.4564811010014831e-01  3.9825924404005932e+00  7.8539142140512086e-01
5.2799999999998100e+01  5.7914977126476427e-08  4.3097393243616564e-08  7.4773479514023311e-01  3.9909391805609324e+00  7.8586015821850452e-01
5.3599999999997898e+01  5.8120150233299722e-08  4.3250811857815343e-08  7.4687942918506089e-01  3.9875177167402436e+00  7.8502280161838445e-01
5.4399999999997704e+01  5.8380940081871974e-08  4.3446867965003427e-08  7.4343627451001881e-01  3.9737450980400753e+00  7.8424973365043626e-01
5.5199999999997601e+01  5.8607698967407884e-08  4.3615755329017815e-08  7.4242821500912948e-01  3.9697128600365179e+00  7.8483631165523737e-01
