# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
0.0000000000000000e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.0346327902401864e+00  3.7000119964445673e+01  3.2000116905128841e+01  3.2000116905128841e+01  4.4068672906504434e+00
8.0000000000000004e-01  0.0000000000000000e+00  nan  nan  nan  nan  4.0377843521565584e+00  3.7000148104916619e+01  3.2000144965863576e+01  3.2000144965862262e+01  4.4068492833185235e+00
1.6000000000000001e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.0409627378253727e+00  3.7000212572547305e+01  3.2000210249757849e+01  3.2000210249740107e+01  4.4068280127517871e+00
2.3999999999999901e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.0441673118872714e+00  3.7000280611017892e+01  3.2000279959852378e+01  3.2000279959785850e+01  4.4067518566536119e+00
3.1999999999999802e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.0471672953432662e+00  3.7000320937807601e+01  3.2000320704503871e+01  3.2000320704337966e+01  4.4066178878330780e+00
3.9999999999999600e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.0497948720467303e+00  3.7000380499992453e+01  3.2000378970716717e+01  3.2000378970383920e+01  4.4063998750002789e+00
4.7999999999999403e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.0520399290994309e+00  3.7000542369937406e+01  3.2000540469395339e+01  3.2000540468847703e+01  4.4060812780173659e+00
5.5999999999999304e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.0542632538898715e+00  3.7000796750161818e+01  3.2000797385389625e+01  3.2000797384621329e+01  4.4055814839654026e+00
6.3999999999999098e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.0568402693300545e+00  3.7001058794127658e+01  3.2001063731228101e+01  3.2001063730264661e+01  4.4048731477412408e+00
7.1999999999998900e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.0596926931097919e+00  3.7001318196697660e+01  3.2001327399407550e+01  3.2001327398290023e+01  4.4040577277205895e+00
7.9999999999998703e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.0624024047810483e+00  3.7001682989937834e+01  3.2001695724016642e+01  3.2001695722796043e+01  4.4032283572427460e+00
8.7999999999998604e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.0646964796415297e+00  3.7002227843523379e+01  3.2002244297109733e+01  3.2002244295849280e+01  4.4023694746775082e+00
9.5999999999998398e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.0668651203858417e+00  3.7002872603652413e+01  3.2002894164465978e+01  3.2002894163250865e+01  4.4014541914661747e+00
1.0399999999999800e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.0694890556184733e+00  3.7003498539816931e+01  3.2003526106957523e+01  3.2003526105902438e+01  4.4008294408761959e+00
1.1199999999999800e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.0727604212284785e+00  3.7004133589520137e+01  3.2004166460180393e+01  3.2004166459424347e+01  4.4014407128214721e+00
1.1999999999999799e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.0762819957766707e+00  3.7004907884670004e+01  3.2004945478900268e+01  3.2004945478581703e+01  4.4041301243755742e+00
1.2799999999999800e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.0797448775939742e+00  3.7005812087993640e+01  3.2005855910942799e+01  3.2005855911220429e+01  4.4091945262088528e+00
1.3599999999999801e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.0836903089876930e+00  3.7006625811030247e+01  3.2006676068501307e+01  3.2006676069443515e+01  4.4181061755537838e+00
1.4399999999999700e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.0886814693380700e+00  3.7007340196424963e+01  3.2007395053282231e+01  3.2007395054862670e+01  4.4320154088996091e+00
1.5199999999999701e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.0944028776185952e+00  3.7008233015234261e+01  3.2008291010429787e+01  3.2008291012841710e+01  4.4500703888943303e+00
1.5999999999999700e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.0999629173191297e+00  3.7009402897405103e+01  3.2009461404266702e+01  3.2009461407787484e+01  4.4705270788797629e+00
1.6799999999999802e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.1049730511849294e+00  3.7010671076105837e+01  3.2010729611801921e+01  3.2010729616723317e+01  4.4919816422776728e+00
1.7600000000000001e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.1101671128883748e+00  3.7011991546583005e+01  3.2012055341606761e+01  3.2012055348169390e+01  4.5158220945276959e+00
1.8400000000000102e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.1158202342171979e+00  3.7013271422054281e+01  3.2013336697679854e+01  3.2013336705949968e+01  4.5420080230796325e+00
1.9200000000000198e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.1214427022265987e+00  3.7014529544165008e+01  3.2014589766528275e+01  3.2014589776621456e+01  4.5688903130314955e+00
2.0000000000000298e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.1268243404238110e+00  3.7015875391715426e+01  3.2015939629851474e+01  3.2015939641904467e+01  4.5973295124622595e+00
2.0800000000000502e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.1322238382003942e+00  3.7017424864755569e+01  3.2017501651498947e+01  3.2017501665574684e+01  4.6292587825996732e+00
2.1600000000000598e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.1377824031357626e+00  3.7018781647962065e+01  3.2018888859768154e+01  3.2018888875610692e+01  4.6637571409760730e+00
2.2400000000000698e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.1437293517511700e+00  3.7019640007550699e+01  3.2019811789693300e+01  3.2019811807604114e+01  4.7008153565645028e+00
2.3200000000000799e+01  0.0000000000000000e+00  nan  nan  nan  nan  4.1499895340073305e+00  3.7020123508031048e+01  3.2020418258351391e+01  3.2020418279488716e+01  4.7413448449369922e+00
