# time  core_x_canon  core_y_canon  core_z_canon  peak_canon  core_x_phantom  core_y_phantom  core_z_phantom  peak_phantom  coord_sep  proper_sep  px_canon  px_phantom  px_total  shift_x_canon  shift_x_phantom  max_abs_shift
0.0000000000000000e+00  nan  nan  nan  nan  3.7000465990775162e+01  3.2000465990775155e+01  3.2000465990775155e+01  2.4416780737507405e-02  nan  nan  nan  0.0000000000000000e+00  nan  nan  0.0000000000000000e+00  0.0000000000000000e+00
8.0000000000000004e-01  nan  nan  nan  nan  3.7000539964547102e+01  3.2000540814264738e+01  3.2000540814255892e+01  2.4484594563878821e-02  nan  nan  nan  1.7832300044299405e-06  nan  nan  3.8495092663404215e-05  7.4304532121747597e-05
1.6000000000000001e+00  nan  nan  nan  nan  3.7000803897790519e+01  3.2000808847262626e+01  3.2000808847218075e+01  2.4406028685614155e-02  nan  nan  nan  3.0953744930434415e-06  nan  nan  1.0614701938908237e-04  3.0398936435996972e-04
2.3999999999999901e+00  nan  nan  nan  nan  3.7001151012903556e+01  3.2001167588714154e+01  3.2001167588676246e+01  2.4322143241296071e-02  nan  nan  nan  3.9491033075354064e-06  nan  nan  4.9705614534471432e-05  1.1405922432534134e-04
3.1999999999999802e+00  nan  nan  nan  nan  3.7001440199644819e+01  3.2001467408160153e+01  3.2001467408228905e+01  2.4411339915951832e-02  nan  nan  nan  4.7909824072237139e-06  nan  nan  -4.3098309742362408e-05  1.3291303676511948e-04
3.9999999999999600e+00  nan  nan  nan  nan  3.7001841645023177e+01  3.2001869969330833e+01  3.2001869969563273e+01  2.4441697203881802e-02  nan  nan  nan  5.8638417254015878e-06  nan  nan  3.7285535552566505e-06  1.1199298133930117e-04
4.7999999999999403e+00  nan  nan  nan  nan  3.7002316441959103e+01  3.2002346196300323e+01  3.2002346196823673e+01  2.4410505537563999e-02  nan  nan  nan  6.9431947343396929e-06  nan  nan  -1.0829445202828761e-05  8.1313939370014960e-05
5.5999999999999304e+00  nan  nan  nan  nan  3.7002701396785113e+01  3.2002731481922865e+01  3.2002731482898703e+01  2.4404099544077532e-02  nan  nan  nan  7.9139753875846778e-06  nan  nan  -3.3640312787910564e-06  6.4010568583382585e-05
6.3999999999999098e+00  nan  nan  nan  nan  3.7003033294940650e+01  3.2003060497665906e+01  3.2003060499143011e+01  2.4414761239448843e-02  nan  nan  nan  8.8130128333513167e-06  nan  nan  -2.9451656209072337e-06  5.0667837011979137e-05
7.1999999999998900e+00  nan  nan  nan  nan  3.7003451826078617e+01  3.2003476016502169e+01  3.2003476018466664e+01  2.4418085562533564e-02  nan  nan  nan  9.6496080185171636e-06  nan  nan  -2.8993390605143707e-07  4.2077674820351519e-05
7.9999999999998703e+00  nan  nan  nan  nan  3.7004024126964829e+01  3.2004046068768773e+01  3.2004046071220635e+01  2.4413649547704960e-02  nan  nan  nan  1.0419172703574711e-05  nan  nan  3.1174353219805017e-06  3.6686405283349585e-05
8.7999999999998604e+00  nan  nan  nan  nan  3.7004654603165314e+01  3.2004674646690766e+01  3.2004674649659286e+01  2.4404342700936971e-02  nan  nan  nan  1.1120014338166725e-05  nan  nan  4.6351774342844254e-06  3.2685055754364155e-05
9.5999999999998398e+00  nan  nan  nan  nan  3.7005227590378425e+01  3.2005245916617575e+01  3.2005245920151893e+01  2.4401426985938172e-02  nan  nan  nan  1.1776379993423611e-05  nan  nan  4.3679089550460554e-06  3.0054102913183184e-05
1.0399999999999800e+01  nan  nan  nan  nan  3.7005776097420878e+01  3.2005791522263557e+01  3.2005791526419486e+01  2.4411185510937534e-02  nan  nan  nan  1.2412306315870573e-05  nan  nan  4.4804226264383150e-06  2.7791231256903657e-05
1.1199999999999800e+01  nan  nan  nan  nan  3.7006423740712982e+01  3.2006434634397714e+01  3.2006434639229894e+01  2.4423862720980474e-02  nan  nan  nan  1.3022665877915927e-05  nan  nan  5.8365892949130808e-06  2.5859677664351654e-05
1.1999999999999799e+01  nan  nan  nan  nan  3.7007195499943997e+01  3.2007201705501195e+01  3.2007201711061853e+01  2.4425115854478895e-02  nan  nan  nan  1.3588253639734630e-05  nan  nan  7.9214941428144243e-06  2.4061543278097923e-05
1.2799999999999800e+01  nan  nan  nan  nan  3.7007983545672005e+01  3.2007985463195851e+01  3.2007985469540181e+01  2.4415728065493927e-02  nan  nan  nan  1.4109736089624078e-05  nan  nan  9.3898463990117328e-06  2.2948317791921174e-05
1.3599999999999801e+01  nan  nan  nan  nan  3.7008712023629215e+01  3.2008709056506767e+01  3.2008709063694702e+01  2.4410802199945913e-02  nan  nan  nan  1.4609514249046302e-05  nan  nan  9.6741212070082541e-06  2.5230635864447732e-05
1.4399999999999700e+01  nan  nan  nan  nan  3.7009557931641233e+01  3.2009548490790998e+01  3.2009548498882879e+01  2.4418784683456721e-02  nan  nan  nan  1.5101026934246771e-05  nan  nan  1.0066403675234087e-05  2.4797798808051823e-05
1.5199999999999701e+01  nan  nan  nan  nan  3.7010399003018996e+01  3.2010381744228276e+01  3.2010381753280456e+01  2.4429817841024427e-02  nan  nan  nan  1.5572115399044469e-05  nan  nan  1.1545695869756620e-05  2.4403483128680538e-05
