# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  2.5153061574406799e-01  2.5000000000000000e-01
8.0000000000000004e-01  2.5151725460695629e-01  2.5000000000000000e-01
1.6000000000000001e+00  2.5151584215516554e-01  2.5000000000000000e-01
2.3999999999999901e+00  2.5155503895242642e-01  2.5000000000000000e-01
3.1999999999999802e+00  2.5154823413830180e-01  2.5000000000000000e-01
3.9999999999999600e+00  2.5154890771338900e-01  2.5000000000000000e-01
4.7999999999999403e+00  2.5154234073369586e-01  2.5000000000000000e-01
5.5999999999999304e+00  2.5154721158495963e-01  2.5000000000000000e-01
6.3999999999999098e+00  2.5154995547218362e-01  2.5000000000000000e-01
7.1999999999998900e+00  2.5155241395462768e-01  2.5000000000000000e-01
7.9999999999998703e+00  2.5155468781276330e-01  2.5000000000000000e-01
8.7999999999998604e+00  2.5155647426601996e-01  2.5000000000000000e-01
9.5999999999998398e+00  2.5155773086287847e-01  2.5000000000000000e-01
1.0399999999999800e+01  2.5155868731127029e-01  2.5000000000000000e-01
1.1199999999999800e+01  2.5155969054664523e-01  2.5000000000000000e-01
1.1999999999999799e+01  2.5156104021109210e-01  2.5000000000000000e-01
1.2799999999999800e+01  2.5156264122186461e-01  2.5000000000000000e-01
1.3599999999999801e+01  2.5156373488750156e-01  2.5000000000000000e-01
1.4399999999999700e+01  2.5156435232303143e-01  2.5000000000000000e-01
1.5199999999999701e+01  2.5156498933674487e-01  2.5000000000000000e-01
1.5999999999999700e+01  2.5156592463080696e-01  2.5000000000000000e-01
1.6799999999999802e+01  2.5156696275829143e-01  2.5000000000000000e-01
1.7600000000000001e+01  2.5156760991018268e-01  2.5000000000000000e-01
1.8400000000000102e+01  2.5156788093051452e-01  2.5000000000000000e-01
1.9200000000000198e+01  2.5156816383224190e-01  2.5000000000000000e-01
2.0000000000000298e+01  2.5156873830822446e-01  2.5000000000000000e-01
2.0800000000000502e+01  2.5156945794147867e-01  2.5000000000000000e-01
2.1600000000000598e+01  2.5157024952012469e-01  2.5000000000000000e-01
2.2400000000000698e+01  2.5157095816168284e-01  2.5000000000000000e-01
2.3200000000000799e+01  2.5157143207641497e-01  2.5000000000000000e-01
2.4000000000000998e+01  2.5157219753428867e-01  2.5000000000000000e-01
2.4800000000001098e+01  2.5157343001197535e-01  2.5000000000000000e-01
2.5600000000001199e+01  2.5157454976171278e-01  2.5000000000000000e-01
2.6400000000001299e+01  2.5157530175857068e-01  2.5000000000000000e-01
2.7200000000001499e+01  2.5157597054163905e-01  2.5000000000000000e-01
2.8000000000001599e+01  2.5157686344546953e-01  2.5000000000000000e-01
2.8800000000001699e+01  2.5157791863659601e-01  2.5000000000000000e-01
2.9600000000001799e+01  2.5157881881976779e-01  2.5000000000000000e-01
3.0400000000001999e+01  2.5157940573529503e-01  2.5000000000000000e-01
3.1200000000002099e+01  2.5157973024984071e-01  2.5000000000000000e-01
3.2000000000002203e+01  2.5158004495615721e-01  2.5000000000000000e-01
3.2800000000002001e+01  2.5158050685778494e-01  2.5000000000000000e-01
3.3600000000001899e+01  2.5158086629170634e-01  2.5000000000000000e-01
3.4400000000001697e+01  2.5158094595110525e-01  2.5000000000000000e-01
3.5200000000001602e+01  2.5158091171165681e-01  2.5000000000000000e-01
3.6000000000001400e+01  2.5158101562010882e-01  2.5000000000000000e-01
3.6800000000001198e+01  2.5158127209807646e-01  2.5000000000000000e-01
3.7600000000001103e+01  2.5158135778576168e-01  2.5000000000000000e-01
3.8400000000000901e+01  2.5158119869025419e-01  2.5000000000000000e-01
3.9200000000000799e+01  2.5158120224369362e-01  2.5000000000000000e-01
4.0000000000000597e+01  2.5158139428965975e-01  2.5000000000000000e-01
4.0800000000000502e+01  2.5158153515477510e-01  2.5000000000000000e-01
4.1600000000000300e+01  2.5158170201330599e-01  2.5000000000000000e-01
4.2400000000000098e+01  2.5158176263645315e-01  2.5000000000000000e-01
4.3200000000000003e+01  2.5158161583706001e-01  2.5000000000000000e-01
4.3999999999999801e+01  2.5158166731904108e-01  2.5000000000000000e-01
4.4799999999999699e+01  2.5158203444811233e-01  2.5000000000000000e-01
4.5599999999999497e+01  2.5158226283816337e-01  2.5000000000000000e-01
4.6399999999999302e+01  2.5158227977853453e-01  2.5000000000000000e-01
4.7199999999999200e+01  2.5158241847820523e-01  2.5000000000000000e-01
4.7999999999998998e+01  2.5158269342441547e-01  2.5000000000000000e-01
4.8799999999998903e+01  2.5158294627512057e-01  2.5000000000000000e-01
4.9599999999998701e+01  2.5158313726975667e-01  2.5000000000000000e-01
5.0399999999998499e+01  2.5158330123084666e-01  2.5000000000000000e-01
5.1199999999998397e+01  2.5158347087792993e-01  2.5000000000000000e-01
5.1999999999998202e+01  2.5158369955139642e-01  2.5000000000000000e-01
5.2799999999998100e+01  2.5158401056368995e-01  2.5000000000000000e-01
5.3599999999997898e+01  2.5158432897324534e-01  2.5000000000000000e-01
5.4399999999997704e+01  2.5158457165538706e-01  2.5000000000000000e-01
5.5199999999997601e+01  2.5158471922873787e-01  2.5000000000000000e-01
5.5999999999997399e+01  2.5158496563810462e-01  2.5000000000000000e-01
5.6799999999997297e+01  2.5158529023319787e-01  2.5000000000000000e-01
5.7599999999997102e+01  2.5158544105231556e-01  2.5000000000000000e-01
5.8399999999997000e+01  2.5158575240632985e-01  2.5000000000000000e-01
5.9199999999996798e+01  2.5158619783758251e-01  2.5000000000000000e-01
5.9999999999996597e+01  2.5158637409703288e-01  2.5000000000000000e-01
6.0799999999996501e+01  2.5158675129334135e-01  2.5000000000000000e-01
6.1599999999996299e+01  2.5158733860362975e-01  2.5000000000000000e-01
6.2399999999996197e+01  2.5158748607578357e-01  2.5000000000000000e-01
6.3199999999996002e+01  2.5158760918211243e-01  2.5000000000000000e-01
6.3999999999995801e+01  2.5158808843731684e-01  2.5000000000000000e-01
6.4799999999996203e+01  2.5158820516345687e-01  2.5000000000000000e-01
6.5599999999996697e+01  2.5158806717152449e-01  2.5000000000000000e-01
6.6399999999997107e+01  2.5158835627480497e-01  2.5000000000000000e-01
6.7199999999997502e+01  2.5158867023717540e-01  2.5000000000000000e-01
6.7999999999997897e+01  2.5158866598269214e-01  2.5000000000000000e-01
6.8799999999998306e+01  2.5158880236377879e-01  2.5000000000000000e-01
6.9599999999998701e+01  2.5158923099608238e-01  2.5000000000000000e-01
7.0399999999999096e+01  2.5158961112474154e-01  2.5000000000000000e-01
7.1199999999999505e+01  2.5159001863074110e-01  2.5000000000000000e-01
7.1999999999999901e+01  2.5159035513102534e-01  2.5000000000000000e-01
7.2800000000000296e+01  2.5159044564511363e-01  2.5000000000000000e-01
7.3600000000000705e+01  2.5159080219547630e-01  2.5000000000000000e-01
7.4400000000001199e+01  2.5159120959144859e-01  2.5000000000000000e-01
7.5200000000001594e+01  2.5159128331623337e-01  2.5000000000000000e-01
7.6000000000002004e+01  2.5159156022509749e-01  2.5000000000000000e-01
7.6800000000002399e+01  2.5159202931714392e-01  2.5000000000000000e-01
7.7600000000002794e+01  2.5159221899703132e-01  2.5000000000000000e-01
7.8400000000003203e+01  2.5159253088562317e-01  2.5000000000000000e-01
7.9200000000003598e+01  2.5159301595638534e-01  2.5000000000000000e-01
8.0000000000003993e+01  2.5159312904277970e-01  2.5000000000000000e-01
8.0800000000004403e+01  2.5159324416353401e-01  2.5000000000000000e-01
8.1600000000004798e+01  2.5159361128757712e-01  2.5000000000000000e-01
8.2400000000005207e+01  2.5159389572504387e-01  2.5000000000000000e-01
8.3200000000005701e+01  2.5159407802823230e-01  2.5000000000000000e-01
8.4000000000006096e+01  2.5159428212409690e-01  2.5000000000000000e-01
8.4800000000006506e+01  2.5159456170504896e-01  2.5000000000000000e-01
8.5600000000006901e+01  2.5159486498050226e-01  2.5000000000000000e-01
8.6400000000007296e+01  2.5159506782668040e-01  2.5000000000000000e-01
8.7200000000007705e+01  2.5159521328877416e-01  2.5000000000000000e-01
8.8000000000008100e+01  2.5159544771303410e-01  2.5000000000000000e-01
8.8800000000008495e+01  2.5159573489731007e-01  2.5000000000000000e-01
8.9600000000008905e+01  2.5159595242440863e-01  2.5000000000000000e-01
9.0400000000009300e+01  2.5159613248511170e-01  2.5000000000000000e-01
9.1200000000009794e+01  2.5159634938441650e-01  2.5000000000000000e-01
9.2000000000010203e+01  2.5159656101256200e-01  2.5000000000000000e-01
9.2800000000010598e+01  2.5159676175624995e-01  2.5000000000000000e-01
9.3600000000010994e+01  2.5159699701338123e-01  2.5000000000000000e-01
9.4400000000011403e+01  2.5159709715154033e-01  2.5000000000000000e-01
9.5200000000011798e+01  2.5159700667985868e-01  2.5000000000000000e-01
9.6000000000012193e+01  2.5159719384491974e-01  2.5000000000000000e-01
9.6800000000012602e+01  2.5159777826887852e-01  2.5000000000000000e-01
9.7600000000012997e+01  2.5159805512272898e-01  2.5000000000000000e-01
9.8400000000013407e+01  2.5159783997725516e-01  2.5000000000000000e-01
9.9200000000013802e+01  2.5159788509851033e-01  2.5000000000000000e-01
1.0000000000001400e+02  2.5159842618475048e-01  2.5000000000000000e-01
1.0080000000001500e+02  2.5159886959341377e-01  2.5000000000000000e-01
1.0160000000001500e+02  2.5159893770711661e-01  2.5000000000000000e-01
1.0240000000001500e+02  2.5159892407956258e-01  2.5000000000000000e-01
1.0320000000001600e+02  2.5159914313832682e-01  2.5000000000000000e-01
1.0400000000001600e+02  2.5159969110842051e-01  2.5000000000000000e-01
1.0480000000001699e+02  2.5160021597111165e-01  2.5000000000000000e-01
1.0560000000001700e+02  2.5160018883115320e-01  2.5000000000000000e-01
1.0640000000001800e+02  2.5159998707689241e-01  2.5000000000000000e-01
1.0720000000001799e+02  2.5160048777881078e-01  2.5000000000000000e-01
1.0800000000001801e+02  2.5160132742933883e-01  2.5000000000000000e-01
1.0880000000001900e+02  2.5160149075832794e-01  2.5000000000000000e-01
1.0960000000001899e+02  2.5160123505285653e-01  2.5000000000000000e-01
1.1040000000002000e+02  2.5160143958038050e-01  2.5000000000000000e-01
1.1120000000002000e+02  2.5160198061788264e-01  2.5000000000000000e-01
1.1200000000001999e+02  2.5160226649289091e-01  2.5000000000000000e-01
1.1280000000002100e+02  2.5160233681647981e-01  2.5000000000000000e-01
1.1360000000002100e+02  2.5160252759421664e-01  2.5000000000000000e-01
1.1440000000002200e+02  2.5160284435971231e-01  2.5000000000000000e-01
1.1520000000002200e+02  2.5160311054903090e-01  2.5000000000000000e-01
1.1600000000002200e+02  2.5160329237549806e-01  2.5000000000000000e-01
1.1680000000002300e+02  2.5160347357635149e-01  2.5000000000000000e-01
1.1760000000002300e+02  2.5160370552537159e-01  2.5000000000000000e-01
1.1840000000002399e+02  2.5160395486821086e-01  2.5000000000000000e-01
1.1920000000002400e+02  2.5160414973349349e-01  2.5000000000000000e-01
1.2000000000002400e+02  2.5160436912718132e-01  2.5000000000000000e-01
