time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  1.7361342189821348e-05
8.0000000000000004e-01  -9.3431137595732406e-19  7.0581005612647463e-08
1.6000000000000001e+00  -6.5749299916330103e-19  8.0301104518149210e-08
2.3999999999999901e+00  4.6924685825352261e-19  9.3240513658794289e-08
3.1999999999999802e+00  1.0167324981812680e-18  1.0019298668383600e-07
3.9999999999999600e+00  3.1044475014242350e-19  1.0210556052914969e-07
4.7999999999999403e+00  -7.5128220857071834e-19  9.8389959682009495e-08
5.5999999999999304e+00  -8.2032208079691302e-19  9.1477098781545777e-08
6.3999999999999098e+00  2.0449993355440467e-19  8.1299242136310282e-08
7.1999999999998900e+00  1.0298525596169768e-18  7.0038839511630513e-08
7.9999999999998703e+00  6.0230267114691170e-19  6.0581754725769210e-08
8.7999999999998604e+00  -5.4237941974745534e-19  5.3518795090935507e-08
9.5999999999998398e+00  -9.4528354376388224e-19  4.8789917275055082e-08
1.0399999999999800e+01  -8.2991246717464404e-20  4.5344586762760740e-08
1.1199999999999800e+01  9.5013423471619156e-19  4.2833058813567366e-08
1.1999999999999799e+01  8.3017503490692461e-19  4.1362607273927902e-08
1.2799999999999800e+01  -2.9606504149586818e-19  3.9418221762130160e-08
1.3599999999999801e+01  -9.9042789895456644e-19  3.9777799938897283e-08
1.4399999999999700e+01  -3.4955895676798040e-19  3.6363816323819672e-08
1.5199999999999701e+01  6.8878424602266340e-19  4.1801159521241854e-08
1.5999999999999700e+01  1.6561263336004907e-18  4.1310550102490617e-08
1.6799999999999802e+01  1.0936967445607486e-18  4.2678970790247030e-08
1.7600000000000001e+01  9.6601370123792171e-18  6.2562488252785546e-08
1.8400000000000102e+01  1.3983005295340933e-16  5.7554117679659437e-08
1.9200000000000198e+01  5.3017395920669009e-16  7.4660535631928285e-08
2.0000000000000298e+01  1.5136814091881832e-15  5.7540853967758550e-08
2.0800000000000502e+01  1.7806477219746131e-14  4.4841618020279705e-08
2.1600000000000598e+01  6.3612841647345740e-14  5.2874214888730212e-08
2.2400000000000698e+01  1.6779685409497004e-13  9.2846762974683441e-08
2.3200000000000799e+01  9.3588029364869806e-13  5.9056786470489945e-08
2.4000000000000998e+01  2.9143005577864580e-12  4.2572386564522177e-08
2.4800000000001098e+01  6.9104419890338309e-12  5.6053698164508830e-08
2.5600000000001199e+01  1.7822802311664328e-11  9.4062053933920666e-08
2.6400000000001299e+01  4.8277444174331673e-11  5.5642133736644956e-08
2.7200000000001499e+01  7.8227377005594380e-11  9.6334292232894139e-08
2.8000000000001599e+01  9.2306348932176923e-11  5.8692187071160003e-08
2.8800000000001699e+01  4.0054802351454287e-10  1.6347519860417503e-07
2.9600000000001799e+01  9.0858819648894272e-11  9.1376767920379396e-08
3.0400000000001999e+01  7.7320237677965666e-10  1.2200352142230071e-07
3.1200000000002099e+01  6.1346989011293236e-10  6.2841748102393697e-08
3.2000000000002203e+01  6.5383372336368264e-10  1.3600464437447015e-07
3.2800000000002001e+01  1.0068464928674077e-09  1.1334241905923301e-07
3.3600000000001899e+01  5.7724857164810742e-10  7.0217317191373010e-08
3.4400000000001697e+01  5.1039503762522345e-10  6.8620565006520486e-08
3.5200000000001602e+01  3.6460978729989889e-10  8.2023596374796486e-08
3.6000000000001400e+01  1.5710204046010494e-10  8.2792609715676656e-08
3.6800000000001198e+01  9.5032344145672105e-11  8.7560488286858158e-08
3.7600000000001103e+01  6.8683561343918069e-11  1.0101735728783635e-07
3.8400000000000901e+01  2.2279158325506275e-10  9.4256880301306411e-08
3.9200000000000799e+01  1.4826380759209701e-11  9.9847839341349732e-08
4.0000000000000597e+01  3.9400224749098613e-10  1.0966293809004354e-07
4.0800000000000502e+01  2.4055284921123090e-10  1.0181187537094901e-07
4.1600000000000300e+01  2.2325987305074651e-10  1.3729402443367308e-07
4.2400000000000098e+01  4.6622022647081175e-10  1.1982508805043568e-07
4.3200000000000003e+01  1.3384672899422946e-10  1.3731232005689460e-07
4.3999999999999801e+01  2.7191663562630293e-10  1.3690773294515796e-07
4.4799999999999699e+01  1.8446334535643462e-10  1.4191012544334219e-07
4.5599999999999497e+01  1.8425616748848190e-10  1.6100980479113403e-07
4.6399999999999302e+01  9.7128286611949120e-11  1.4844600947792697e-07
4.7199999999999200e+01  1.5961942280160740e-10  1.5978621261148939e-07
4.7999999999998998e+01  1.7108877719614757e-10  1.9500269451904511e-07
4.8799999999998903e+01  2.1964971883212320e-11  1.7128381053849464e-07
4.9599999999998701e+01  1.1005804166717669e-10  2.2379323715904699e-07
5.0399999999998499e+01  1.3189919706374817e-10  1.9305552428914184e-07
5.1199999999998397e+01  3.7736855267109683e-12  2.2299913754579856e-07
5.1999999999998202e+01  1.6109843309695429e-10  2.4288638463652375e-07
5.2799999999998100e+01  6.8553692865276839e-11  2.3699409947687553e-07
5.3599999999997898e+01  1.8387083215829447e-10  2.6602284642602199e-07
5.4399999999997704e+01  2.0868223774299596e-11  2.4916326636293877e-07
5.5199999999997601e+01  1.1913260605559812e-10  2.5649398957384985e-07
5.5999999999997399e+01  8.6118844179437783e-11  2.9166396182565153e-07
5.6799999999997297e+01  1.8398694348743803e-11  2.5662014398793515e-07
5.7599999999997102e+01  1.2324570303867852e-10  2.5512624507978518e-07
5.8399999999997000e+01  5.2653289364482376e-11  2.9591469726776135e-07
5.9199999999996798e+01  2.0800134892755630e-10  2.5333295192252525e-07
5.9999999999996597e+01  7.9738012071629605e-12  3.1320858097502849e-07
6.0799999999996501e+01  1.2918419724211651e-10  3.0179654003081200e-07
6.1599999999996299e+01  5.3118407492689735e-11  2.9126519271469312e-07
6.2399999999996197e+01  3.5354116597409998e-11  3.1865977147258248e-07
6.3199999999996002e+01  5.7236029176501017e-11  2.9907708040336498e-07
6.3999999999995801e+01  6.9044828010474611e-11  3.2107263725327364e-07
6.4799999999996203e+01  1.6923345440226645e-10  3.0374658004853947e-07
6.5599999999996697e+01  9.5414053198265164e-12  3.0785230409701157e-07
6.6399999999997107e+01  8.8531190367127602e-11  3.4874896505948898e-07
6.7199999999997502e+01  3.3624547977311248e-11  3.1850496882773380e-07
6.7999999999997897e+01  4.7061847318607280e-11  3.5047486452001666e-07
6.8799999999998306e+01  3.0909870123460017e-11  3.6371379168518534e-07
6.9599999999998701e+01  7.7458266274114670e-11  3.6215092523635567e-07
7.0399999999999096e+01  1.2975085587948373e-10  3.7494541163868654e-07
7.1199999999999505e+01  1.1667961168016559e-11  3.7701274951110495e-07
7.1999999999999901e+01  3.6974307480585843e-11  3.9162036854377648e-07
7.2800000000000296e+01  2.4962138933203005e-11  3.9542720982626796e-07
7.3600000000000705e+01  6.8393701202444176e-11  4.1400705276871531e-07
7.4400000000001199e+01  3.5496089118959517e-11  4.1072901224009608e-07
7.5200000000001594e+01  6.6634013555138296e-11  4.9719046319059692e-07
7.6000000000002004e+01  9.9752170591458879e-11  3.2794085798693340e-07
7.6800000000002399e+01  8.3441954563504826e-12  5.5847615855039613e-07
7.7600000000002794e+01  8.9556752731098561e-12  4.3909366010207492e-07
7.8400000000003203e+01  1.9280610328589724e-11  4.8470890329308938e-07
7.9200000000003598e+01  7.6971568541375630e-11  5.5575443948861068e-07
8.0000000000003993e+01  4.4908283105340133e-11  4.7896252821438225e-07
8.0800000000004403e+01  3.2546063089928474e-11  5.3693797541327669e-07
8.1600000000004798e+01  6.3894403455930697e-11  5.6252250416799841e-07
8.2400000000005207e+01  1.8460407331411337e-11  5.4876959577942254e-07
8.3200000000005701e+01  9.1890944441013687e-12  5.8925223373379265e-07
8.4000000000006096e+01  1.8357941388156447e-11  5.7449887689292182e-07
8.4800000000006506e+01  7.3538068119563899e-11  6.4976287529747598e-07
8.5600000000006901e+01  4.3383037930930127e-11  6.2771279340669659e-07
8.6400000000007296e+01  5.9623281329365736e-12  6.5474717527249842e-07
8.7200000000007705e+01  2.8141896235390999e-11  7.4610482426360276e-07
8.8000000000008100e+01  2.8248059449447319e-11  6.1561529894458583e-07
8.8800000000008495e+01  2.8400079139034321e-11  8.3269244246731929e-07
8.9600000000008905e+01  1.1812704737812200e-11  7.2823872527554040e-07
9.0400000000009300e+01  5.5099659327466781e-11  7.8264777837315245e-07
9.1200000000009794e+01  4.2589991495805112e-11  8.4038212592089919e-07
9.2000000000010203e+01  -1.0205996399373851e-12  7.9736236707604487e-07
9.2800000000010598e+01  1.1868482034023570e-11  8.4892298317305484e-07
9.3600000000010994e+01  2.7691498257159608e-11  8.3091132283220103e-07
9.4400000000011403e+01  4.1493748744347698e-11  8.3612260359023846e-07
9.5200000000011798e+01  1.0353775897196632e-11  8.5615171750245765e-07
9.6000000000012193e+01  2.5485565215472717e-11  8.8296463923504032e-07
9.6800000000012602e+01  3.7637440535540718e-11  8.8937911945928707e-07
9.7600000000012997e+01  1.0682384002627006e-11  1.0073207721800265e-06
9.8400000000013407e+01  7.6442611728451839e-12  9.8333300151200086e-07
9.9200000000013802e+01  1.9515179070282619e-11  1.1088621167523371e-06
1.0000000000001400e+02  4.3578903298994468e-11  1.0502076951834525e-06
1.0080000000001500e+02  1.4856355384946011e-11  1.1764355337866720e-06
1.0160000000001500e+02  6.5800849278006764e-12  1.1564619224232122e-06
1.0240000000001500e+02  2.4350109503182035e-11  1.0881572777440659e-06
1.0320000000001600e+02  1.5794753572666656e-11  1.1618226370514821e-06
1.0400000000001600e+02  1.4247663181754324e-11  9.2168302283007676e-07
1.0480000000001699e+02  4.8183431945588690e-12  9.7669419201934539e-07
1.0560000000001700e+02  3.0439898863021107e-11  9.1777056547186086e-07
1.0640000000001800e+02  2.2955321198587047e-11  7.8423980236123616e-07
1.0720000000001799e+02  8.0537964024484108e-13  8.3348735267834201e-07
1.0800000000001801e+02  8.8840260913589452e-12  7.3209690167207282e-07
1.0880000000001900e+02  1.6213463179110317e-11  8.3946885526250352e-07
1.0960000000001899e+02  2.3698331119846188e-11  7.8332981380967988e-07
1.1040000000002000e+02  2.9824449493555520e-12  8.5414494870568030e-07
1.1120000000002000e+02  1.6989050704821370e-11  8.4226030682029961e-07
1.1200000000001999e+02  2.4156449426611847e-11  9.2739633651435425e-07
1.1280000000002100e+02  3.4504321418819056e-12  9.6933290796999357e-07
1.1360000000002100e+02  4.2460090610393730e-12  1.0225366639948595e-06
1.1440000000002200e+02  5.3285566834368260e-12  1.0977585050835495e-06
1.1520000000002200e+02  2.1310089736138783e-11  1.2034997234101587e-06
1.1600000000002200e+02  1.0546492726713303e-11  1.1858760073207788e-06
1.1680000000002300e+02  2.1878626565941161e-12  1.3309701604432161e-06
1.1760000000002300e+02  1.1296352612126219e-11  1.1828101450227068e-06
1.1840000000002399e+02  1.1394816765554765e-11  1.2128720858495422e-06
1.1920000000002400e+02  1.0388622717543681e-11  1.1823443152359624e-06
1.2000000000002400e+02  -9.4479458773318302e-13  8.8488792007702590e-07
1.2080000000002499e+02  1.9413436773137543e-11  8.9809866550399980e-07
1.2160000000002501e+02  1.9347672208080676e-11  5.5442256676715525e-07
1.2240000000002600e+02  1.9972849902314681e-12  5.6426939336217591e-07
1.2320000000002599e+02  2.4611607832982998e-12  4.5591732229168315e-07
1.2400000000002700e+02  1.1649154801632234e-11  3.7382231865282400e-07
1.2480000000002700e+02  1.6030223532519011e-11  3.2751539118618051e-07
1.2560000000002699e+02  -1.0702032828816193e-12  3.2932502144445109e-07
1.2640000000002800e+02  7.0689593290808606e-12  3.3712374067796094e-07
1.2720000000002800e+02  1.2735881646203656e-11  3.6927433456604572e-07
1.2800000000002899e+02  3.7557015964251616e-12  3.4139133942286214e-07
1.2880000000002801e+02  2.0654513845957069e-13  3.5430784717976795e-07
1.2960000000002699e+02  6.3383620766674964e-13  3.7520531668019116e-07
1.3040000000002601e+02  1.4633267527431957e-11  3.6593177393054655e-07
1.3120000000002599e+02  8.8343387420619489e-12  3.8025728117651561e-07
1.3200000000002501e+02  -1.7153123349655225e-12  4.0283780325982799e-07
