# time  Re_m-2(R=8)  Im_m-2(R=8)  Re_m-1(R=8)  Im_m-1(R=8)  Re_m0(R=8)  Im_m0(R=8)  Re_m1(R=8)  Im_m1(R=8)  Re_m2(R=8)  Im_m2(R=8)  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)
0.0000000000000000e+00  5.2271558878341286e-12  8.9759058762513474e-08  2.7238407739493787e-07  2.7239283089364624e-07  -1.0795678946663179e-07  -6.5354305160511551e-13  4.5505195419910911e-07  -4.5506070481580524e-07  1.0609453120702713e-12  1.4819067034418120e-07  -6.6663115341184002e-12  -1.1420536100572083e-08  1.0814915522563475e-09  -8.9654149476904425e-09  -6.8274053531987947e-07  8.2940354464397818e-17  1.0521202040892240e-09  8.9854160443211323e-09  6.6839899895828518e-12  8.9419389830469817e-09
8.0000000000000004e-01  -5.9401706468090313e-13  -1.4163699851181874e-08  -4.9718295187805423e-08  -4.9743390859593105e-08  -6.3447251212752531e-08  6.1776718158819624e-12  -9.7409205605173222e-08  9.7414413751091316e-08  1.3856517661017407e-12  -4.9988116266851412e-08  -1.2984064241555548e-11  -5.1894955488602303e-10  -1.4848852648965821e-10  -8.2663705109698588e-10  1.3308042347334326e-07  4.1627472538757703e-13  -1.7710944399950936e-10  8.3290446753190124e-10  1.2225055097418729e-11  9.9074157648764971e-10
1.6000000000000001e+00  -3.5712184749835431e-11  1.1220581175579313e-06  9.1863495027506307e-07  9.1855505793341464e-07  -2.5966568748224775e-07  -1.7236533233689259e-11  -1.2372660167107805e-06  1.2372583480850888e-06  -1.6325637276989233e-11  -1.3479760400049991e-06  -1.6542525800271790e-11  -5.2526165568218261e-10  -3.2442218796951756e-09  -3.7341336181614751e-09  1.2507236368869577e-08  4.0549684453552051e-12  -3.0261665491047361e-09  3.4893563986556480e-09  3.8464024358436658e-12  6.3000051430598018e-10
2.3999999999999901e+00  1.3282851292287997e-10  -8.5080121455023158e-07  -9.5328678800433869e-07  -9.5306512357255874e-07  1.0690938418549676e-07  6.1643966793513969e-12  1.1722509096620324e-06  -1.1722685397081808e-06  2.6125967657420122e-11  9.6463900817139467e-07  9.9398845294963701e-11  -1.0446623122618391e-10  -5.1701128350541199e-09  -5.1946005126611188e-09  1.5618316219800056e-09  -9.6586722436438205e-11  -5.8910569419317750e-09  6.1216544967215036e-09  1.0997582432527275e-10  1.2378882419051783e-10
3.1999999999999802e+00  -3.1106179602377011e-10  -6.5478177516098541e-07  -6.0149903705058235e-07  -6.0151709603604692e-07  -1.5809420475302490e-07  1.4074032804745758e-10  6.7756656832394737e-07  -6.7745408918796157e-07  1.3579733856745289e-10  6.7676721008863700e-07  -1.3423529569559135e-10  -6.1683622727368381e-10  4.8230486965862126e-09  4.2225112871782602e-09  1.8569699744585868e-09  1.1292758661632005e-10  5.2233401576432960e-09  -4.8929546023383122e-09  -1.1084407781186425e-10  2.9294136629129935e-10
3.9999999999999600e+00  -2.2559197848031244e-11  1.4394614760431030e-07  1.1516247356238806e-07  1.1475912549517488e-07  1.0005712716566055e-07  7.6228407486195512e-11  -1.5845671441187194e-07  1.5777646139488004e-07  -2.8858574365444515e-10  -1.7237632637865022e-07  6.3862094743659443e-11  -1.3779718415821176e-09  -2.8416831621950078e-09  -2.8821845834319908e-09  1.7566868455788097e-08  -4.0522399271728122e-11  -2.0630362675228030e-09  2.1883437819449367e-09  9.2018484770129681e-11  8.9172535905062826e-10
4.7999999999999403e+00  -1.5019010734764420e-10  -9.1794028202840339e-07  -9.1828431322211185e-07  -9.1763570296948567e-07  -3.0327818849971245e-08  -9.8391624826393617e-10  9.7617206679566947e-07  -9.7675248066180897e-07  6.3954376716547082e-10  9.4010186867125255e-07  -9.5674220587132266e-11  3.4627537286789427e-09  1.9520400889852674e-09  1.8014963095229370e-09  -3.5604487152852547e-10  -5.4733608850712392e-11  -2.5519378422478957e-09  2.7413403842117605e-09  -1.9249093055569391e-11  -4.2695414444703627e-09
5.5999999999999304e+00  1.7505300489248974e-09  -7.4574700962450116e-07  -7.3976680459918927e-07  -7.4043794781411433e-07  -9.8254846522928574e-08  2.2038105689440600e-10  7.5474080207143266e-07  -7.5463404138644340e-07  3.9196908864993936e-10  7.6537185287906315e-07  2.0010241977919364e-10  4.2927264056866380e-08  3.3344731929603534e-08  3.2679907441326525e-08  3.0419468721294393e-09  8.5829104640100691e-11  -3.1440917613294894e-08  3.2173008430217036e-08  -9.6986432186294698e-11  -3.7335513896466165e-08
6.3999999999999098e+00  6.4015951687298775e-10  9.7054423464668579e-08  2.1342618222044736e-08  1.8944062180773878e-08  5.6756164151558382e-08  1.4199536190865546e-09  -9.6384821353439253e-09  1.1698374845500304e-08  -3.0281839505050453e-10  -1.1906711755149077e-07  -1.1596811674866785e-10  -1.4370064127648462e-07  -1.1925606442646554e-07  -1.1777316352666836e-07  3.0404535474744689e-08  -1.4738597491413473e-10  1.3838311342094146e-07  -1.3996501935372174e-07  2.4098714439478991e-10  1.4914393335390942e-07
7.1999999999998900e+00  -1.8892595739708298e-09  -7.6067276372100573e-07  -6.8889358604860964e-07  -6.8554516440522202e-07  -8.1717096835970453e-08  -7.9221700892903675e-10  7.3021165064764131e-07  -7.3157525696545688e-07  2.7065618887696631e-10  7.7994227225382112e-07  -3.6507004363790894e-10  1.8081687083824893e-07  1.6464484137286362e-07  1.6116956652908441e-07  -1.8690452723201828e-08  5.2513017524934603e-10  -2.0569530163745100e-07  2.0850104515158946e-07  -4.8728444297460406e-10  -2.0055329008074421e-07
