# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
0.0000000000000000e+00  3.9125444772201163e+00  3.6999876937506478e+01  3.1999880779602840e+01  3.1999880779602840e+01  4.3375385521898693e+00  0.0000000000000000e+00  nan  nan  nan  nan
8.0000000000000004e-01  3.9155170383664020e+00  3.6999849550885223e+01  3.1999852875178501e+01  3.1999852875175435e+01  4.3376486730838710e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.6000000000000001e+00  3.9185815916987949e+00  3.6999784776793319e+01  3.1999786971304623e+01  3.1999786971278599e+01  4.3378874476780203e+00  0.0000000000000000e+00  nan  nan  nan  nan
2.3999999999999901e+00  3.9218598392517339e+00  3.6999714534286682e+01  3.1999715038571985e+01  3.1999715038496745e+01  4.3380451051856346e+00  0.0000000000000000e+00  nan  nan  nan  nan
3.1999999999999802e+00  3.9253010777209747e+00  3.6999673036644829e+01  3.1999673156013834e+01  3.1999673155883464e+01  4.3381725619448774e+00  0.0000000000000000e+00  nan  nan  nan  nan
3.9999999999999600e+00  3.9288121911878315e+00  3.6999617487642645e+01  3.1999618911958208e+01  3.1999618911800233e+01  4.3384182681728367e+00  0.0000000000000000e+00  nan  nan  nan  nan
4.7999999999999403e+00  3.9320429152182359e+00  3.6999460460828573e+01  3.1999462364715889e+01  3.1999462364571315e+01  4.3388416822312861e+00  0.0000000000000000e+00  nan  nan  nan  nan
5.5999999999999304e+00  3.9349484964145782e+00  3.6999202709978860e+01  3.1999202207303888e+01  3.1999202207207762e+01  4.3392173290474192e+00  0.0000000000000000e+00  nan  nan  nan  nan
6.3999999999999098e+00  3.9380255389850292e+00  3.6998930633317897e+01  3.1998925842251513e+01  3.1998925842233984e+01  4.3393647173282721e+00  0.0000000000000000e+00  nan  nan  nan  nan
7.1999999999998900e+00  3.9416150818735955e+00  3.6998667961774508e+01  3.1998658770826506e+01  3.1998658770918002e+01  4.3395308164342614e+00  0.0000000000000000e+00  nan  nan  nan  nan
7.9999999999998703e+00  3.9453269350188296e+00  3.6998312480119992e+01  3.1998299582340149e+01  3.1998299582568812e+01  4.3400822684364764e+00  0.0000000000000000e+00  nan  nan  nan  nan
8.7999999999998604e+00  3.9484175270712747e+00  3.6997776503887017e+01  3.1997759831101334e+01  3.1997759831498655e+01  4.3409726519751359e+00  0.0000000000000000e+00  nan  nan  nan  nan
9.5999999999998398e+00  3.9508501686003514e+00  3.6997128828707275e+01  3.1997107053271428e+01  3.1997107053876842e+01  4.3418681988308352e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.0399999999999800e+01  3.9535057559917242e+00  3.6996504456830230e+01  3.1996476521063851e+01  3.1996476521915579e+01  4.3430818949717942e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.1199999999999800e+01  3.9570916236196156e+00  3.6995909851624710e+01  3.1995876188364843e+01  3.1995876189487173e+01  4.3461487366711120e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.1999999999999799e+01  3.9611863413955177e+00  3.6995224812671019e+01  3.1995185782431541e+01  3.1995185783832831e+01  4.3525058068874518e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.2799999999999800e+01  3.9649713202244783e+00  3.6994426117164203e+01  3.1994380647072141e+01  3.1994380648751349e+01  4.3623671883866866e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.3599999999999801e+01  3.9687403023766721e+00  3.6993700304042491e+01  3.1993650021829680e+01  3.1993650023772673e+01  4.3767872498093041e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.4399999999999700e+01  3.9732117545618664e+00  3.6993108463568817e+01  3.1993055145969013e+01  3.1993055148212672e+01  4.3954575164577374e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.5199999999999701e+01  3.9784448143389755e+00  3.6992424327884613e+01  3.1992369583571424e+01  3.1992369586193618e+01  4.4172241779320842e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.5999999999999700e+01  3.9835304968444634e+00  3.6991448396157260e+01  3.1991395052387780e+01  3.1991395055349265e+01  4.4408844121540216e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.6799999999999802e+01  3.9876174292931377e+00  3.6990325227071075e+01  3.1990275311261449e+01  3.1990275314560748e+01  4.4646044079888485e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.7600000000000001e+01  3.9912205679102652e+00  3.6989308567432850e+01  3.1989260413833048e+01  3.1989260417681280e+01  4.4886347710317285e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.8400000000000102e+01  3.9953976649729226e+00  3.6988431600514609e+01  3.1988386317536193e+01  3.1988386322010356e+01  4.5148437968231825e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.9200000000000198e+01  4.0001419229722739e+00  3.6987559224122784e+01  3.1987529923190330e+01  3.1987529928037528e+01  4.5431454445844608e+00  0.0000000000000000e+00  nan  nan  nan  nan
2.0000000000000298e+01  4.0047069008988627e+00  3.6986534096438106e+01  3.1986537153134588e+01  3.1986537158372890e+01  4.5725406381136908e+00  0.0000000000000000e+00  nan  nan  nan  nan
2.0800000000000502e+01  4.0088480254839922e+00  3.6985324420281202e+01  3.1985369138697788e+01  3.1985369144749537e+01  4.6033968160591909e+00  0.0000000000000000e+00  nan  nan  nan  nan
2.1600000000000598e+01  4.0130095860238395e+00  3.6984270204071642e+01  3.1984392776668127e+01  3.1984392783635403e+01  4.6363261914087204e+00  0.0000000000000000e+00  nan  nan  nan  nan
2.2400000000000698e+01  4.0178582831840934e+00  3.6983627786749103e+01  3.1983889175036019e+01  3.1983889182680795e+01  4.6724728979281185e+00  0.0000000000000000e+00  nan  nan  nan  nan
2.3200000000000799e+01  4.0234768759557475e+00  3.6983245795934103e+01  3.1983743831372937e+01  3.1983743839506559e+01  4.7128536784580648e+00  0.0000000000000000e+00  nan  nan  nan  nan
