# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  2.5231750146591692e-01  2.5000000000000000e-01
4.0000000000000002e-01  2.4947248544737677e-01  2.5000000000000000e-01
8.0000000000000004e-01  2.4644853672673775e-01  2.5000000000000000e-01
1.2000000000000000e+00  2.4374081067643549e-01  2.5000000000000000e-01
1.6000000000000001e+00  2.4201022673836806e-01  2.5000000000000000e-01
2.0000000000000000e+00  2.4066543241448898e-01  2.5000000000000000e-01
2.3999999999999901e+00  2.3951472168762114e-01  2.5000000000000000e-01
2.7999999999999798e+00  2.3862146158069542e-01  2.5000000000000000e-01
3.1999999999999802e+00  2.3797005377807537e-01  2.5000000000000000e-01
3.5999999999999699e+00  2.3759767571350277e-01  2.5000000000000000e-01
3.9999999999999600e+00  2.3756903683700334e-01  2.5000000000000000e-01
4.3999999999999497e+00  2.3791167058260268e-01  2.5000000000000000e-01
4.7999999999999403e+00  2.3859849036642103e-01  2.5000000000000000e-01
5.1999999999999300e+00  2.3958107621862448e-01  2.5000000000000000e-01
5.5999999999999304e+00  2.4084106188657620e-01  2.5000000000000000e-01
5.9999999999999201e+00  2.4241151852327816e-01  2.5000000000000000e-01
6.3999999999999098e+00  2.4435190535993886e-01  2.5000000000000000e-01
6.7999999999999003e+00  2.4668919498369113e-01  2.5000000000000000e-01
7.1999999999998900e+00  2.4931921679305372e-01  2.5000000000000000e-01
7.5999999999998797e+00  2.5193822626646561e-01  2.5000000000000000e-01
7.9999999999998703e+00  2.5412189962933068e-01  2.5000000000000000e-01
8.3999999999998707e+00  2.5550923196542208e-01  2.5000000000000000e-01
8.7999999999998604e+00  2.5600542771682239e-01  2.5000000000000000e-01
9.1999999999998501e+00  2.5588723301741451e-01  2.5000000000000000e-01
9.5999999999998398e+00  2.5558518135783370e-01  2.5000000000000000e-01
9.9999999999998295e+00  2.5535931367453957e-01  2.5000000000000000e-01
1.0399999999999800e+01  2.5524064523303092e-01  2.5000000000000000e-01
1.0799999999999800e+01  2.5517409716169676e-01  2.5000000000000000e-01
1.1199999999999800e+01  2.5515908862352427e-01  2.5000000000000000e-01
1.1599999999999801e+01  2.5521884388679161e-01  2.5000000000000000e-01
1.1999999999999799e+01  2.5531129255047330e-01  2.5000000000000000e-01
1.2399999999999800e+01  2.5537931121924429e-01  2.5000000000000000e-01
1.2799999999999800e+01  2.5540616999044080e-01  2.5000000000000000e-01
1.3199999999999800e+01  2.5542112414310159e-01  2.5000000000000000e-01
1.3599999999999801e+01  2.5546959041444600e-01  2.5000000000000000e-01
1.3999999999999700e+01  2.5554674745553840e-01  2.5000000000000000e-01
1.4399999999999700e+01  2.5561775874605136e-01  2.5000000000000000e-01
1.4799999999999701e+01  2.5565933535187974e-01  2.5000000000000000e-01
1.5199999999999701e+01  2.5569497723985279e-01  2.5000000000000000e-01
1.5599999999999699e+01  2.5579867661106120e-01  2.5000000000000000e-01
1.5999999999999700e+01  2.5597975786260868e-01  2.5000000000000000e-01
1.6399999999999800e+01  2.5616438604739911e-01  2.5000000000000000e-01
1.6799999999999802e+01  2.5627365667368984e-01  2.5000000000000000e-01
1.7199999999999900e+01  2.5622166810304187e-01  2.5000000000000000e-01
1.7600000000000001e+01  2.5609469333927853e-01  2.5000000000000000e-01
1.8000000000000000e+01  2.5641454681669940e-01  2.5000000000000000e-01
1.8400000000000102e+01  2.5674190271702557e-01  2.5000000000000000e-01
1.8800000000000100e+01  2.5670880590027895e-01  2.5000000000000000e-01
1.9200000000000198e+01  2.5654557348171014e-01  2.5000000000000000e-01
1.9600000000000300e+01  2.5638016645250522e-01  2.5000000000000000e-01
2.0000000000000298e+01  2.5604563394445706e-01  2.5000000000000000e-01
2.0400000000000400e+01  2.5543963733690689e-01  2.5000000000000000e-01
