# time  Re(R=8)  Im(R=8)  Re(R=16)  Im(R=16)
0.0000000000000000e+00  -7.5682236258035006e-04  1.1885520323620346e-07  -5.9237261310024307e-05  1.8037420338690868e-09
4.0000000000000002e-01  -7.7925465030950346e-04  -4.0903028706236782e-07  -6.7984195406976724e-05  4.9630812325806018e-09
8.0000000000000004e-01  -7.5787709425945875e-04  1.7716863034188282e-06  -6.9366626872117244e-05  -2.8514091115156309e-08
1.2000000000000000e+00  -7.1682913293886011e-04  -1.3702396019770711e-06  -6.7620748590472630e-05  1.0834087688888621e-07
1.6000000000000001e+00  -6.2526987852569156e-04  -3.7396490238302246e-07  -6.7738266554853068e-05  -2.2263658942354935e-07
2.0000000000000000e+00  -4.6546988828520227e-04  2.1150138316775467e-06  -6.8121988016153680e-05  1.0544123191729003e-07
2.3999999999999901e+00  -1.9535801958359491e-04  -1.3637399815408136e-06  -6.8616067646658167e-05  4.9025718570938269e-07
2.7999999999999798e+00  5.2891900604873842e-04  -3.7174114943708896e-07  -6.8961655556718941e-05  -1.0891320434009155e-06
3.1999999999999802e+00  1.4255368948055138e-03  1.3254805371929885e-07  -6.6316559006038717e-05  5.2420794021698030e-07
3.5999999999999699e+00  1.2058976757334046e-03  -1.5726021230232029e-07  -6.7127341139730366e-05  6.5857288807654409e-07
3.9999999999999600e+00  3.9621143225322252e-04  2.0432463140017509e-07  -7.0350121245463948e-05  -5.1153171842511330e-07
4.3999999999999497e+00  3.2083450026574880e-03  2.8581429363168287e-07  -6.8532203970817925e-05  3.9892367561992840e-08
4.7999999999999403e+00  3.0136672640332738e-03  2.4868017021823477e-08  -6.6953946915500255e-05  -4.7129581274490787e-07
5.1999999999999300e+00  -2.9591000870074343e-03  -6.8807055495467902e-08  -6.9981580855079807e-05  -7.2899996728660050e-08
5.5999999999999304e+00  -6.6440192293449676e-03  -2.2141628117824124e-07  -7.1074061021761731e-05  6.7283795659201894e-07
5.9999999999999201e+00  -7.7581661485128951e-03  -4.1123355210387041e-07  -7.2404970103036388e-05  3.2714709116269263e-07
6.3999999999999098e+00  -1.0653889523951864e-02  9.8505838501828683e-08  -7.7435173377322014e-05  -5.4333134871021622e-07
6.7999999999999003e+00  -1.4537554724569635e-02  5.8570347879414694e-07  -6.5832674490051989e-05  -4.5959314082920323e-07
7.1999999999998900e+00  -1.6129882748877215e-02  7.1650793514219727e-09  -4.1647903465467088e-05  5.6702062221582684e-07
7.5999999999998797e+00  -1.3619096183863739e-02  -3.2440776847990910e-07  -8.4044334211791038e-05  2.2994896532398044e-07
7.9999999999998703e+00  -8.4919570015560275e-03  7.1334743174442456e-08  -1.0429274668992980e-04  -4.0690790425625992e-07
8.3999999999998707e+00  -3.8640788487276849e-03  4.8628890312032488e-08  1.1144620577173363e-04  -2.0335573323644657e-07
8.7999999999998604e+00  -3.8441170743182306e-04  7.6069035487191182e-08  9.0383880555012347e-05  -3.7683496634027924e-08
9.1999999999998501e+00  2.7152487217761067e-03  8.9337096837408673e-08  -3.0558946712069151e-04  2.8428807219386097e-07
9.5999999999998398e+00  5.0173680691710581e-03  -4.6582093079136611e-07  8.3959657921931901e-05  4.6661228404670094e-07
9.9999999999998295e+00  5.6724838971014234e-03  -4.7792324133930174e-07  1.0057777708333117e-03  -8.5209345561072678e-08
1.0399999999999800e+01  4.4195075843120723e-03  2.9124040581911495e-07  1.0360594299622240e-03  -4.6145447740029303e-07
1.0799999999999800e+01  1.7577663333651996e-03  4.9240798485639509e-07  9.0993832731973328e-04  -1.5162691097248568e-07
1.1199999999999800e+01  -1.7602111516262296e-04  7.3192761521776999e-08  1.7933951629670387e-03  4.2091323735430808e-08
1.1599999999999801e+01  -4.1228393382144058e-04  5.5922536319606682e-08  2.9102870830154219e-03  -2.3797348359722349e-08
1.1999999999999799e+01  2.6358572762390096e-04  3.7190484354181678e-08  3.2382014498013789e-03  1.9848090999593772e-07
1.2399999999999800e+01  9.2354793487343120e-04  -3.5519835883979296e-07  2.4653079649397647e-03  3.5233742278611943e-07
1.2799999999999800e+01  1.0833390282440404e-03  -2.2890508590033955e-07  5.7386545269034897e-04  -2.0218555399576998e-08
1.3199999999999800e+01  1.3640402116324750e-03  2.4138760455079028e-07  -1.9820866919643765e-03  -3.3977456134475602e-07
1.3599999999999801e+01  1.9241343649306927e-03  3.0685134208884340e-07  -4.6953176726521675e-03  -2.7565949700402753e-07
1.3999999999999700e+01  1.9349088750377015e-03  2.7705383322054810e-07  -7.5371901101183372e-03  -9.7941438484527109e-08
1.4399999999999700e+01  1.5321187019477931e-03  2.8467769461932199e-07  -1.0284860909900785e-02  2.1151810969596965e-07
1.4799999999999701e+01  1.1903348726742655e-03  5.5750459105558547e-08  -1.1839185139328794e-02  3.2320937510720383e-07
1.5199999999999701e+01  7.9594687313407943e-04  -1.5576213281924515e-07  -1.1136078108161293e-02  -1.1173570905190191e-07
1.5599999999999699e+01  3.3397027981105269e-04  -7.2036828524900822e-08  -8.7652969736214011e-03  -3.1917051067998388e-07
1.5999999999999700e+01  -6.5710506193113812e-05  1.1873276661522905e-07  -6.0994911157058124e-03  7.9640414012374208e-08
1.6399999999999800e+01  -4.0455183560762239e-04  2.0996180126708124e-07  -3.1715433324730827e-03  1.8281798334988452e-07
1.6799999999999802e+01  -8.6560578689829173e-04  2.2525358283036356e-07  3.6528388523372068e-04  -1.8381325373452002e-07
1.7199999999999900e+01  -1.5602709821207952e-03  2.1398470764004715e-07  3.5174620965959403e-03  -3.5050120687106942e-07
1.7600000000000001e+01  -2.2285702389238629e-03  1.7207303223755120e-07  5.0708494379253710e-03  -3.4633519344029794e-07
1.8000000000000000e+01  -2.6319202249104785e-03  8.0739233922272863e-08  4.9514190741765576e-03  -2.3929656387468826e-07
1.8400000000000102e+01  -2.7875840879029493e-03  -2.9098486160805281e-08  3.7189376387306325e-03  1.5319747796458453e-07
1.8800000000000100e+01  -2.8499568619610787e-03  4.1436516886216076e-08  1.9906463335605260e-03  3.5299227842712970e-07
1.9200000000000198e+01  -2.8971190748475440e-03  1.6583511486310849e-07  4.4913499265261702e-04  6.9238063630815735e-08
1.9600000000000300e+01  -3.0839968471996710e-03  2.3837967947745637e-07  -3.0691245223068216e-04  -1.6070993455107332e-07
2.0000000000000298e+01  -3.3906377532843162e-03  1.9800360842724454e-07  -2.0859223773021703e-05  -1.3075322332184808e-07
2.0400000000000400e+01  -3.7024065900164507e-03  7.3425213728359544e-08  9.9759574189292946e-04  -1.3701223292378430e-07
2.0800000000000502e+01  -4.0535346052470236e-03  5.0853142782516642e-08  2.0307843320718855e-03  -1.3464117972497712e-07
2.1200000000000500e+01  -4.5126349431448397e-03  1.1382057367719729e-07  2.6077619365239887e-03  6.4625419544614732e-08
2.1600000000000598e+01  -4.9913434392952222e-03  9.6910576780054780e-08  2.7428046393763294e-03  2.9624918572314737e-07
2.2000000000000600e+01  -5.3830545892236230e-03  3.0282109036748052e-08  2.5792579260069770e-03  3.0205600907445485e-07
2.2400000000000698e+01  -5.6217743328588789e-03  2.6258452335567687e-08  2.2897196201456058e-03  8.7059081015286921e-08
2.2800000000000800e+01  -5.7455565370823514e-03  2.0281467480899510e-08  2.1111597745893098e-03  -1.3800147470322919e-07
2.3200000000000799e+01  -5.7662577343282860e-03  5.0699949525726938e-08  2.0822242299799862e-03  -2.0780697310190699e-07
2.3600000000000900e+01  -5.8564315627666176e-03  6.6137564474505567e-08  1.9454285890066212e-03  -1.2981845352506903e-07
2.4000000000000998e+01  -5.9307148921491307e-03  5.5929792848448907e-08  1.5041610771855791e-03  -1.8543071627996873e-08
2.4400000000001000e+01  -5.8503987670826775e-03  5.3956512091245289e-08  9.2212302842667861e-04  3.8264187411675080e-08
2.4800000000001098e+01  -5.6513457638526594e-03  6.8980119103047627e-08  4.9661064135906078e-04  3.9935998221613849e-08
