# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  1.6212562013274828e-01  1.6666666666666430e-01
2.6666666666666600e-01  1.6167754092445913e-01  1.6666666666666430e-01
5.3333333333333299e-01  1.6170724040277232e-01  1.6666666666666430e-01
8.0000000000000104e-01  1.6218482682129923e-01  1.6666666666666430e-01
1.0666666666666700e+00  1.6207761377121979e-01  1.6666666666666430e-01
1.3333333333333299e+00  1.6220362938616079e-01  1.6666666666666430e-01
1.6000000000000001e+00  1.6239115341765389e-01  1.6666666666666430e-01
1.8666666666666600e+00  1.6245562296410501e-01  1.6666666666666430e-01
2.1333333333333302e+00  1.6238532817496656e-01  1.6666666666666430e-01
2.3999999999999999e+00  1.6240874540392963e-01  1.6666666666666430e-01
2.6666666666666701e+00  1.6249521411678192e-01  1.6666666666666430e-01
2.9333333333333500e+00  1.6260290631584917e-01  1.6666666666666430e-01
3.2000000000000202e+00  1.6270846788804241e-01  1.6666666666666430e-01
3.4666666666666899e+00  1.6279113845963727e-01  1.6666666666666430e-01
3.7333333333333698e+00  1.6283986482525187e-01  1.6666666666666430e-01
4.0000000000000400e+00  1.6285772017707362e-01  1.6666666666666430e-01
4.2666666666667101e+00  1.6286025413819807e-01  1.6666666666666430e-01
4.5333333333333803e+00  1.6286531553750705e-01  1.6666666666666430e-01
4.8000000000000602e+00  1.6288213000227800e-01  1.6666666666666430e-01
5.0666666666667304e+00  1.6291293717876243e-01  1.6666666666666430e-01
5.3333333333333997e+00  1.6297077473505162e-01  1.6666666666666430e-01
5.6000000000000796e+00  1.6309053356345993e-01  1.6666666666666430e-01
5.8666666666667497e+00  1.6327903870067029e-01  1.6666666666666430e-01
6.1333333333334199e+00  1.6343187657883076e-01  1.6666666666666430e-01
6.4000000000000901e+00  1.6341134352866424e-01  1.6666666666666430e-01
6.6666666666667700e+00  1.6317021745023816e-01  1.6666666666666430e-01
6.9333333333334402e+00  1.6291570494162991e-01  1.6666666666666430e-01
7.2000000000001103e+00  1.6279060667693940e-01  1.6666666666666430e-01
7.4666666666667796e+00  1.6274814465852300e-01  1.6666666666666430e-01
7.7333333333334604e+00  1.6274349138332078e-01  1.6666666666666430e-01
8.0000000000001297e+00  1.6275481543441853e-01  1.6666666666666430e-01
8.2666666666667705e+00  1.6277241079034269e-01  1.6666666666666430e-01
8.5333333333334007e+00  1.6279289473824007e-01  1.6666666666666430e-01
8.8000000000000398e+00  1.6281525786652695e-01  1.6666666666666430e-01
9.0666666666666806e+00  1.6283926788905079e-01  1.6666666666666430e-01
9.3333333333333197e+00  1.6286543295111575e-01  1.6666666666666430e-01
9.5999999999999499e+00  1.6289461402846220e-01  1.6666666666666430e-01
9.8666666666665908e+00  1.6292675419511166e-01  1.6666666666666430e-01
1.0133333333333200e+01  1.6295561347790030e-01  1.6666666666666430e-01
1.0399999999999901e+01  1.6296010240771008e-01  1.6666666666666430e-01
1.0666666666666501e+01  1.6293313033998996e-01  1.6666666666666430e-01
1.0933333333333101e+01  1.6290954375997507e-01  1.6666666666666430e-01
1.1199999999999800e+01  1.6290854793206841e-01  1.6666666666666430e-01
1.1466666666666400e+01  1.6291821580508234e-01  1.6666666666666430e-01
1.1733333333333100e+01  1.6292462338346300e-01  1.6666666666666430e-01
1.1999999999999700e+01  1.6292599782915634e-01  1.6666666666666430e-01
1.2266666666666300e+01  1.6292755285941588e-01  1.6666666666666430e-01
1.2533333333332999e+01  1.6293090354461168e-01  1.6666666666666430e-01
1.2799999999999599e+01  1.6293115992083487e-01  1.6666666666666430e-01
1.3066666666666199e+01  1.6292570669214740e-01  1.6666666666666430e-01
1.3333333333332900e+01  1.6291863690583738e-01  1.6666666666666430e-01
1.3599999999999500e+01  1.6291244539848507e-01  1.6666666666666430e-01
1.3866666666666200e+01  1.6290453903513641e-01  1.6666666666666430e-01
1.4133333333332800e+01  1.6289104215604872e-01  1.6666666666666430e-01
1.4399999999999400e+01  1.6286983245837752e-01  1.6666666666666430e-01
1.4666666666666099e+01  1.6284098886160150e-01  1.6666666666666430e-01
1.4933333333332699e+01  1.6280578100258797e-01  1.6666666666666430e-01
1.5199999999999299e+01  1.6276569787537026e-01  1.6666666666666430e-01
1.5466666666666001e+01  1.6272290050878932e-01  1.6666666666666430e-01
1.5733333333332601e+01  1.6268099167737013e-01  1.6666666666666430e-01
1.5999999999999201e+01  1.6264361598280777e-01  1.6666666666666430e-01
1.6266666666666001e+01  1.6261249617804546e-01  1.6666666666666430e-01
1.6533333333332699e+01  1.6258751626861959e-01  1.6666666666666430e-01
