# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  1.4562524595968374e-06  1.0579267504443278e-06  6.0212859109988870e-01  3.4085143643995548e+00  2.8313492531882523e-01
2.6666666666666600e-01  1.3036925966876469e-06  9.8204046858955857e-07  8.3368501818613971e-01  4.3347400727445589e+00  7.1113827110088423e-01
5.3333333333333299e-01  1.2337210468913074e-06  9.3169698802859773e-07  7.5133710295691314e-01  4.0053484118276526e+00  7.1172562801229367e-01
8.0000000000000104e-01  1.1676791610556697e-06  8.8213933498355047e-07  7.6423392788351441e-01  4.0569357115340576e+00  7.0857823527697017e-01
1.0666666666666700e+00  1.1080604369096482e-06  8.3256575979444815e-07  7.5471905605389944e-01  4.0188762242155978e+00  6.9736405788774980e-01
1.3333333333333299e+00  9.9936198573380664e-07  7.4978484381105393e-07  7.5673441700680721e-01  4.0269376680272284e+00  6.8172457889282256e-01
1.6000000000000001e+00  8.0235884215422863e-07  6.0595006174789251e-07  7.5272473369529180e-01  4.0108989347811672e+00  6.5443958030712546e-01
1.8666666666666600e+00  5.7595611217861406e-07  4.3462351460495850e-07  7.5430482102484775e-01  4.0172192840993910e+00  6.0462809705995357e-01
2.1333333333333302e+00  3.0183168002903725e-07  2.2580333669386575e-07  7.5505056476839838e-01  4.0202022590735940e+00  4.8754247359492120e-01
2.3999999999999999e+00  7.8082888324517872e-08  5.8481522790562677e-08  7.4772117139021099e-01  3.9908846855608440e+00  1.6561481049690957e-01
2.6666666666666701e+00  2.9364856000568735e-08  2.1535877702784830e-08  7.3838650337983380e-01  3.9535460135193352e+00  1.4112834210114700e-01
2.9333333333333500e+00  8.4631044154364451e-07  6.3569956291090909e-07  7.5673878757825430e-01  4.0269551503130172e+00  6.6003756512519529e-01
3.2000000000000202e+00  3.5038119338470632e-06  2.6220340401985164e-06  7.5032781990747155e-01  4.0013112796298866e+00  8.2140083103785710e-01
3.4666666666666899e+00  4.5777063261323155e-06  3.4327294239976230e-06  7.4905618105301242e-01  3.9962247242120497e+00  8.3912222305249684e-01
3.7333333333333698e+00  4.9386771881036189e-06  3.6812432215989141e-06  7.4907901206621763e-01  3.9963160482648705e+00  8.4125504961288367e-01
4.0000000000000400e+00  4.0770000563199958e-06  3.0337751128819862e-06  7.4725350939700408e-01  3.9890140375880163e+00  8.2952252216735334e-01
4.2666666666667101e+00  6.8570584164002918e-07  5.2295197252408042e-07  7.5568863866685609e-01  4.0227545546674239e+00  6.2602555590183540e-01
4.5333333333333803e+00  8.7276352609938751e-06  6.5428193822938676e-06  7.5264445718211959e-01  4.0105778287284783e+00  8.7750344035687577e-01
4.8000000000000602e+00  2.4413122546802978e-05  1.8315118823091110e-05  7.5345838085775374e-01  4.0138335234310150e+00  9.2686558270098907e-01
5.0666666666667304e+00  1.9018520158757544e-06  1.3886527301248778e-06  7.3940445911329455e-01  3.9576178364531782e+00  7.6222623031531955e-01
5.3333333333333997e+00  1.4144909871767377e-05  1.0765209524335574e-05  7.5493174365976623e-01  4.0197269746390649e+00  9.0298818360074062e-01
5.6000000000000796e+00  7.8064503588760431e-05  5.8461976298915824e-05  7.5094164151096732e-01  4.0037665660438693e+00  9.5682351807879840e-01
5.8666666666667497e+00  1.8026666238144949e-04  1.3503927664036276e-04  7.4998768474509991e-01  3.9999507389803997e+00  9.7158807091048127e-01
6.1333333333334199e+00  2.3801553685269617e-04  1.7929516050230600e-04  7.5075240757592732e-01  4.0030096303037093e+00  9.7553093958107484e-01
6.4000000000000901e+00  2.9039098996426228e-04  2.1868436620809433e-04  7.5174592078729496e-01  4.0069836831491799e+00  9.7778247809552121e-01
6.6666666666667700e+00  4.3839204751911377e-04  3.2903975499629605e-04  7.5247359622453835e-01  4.0098943848981534e+00  9.8154694471579229e-01
6.9333333333334402e+00  6.2973430126116929e-04  4.7253268827883162e-04  7.5353707613196741e-01  4.0141483045278701e+00  9.8452479128750481e-01
7.2000000000001103e+00  6.8824049091182791e-04  5.1649634784897290e-04  7.5269364709344466e-01  4.0107745883737786e+00  9.8647862469628411e-01
7.4666666666667796e+00  5.3860873111540378e-04  4.0378032838662856e-04  7.4967585354499211e-01  3.9987034141799684e+00  9.8774775765381473e-01
