# time  chi_mean_R8  chi_min_R8  chi_max_R8  lapse_mean_R8  lapse_min_R8  lapse_max_R8  K_mean_R8  K_min_R8  K_max_R8  chi_mean_R16  chi_min_R16  chi_max_R16  lapse_mean_R16  lapse_min_R16  lapse_max_R16  K_mean_R16  K_min_R16  K_max_R16
0.0000000000000000e+00  1.0309860535101112e+00  1.0275170266378657e+00  1.0395486459845351e+00  1.0189369798738410e+00  1.0167779827737320e+00  1.0266442892802812e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0137171645559819e+00  1.0129090241275593e+00  1.0152489032773351e+00  1.0095774071901547e+00  1.0091425909370120e+00  1.0104115445449353e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
2.6666666666666600e-01  1.0309935207497252e+00  1.0275188988616404e+00  1.0395699932852032e+00  1.0189179874171126e+00  1.0167743685327346e+00  1.0265927763740750e+00  8.5619486119246807e-05  -8.1291743634451718e-04  1.4636569841467524e-03  1.0136960675421949e+00  1.0130991425413036e+00  1.0151956400516742e+00  1.0095653006881049e+00  1.0092412835418041e+00  1.0103880368002796e+00  -2.4686820786573210e-05  -4.8488941920809121e-04  4.1529650565600709e-04
5.3333333333333299e-01  1.0310195384229903e+00  1.0275056084208145e+00  1.0396423608090846e+00  1.0188561702928518e+00  1.0167813739053075e+00  1.0263856340941522e+00  1.8691499802475089e-04  -5.1375636284557063e-04  1.1712425424940237e-03  1.0136958985290621e+00  1.0131016911158821e+00  1.0152164461845730e+00  1.0095657732982266e+00  1.0092381418237892e+00  1.0103955128152937e+00  4.7942672276213230e-06  -1.7661744122767444e-04  1.8675327500448035e-04
8.0000000000000104e-01  1.0310656132396030e+00  1.0274837382227981e+00  1.0397568210082055e+00  1.0187414177211980e+00  1.0168512987548164e+00  1.0260161249785238e+00  2.8561806294942396e-04  -2.8953189771505631e-04  1.1546615367225910e-03  1.0136966195556165e+00  1.0131004293192323e+00  1.0152263828298143e+00  1.0095649682743737e+00  1.0092391085570598e+00  1.0103919966588375e+00  2.3920287039697974e-06  -1.1292233683822055e-04  1.2341214679869941e-04
1.0666666666666700e+00  1.0311275035657352e+00  1.0275178257434601e+00  1.0399188179758847e+00  1.0185749566961100e+00  1.0168238791884892e+00  1.0255298358037663e+00  3.6862813175929545e-04  -1.8074166783351104e-04  1.2850701902631981e-03  1.0136970255530424e+00  1.0131006274118497e+00  1.0152290972007989e+00  1.0095642538220200e+00  1.0092387605598769e+00  1.0103924975050906e+00  2.7513065116990303e-06  -1.0129380750527554e-04  1.2168348568467632e-04
1.3333333333333299e+00  1.0312046085032591e+00  1.0275662149530789e+00  1.0401405782541484e+00  1.0183605471135302e+00  1.0167736316134868e+00  1.0248867448183803e+00  4.5745159175180700e-04  -4.6468675344263466e-05  1.4658849754565913e-03  1.0136976181859685e+00  1.0131006312593098e+00  1.0152329028646312e+00  1.0095631471818338e+00  1.0092387454553529e+00  1.0103924106087638e+00  3.4802802672407039e-06  -5.1514700441038228e-05  6.9703472018766907e-05
1.6000000000000001e+00  1.0313008172909786e+00  1.0275954976671373e+00  1.0403878511359783e+00  1.0180935978334027e+00  1.0167013293536018e+00  1.0241103412342816e+00  5.5928043145276143e-04  6.5408422480088519e-05  1.6095950663945710e-03  1.0136983309976921e+00  1.0131007617200154e+00  1.0152391865330530e+00  1.0095617109139861e+00  1.0092384823075256e+00  1.0103940797933115e+00  4.0742497661407695e-06  -3.4477314273337953e-05  4.9027762513147990e-05
1.8666666666666600e+00  1.0314176061195686e+00  1.0276455875359214e+00  1.0406259050611386e+00  1.0177707358721015e+00  1.0164973768192087e+00  1.0232626737317743e+00  6.6332083841616572e-04  2.0443048631286573e-04  1.6885948945446949e-03  1.0136991582716486e+00  1.0131005368501271e+00  1.0152460390932070e+00  1.0095599448561461e+00  1.0092386783265466e+00  1.0103908285840439e+00  4.7596422085190973e-06  -2.6563950782157411e-05  5.1366706248466633e-05
2.1333333333333302e+00  1.0315524948060399e+00  1.0277465138684063e+00  1.0408576957351079e+00  1.0173944490896902e+00  1.0161851515876781e+00  1.0223996461728286e+00  7.5569011879681835e-04  3.5399758109867004e-04  1.6996519491685618e-03  1.0137001243774630e+00  1.0131003558380063e+00  1.0152499200908454e+00  1.0095577982208590e+00  1.0092390249693493e+00  1.0103866738302851e+00  5.4233649347271724e-06  -2.0065468413600488e-05  4.7954032951314016e-05
2.3999999999999999e+00  1.0316957897484438e+00  1.0278985744342990e+00  1.0410913878091368e+00  1.0169797850593389e+00  1.0158521704544052e+00  1.0215303883866864e+00  8.0654845507175895e-04  4.7125481619056419e-04  1.6961760116072264e-03  1.0137011029848007e+00  1.0131014107989122e+00  1.0152439635352914e+00  1.0095554602611929e+00  1.0092374479818933e+00  1.0103848716335850e+00  5.4162574735137131e-06  -2.4522274241000229e-05  4.2756800568972099e-05
2.6666666666666701e+00  1.0318363352374487e+00  1.0280565430605846e+00  1.0413352396977673e+00  1.0165498171102576e+00  1.0154773762323746e+00  1.0206664339527316e+00  8.2931424268937440e-04  5.0513168901286881e-04  1.7244682279353826e-03  1.0137019118353776e+00  1.0131026954164843e+00  1.0152398253856416e+00  1.0095532883104241e+00  1.0092350540562107e+00  1.0103924059112865e+00  4.9347776142485128e-06  -3.3779351309663451e-05  3.5540193970727876e-05
2.9333333333333500e+00  1.0319834741260290e+00  1.0281678906649530e+00  1.0415956451669564e+00  1.0161000565980935e+00  1.0150808535522660e+00  1.0198213926985185e+00  8.9564375341055064e-04  4.3298588690247268e-04  1.8100702401208783e-03  1.0137025781880666e+00  1.0131026597099666e+00  1.0152355765305459e+00  1.0095513296085898e+00  1.0092344391060286e+00  1.0104028260864681e+00  4.6924795783103205e-06  -4.8377764221152975e-05  4.1878676744880845e-05
3.2000000000000202e+00  1.0321497019503849e+00  1.0282794033347114e+00  1.0418542645021827e+00  1.0156160000638439e+00  1.0146397696731146e+00  1.0189849494362970e+00  9.3403047169656416e-04  2.8043222236204761e-04  1.6279475798593238e-03  1.0137032124800300e+00  1.0131024499274082e+00  1.0152441331809841e+00  1.0095494407051508e+00  1.0092339272695965e+00  1.0104041990039347e+00  4.7056473769024876e-06  -5.0462035960639915e-05  5.2354617803452446e-05
3.4666666666666899e+00  1.0322797140438182e+00  1.0284361942973723e+00  1.0420598793561808e+00  1.0151892262388134e+00  1.0142151850327998e+00  1.0182009874972806e+00  6.3316387613418729e-04  -6.3852330868063211e-05  1.3639481829832835e-03  1.0137039876488445e+00  1.0131039789063854e+00  1.0152635246125803e+00  1.0095473588056185e+00  1.0092303246735386e+00  1.0103916881670101e+00  5.6312894963045208e-06  -4.3516160903387356e-05  8.0206966880082045e-05
3.7333333333333698e+00  1.0322081218645689e+00  1.0284334886690158e+00  1.0421467922325771e+00  1.0151080756266304e+00  1.0138779256368402e+00  1.0176655392069704e+00  -3.9473932224928061e-04  -2.3769406043862261e-03  9.6233368980514617e-04  1.0137053722585443e+00  1.0131068924193614e+00  1.0152888551666956e+00  1.0095442625805870e+00  1.0092248467154641e+00  1.0103532518388121e+00  8.5684894159286823e-06  -4.3129738352658433e-05  1.1060369211616449e-04
