# time  f_op  f_geo  geo_trustworthy  max_local_speed  superluminal_fraction  max_shift  structure_coherence  reachable  n_rays  n_reached  max_h_rel_drift  f_geo_evol  f_geo_evol_ok
0.0000000000000000e+00  4.9219344565435322e-02  5.6807001902075112e-02  1  1.0670347904196160e+00  3.9217770220002124e-01  0.0000000000000000e+00  nan  1  5  5  3.4674732305327137e-05  0.0000000000000000e+00  0
2.0000000000000001e-01  4.8345317741086455e-02  5.6244344331751975e-02  1  1.0644504866336502e+00  3.9175257731958762e-01  1.1068426951061780e-04  nan  1  5  5  9.9009054284697282e-06  0.0000000000000000e+00  0
4.0000000000000002e-01  5.0254577400209353e-02  5.7129592869350355e-02  1  1.0739494653004318e+00  3.9100860877882876e-01  4.0818218566051543e-04  nan  1  5  5  7.8308828702887572e-05  0.0000000000000000e+00  0
5.9999999999999998e-01  5.5357021055079322e-02  5.9981606988242064e-02  1  1.0975410079765524e+00  3.8792645339568499e-01  8.1559781894153854e-04  nan  1  5  5  1.7475390695557161e-04  0.0000000000000000e+00  0
8.0000000000000104e-01  6.1939833406558585e-02  6.4345986203479338e-02  1  1.1266674440334052e+00  3.8441917313210755e-01  1.6306146385274254e-03  nan  1  5  5  7.7783948596370532e-05  0.0000000000000000e+00  0
1.0000000000000000e+00  6.6355471471147578e-02  6.8156430188907657e-02  1  1.1406866842656385e+00  3.7846742480603679e-01  3.7371261198886445e-03  nan  1  5  5  1.0331270130970596e-04  0.0000000000000000e+00  0
1.2000000000000000e+00  6.9817047047633696e-02  7.1002976796165920e-02  1  1.1549874884576812e+00  3.7379105112126687e-01  6.9013888152550948e-03  nan  1  5  5  2.4701432224661095e-04  0.0000000000000000e+00  0
1.3999999999999899e+00  7.3128091783964219e-02  7.4465755155940089e-02  1  1.1695468023103641e+00  3.6879583377617176e-01  1.0091981686803085e-02  nan  1  5  5  2.6788346912322915e-04  0.0000000000000000e+00  0
1.5999999999999901e+00  7.5956690252493006e-02  7.7818515330859817e-02  1  1.1814146515019799e+00  3.6624508449356996e-01  1.3736428690510848e-02  nan  1  5  5  2.9496568879910934e-04  0.0000000000000000e+00  0
1.7999999999999801e+00  7.8011980563429131e-02  8.0700543940143005e-02  1  1.1887929220759306e+00  3.6475714741205228e-01  1.8149649152078291e-02  nan  1  5  5  3.0522015792591332e-04  0.0000000000000000e+00  0
1.9999999999999800e+00  7.9096143809933475e-02  8.2750148776951568e-02  1  1.1921395892243938e+00  3.6592624083324476e-01  2.3051418018549971e-02  nan  1  5  5  3.9083777439970641e-04  0.0000000000000000e+00  0
2.1999999999999802e+00  7.9349017218596510e-02  8.3881149850989101e-02  1  1.1931124154705133e+00  3.7017748963758101e-01  2.7589142524429653e-02  nan  1  5  5  4.3867545667558967e-04  0.0000000000000000e+00  0
2.3999999999999702e+00  7.9098833980281974e-02  8.4279171234965769e-02  1  1.1919900751778880e+00  3.7761717504516951e-01  3.1973763858850930e-02  nan  1  5  5  4.4447816287041512e-04  0.0000000000000000e+00  0
2.5999999999999699e+00  7.8511658438471202e-02  8.4107414208908077e-02  1  1.1906005344518540e+00  3.8877670315655222e-01  3.6429906297563326e-02  nan  1  5  5  4.6712678476488551e-04  0.0000000000000000e+00  0
2.7999999999999599e+00  7.7676993071545256e-02  8.3487275576395514e-02  1  1.1874810323978631e+00  4.0301838665107875e-01  3.9606241700991439e-02  nan  1  5  5  4.8822427507753382e-04  0.0000000000000000e+00  0
2.9999999999999600e+00  7.6660526092987596e-02  8.2470698421985830e-02  1  1.1847362612221759e+00  4.2406206823254333e-01  4.2444940762682133e-02  nan  1  5  5  5.2366583564159833e-04  0.0000000000000000e+00  0
3.1999999999999500e+00  7.5506816385773085e-02  8.1083192142365770e-02  1  1.1802219328610255e+00  4.4829418641726004e-01  4.4138548874743812e-02  nan  1  5  5  5.4518366851953528e-04  0.0000000000000000e+00  0
3.3999999999999502e+00  7.4241720703156419e-02  7.9353296288287009e-02  1  1.1763458157393634e+00  4.7613986608566267e-01  4.5641151503098401e-02  nan  1  5  5  5.5380121424315764e-04  0.0000000000000000e+00  0
