# time  Re(R=8)  Im(R=8)  Re(R=16)  Im(R=16)
0.0000000000000000e+00  -1.7415905458702552e-05  1.7812106201941389e-07  -2.5046267835446312e-06  -3.4443836688390268e-08
2.6666666666666600e-01  -4.2419971682439698e-05  -6.5948561202245612e-07  -1.9696949182507374e-06  -3.8189537871442545e-09
5.3333333333333299e-01  -4.1617011011297727e-05  -1.1808971469839882e-07  -5.1439113256586716e-07  -2.5992026379621083e-09
8.0000000000000104e-01  -3.5500657460661375e-05  1.4570863797905657e-06  -8.1751576185618864e-07  -1.9824268603061811e-09
1.0666666666666700e+00  -4.0491608038132839e-05  -8.1022481825425453e-07  -9.7807292265495196e-07  6.7546917693465337e-09
1.3333333333333299e+00  -3.6752725986451866e-05  -2.4974900878991611e-08  -9.2989132400589266e-07  2.1655995761431573e-09
1.6000000000000001e+00  -3.2575121897022172e-05  -1.1522184840539481e-07  -7.9495082290008508e-07  4.2273996477406848e-09
1.8666666666666600e+00  -3.2583654498641532e-05  1.2387846400868919e-07  -8.6811371080934863e-07  -4.4076713734124947e-08
2.1333333333333302e+00  -3.1538591142366898e-05  6.9016798771937333e-07  -7.3870955267831282e-07  -2.1974347753499404e-08
2.3999999999999999e+00  -2.9705081748399995e-05  -7.5091481961519447e-08  -5.8889142322335761e-07  9.3043723941659521e-08
2.6666666666666701e+00  -2.8276311099531131e-05  -4.9106756945554579e-07  -1.3398693653619510e-06  1.1521921246616061e-07
2.9333333333333500e+00  -2.5606153751405625e-05  -2.5009311519841509e-07  -8.0204200794052307e-07  -1.4586313836283822e-07
3.2000000000000202e+00  -2.1856984551486971e-05  1.8148365073067636e-07  1.0578079549733069e-07  -2.6049621506375058e-07
3.4666666666666899e+00  -1.8355755174844377e-05  2.8927654283971369e-07  -6.3680742393792309e-07  1.6695918176660087e-07
3.7333333333333698e+00  -1.5082479627631432e-05  5.5985749064382391e-09  -9.7168107553076208e-07  2.8994496623247839e-07
4.0000000000000400e+00  -1.0805552131027439e-05  -2.9241011716622011e-08  -5.9335452094713518e-07  -2.1325784152084307e-07
4.2666666666667101e+00  -5.7600300013684108e-06  4.2568297995207709e-08  -5.7265546734476259e-07  -6.6913905568885868e-08
4.5333333333333803e+00  -7.0977525054750534e-07  -4.7817209661615266e-08  -7.1057445324427403e-07  2.5841952491912210e-07
4.8000000000000602e+00  4.6893671847236608e-06  -7.2709761881632841e-08  -6.8741391135931512e-07  -1.5069394815293281e-07
5.0666666666667304e+00  1.0439725078952381e-05  -1.5010173079931342e-09  -1.0627071150459970e-07  -2.5241192640596994e-07
5.3333333333333997e+00  1.6192208927070069e-05  1.7829466896821746e-08  5.0298399454928811e-07  2.0909394870683547e-07
5.6000000000000796e+00  2.2014026578995260e-05  -3.3009678640296635e-08  9.7374175727078664e-08  2.5757713251354192e-07
5.8666666666667497e+00  2.7940100554749457e-05  -8.3586935132948592e-08  -7.6621452108914071e-07  -1.0426187051595023e-07
6.1333333333334199e+00  3.3819389766955923e-05  -8.5319385780557873e-08  -7.4504389645520160e-07  -2.6932410380523244e-07
6.4000000000000901e+00  3.9642269670167704e-05  -6.7879550312657018e-08  2.3747884784319550e-07  -3.4492560452959083e-08
6.6666666666667700e+00  4.5583879684251292e-05  -9.6111566109059457e-09  1.1301784090208304e-06  2.9765014133686564e-07
6.9333333333334402e+00  5.1625805004134100e-05  9.7090712136888697e-08  1.0614179766589786e-06  9.1854478857232981e-08
7.2000000000001103e+00  5.7805522427967999e-05  7.2036778302925942e-08  5.0154632826490205e-07  -2.8742953787938478e-07
7.4666666666667796e+00  6.4410471171245861e-05  -8.8317960033118774e-08  8.2489252313859727e-07  -1.6909135881624445e-08
7.7333333333334604e+00  7.0987432724499330e-05  -1.1658216593067197e-07  1.9495859235701995e-06  2.9328727828881920e-07
8.0000000000001297e+00  7.7145737711952324e-05  9.5869564249206865e-09  2.4547372241271904e-06  7.3001989882630824e-08
8.2666666666667705e+00  8.4206114180257629e-05  2.2707317397723425e-08  2.3220989189333179e-06  -6.2111553032947081e-08
8.5333333333334007e+00  9.2774639579566856e-05  -1.6485954499157313e-07  2.6753980082875404e-06  6.8328428105885715e-08
8.8000000000000398e+00  1.0109182392760121e-04  -1.9381689725876077e-07  3.5365971354811448e-06  5.1065043095074854e-08
9.0666666666666806e+00  1.0884816281656126e-04  1.1462409722931627e-07  4.2616909913175283e-06  -1.3034746863465196e-07
9.3333333333333197e+00  1.1802760545765511e-04  1.8285580943483630e-07  5.0297723158771384e-06  -1.8856116510847589e-07
9.5999999999999499e+00  1.2862794014235765e-04  -2.1447385487659688e-07  6.3524809457749449e-06  2.3554508241937720e-08
9.8666666666665908e+00  1.3895160972339304e-04  -3.6093380389217014e-07  7.9867354135494641e-06  2.7688093672122784e-07
1.0133333333333200e+01  1.4933435489643981e-04  -4.2402570932230341e-08  9.3191590821143588e-06  2.2285890660287996e-07
1.0399999999999901e+01  1.6115132327404680e-04  1.2941753198854388e-07  1.0421953303392918e-05  -5.8099620016115512e-08
1.0666666666666501e+01  1.7422663043238336e-04  -2.2546595059162905e-08  1.1991428118835245e-05  -2.0481370608801534e-07
1.0933333333333101e+01  1.8774172794253124e-04  -1.6636977664277292e-07  1.4382828516892604e-05  -1.1147109704493585e-07
1.1199999999999800e+01  2.0169751535369470e-04  -1.9338278208308026e-07  1.7342632008771721e-05  6.3408246038751387e-08
1.1466666666666400e+01  2.1647397177053696e-04  -1.6298066567822211e-07  2.0599355261964764e-05  1.6735607722349917e-07
1.1733333333333100e+01  2.3197262530071089e-04  -5.1520991551127197e-08  2.4088456753505742e-05  1.2968375257598072e-07
1.1999999999999700e+01  2.4791511556409738e-04  8.0831570805553156e-08  2.7730162545838694e-05  -1.4059319537528458e-08
1.2266666666666300e+01  2.6478740829064001e-04  5.7581303740886410e-08  3.1605209501409649e-05  -9.6896605871676796e-08
1.2533333333332999e+01  2.8309511661975901e-04  -1.2972873732612675e-07  3.6052284988396285e-05  -1.1451951396721033e-08
1.2799999999999599e+01  3.0185372147367511e-04  -2.5359954730590081e-07  4.1012592842318402e-05  1.0621489413132255e-07
1.3066666666666199e+01  3.1982351201630750e-04  -1.7663205279143746e-07  4.5837989720928627e-05  8.4284716127523886e-08
1.3333333333332900e+01  3.3749062102505112e-04  -4.1410523013204651e-08  5.0221961153267381e-05  -1.3897646366722619e-08
1.3599999999999500e+01  3.5599793602518926e-04  -9.3414975671910826e-09  5.4562979919600688e-05  -3.4863083507529221e-08
1.3866666666666200e+01  3.7543073273646227e-04  -4.2453787945687760e-08  5.9113418424231632e-05  -1.8037620554851623e-08
1.4133333333332800e+01  3.9529434749176445e-04  -7.2435976960774060e-08  6.3502842488228327e-05  -7.4020835104293203e-08
1.4399999999999400e+01  4.1540375134252753e-04  -1.2402166683005219e-07  6.7372594122586826e-05  -7.6741490438535998e-08
1.4666666666666099e+01  4.3583596705919371e-04  -1.7863329008613015e-07  7.1068567927320953e-05  1.0654651643650586e-07
1.4933333333332699e+01  4.5680189081463436e-04  -1.5281893030244682e-07  7.5153433543424526e-05  2.1644415275751819e-07
1.5199999999999299e+01  4.7860658966203493e-04  -5.1352210621582704e-08  7.9331390222357468e-05  2.5418283210261150e-08
1.5466666666666001e+01  5.0139303372532867e-04  2.3086461300381445e-08  8.2920203848229176e-05  -1.5931611322144502e-07
1.5733333333332601e+01  5.2504046814242354e-04  1.0203866597013882e-08  8.6311480256442288e-05  -4.0002824601139509e-08
