# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
0.0000000000000000e+00  1.5894500806476035e+01  3.6001528547013322e+01  3.1999877607434126e+01  3.1999877502978144e+01  5.0452947923941771e+00  1.7083014709118459e+01  2.8002049529489931e+01  3.2000116577795346e+01  3.2000116557848251e+01  5.1623093177453967e+00
2.6666666666666600e-01  1.5894373879281259e+01  3.6001564350316308e+01  3.1999873666394016e+01  3.1999873570150722e+01  5.0454376384754882e+00  1.7086455760409578e+01  2.8002111721717789e+01  3.2000120410409032e+01  3.2000120391433761e+01  5.1621805156923148e+00
5.3333333333333299e-01  1.5891335502597144e+01  3.6001669245743699e+01  3.1999862896480050e+01  3.1999862820976688e+01  5.0458472205998142e+00  1.7093184506789640e+01  2.8002288607241582e+01  3.2000130804207345e+01  3.2000130787386929e+01  5.1618276034539763e+00
8.0000000000000104e-01  1.5886130444703866e+01  3.6001827583277866e+01  3.1999846308678638e+01  3.1999846265177400e+01  5.0464487327118057e+00  1.7102199990517924e+01  2.8002552758750166e+01  3.2000146664961314e+01  3.2000146650850922e+01  5.1613415335470663e+00
1.0666666666666700e+00  1.5879839595154252e+01  3.6002015742482719e+01  3.1999824840998418e+01  3.1999824841599565e+01  5.0471340341043742e+00  1.7112237124998458e+01  2.8002867962103796e+01  3.2000167038927962e+01  3.2000167027461551e+01  5.1608327525365070e+00
1.3333333333333299e+00  1.5873598021626986e+01  3.6002208043231121e+01  3.1999799499688876e+01  3.1999799557212445e+01  5.0477939294235172e+00  1.7122107169377742e+01  2.8003197114354553e+01  3.2000190996243134e+01  3.2000190986590319e+01  5.1603966178847021e+00
1.6000000000000001e+00  1.5868316001678100e+01  3.6002381876680253e+01  3.1999771062772702e+01  3.1999771189192924e+01  5.0483510466781372e+00  1.7130961924129352e+01  2.8003509350049690e+01  3.2000217857267081e+01  3.2000217848020043e+01  5.1600862354124430e+00
1.8666666666666600e+00  1.5864504161862470e+01  3.6002520874833017e+01  3.1999739862339723e+01  3.1999740066486822e+01  5.0487818837185046e+00  1.7138412043104154e+01  2.8003784197721945e+01  3.2000247356263571e+01  3.2000247346717160e+01  5.1599004736357319e+00
2.1333333333333302e+00  1.5862256019795206e+01  3.6002615384959910e+01  3.1999705857300867e+01  3.1999706143260205e+01  5.0491204315936153e+00  1.7144482694830366e+01  2.8004012221506883e+01  3.2000279627034075e+01  3.2000279618581487e+01  5.1597895563364684e+00
2.3999999999999999e+00  1.5861374408576367e+01  3.6002660764331971e+01  3.1999668945132733e+01  3.1999669312231333e+01  5.0494436432578151e+00  1.7149439648536159e+01  2.8004192552654672e+01  3.2000314991948109e+01  3.2000314987623980e+01  5.1596746609064272e+00
2.6666666666666701e+00  1.5861570270955960e+01  3.6002655094720375e+01  3.1999629323050897e+01  3.1999629767240332e+01  5.0498458894635805e+00  1.7153573009784200e+01  2.8004328596277784e+01  3.2000353575804915e+01  3.2000353578235277e+01  5.1594740946632767e+00
2.9333333333333500e+00  1.5862640881208307e+01  3.6002598032530031e+01  3.1999587692649229e+01  3.1999588208256267e+01  5.0504121331999769e+00  1.7157036361794162e+01  2.8004424281673270e+01  3.2000394951599326e+01  3.2000394961632971e+01  5.1591263517316381e+00
3.2000000000000202e+00  1.5864555932363892e+01  3.6002491663522548e+01  3.1999545167603927e+01  3.1999545748540982e+01  5.0511980552030904e+00  1.7159805837926996e+01  2.8004483177982831e+01  3.2000438109663449e+01  3.2000438127081758e+01  5.1586023734713677e+00
3.4666666666666899e+00  1.5867422287754644e+01  3.6002343115085466e+01  3.1999502861982251e+01  3.1999503502374331e+01  5.0522216070529007e+00  1.7161769291771442e+01  2.8004511303253988e+01  3.2000481864035045e+01  3.2000481889214086e+01  5.1579054771094563e+00
3.7333333333333698e+00  1.5871345970134318e+01  3.6002167830951223e+01  3.1999461294289645e+01  3.1999461988943857e+01  5.0534662106856789e+00  1.7162896904713882e+01  2.8004522425502309e+01  3.2000525517225697e+01  3.2000525551862772e+01  5.1570631113424819e+00
4.0000000000000400e+00  1.5876253636201286e+01  3.6001991923146775e+01  3.1999419859051159e+01  3.1999420604491466e+01  5.0548917352492326e+00  1.7163410061078565e+01  2.8004543270198209e+01  3.2000569450241862e+01  3.2000569496764207e+01  5.1561170321528795e+00
