# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  1.2505829710554839e-01  1.2500000000000000e-01
2.0000000000000001e-01  1.2505875338375591e-01  1.2500000000000000e-01
4.0000000000000002e-01  1.2506008591949835e-01  1.2500000000000000e-01
5.9999999999999998e-01  1.2506210813661930e-01  1.2500000000000000e-01
8.0000000000000104e-01  1.2506447957312694e-01  1.2500000000000000e-01
1.0000000000000000e+00  1.2506680391788602e-01  1.2500000000000000e-01
1.2000000000000000e+00  1.2506878779807951e-01  1.2500000000000000e-01
1.3999999999999899e+00  1.2507028745167600e-01  1.2500000000000000e-01
1.5999999999999901e+00  1.2507135496705243e-01  1.2500000000000000e-01
1.7999999999999801e+00  1.2507224308386597e-01  1.2500000000000000e-01
1.9999999999999800e+00  1.2507288767180610e-01  1.2500000000000000e-01
2.1999999999999802e+00  1.2507269772990023e-01  1.2500000000000000e-01
2.3999999999999702e+00  1.2507157640152275e-01  1.2500000000000000e-01
2.5999999999999699e+00  1.2507047095521853e-01  1.2500000000000000e-01
2.7999999999999599e+00  1.2507022550213498e-01  1.2500000000000000e-01
2.9999999999999600e+00  1.2507060086293501e-01  1.2500000000000000e-01
3.1999999999999500e+00  1.2507073728863694e-01  1.2500000000000000e-01
3.3999999999999502e+00  1.2507015282341233e-01  1.2500000000000000e-01
3.5999999999999499e+00  1.2506914507157760e-01  1.2500000000000000e-01
3.7999999999999399e+00  1.2506822764797507e-01  1.2500000000000000e-01
3.9999999999999400e+00  1.2506743902466744e-01  1.2500000000000000e-01
4.1999999999999300e+00  1.2506637563846801e-01  1.2500000000000000e-01
4.3999999999999302e+00  1.2506464985795393e-01  1.2500000000000000e-01
4.5999999999999197e+00  1.2506223969730959e-01  1.2500000000000000e-01
4.7999999999999199e+00  1.2505950296657001e-01  1.2500000000000000e-01
4.9999999999999201e+00  1.2505685946706596e-01  1.2500000000000000e-01
5.1999999999999096e+00  1.2505449820505837e-01  1.2500000000000000e-01
5.3999999999999098e+00  1.2505236625431160e-01  1.2500000000000000e-01
5.5999999999999002e+00  1.2505029212662541e-01  1.2500000000000000e-01
5.7999999999999003e+00  1.2504819806285800e-01  1.2500000000000000e-01
5.9999999999998899e+00  1.2504638725771455e-01  1.2500000000000000e-01
6.1999999999998900e+00  1.2504540414062160e-01  1.2500000000000000e-01
6.3999999999998902e+00  1.2504532366877283e-01  1.2500000000000000e-01
6.5999999999998797e+00  1.2504552503767841e-01  1.2500000000000000e-01
6.7999999999998799e+00  1.2504553889117931e-01  1.2500000000000000e-01
6.9999999999998703e+00  1.2504564275996494e-01  1.2500000000000000e-01
7.1999999999998696e+00  1.2504613991125674e-01  1.2500000000000000e-01
7.3999999999998600e+00  1.2504655976889562e-01  1.2500000000000000e-01
7.5999999999998602e+00  1.2504619552800228e-01  1.2500000000000000e-01
7.7999999999998604e+00  1.2504517706459431e-01  1.2500000000000000e-01
7.9999999999998499e+00  1.2504447316233983e-01  1.2500000000000000e-01
8.1999999999998803e+00  1.2504482761046856e-01  1.2500000000000000e-01
8.3999999999999098e+00  1.2504601008642027e-01  1.2500000000000000e-01
8.5999999999999392e+00  1.2504717971884091e-01  1.2500000000000000e-01
8.7999999999999794e+00  1.2504774906520205e-01  1.2500000000000000e-01
9.0000000000000107e+00  1.2504776161403022e-01  1.2500000000000000e-01
9.2000000000000401e+00  1.2504759829863901e-01  1.2500000000000000e-01
9.4000000000000696e+00  1.2504754207670216e-01  1.2500000000000000e-01
9.6000000000000991e+00  1.2504763637956440e-01  1.2500000000000000e-01
9.8000000000001304e+00  1.2504780286525105e-01  1.2500000000000000e-01
1.0000000000000201e+01  1.2504796973250548e-01  1.2500000000000000e-01
1.0200000000000200e+01  1.2504809705294387e-01  1.2500000000000000e-01
1.0400000000000199e+01  1.2504815924762008e-01  1.2500000000000000e-01
1.0600000000000300e+01  1.2504814661215569e-01  1.2500000000000000e-01
1.0800000000000299e+01  1.2504806994225309e-01  1.2500000000000000e-01
1.1000000000000300e+01  1.2504794481664694e-01  1.2500000000000000e-01
1.1200000000000401e+01  1.2504777463261121e-01  1.2500000000000000e-01
1.1400000000000400e+01  1.2504755456760630e-01  1.2500000000000000e-01
1.1600000000000399e+01  1.2504728650324440e-01  1.2500000000000000e-01
1.1800000000000400e+01  1.2504698455687199e-01  1.2500000000000000e-01
1.2000000000000499e+01  1.2504666882697696e-01  1.2500000000000000e-01
1.2200000000000500e+01  1.2504635858188887e-01  1.2500000000000000e-01
1.2400000000000500e+01  1.2504607186383726e-01  1.2500000000000000e-01
1.2600000000000600e+01  1.2504582842823200e-01  1.2500000000000000e-01
1.2800000000000599e+01  1.2504564983541844e-01  1.2500000000000000e-01
1.3000000000000600e+01  1.2504555523324676e-01  1.2500000000000000e-01
1.3200000000000699e+01  1.2504555648310009e-01  1.2500000000000000e-01
1.3400000000000700e+01  1.2504565609954854e-01  1.2500000000000000e-01
1.3600000000000700e+01  1.2504584816019831e-01  1.2500000000000000e-01
1.3800000000000800e+01  1.2504612087903791e-01  1.2500000000000000e-01
1.4000000000000799e+01  1.2504645977601142e-01  1.2500000000000000e-01
1.4200000000000800e+01  1.2504684958198814e-01  1.2500000000000000e-01
1.4400000000000899e+01  1.2504727310298541e-01  1.2500000000000000e-01
1.4600000000000900e+01  1.2504770884998101e-01  1.2500000000000000e-01
1.4800000000000900e+01  1.2504813163821940e-01  1.2500000000000000e-01
1.5000000000000901e+01  1.2504851650171153e-01  1.2500000000000000e-01
1.5200000000000999e+01  1.2504884158019533e-01  1.2500000000000000e-01
1.5400000000001000e+01  1.2504908770333636e-01  1.2500000000000000e-01
1.5600000000001000e+01  1.2504923740038265e-01  1.2500000000000000e-01
1.5800000000001100e+01  1.2504927598707058e-01  1.2500000000000000e-01
1.6000000000001101e+01  1.2504919369863229e-01  1.2500000000000000e-01
1.6200000000001101e+01  1.2504898677743340e-01  1.2500000000000000e-01
1.6400000000001000e+01  1.2504865717457683e-01  1.2500000000000000e-01
1.6600000000001000e+01  1.2504821168633137e-01  1.2500000000000000e-01
1.6800000000000900e+01  1.2504766114737395e-01  1.2500000000000000e-01
1.7000000000000899e+01  1.2504701961117939e-01  1.2500000000000000e-01
1.7200000000000902e+01  1.2504630300394159e-01  1.2500000000000000e-01
1.7400000000000801e+01  1.2504552725018617e-01  1.2500000000000000e-01
1.7600000000000801e+01  1.2504470666441367e-01  1.2500000000000000e-01
1.7800000000000701e+01  1.2504385305590085e-01  1.2500000000000000e-01
1.8000000000000700e+01  1.2504297515006882e-01  1.2500000000000000e-01
1.8200000000000699e+01  1.2504207811157089e-01  1.2500000000000000e-01
1.8400000000000599e+01  1.2504116354062692e-01  1.2500000000000000e-01
1.8600000000000598e+01  1.2504023003788484e-01  1.2500000000000000e-01
1.8800000000000502e+01  1.2503927388896152e-01  1.2500000000000000e-01
1.9000000000000501e+01  1.2503828960626143e-01  1.2500000000000000e-01
1.9200000000000500e+01  1.2503727049948329e-01  1.2500000000000000e-01
1.9400000000000400e+01  1.2503620931430479e-01  1.2500000000000000e-01
1.9600000000000399e+01  1.2503509863264795e-01  1.2500000000000000e-01
1.9800000000000299e+01  1.2503393098694204e-01  1.2500000000000000e-01
2.0000000000000298e+01  1.2503269931567776e-01  1.2500000000000000e-01
2.0200000000000301e+01  1.2503139829104407e-01  1.2500000000000000e-01
2.0400000000000201e+01  1.2503002567301136e-01  1.2500000000000000e-01
2.0600000000000200e+01  1.2502858165209010e-01  1.2500000000000000e-01
2.0800000000000100e+01  1.2502706538758632e-01  1.2500000000000000e-01
2.1000000000000099e+01  1.2502547163659161e-01  1.2500000000000000e-01
2.1200000000000099e+01  1.2502379281403750e-01  1.2500000000000000e-01
2.1399999999999999e+01  1.2502202859316350e-01  1.2500000000000000e-01
2.1600000000000001e+01  1.2502019671865791e-01  1.2500000000000000e-01
2.1799999999999901e+01  1.2501833261474071e-01  1.2500000000000000e-01
2.1999999999999901e+01  1.2501647032281077e-01  1.2500000000000000e-01
2.2199999999999900e+01  1.2501461297601890e-01  1.2500000000000000e-01
2.2399999999999800e+01  1.2501271477950721e-01  1.2500000000000000e-01
2.2599999999999799e+01  1.2501069345954616e-01  1.2500000000000000e-01
2.2799999999999699e+01  1.2500847083357577e-01  1.2500000000000000e-01
2.2999999999999702e+01  1.2500601586645071e-01  1.2500000000000000e-01
2.3199999999999701e+01  1.2500336001836340e-01  1.2500000000000000e-01
2.3399999999999601e+01  1.2500057431552986e-01  1.2500000000000000e-01
2.3599999999999600e+01  1.2499772552365032e-01  1.2500000000000000e-01
2.3799999999999500e+01  1.2499484206385418e-01  1.2500000000000000e-01
2.3999999999999499e+01  1.2499190945419808e-01  1.2500000000000000e-01
2.4199999999999498e+01  1.2498889150660585e-01  1.2500000000000000e-01
2.4399999999999402e+01  1.2498575737673652e-01  1.2500000000000000e-01
2.4599999999999401e+01  1.2498249637818704e-01  1.2500000000000000e-01
2.4799999999999400e+01  1.2497911630140600e-01  1.2500000000000000e-01
2.4999999999999300e+01  1.2497563312136124e-01  1.2500000000000000e-01
2.5199999999999299e+01  1.2497206213896761e-01  1.2500000000000000e-01
2.5399999999999199e+01  1.2496841488921756e-01  1.2500000000000000e-01
2.5599999999999199e+01  1.2496469992528234e-01  1.2500000000000000e-01
2.5799999999999201e+01  1.2496092373921747e-01  1.2500000000000000e-01
2.5999999999999101e+01  1.2495709008108236e-01  1.2500000000000000e-01
2.6199999999999100e+01  1.2495319841758996e-01  1.2500000000000000e-01
2.6399999999999000e+01  1.2494924292862927e-01  1.2500000000000000e-01
2.6599999999999000e+01  1.2494521255359217e-01  1.2500000000000000e-01
2.6799999999998999e+01  1.2494109170116015e-01  1.2500000000000000e-01
2.6999999999998899e+01  1.2493686115551443e-01  1.2500000000000000e-01
2.7199999999998902e+01  1.2493249908629982e-01  1.2500000000000000e-01
2.7399999999998801e+01  1.2492798226631482e-01  1.2500000000000000e-01
2.7599999999998801e+01  1.2492328750677338e-01  1.2500000000000000e-01
2.7799999999998800e+01  1.2491839318944388e-01  1.2500000000000000e-01
2.7999999999998700e+01  1.2491328074658360e-01  1.2500000000000000e-01
2.8199999999998699e+01  1.2490793594806404e-01  1.2500000000000000e-01
2.8399999999998599e+01  1.2490234984628996e-01  1.2500000000000000e-01
2.8599999999998602e+01  1.2489651925515934e-01  1.2500000000000000e-01
2.8799999999998601e+01  1.2489044673966784e-01  1.2500000000000000e-01
2.8999999999998501e+01  1.2488414018805791e-01  1.2500000000000000e-01
2.9199999999998500e+01  1.2487761201963357e-01  1.2500000000000000e-01
2.9399999999998400e+01  1.2487087800129619e-01  1.2500000000000000e-01
2.9599999999998399e+01  1.2486395568429362e-01  1.2500000000000000e-01
2.9799999999998398e+01  1.2485686263627398e-01  1.2500000000000000e-01
2.9999999999998298e+01  1.2484961470227779e-01  1.2500000000000000e-01
3.0199999999998301e+01  1.2484222442100927e-01  1.2500000000000000e-01
3.0399999999998201e+01  1.2483469970662996e-01  1.2500000000000000e-01
3.0599999999998200e+01  1.2482704298107243e-01  1.2500000000000000e-01
3.0799999999998199e+01  1.2481925067583899e-01  1.2500000000000000e-01
3.0999999999998099e+01  1.2481131259023416e-01  1.2500000000000000e-01
3.1199999999998099e+01  1.2480321111820299e-01  1.2500000000000000e-01
3.1399999999997998e+01  1.2479492188318590e-01  1.2500000000000000e-01
3.1599999999998001e+01  1.2478641746964375e-01  1.2500000000000000e-01
3.1799999999998001e+01  1.2477767303451259e-01  1.2500000000000000e-01
3.1999999999997900e+01  1.2476866956239119e-01  1.2500000000000000e-01
3.2199999999997999e+01  1.2475939216029594e-01  1.2500000000000000e-01
3.2399999999998101e+01  1.2474982628280125e-01  1.2500000000000000e-01
3.2599999999998197e+01  1.2473995729287632e-01  1.2500000000000000e-01
3.2799999999998299e+01  1.2472977453798291e-01  1.2500000000000000e-01
3.2999999999998401e+01  1.2471927541052191e-01  1.2500000000000000e-01
3.3199999999998496e+01  1.2470846508725743e-01  1.2500000000000000e-01
3.3399999999998599e+01  1.2469735319003881e-01  1.2500000000000000e-01
3.3599999999998701e+01  1.2468595194427888e-01  1.2500000000000000e-01
3.3799999999998803e+01  1.2467427745626970e-01  1.2500000000000000e-01
3.3999999999998899e+01  1.2466235076962555e-01  1.2500000000000000e-01
3.4199999999999001e+01  1.2465019480143770e-01  1.2500000000000000e-01
3.4399999999999103e+01  1.2463782770812640e-01  1.2500000000000000e-01
3.4599999999999199e+01  1.2462525747495259e-01  1.2500000000000000e-01
3.4799999999999400e+01  1.2461248180224269e-01  1.2500000000000000e-01
