time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  8.6070197864558093e-05
2.0000000000000001e-01  -2.9744403972276997e-19  9.3367818679499645e-07
4.0000000000000002e-01  -5.8060703508686084e-19  1.6159948115207948e-06
5.9999999999999998e-01  -8.3578751988369994e-19  5.5045793893962948e-07
8.0000000000000104e-01  -1.0505016214238059e-18  1.2262164155528581e-07
1.0000000000000000e+00  -1.2147736943919974e-18  2.3347299830975406e-08
1.2000000000000000e+00  -1.3213931462706250e-18  1.9884545863427193e-08
1.3999999999999899e+00  -1.3642886479706979e-18  2.0128398931027561e-08
1.5999999999999901e+00  -1.3385492897394668e-18  2.0130306556184591e-08
1.7999999999999801e+00  -1.2434113314059792e-18  2.0076086061241890e-08
1.9999999999999800e+00  -1.0845740527433052e-18  2.0587407131439699e-08
2.1999999999999802e+00  -8.7300598946184719e-19  2.0954043657048232e-08
2.3999999999999702e+00  -6.2184290573096682e-19  2.1108393355501315e-08
2.5999999999999699e+00  -3.4421244183551873e-19  2.2057885823756572e-08
2.7999999999999599e+00  -5.2623074950067167e-20  2.3402468008691273e-08
2.9999999999999600e+00  2.4084680547381079e-19  2.5297696366550820e-08
3.1999999999999500e+00  5.2412723679785553e-19  2.6318955123979999e-08
3.3999999999999502e+00  7.8495544075127198e-19  2.7397325993228490e-08
3.5999999999999499e+00  1.0112747710900150e-18  2.8352396988523682e-08
3.7999999999999399e+00  1.1920756603355568e-18  2.9157411701639761e-08
3.9999999999999400e+00  1.3182238555954555e-18  2.9567125330088554e-08
4.1999999999999300e+00  1.3830957738925616e-18  2.9827496120947046e-08
4.3999999999999302e+00  1.3830581640552433e-18  2.9917712458138341e-08
4.5999999999999197e+00  1.3177436075144300e-18  2.9294833202986316e-08
4.7999999999999199e+00  1.1900389177158860e-18  2.8999441376554981e-08
4.9999999999999201e+00  1.0058380549873973e-18  2.9499704093125715e-08
5.1999999999999096e+00  7.7370224938106681e-19  2.9654074459470762e-08
5.3999999999999098e+00  5.0451228220739799e-19  2.9278046604489017e-08
5.5999999999999002e+00  2.1108081429433828e-19  2.8892855016746781e-08
5.7999999999999003e+00  -9.2368585765299401e-20  2.8917484527574384e-08
5.9999999999998899e+00  -3.9091001752928540e-19  2.9353461441141667e-08
6.1999999999998900e+00  -6.6976368498317973e-19  2.8942337313447156e-08
6.3999999999998902e+00  -9.1515486010353376e-19  2.8537478165218504e-08
6.5999999999998797e+00  -1.1150530111882466e-18  2.8463786102742132e-08
6.7999999999998799e+00  -1.2597308158756134e-18  2.7971084408383657e-08
6.9999999999998703e+00  -1.3421622189817115e-18  2.8493135698242080e-08
7.1999999999998696e+00  -1.3583098551985522e-18  2.8415556775463751e-08
7.3999999999998600e+00  -1.3073254283745135e-18  2.8606606443540580e-08
7.5999999999998602e+00  -1.1916389343139422e-18  2.8291660376547137e-08
7.7999999999998604e+00  -1.0168890312070284e-18  2.8049063618641950e-08
7.9999999999998499e+00  -7.9166376344648635e-19  2.8262276337264317e-08
8.1999999999998803e+00  -5.2706028647000649e-19  2.7839982763011435e-08
8.3999999999999098e+00  -2.3610483356900722e-19  2.8154313378523786e-08
8.5999999999999392e+00  6.6915752915160168e-20  2.8094105625705019e-08
8.7999999999999794e+00  3.6716749108982559e-19  2.7827957359077885e-08
9.0000000000000107e+00  6.4999587706286674e-19  2.7928674768152640e-08
9.2000000000000401e+00  9.0163773641173103e-19  2.7916898025552067e-08
9.4000000000000696e+00  1.1098853523768942e-18  2.7964963026722309e-08
9.6000000000000991e+00  1.2646662628951073e-18  2.7972434638682235e-08
9.8000000000001304e+00  1.3585140433708814e-18  2.7849589962517359e-08
1.0000000000000201e+01  1.3869298417523141e-18  2.8059829867742393e-08
1.0200000000000200e+01  1.3486374360158653e-18  2.8176316968283389e-08
1.0400000000000199e+01  1.2456857243175565e-18  2.7946227365694319e-08
1.0600000000000300e+01  1.0833004372556229e-18  2.8644248120291683e-08
1.0800000000000299e+01  8.6945460709917207e-19  3.0406421029010388e-08
1.1000000000000300e+01  6.1433446618867106e-19  3.1340390376931600e-08
1.1200000000000401e+01  3.2998644716358466e-19  3.1489181589992157e-08
1.1400000000000400e+01  3.0145769695158798e-20  2.9623856811655033e-08
1.1600000000000399e+01  -2.7026032433223107e-19  3.9178814341800264e-08
1.1800000000000400e+01  -5.5636223377052570e-19  5.4078091181112448e-08
1.2000000000000499e+01  -8.1478674442059829e-19  7.4450885209296947e-08
1.2200000000000500e+01  -1.0340775085737617e-18  8.5854246406141381e-08
1.2400000000000500e+01  -1.2036188401262360e-18  9.6994669075643926e-08
1.2600000000000600e+01  -1.3123421445497422e-18  1.2425292685085806e-07
1.2800000000000599e+01  -1.3516604587563159e-18  1.4938559447112221e-07
1.3000000000000600e+01  -1.3236638222621331e-18  1.7134151731144358e-07
1.3200000000000699e+01  -1.2355960873537749e-18  1.9029467018194243e-07
1.3400000000000700e+01  -1.0748122620833812e-18  1.8527637143884922e-07
1.3600000000000700e+01  -8.3423493592738407e-19  1.9652154025513605e-07
1.3800000000000800e+01  -5.7923157783012229e-19  1.9484408071040584e-07
1.4000000000000799e+01  -3.3506819879427438e-19  1.9126820982639558e-07
1.4200000000000800e+01  1.1997105484934272e-20  1.8663347372785753e-07
1.4400000000000899e+01  3.7451471714276851e-19  1.7183827414225182e-07
1.4600000000000900e+01  1.1980233816588953e-18  1.7165451716806397e-07
1.4800000000000900e+01  5.2800476805759654e-18  1.5790066973888473e-07
1.5000000000000901e+01  1.2705386186401201e-17  1.6208277651233560e-07
1.5200000000000999e+01  1.5416053262239434e-17  1.6025636884398740e-07
1.5400000000001000e+01  2.6930232235768795e-17  1.3767399077067251e-07
1.5600000000001000e+01  1.0093364838267893e-16  1.6878754117156069e-07
1.5800000000001100e+01  2.0934749172293054e-16  1.4592795875951548e-07
1.6000000000001101e+01  2.2769139911809187e-16  1.5805489272643401e-07
1.6200000000001101e+01  4.7534680133123878e-16  1.6158227407397571e-07
1.6400000000001000e+01  1.7107974809611112e-15  1.6994249956237555e-07
1.6600000000001000e+01  3.1232639624800890e-15  1.7125415320240938e-07
1.6800000000000900e+01  2.9484571644148564e-15  1.5388829409137197e-07
1.7000000000000899e+01  7.4080487038016228e-15  1.9287840450973558e-07
1.7200000000000902e+01  3.3367566779090620e-14  1.7568248877423986e-07
1.7400000000000801e+01  8.3127524781365123e-14  1.8189283939123538e-07
1.7600000000000801e+01  1.2204804373927836e-13  1.8361455294722660e-07
1.7800000000000701e+01  1.2973716877219675e-13  1.6907759209057353e-07
1.8000000000000700e+01  2.0665654809376937e-13  1.5681194880900774e-07
1.8200000000000699e+01  5.6429656828717444e-13  1.3376377043475532e-07
1.8400000000000599e+01  1.2671005047628078e-12  1.3421657302971847e-07
1.8600000000000598e+01  1.9885309736473719e-12  1.2207365272698709e-07
1.8800000000000502e+01  2.3193398412586291e-12  1.2183494236337264e-07
1.9000000000000501e+01  2.4840292191460931e-12  1.1714168151202948e-07
1.9200000000000500e+01  3.3346796341329660e-12  1.2262222585356026e-07
1.9400000000000400e+01  5.2125439425007036e-12  1.3242856495301864e-07
1.9600000000000399e+01  7.2280881084099407e-12  1.1751536512601897e-07
1.9800000000000299e+01  8.4015371457065596e-12  1.0315296505212544e-07
2.0000000000000298e+01  9.2344115590622989e-12  1.1244268209954823e-07
2.0200000000000301e+01  1.0886304407778202e-11  1.1204468033729741e-07
2.0400000000000201e+01  1.2786019037401231e-11  1.0718976055285724e-07
2.0600000000000200e+01  1.3582246586345416e-11  1.0362584657812331e-07
2.0800000000000100e+01  1.6125780061912285e-11  1.0063132909387929e-07
2.1000000000000099e+01  2.8358772993503484e-11  1.1229307170307887e-07
2.1200000000000099e+01  5.4142763424677705e-11  1.1862779595254394e-07
2.1399999999999999e+01  8.3084938121915934e-11  1.1469050027286415e-07
2.1600000000000001e+01  9.6488041013096306e-11  1.1489288077138390e-07
2.1799999999999901e+01  9.2548749842274010e-11  1.2156475924100802e-07
2.1999999999999901e+01  1.0934606381421404e-10  1.3290865202652356e-07
2.2199999999999900e+01  2.1602405626223115e-10  1.4119303658959582e-07
2.2399999999999800e+01  4.6427258981761732e-10  1.5063237748736752e-07
2.2599999999999799e+01  8.2913920501370780e-10  1.6870440198286106e-07
2.2799999999999699e+01  1.1914767504862084e-09  1.8221601109782837e-07
2.2999999999999702e+01  1.4020572166031086e-09  1.9867983158757077e-07
2.3199999999999701e+01  1.4160820549585013e-09  2.2707102396203288e-07
2.3399999999999601e+01  1.4175893571586850e-09  2.3024960185911341e-07
2.3599999999999600e+01  1.8128396172036767e-09  2.4726466784355317e-07
2.3799999999999500e+01  3.0166815339887054e-09  2.8884069145932681e-07
2.3999999999999499e+01  5.1063693648125588e-09  3.2647610064250057e-07
2.4199999999999498e+01  7.5941656951133643e-09  3.4380105096740617e-07
2.4399999999999402e+01  9.5973234900135167e-09  3.6808355095033519e-07
2.4599999999999401e+01  1.0436566445993337e-08  4.0031160935786589e-07
2.4799999999999400e+01  1.0292561375624192e-08  4.4303310473732900e-07
2.4999999999999300e+01  1.0350369391589130e-08  4.8797653843123405e-07
2.5199999999999299e+01  1.2146743684547076e-08  5.2558589013187186e-07
2.5399999999999199e+01  1.6471630497694925e-08  5.8003766203944589e-07
2.5599999999999199e+01  2.2638042381550657e-08  6.3838141546582548e-07
2.5799999999999201e+01  2.8758473763558092e-08  6.9949778865728407e-07
2.5999999999999101e+01  3.2919979419691269e-08  7.5966813918890661e-07
2.6199999999999100e+01  3.4433137537475766e-08  8.2304536966033930e-07
2.6399999999999000e+01  3.4251036212048940e-08  8.9841016907916199e-07
2.6599999999999000e+01  3.4285254798785071e-08  9.6123305573029333e-07
2.6799999999998999e+01  3.6163788499379243e-08  1.0183452019973205e-06
2.6999999999998899e+01  4.0326229028651270e-08  1.0750567732095933e-06
2.7199999999998902e+01  4.5999452182963549e-08  1.1269494500441279e-06
2.7399999999998801e+01  5.1888619287328501e-08  1.1767750901215949e-06
2.7599999999998801e+01  5.6949497490297840e-08  1.2187730132735371e-06
2.7799999999998800e+01  6.0718479246473212e-08  1.2601835896586593e-06
2.7999999999998700e+01  6.3178357463802297e-08  1.3026252542839658e-06
2.8199999999998699e+01  6.4518054498481331e-08  1.3454797543344809e-06
2.8399999999998599e+01  6.5081866506148525e-08  1.3820200217820229e-06
2.8599999999998602e+01  6.5462595244644763e-08  1.4117175785271736e-06
2.8799999999998601e+01  6.6488421394874423e-08  1.4466307543051108e-06
2.8999999999998501e+01  6.8983749434609647e-08  1.4912964811372918e-06
2.9199999999998500e+01  7.3444911049773206e-08  1.5432920166090757e-06
2.9399999999998400e+01  7.9844325276570655e-08  1.5959064432760913e-06
2.9599999999998399e+01  8.7622908191823714e-08  1.6487809062763978e-06
2.9799999999998398e+01  9.5792055078878728e-08  1.7014601140713139e-06
2.9999999999998298e+01  1.0311827259443636e-07  1.7546181052066335e-06
3.0199999999998301e+01  1.0848770114458433e-07  1.8123064612808124e-06
3.0399999999998201e+01  1.1149132509869344e-07  1.8755044839497691e-06
3.0599999999998200e+01  1.1298117688558004e-07  1.9423491082966969e-06
3.0799999999998199e+01  1.1509162096165250e-07  2.0103767703825841e-06
3.0999999999998099e+01  1.2035338665000654e-07  2.0776306657684194e-06
3.1199999999998099e+01  1.3012752631082333e-07  2.1436197353183415e-06
3.1399999999997998e+01  1.4328792619896905e-07  2.2097398913566053e-06
3.1599999999998001e+01  1.5628068730402633e-07  2.2771411251516568e-06
3.1799999999998001e+01  1.6499873397249273e-07  2.3454232890842846e-06
3.1999999999997900e+01  1.6757882161903757e-07  2.4156928653184139e-06
3.2199999999997999e+01  1.6617309561140698e-07  2.4906064698021334e-06
3.2399999999998101e+01  1.6599742722887546e-07  2.5696441430546545e-06
3.2599999999998197e+01  1.7174501452121209e-07  2.6503658960502668e-06
3.2799999999998299e+01  1.8368113584241951e-07  2.7344583925782106e-06
3.2999999999998401e+01  1.9654803853178237e-07  2.8249371263869412e-06
3.3199999999998496e+01  2.0271684415411814e-07  2.9186845030721328e-06
3.3399999999998599e+01  1.9775643119368085e-07  3.0100931019466809e-06
3.3599999999998701e+01  1.8431342710157834e-07  3.0988535497388021e-06
3.3799999999998803e+01  1.7104368936749267e-07  3.1877271194725108e-06
3.3999999999998899e+01  1.6695990131676980e-07  3.2767429728528774e-06
3.4199999999999001e+01  1.7515766989887579e-07  3.3634037240821451e-06
3.4399999999999103e+01  1.9049573352427146e-07  3.4457936044669419e-06
3.4599999999999199e+01  2.0289891410936511e-07  3.5229504960481805e-06
3.4799999999999400e+01  2.0386768490294041e-07  3.5932748439894453e-06
3.4999999999999503e+01  1.9168478119452028e-07  3.6552415512785191e-06
3.5199999999999598e+01  1.7208534704628242e-07  3.7101117107686004e-06
3.5399999999999700e+01  1.5449301686468457e-07  3.7624262121578738e-06
3.5599999999999802e+01  1.4668203374415656e-07  3.8173567286845710e-06
3.5799999999999898e+01  1.5113046382928273e-07  3.8766824261107539e-06
3.6000000000000000e+01  1.6462236571903497e-07  3.9363793457677397e-06
3.6200000000000102e+01  1.8048688100152393e-07  3.9898366743798174e-06
3.6400000000000198e+01  1.9174490876944535e-07  4.0356107601351306e-06
3.6600000000000300e+01  1.9368758922269462e-07  4.0810025690136981e-06
3.6800000000000402e+01  1.8529297139175344e-07  4.1350206719426743e-06
3.7000000000000497e+01  1.6950241028134621e-07  4.1986228229805346e-06
3.7200000000000600e+01  1.5243318563559834e-07  4.2652750897117222e-06
3.7400000000000702e+01  1.4147571299873621e-07  4.3300330859419638e-06
3.7600000000000797e+01  1.4245166450242284e-07  4.3941600111414546e-06
3.7800000000000900e+01  1.5669213201288275e-07  4.4600881713990180e-06
3.8000000000001002e+01  1.7950181334250349e-07  4.5268131302124304e-06
3.8200000000001097e+01  2.0127612288412627e-07  4.5940639815217811e-06
3.8400000000001199e+01  2.1131974424768428e-07  4.6654799754820417e-06
3.8600000000001302e+01  2.0281139735042413e-07  4.7428065723066923e-06
3.8800000000001397e+01  1.7644140554867980e-07  4.8213610984957585e-06
3.9000000000001499e+01  1.4071470423299818e-07  4.8944570673471790e-06
3.9200000000001602e+01  1.0856562031069266e-07  4.9606646171965604e-06
3.9400000000001697e+01  9.1823392186141029e-08  5.0267374134608890e-06
3.9600000000001799e+01  9.6133974760802575e-08  5.1023850718515648e-06
3.9800000000001901e+01  1.1865050725366676e-07  5.1891592235941591e-06
4.0000000000001997e+01  1.4940384528492100e-07  5.2763163107287760e-06
4.0200000000002099e+01  1.7555611029730363e-07  5.3523401716239843e-06
4.0400000000002201e+01  1.8656434414085086e-07  5.4202836449104435e-06
4.0600000000002296e+01  1.7808946618477071e-07  5.4963211465812794e-06
4.0800000000002399e+01  1.5321466093829450e-07  5.5899359568380434e-06
4.1000000000002501e+01  1.2075583373498571e-07  5.6917942611019443e-06
4.1200000000002603e+01  9.1603989937839899e-08  5.7875179239570896e-06
4.1400000000002699e+01  7.4687045186197023e-08  5.8756151803390839e-06
4.1600000000002801e+01  7.4083692309680471e-08  5.9633806638682471e-06
4.1800000000002903e+01  8.8180579137107723e-08  6.0522288727934708e-06
4.2000000000002998e+01  1.1088214050158785e-07  6.1366779570098006e-06
4.2200000000003101e+01  1.3414930949383292e-07  6.2148104467630642e-06
4.2400000000003203e+01  1.5080613059070829e-07  6.2914946355607586e-06
4.2600000000003298e+01  1.5664454388230387e-07  6.3707843018907515e-06
4.2800000000003401e+01  1.5125196371508055e-07  6.4519089735773794e-06
4.3000000000003503e+01  1.3750187579466212e-07  6.5335564122971581e-06
4.3200000000003598e+01  1.2010808998460776e-07  6.6160204671520963e-06
4.3400000000003800e+01  1.0390114749581329e-07  6.6998310134495843e-06
4.3600000000003902e+01  9.2459689582721192e-08  6.7875184739173869e-06
4.3800000000003998e+01  8.7458988468636647e-08  6.8839410404093093e-06
4.4000000000004100e+01  8.8742147479397109e-08  6.9876849591766803e-06
4.4200000000004202e+01  9.4861516801340493e-08  7.0854044387282757e-06
4.4400000000004297e+01  1.0376789421571684e-07  7.1646902058750792e-06
4.4600000000004400e+01  1.1340165756513088e-07  7.2304325565962724e-06
