# time  Re(R=8)  Im(R=8)  Re(R=16)  Im(R=16)
0.0000000000000000e+00  -3.5574651219154213e-05  9.3335726548971349e-07  -1.0912361812817861e-04  -7.2878319147168366e-09
2.0000000000000001e-01  -5.7912955916759537e-05  1.1421684935410385e-06  -3.9077031664005565e-06  2.1037160268875710e-09
4.0000000000000002e-01  -4.9476934889247342e-05  1.0243162107308433e-06  -4.6728852826815604e-06  -2.1195073671846369e-09
5.9999999999999998e-01  -5.4318042832857450e-05  -4.7243750431283294e-07  -7.6806834875692789e-06  -8.0353573495428134e-10
8.0000000000000104e-01  -5.3299389250080830e-05  8.5909396287878691e-08  -6.5039771410434552e-06  6.9082232246184863e-10
1.0000000000000000e+00  -4.8692879275258567e-05  -2.7806767387227911e-07  -6.6567642186536527e-06  -1.6850251801535280e-09
1.2000000000000000e+00  -5.0595322102270690e-05  -4.4953451692757694e-07  -6.8591460251533880e-06  1.7560541712780326e-09
1.3999999999999899e+00  -4.9494611617807369e-05  4.8988517335163828e-07  -6.7282932395739760e-06  -2.7199153132028163e-09
1.5999999999999901e+00  -4.5520804842413186e-05  5.3193400825893316e-07  -6.5209397798010112e-06  -4.5628495597050728e-09
1.7999999999999801e+00  -4.5873244290038379e-05  -3.8730079581815209e-07  -6.7518551983726437e-06  1.1990358291281123e-08
1.9999999999999800e+00  -4.5992414757191505e-05  -2.4288598531945320e-07  -6.4934481542364166e-06  -7.4262683505053264e-09
2.1999999999999802e+00  -4.3757430562768966e-05  1.5994639428618834e-07  -6.1607345605361525e-06  -1.2302591510508160e-08
2.3999999999999702e+00  -4.2240622717658108e-05  6.0174790756873384e-08  -6.8596979170847199e-06  4.7279344444945811e-09
2.5999999999999699e+00  -4.0272534958273761e-05  -3.4980543573931933e-08  -7.3160999030527332e-06  -1.3227985409459912e-09
2.7999999999999599e+00  -3.8117829027435528e-05  -5.9761783291449224e-08  -6.3657436802329882e-06  6.6337560486017698e-08
2.9999999999999600e+00  -3.6993829775588033e-05  -7.4648426967907174e-08  -5.2121152806588281e-06  -3.0741681277857597e-08
3.1999999999999500e+00  -3.4896725961579601e-05  2.8832234408752191e-08  -6.4562584235601835e-06  -1.2124274992567743e-07
3.3999999999999502e+00  -3.1505840306102652e-05  8.7081001610621460e-08  -7.5586415303935023e-06  1.0604531497275154e-07
3.5999999999999499e+00  -2.8808343541171431e-05  -7.7268142468620356e-09  -5.4511206910970894e-06  7.1071030629567208e-08
3.7999999999999399e+00  -2.6478086566462331e-05  -6.8073656704689816e-08  -4.8811828134132193e-06  -1.6338558249837851e-07
3.9999999999999400e+00  -2.3327038819360983e-05  -4.1004149888228645e-08  -7.7567945745303934e-06  -9.6141834831233051e-08
4.1999999999999300e+00  -1.9461528004098907e-05  -6.7091687718657725e-09  -8.3252633319945960e-06  1.8105280823191446e-07
4.3999999999999302e+00  -1.5559728784115112e-05  -9.4078381783167625e-09  -5.2218288901371873e-06  2.7138032434934799e-07
4.5999999999999197e+00  -1.2017647053288398e-05  -2.7571346751667454e-08  -3.6659372554585058e-06  -1.0858423500787295e-07
4.7999999999999199e+00  -8.3929638702730762e-06  -2.9469709033735802e-08  -5.6213647168718311e-06  -3.7058302011040600e-07
4.9999999999999201e+00  -4.4520320360189291e-06  -3.0264251044277108e-08  -7.4323323764966354e-06  -3.6182935051505006e-08
5.1999999999999096e+00  -7.0128898715785426e-07  -2.9066989109884543e-08  -6.9291418931252564e-06  2.5640803522145758e-07
5.3999999999999098e+00  2.8862605745932925e-06  -1.9846151187326203e-08  -5.7217332677831542e-06  1.7161225618781038e-07
5.5999999999999002e+00  6.7662954693513149e-06  -1.5578321136951128e-08  -4.9205961796202286e-06  1.9699079261229876e-08
5.7999999999999003e+00  1.0770323414574090e-05  -2.6091510529163282e-08  -4.6324067178820438e-06  -1.6282146956717570e-07
5.9999999999998899e+00  1.4508113883936265e-05  -4.2745160855399384e-08  -5.4243218251996200e-06  -2.5141151070953470e-07
6.1999999999998900e+00  1.8138373417837418e-05  -3.8603847070911501e-08  -6.4213661056160134e-06  -1.0545523299337378e-08
6.3999999999998902e+00  2.1966413777463505e-05  -2.0907061579402961e-08  -5.8999184562542141e-06  2.3720368899233157e-07
6.5999999999998797e+00  2.5879570609861784e-05  -1.7585518644987407e-08  -4.6557416914115605e-06  1.6682343280840204e-07
6.7999999999998799e+00  2.9769804025946840e-05  -2.0333687751102553e-08  -4.3531758652642244e-06  4.6925120980515060e-10
6.9999999999998703e+00  3.3864289399841805e-05  -2.7683285321757534e-09  -4.3402364500402013e-06  -9.0674299239219119e-08
7.1999999999998696e+00  3.8215943175765204e-05  2.1871785685159697e-08  -3.7781578169166599e-06  -1.3516660696777618e-07
7.3999999999998600e+00  4.2580119356597213e-05  1.5136557019364040e-09  -3.5485623700823467e-06  -4.2503295503493012e-08
7.5999999999998602e+00  4.6943976386984313e-05  -4.7766536955522242e-08  -3.9024038180714271e-06  1.2446416570614459e-07
7.7999999999998604e+00  5.1588003954489108e-05  -5.6867405965418258e-08  -3.8131436979864037e-06  1.1089571612574075e-07
7.9999999999998499e+00  5.6594233206195735e-05  -3.7466079164379682e-08  -3.1653803734749653e-06  -3.2481457262449084e-08
8.1999999999998803e+00  6.1681429544399244e-05  -2.0780872655065230e-08  -2.6775334616018016e-06  -4.1466306883766351e-08
8.3999999999999098e+00  6.6755752907661178e-05  3.4360462971801727e-09  -2.2970448370423162e-06  5.1566304952829822e-08
8.5999999999999392e+00  7.2287772437395223e-05  -5.6725223948984203e-09  -1.6323509915024790e-06  3.2556217235626742e-08
8.7999999999999794e+00  7.8592732837665737e-05  -6.8763003905663882e-08  -9.0317296322777347e-07  -6.7643446581465959e-08
9.0000000000000107e+00  8.5089557547298746e-05  -7.5307009622615969e-08  -3.6266095157234953e-07  -7.7184865246352557e-08
9.2000000000000401e+00  9.1082112675041992e-05  2.6122754747356396e-08  2.5337216196917447e-07  -4.5409668929044060e-09
9.4000000000000696e+00  9.7086832314073401e-05  6.7902523173739348e-08  1.2029461345757552e-06  4.6573990301002152e-08
9.6000000000000991e+00  1.0422660840081850e-04  -5.5300683863668927e-08  2.3217714520872145e-06  6.8240531173079246e-08
9.8000000000001304e+00  1.1223468838150636e-04  -1.5103754206563472e-07  3.3490925283772327e-06  6.8673197363299613e-08
1.0000000000000201e+01  1.1975222009198212e-04  -6.8664830905667564e-08  4.3201920252391825e-06  1.3222995368713330e-08
1.0200000000000200e+01  1.2675474994392545e-04  2.9563661404855756e-08  5.5120626512736893e-06  -7.0434050196309841e-08
