# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  5.8632094211718925e-08  2.8828359262240908e-08  4.5086673051065035e-01  2.8034669220426016e+00  4.5132007114571959e-01
4.0000000000000002e-01  5.2665444332353618e-08  2.8096313508321749e-08  6.1061254806609033e-01  3.4424501922643613e+00  5.6086405074175727e-01
8.0000000000000004e-01  5.1707719056216877e-08  2.8211422663405306e-08  6.0569846565525387e-01  3.4227938626210155e+00  5.5349254787838154e-01
1.2000000000000000e+00  4.9857847052131440e-08  2.7279813846738210e-08  6.2898808994041799e-01  3.5159523597616720e+00  5.5657309418496437e-01
1.6000000000000001e+00  4.8404144352252793e-08  2.6631594971422329e-08  6.4915350038303354e-01  3.5966140015321342e+00  5.5391282999069635e-01
2.0000000000000000e+00  4.7747265221450496e-08  2.6350883652132749e-08  6.3378216626189587e-01  3.5351286650475835e+00  5.4503973521263971e-01
2.3999999999999901e+00  4.6289172770995640e-08  2.5562887976115758e-08  6.4350683252113106e-01  3.5740273300845242e+00  5.3109819336789954e-01
2.7999999999999798e+00  4.4460120599528631e-08  2.4548666113656009e-08  6.4520595610445730e-01  3.5808238244178292e+00  5.3713133274904445e-01
3.1999999999999802e+00  4.3115524990951383e-08  2.3775225012122168e-08  6.4109584787222706e-01  3.5643833914889083e+00  5.4413075003092681e-01
3.5999999999999699e+00  4.1772428410348244e-08  2.3002243550024869e-08  6.4058335645525699e-01  3.5623334258210280e+00  5.2845658436743381e-01
3.9999999999999600e+00  4.0813672999679837e-08  2.2485460826150310e-08  6.4081546575085602e-01  3.5632618630034241e+00  5.0732436597677477e-01
4.3999999999999497e+00  3.9547007226824864e-08  2.1836648388061444e-08  6.4147244104563295e-01  3.5658897641825318e+00  5.0570011293961503e-01
4.7999999999999403e+00  3.8133105315474581e-08  2.1037173495478448e-08  6.4140315024751238e-01  3.5656126009900495e+00  5.1786609064302980e-01
5.1999999999999300e+00  3.6921776854717283e-08  2.0333053169417586e-08  6.4158493461943888e-01  3.5663397384777555e+00  5.2020447511845347e-01
5.5999999999999304e+00  3.5570191200633073e-08  1.9595368843178824e-08  6.4313215304406013e-01  3.5725286121762405e+00  5.1838749656746530e-01
5.9999999999999201e+00  3.4322477401763759e-08  1.8929509327173921e-08  6.4294912652099967e-01  3.5717965060839987e+00  5.1680156721783221e-01
6.3999999999999098e+00  3.3433265554422339e-08  1.8488029977795276e-08  6.4341060502353786e-01  3.5736424200941515e+00  5.0582670336805147e-01
6.7999999999999003e+00  3.2496532592923407e-08  1.8034602400260060e-08  6.4593290038013751e-01  3.5837316015205500e+00  5.0092375408009360e-01
7.1999999999998900e+00  3.1500062217005378e-08  1.7544847066131588e-08  6.4888960617818969e-01  3.5955584247127588e+00  5.0810078531666114e-01
7.5999999999998797e+00  3.0645583366933619e-08  1.7088448054661089e-08  6.5134305371955592e-01  3.6053722148782237e+00  5.1386161105846362e-01
7.9999999999998703e+00  2.9807654433486263e-08  1.6575378525342731e-08  6.5136772028767509e-01  3.6054708811507004e+00  5.1704254253063531e-01
8.3999999999998707e+00  2.9060471489384076e-08  1.6116979238051511e-08  6.5154410834526633e-01  3.6061764333810653e+00  5.1600348831619991e-01
8.7999999999998604e+00  2.8393362851168762e-08  1.5720938853853497e-08  6.5566066226054354e-01  3.6226426490421741e+00  5.1487302350479192e-01
9.1999999999998501e+00  2.7540811142322166e-08  1.5147773716693709e-08  6.5828685121960306e-01  3.6331474048784123e+00  5.2596014855383766e-01
9.5999999999998398e+00  2.6654918646988296e-08  1.4409686375208215e-08  6.5572687261287843e-01  3.6229074904515137e+00  5.4204661878064309e-01
9.9999999999998295e+00  2.6068930456058226e-08  1.3690162601769847e-08  6.5244675786246287e-01  3.6097870314498515e+00  5.6029086627327052e-01
1.0399999999999800e+01  2.5748602488924298e-08  1.2995984058011526e-08  6.4450620401829317e-01  3.5780248160731727e+00  6.0074758623185365e-01
1.0799999999999800e+01  2.5716746127156427e-08  1.2360415908783020e-08  6.2602690389807769e-01  3.5041076155923108e+00  6.5255852658029256e-01
1.1199999999999800e+01  2.6200632690729189e-08  1.1912281415895504e-08  6.1640601120637684e-01  3.4656240448255073e+00  6.8441767957642530e-01
1.1599999999999801e+01  2.7281708646787644e-08  1.1665184182960428e-08  6.1442561539824447e-01  3.4577024615929779e+00  7.0857468246519772e-01
1.1999999999999799e+01  2.8945902054026099e-08  1.1571905509452500e-08  5.7893084853007137e-01  3.3157233941202855e+00  7.5000428419160847e-01
1.2399999999999800e+01  3.1214566363891183e-08  1.1673902696382899e-08  4.8848136425292088e-01  2.9539254570116835e+00  7.8482811969076882e-01
1.2799999999999800e+01  3.4046689945408416e-08  1.1989020489517586e-08  3.9814404830155392e-01  2.5925761932062157e+00  7.9527439940751665e-01
1.3199999999999800e+01  3.7686539592454065e-08  1.2582948942311737e-08  3.3688760711361487e-01  2.3475504284544595e+00  7.8605588190179532e-01
1.3599999999999801e+01  4.2643678324044694e-08  1.3647046453070336e-08  3.3318110313495658e-01  2.3327244125398261e+00  7.4887807673313511e-01
1.3999999999999700e+01  4.8887950968812818e-08  1.5180654731119279e-08  3.5368110111732365e-01  2.4147244044692946e+00  7.0343197404755009e-01
1.4399999999999700e+01  5.6080734509167505e-08  1.7017611100604316e-08  3.6596523299599998e-01  2.4638609319839997e+00  6.7087380678810071e-01
1.4799999999999701e+01  6.4587891260479291e-08  1.9304998304152583e-08  3.7318358988638023e-01  2.4927343595455209e+00  6.4930675845361308e-01
1.5199999999999701e+01  7.5145035753033820e-08  2.2397622656280080e-08  3.8226086075970772e-01  2.5290434430388311e+00  6.2653779290019684e-01
1.5599999999999699e+01  8.8167600503018447e-08  2.6496038020409120e-08  3.9501574970538561e-01  2.5800629988215427e+00  5.9591420763134073e-01
