# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  1.6653315313322048e-01  1.6666666666666430e-01
2.6666666666666600e-01  1.6653132910440402e-01  1.6666666666666430e-01
5.3333333333333299e-01  1.6652755194550417e-01  1.6666666666666430e-01
8.0000000000000104e-01  1.6652422220481042e-01  1.6666666666666430e-01
1.0666666666666700e+00  1.6652185552494000e-01  1.6666666666666430e-01
1.3333333333333299e+00  1.6651997796477622e-01  1.6666666666666430e-01
1.6000000000000001e+00  1.6651916430435126e-01  1.6666666666666430e-01
1.8666666666666600e+00  1.6651922460700580e-01  1.6666666666666430e-01
2.1333333333333302e+00  1.6651859819649406e-01  1.6666666666666430e-01
2.3999999999999999e+00  1.6651677806678289e-01  1.6666666666666430e-01
2.6666666666666701e+00  1.6651453671442459e-01  1.6666666666666430e-01
2.9333333333333500e+00  1.6651223293152986e-01  1.6666666666666430e-01
3.2000000000000202e+00  1.6650995718621805e-01  1.6666666666666430e-01
3.4666666666666899e+00  1.6650762060039356e-01  1.6666666666666430e-01
3.7333333333333698e+00  1.6650468428688844e-01  1.6666666666666430e-01
4.0000000000000400e+00  1.6650083169201746e-01  1.6666666666666430e-01
4.2666666666667101e+00  1.6649673726509795e-01  1.6666666666666430e-01
4.5333333333333803e+00  1.6649339257619991e-01  1.6666666666666430e-01
4.8000000000000602e+00  1.6649057829402655e-01  1.6666666666666430e-01
5.0666666666667304e+00  1.6648707212218167e-01  1.6666666666666430e-01
5.3333333333333997e+00  1.6648238039652274e-01  1.6666666666666430e-01
5.6000000000000796e+00  1.6647698942046085e-01  1.6666666666666430e-01
5.8666666666667497e+00  1.6647119040760747e-01  1.6666666666666430e-01
6.1333333333334199e+00  1.6646493693395753e-01  1.6666666666666430e-01
6.4000000000000901e+00  1.6645841999620350e-01  1.6666666666666430e-01
6.6666666666667700e+00  1.6645188161485769e-01  1.6666666666666430e-01
6.9333333333334402e+00  1.6644541245053412e-01  1.6666666666666430e-01
7.2000000000001103e+00  1.6643916014765053e-01  1.6666666666666430e-01
7.4666666666667796e+00  1.6643316932781754e-01  1.6666666666666430e-01
7.7333333333334604e+00  1.6642736224530286e-01  1.6666666666666430e-01
8.0000000000001297e+00  1.6642215216984416e-01  1.6666666666666430e-01
8.2666666666667705e+00  1.6641845323655666e-01  1.6666666666666430e-01
8.5333333333334007e+00  1.6641651676727043e-01  1.6666666666666430e-01
8.8000000000000398e+00  1.6641523763359931e-01  1.6666666666666430e-01
9.0666666666666806e+00  1.6641328427941640e-01  1.6666666666666430e-01
9.3333333333333197e+00  1.6641068410671470e-01  1.6666666666666430e-01
