time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  1.0759422109576019e-04
2.6666666666666600e-01  -8.2613621746937188e-18  1.1587664113674639e-06
5.3333333333333299e-01  -1.5820643467807021e-17  1.5630592927899815e-06
8.0000000000000104e-01  -2.2066486261910356e-17  5.3019912760019561e-07
1.0666666666666700e+00  -2.6395483248443904e-17  1.3707887545399132e-07
1.3333333333333299e+00  -2.8281393195246051e-17  8.1765424623752873e-08
1.6000000000000001e+00  -2.7523675551400740e-17  7.9570937807221394e-08
1.8666666666666600e+00  -2.4301996294708960e-17  8.1901098031794650e-08
2.1333333333333302e+00  -1.9043043012370998e-17  8.2998191265979017e-08
2.3999999999999999e+00  -1.2284989726899951e-17  8.5446970811388551e-08
2.6666666666666701e+00  -4.5910451084487647e-18  8.8518017390671177e-08
2.9333333333333500e+00  3.4872264795710059e-18  9.1827331751841004e-08
3.2000000000000202e+00  1.1389749119669955e-17  9.5582506608851846e-08
3.4666666666666899e+00  1.8524677824185439e-17  9.8608317188846489e-08
3.7333333333333698e+00  2.4299853697467993e-17  1.0082115086541434e-07
4.0000000000000400e+00  2.8195919390347858e-17  1.0217376597373570e-07
4.2666666666667101e+00  2.9838756357674143e-17  1.0092340959742237e-07
4.5333333333333803e+00  2.9048135851261123e-17  9.8908767862926029e-08
4.8000000000000602e+00  2.5858290748313180e-17  9.7310261421615516e-08
5.0666666666667304e+00  2.0515340290020385e-17  9.6571608414572196e-08
5.3333333333333997e+00  1.3458265858580264e-17  9.5306647889487017e-08
5.6000000000000796e+00  5.2851566521396694e-18  9.4814067242975804e-08
5.8666666666667497e+00  -3.2968203378652980e-18  9.4357598753403462e-08
6.1333333333334199e+00  -1.1535653926361047e-17  9.4003699472492242e-08
6.4000000000000901e+00  -1.8705196975384268e-17  9.3601587396788062e-08
6.6666666666667700e+00  -2.4172821518784996e-17  9.2626854823965090e-08
6.9333333333334402e+00  -2.7456699371693135e-17  9.2797331230046727e-08
7.2000000000001103e+00  -2.8268341210496796e-17  9.3670147818748236e-08
7.4666666666667796e+00  -2.6537782100019073e-17  9.3477287814598103e-08
7.7333333333334604e+00  -2.2419843615728749e-17  9.2381490054618977e-08
8.0000000000001297e+00  -1.6280448697489106e-17  9.2360623741192261e-08
8.2666666666667705e+00  -8.6623831513853121e-18  9.3088886732286139e-08
8.5333333333334007e+00  -2.3525486234202996e-19  9.3238604187007959e-08
8.8000000000000398e+00  8.2575157439133547e-18  9.3713569793130616e-08
9.0666666666666806e+00  1.6056338508691876e-17  9.4231788497825144e-08
9.3333333333333197e+00  2.2481288097361682e-17  9.2701736259607989e-08
9.5999999999999499e+00  2.7054235689397898e-17  9.2865770357650469e-08
9.8666666666665908e+00  2.9496247455465082e-17  1.0133622897233541e-07
1.0133333333333200e+01  2.9486549250097161e-17  1.1564049210567670e-07
1.0399999999999901e+01  2.6535727893615203e-17  1.2119279098030498e-07
1.0666666666666501e+01  2.0647010489819956e-17  1.1923910402857660e-07
1.0933333333333101e+01  1.3289628551192749e-17  1.3687749741729903e-07
1.1199999999999800e+01  7.1569307481603756e-18  1.5177547952294966e-07
1.1466666666666400e+01  3.7534780598401264e-18  1.9243881190905426e-07
1.1733333333333100e+01  -1.9066717605297165e-18  1.8080130325938051e-07
1.1999999999999700e+01  -1.4446063956908302e-17  1.9254613456983868e-07
1.2266666666666300e+01  -1.9316037115748390e-17  1.6720579839687891e-07
1.2533333333332999e+01  -2.2051390966918088e-17  1.8754045894001084e-07
1.2799999999999599e+01  -1.4327864566035548e-17  1.8701306322834809e-07
1.3066666666666199e+01  1.9414253870210657e-16  1.8737122811142109e-07
1.3333333333332900e+01  4.4347149771111773e-16  1.9019353403522955e-07
1.3599999999999500e+01  2.6954518279389545e-16  1.7485273782326617e-07
1.3866666666666200e+01  1.7390995160829580e-15  1.7750559401992064e-07
1.4133333333332800e+01  5.9964866625842487e-15  1.6383442840389154e-07
1.4399999999999400e+01  5.8516472650478184e-15  1.7098564325868494e-07
1.4666666666666099e+01  9.1615865786509473e-15  1.8027150611048271e-07
1.4933333333332699e+01  5.1236579734410818e-14  1.8036230790647802e-07
1.5199999999999299e+01  1.1182805416648016e-13  1.8688408478199663e-07
1.5466666666666001e+01  1.2246095670235729e-13  1.7468174302791145e-07
1.5733333333332601e+01  1.8450632113859687e-13  1.8838609939556679e-07
1.5999999999999201e+01  4.6514433733774038e-13  1.7202986230421793e-07
1.6266666666666001e+01  7.8833764915928734e-13  1.8831353624771977e-07
1.6533333333332699e+01  1.0188099119882621e-12  1.9173921821977312e-07
1.6799999999999400e+01  1.5159687949067212e-12  1.9526277501521165e-07
1.7066666666666102e+01  2.0843317066956713e-12  2.2947053405495434e-07
1.7333333333332799e+01  2.1471478841816000e-12  2.1207456235889447e-07
1.7599999999999500e+01  3.3647782149641136e-12  2.3047253879494150e-07
1.7866666666666202e+01  7.5111100258291035e-12  2.2378040919482963e-07
1.8133333333332899e+01  1.0374083168251261e-11  2.0034355985519856e-07
1.8399999999999601e+01  8.5698401312974519e-12  2.0182364159837061e-07
1.8666666666666298e+01  1.7180670257333037e-11  1.9379396708132499e-07
1.8933333333333000e+01  6.1616320712109293e-11  1.7282867448178067e-07
1.9199999999999701e+01  1.3361841855171495e-10  1.9922517651954911e-07
1.9466666666666502e+01  1.7517867481414322e-10  2.0298499427520581e-07
1.9733333333333199e+01  1.5226950102606252e-10  1.8260860218180226e-07
1.9999999999999901e+01  1.5451912979382999e-10  2.1767464243516402e-07
2.0266666666666602e+01  3.5810950098408495e-10  2.3148868646754682e-07
2.0533333333333299e+01  8.1707175638543758e-10  2.0557845502379323e-07
2.0800000000000001e+01  1.3164077597163779e-09  1.9358418387568267e-07
2.1066666666666698e+01  1.5359543578868780e-09  2.1644884565985177e-07
2.1333333333333400e+01  1.4231947250449645e-09  2.4107757856460955e-07
2.1600000000000101e+01  1.3976744507475343e-09  2.5354529557959079e-07
2.1866666666666799e+01  2.1252804049632760e-09  2.6752879970155128e-07
2.2133333333333500e+01  3.9330141351347810e-09  2.7554170144702992e-07
2.2400000000000201e+01  6.2963912516060195e-09  2.7414555095442731e-07
2.2666666666666998e+01  8.0234164032151605e-09  2.9782901553040043e-07
2.2933333333333699e+01  8.3206552229176293e-09  3.2714177548935813e-07
2.3200000000000401e+01  7.8857265138023348e-09  3.4794704268795508e-07
2.3466666666667098e+01  8.6836333897451135e-09  3.4951923550245492e-07
2.3733333333333800e+01  1.2187468184922855e-08  3.5542759014509086e-07
2.4000000000000501e+01  1.7693248533530123e-08  3.9388948949568150e-07
2.4266666666667199e+01  2.2594776360253015e-08  4.1633095323261757e-07
2.4533333333333900e+01  2.4579788783888584e-08  4.3970330362122494e-07
2.4800000000000601e+01  2.3680875246161114e-08  4.5957872274430258e-07
2.5066666666667299e+01  2.2245763992954331e-08  4.9664518189143551e-07
2.5333333333334000e+01  2.2933193018906248e-08  5.2787568552533487e-07
2.5600000000000701e+01  2.6605103414111978e-08  5.3456678040989991e-07
2.5866666666667498e+01  3.1861425344465155e-08  5.7062688998933640e-07
2.6133333333334200e+01  3.6333613995293874e-08  6.2379135068757437e-07
2.6400000000000901e+01  3.8396523769680409e-08  6.6980058913980082e-07
2.6666666666667599e+01  3.7951587741567921e-08  7.1396416108001579e-07
2.6933333333334300e+01  3.6111167421814270e-08  7.5026638040370009e-07
2.7200000000001001e+01  3.4534528098620496e-08  7.9092540027069028e-07
