# time  Re(R=8)  Im(R=8)  Re(R=16)  Im(R=16)
0.0000000000000000e+00  -5.9071034984746509e-05  -5.4042797976239697e-06  -1.7600003763133825e-04  -9.2272999034259880e-08
2.0000000000000001e-01  -3.9774935809204910e-05  -1.4991669388117980e-06  -1.2037100770120923e-05  1.7432428483534539e-09
4.0000000000000002e-01  -4.9364312768188366e-05  -3.0116881738640255e-07  -7.0786608701988946e-06  2.0214084539772737e-09
5.9999999999999998e-01  -4.2101257776653446e-05  1.2434940618169681e-07  -1.8916783408640774e-05  4.8037706620126891e-10
8.0000000000000104e-01  -4.1992885897433781e-05  -8.1748766419404524e-07  -1.5125675880516183e-05  -1.0872289250630224e-08
1.0000000000000000e+00  -4.4678479258842262e-05  -5.2597305530396848e-07  -1.2339065411282952e-05  3.1393374950061431e-08
1.2000000000000000e+00  -3.6909714718176747e-05  2.5500332610476102e-07  -1.6452169902421692e-05  9.0500338369836785e-08
1.3999999999999899e+00  -3.6950216548062797e-05  4.9180151121490642e-07  -1.7144985836930136e-05  -2.2961648134496662e-07
1.5999999999999901e+00  -4.0747015741001948e-05  -2.0018126336553078e-08  -1.3850675284414945e-05  -6.3609628872982965e-08
1.7999999999999801e+00  -3.6101293789798843e-05  -5.3667805391798084e-07  -1.2689408504438208e-05  4.3769947402149045e-07
1.9999999999999800e+00  -3.2794317042406208e-05  -1.6747433453966762e-07  -1.5407150387354198e-05  1.2450619835501286e-08
2.1999999999999802e+00  -3.3365132800252840e-05  3.6436255874290515e-07  -1.7324975932880881e-05  -5.6347291329406325e-07
2.3999999999999702e+00  -3.4554976454905886e-05  1.9266046915438725e-07  -1.5447624496998527e-05  -2.7403351193314068e-08
2.5999999999999699e+00  -3.3791834252580756e-05  -1.9176041788693362e-07  -1.4531820251357125e-05  4.7918831775009572e-07
2.7999999999999599e+00  -3.0860745141412019e-05  -1.3582137505111830e-07  -1.4943463112807871e-05  6.7710865245356106e-08
2.9999999999999600e+00  -2.8939362611745120e-05  3.2404414188160769e-08  -1.4155450240560945e-05  -1.3829259747374685e-07
3.1999999999999500e+00  -2.8490781374147131e-05  -5.8631379001679258e-08  -1.4489504073665803e-05  8.0320055946605649e-08
3.3999999999999502e+00  -2.7191412589161486e-05  2.1839489735648315e-09  -1.5857232310285847e-05  -1.8998645956314725e-07
3.5999999999999499e+00  -2.4976640718336330e-05  2.4842269394432926e-07  -1.5613368867281183e-05  -4.3977335881616106e-07
3.7999999999999399e+00  -2.4119119970684067e-05  9.2336243666879331e-08  -1.4607064651351183e-05  1.4910703564806746e-07
3.9999999999999400e+00  -2.3841893356732080e-05  -2.3922651278853400e-07  -1.4225116781639430e-05  5.9583349358215698e-07
4.1999999999999300e+00  -2.1398462605669179e-05  -1.6957329696927404e-07  -1.4434320426742090e-05  2.1444687020189726e-07
4.3999999999999302e+00  -1.8378559126523139e-05  1.0587849036072017e-07  -1.4886861160261661e-05  -2.8036622705846109e-07
4.5999999999999197e+00  -1.7295619682268643e-05  1.4899390597724980e-07  -1.5083767142207907e-05  -4.3202890397494729e-07
4.7999999999999199e+00  -1.6664642748659802e-05  -2.0694196009025278e-08  -1.4944807989030633e-05  -2.1256128956357457e-07
4.9999999999999201e+00  -1.4912488086570730e-05  -9.4026446357904588e-08  -1.4542794408742731e-05  2.0813888676723669e-07
5.1999999999999096e+00  -1.2461329633725353e-05  -2.7236438391414739e-08  -1.3914696018703109e-05  3.0212289298587665e-07
5.3999999999999098e+00  -9.6284514868801390e-06  1.5017866428941481e-08  -1.3458914094238235e-05  2.7747421256396776e-08
5.5999999999999002e+00  -6.9654649811462804e-06  2.7298301216794288e-08  -1.3564007241435981e-05  -1.2953360120054596e-07
5.7999999999999003e+00  -5.2646152989674020e-06  2.9028419416453249e-08  -1.4040587537128669e-05  -1.3948728417262826e-07
5.9999999999998899e+00  -3.9097242599624920e-06  -1.4272232199445480e-08  -1.4202354072463259e-05  -1.1392853120391350e-07
6.1999999999998900e+00  -1.8359241893700205e-06  -5.6216085669375512e-08  -1.3871606629756278e-05  6.3251238456331779e-08
6.3999999999998902e+00  6.9501493013159320e-07  -5.4021595952102744e-08  -1.3556540315103864e-05  1.4190023785371467e-07
6.5999999999998797e+00  3.3407572207249811e-06  -1.2580592943211528e-08  -1.3180600145221670e-05  -5.3094116030165235e-08
