# time  Re_m-2(R=8)  Im_m-2(R=8)  Re_m-1(R=8)  Im_m-1(R=8)  Re_m0(R=8)  Im_m0(R=8)  Re_m1(R=8)  Im_m1(R=8)  Re_m2(R=8)  Im_m2(R=8)  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)
0.0000000000000000e+00  3.1550191499654175e-05  8.3994178373659887e-05  9.0504567501508175e-05  1.9824595856833735e-05  -4.1034847782760512e-05  8.0508498434956834e-06  -6.0353856701491292e-05  1.9873597089407401e-05  5.9720888100746675e-05  -1.3445978390710337e-04  1.8921965323285512e-04  -4.6036986686822989e-06  -7.0427198435994666e-04  -5.2033634450378871e-04  1.7321866707375813e-05  6.4997659239506583e-07  -7.1163330208911212e-04  5.1676977239008487e-04  1.9617303411903535e-04  1.0734778905022862e-05
2.6666666666666600e-01  5.6136808702170150e-05  8.4736963143891718e-05  8.2745806304445094e-05  -6.7317743026386118e-07  -4.0002504506751209e-05  -2.4635950975702513e-06  -9.0405385252764585e-05  3.2412720468132137e-06  5.6023055857876066e-05  -8.8452188680816223e-05  3.2271306544119783e-05  1.7636799781575885e-06  -1.1850258102547747e-05  -3.1376259608141871e-06  -4.1482030118783600e-05  -7.6963012903658286e-07  -1.7806493568204047e-05  4.6094166690570363e-06  3.4557873957412354e-05  -2.5020835606527768e-06
5.3333333333333299e-01  5.2835108576606695e-05  8.6664563109211857e-05  8.4303812522559200e-05  -7.0371119854089523e-07  -3.7388776772288406e-05  5.2474371027379788e-07  -9.3947001559896621e-05  -8.0032371529249743e-06  5.4047409841369290e-05  -8.6621102151703826e-05  3.1941422012900446e-05  7.1020670406186343e-07  1.6225581541653532e-05  8.7022857076750637e-06  -3.4781953825760343e-05  5.4045518530624531e-07  8.7696058257217256e-06  -9.2139330963100824e-06  3.5347562149722861e-05  -8.0374619698877364e-07
8.0000000000000104e-01  5.2856421075359127e-05  8.7235916787645678e-05  8.0660746408221177e-05  -4.3782860740364505e-06  -4.0240834772085543e-05  -8.7196487606140072e-07  -8.8230427079949924e-05  3.9820951122465086e-07  5.4312257519948302e-05  -8.7675196346799920e-05  3.4407041332336348e-05  2.1440762198251212e-06  5.3965840492426717e-06  -1.8600317484662958e-06  -3.6603612177400462e-05  4.9264900249954429e-07  3.4867148940280902e-07  1.6878203245318359e-06  3.4592925539752278e-05  -1.5906383042045624e-06
1.0666666666666700e+00  5.3312148647952719e-05  8.5972596613640811e-05  8.2261284883148407e-05  -2.0988842475167600e-06  -3.9590565705702719e-05  8.0375323220339337e-07  -8.9565674256921184e-05  -4.1738766298567135e-06  5.5602004839069894e-05  -8.6075750693011176e-05  3.3521753789464271e-05  3.0526415969605039e-06  2.6293290032211288e-06  -4.6105069070443101e-07  -3.4172639504022028e-05  -5.5970306407076591e-07  -2.3546193468980251e-06  6.4637590852799039e-07  3.5099522767753013e-05  -3.5137153539075420e-06
1.3333333333333299e+00  5.2750996751764759e-05  8.5593276282034636e-05  8.2510143078060462e-05  -4.8138738281409523e-06  -4.0623308438063183e-05  2.4580733233582883e-07  -8.7057369893969868e-05  -1.6687435966469724e-06  5.1474012809769889e-05  -8.5829763686655751e-05  3.8497454561205362e-05  1.0680648460547644e-06  1.1009978328883511e-06  1.4513664869339565e-06  -3.0459869283680284e-05  -4.2037002939779944e-07  -3.0902650973742816e-06  -1.1214531453142034e-06  3.7598678789551322e-05  -1.4355050385009301e-06
1.6000000000000001e+00  5.2080441130101221e-05  8.4136881517904281e-05  8.1446364091656231e-05  -1.8874308990978711e-06  -4.0744632919447214e-05  -1.3594653122580149e-06  -8.5670230152750575e-05  -1.3119120509197446e-06  5.2280507529891412e-05  -8.5052085082298694e-05  3.7765659149288179e-05  1.9241212260311048e-06  3.4246195916879193e-06  6.8177831674200244e-07  -3.1458553710133614e-05  4.8227857766411346e-07  -5.1516398826616737e-08  -7.1425744827379853e-07  3.6901509936886253e-05  -1.5058176903025649e-06
1.8666666666666600e+00  5.4980518230765449e-05  8.3819450857250166e-05  7.8249866897857660e-05  -2.7377243458840976e-06  -4.1230130639125911e-05  8.6886439630068216e-08  -8.7696040971398863e-05  -2.9208995063582415e-06  5.7356940211124286e-05  -8.3633552752031352e-05  3.4254106377434809e-05  3.0817772444601086e-06  3.2138417712035611e-06  -1.1463596881722721e-06  -3.0765097697914531e-05  2.4962414575084196e-07  -1.8172300663292550e-06  9.9666583505597889e-07  3.7274176470065146e-05  -2.8686218558369809e-06
2.1333333333333302e+00  5.3906702312910785e-05  8.3251275874537684e-05  7.7297195331244332e-05  -4.9903935426708901e-06  -3.8030093170405988e-05  7.2294787785520218e-08  -8.7335002316680827e-05  -4.7794882016355155e-07  5.5621112474989210e-05  -8.3192425146958111e-05  3.5788142539299974e-05  2.7654797095143193e-06  3.1905908048415337e-06  1.6545702293094691e-07  -3.0996485888841917e-05  -3.7909707037854756e-07  -2.1139212533958872e-06  2.9197765533905783e-07  3.6798341915079626e-05  -3.0230011337329684e-06
2.3999999999999999e+00  5.2416500083437802e-05  8.2434207435320674e-05  7.7384086791558752e-05  -2.0112617132709142e-06  -3.6640171003633611e-05  -6.3640314603893994e-07  -8.6285585306491389e-05  -1.9513420405485160e-06  5.1636641123306169e-05  -8.2753067631672220e-05  3.8180597810613075e-05  2.3317569851177350e-06  1.9202008122292264e-06  6.7729099421389827e-07  -3.1592429709939186e-05  -3.3582043890177092e-07  -2.5278241565138116e-06  -5.7653302277707464e-07  3.6578918527767262e-05  -2.6000835607651570e-06
2.6666666666666701e+00  5.3325222427656868e-05  8.1811309613334136e-05  7.5330059229543821e-05  -1.0444316571343753e-06  -4.0331357408643917e-05  -2.0351871145229140e-07  -8.6772646298814151e-05  -3.1214637510955436e-06  5.3138108825221755e-05  -8.1742103254535392e-05  3.7827175465086229e-05  2.4359625092829508e-06  1.2100328229820950e-06  1.0708630313325788e-07  -3.0773914470954911e-05  2.0813412562054084e-08  -2.6924408743582683e-06  -5.3139369838077320e-07  3.7180010005691167e-05  -2.3532822187176331e-06
2.9333333333333500e+00  5.4953548371466360e-05  8.0912135155847520e-05  7.2799721800181493e-05  -2.5181204224534204e-06  -4.3443428143568285e-05  -1.4188477146901802e-08  -8.7385355953159950e-05  -2.0499744842341987e-06  5.5858015013650865e-05  -8.0772344139534556e-05  3.6877700357347257e-05  2.5292867711139984e-06  2.1657612182505602e-06  1.3688112372134773e-08  -3.0075013520476469e-05  2.1679568260022201e-08  -1.6698931592482621e-06  1.2576171849893602e-07  3.7436966670675329e-05  -2.5101794773398035e-06
3.2000000000000202e+00  5.6410796722428622e-05  8.0463409498320783e-05  7.0298933759554863e-05  -3.6777893452589451e-06  -4.2941867650153921e-05  -9.4222885308550904e-08  -8.8446699036930391e-05  -1.1204716554752726e-06  5.8134019538500059e-05  -8.0477347473164806e-05  3.6698113937667576e-05  2.5833194238979728e-06  3.1424678283769404e-06  -1.3711340204279040e-08  -3.0477048843757031e-05  7.6596099098656543e-08  -1.2026507472777799e-06  2.6533125283986186e-07  3.7417201283193046e-05  -2.5788072547429614e-06
3.4666666666666899e+00  5.7000936411987437e-05  8.0096231683996085e-05  6.8210948274450309e-05  -3.4492617718222476e-06  -3.9363962164727702e-05  -9.8295509475190554e-08  -8.9453792925059026e-05  -7.3824302573692257e-07  5.8363776450776643e-05  -8.0150824751356575e-05  3.7017927958959011e-05  2.6605909846235385e-06  2.8988845719690704e-06  9.2879786461764762e-08  -3.0681424200014748e-05  -4.5972757996468911e-08  -1.9218747809713721e-06  1.0317500798906269e-07  3.7522235253009921e-05  -2.6965757427178321e-06
3.7333333333333698e+00  5.9323260087327774e-05  7.9322957519708593e-05  6.7959890280263929e-05  -2.4599766364085961e-06  -3.9998666388969829e-05  -3.6458244680289610e-07  -8.8350894477634437e-05  -1.4498941714463847e-06  5.9102807592685804e-05  -7.9395541891454026e-05  3.7503282483432523e-05  2.7447667600137889e-06  2.2178303624286198e-06  3.7470974024932934e-08  -3.0420111409836838e-05  -2.1591901392452885e-07  -2.3794713919887017e-06  1.5093877910657222e-07  3.7724366278591855e-05  -2.8259251466174547e-06
4.0000000000000400e+00  6.0179830863284451e-05  7.8794165110470900e-05  6.7886848814893068e-05  -2.3590288027790512e-06  -4.1770373144110542e-05  -3.7047797480771826e-07  -8.7504215129645510e-05  -1.6914717040177255e-06  6.0761840814047642e-05  -7.8800691883023128e-05  3.8185018165525454e-05  2.7608340624014220e-06  2.0852651803917829e-06  2.9380190364534966e-08  -3.0329176395225365e-05  -1.9468983444099326e-08  -2.1937703589221312e-06  -3.7877111482804884e-08  3.8040273741345484e-05  -2.7271947673979235e-06
4.2666666666667101e+00  6.0367679874326054e-05  7.8189444720396230e-05  6.6376803786710411e-05  -2.1689375586593455e-06  -4.0898069471659112e-05  -5.1458960585467107e-08  -8.7745980512983978e-05  -1.6652884204471086e-06  6.1236221972258440e-05  -7.8067866694589479e-05  3.8222030203998754e-05  2.6646221275373266e-06  2.3766046067408178e-06  1.4581897881482639e-07  -3.0533307002303056e-05  1.0177888512550136e-07  -2.2162372036220945e-06  -1.8253841376373576e-07  3.8137590921450285e-05  -2.6900413710371432e-06
4.5333333333333803e+00  6.4513085710881410e-05  7.7428082963075298e-05  6.4374081877104289e-05  -1.9965071794619902e-06  -4.2917829651994914e-05  3.2581851864676520e-08  -8.7821709007640384e-05  -1.9826146967757325e-06  6.4295885742766072e-05  -7.7266401590866683e-05  3.7829247546131691e-05  2.6821342936952835e-06  2.3223273273902318e-06  1.4735530147598743e-08  -3.0887016640305464e-05  -9.3408002300767787e-08  -2.3951831222548882e-06  1.2550126850615354e-07  3.8266907464052547e-05  -2.7790265756521336e-06
4.8000000000000602e+00  6.8521101635040611e-05  7.6952891054281702e-05  6.2315733857092894e-05  -2.6336122819490501e-06  -4.5108120963708250e-05  -1.3831678374637818e-07  -8.8468956198595097e-05  -1.5532680091923725e-06  6.8955185838918628e-05  -7.6910401904544510e-05  3.8364131334522522e-05  2.9621226348486391e-06  2.2400323414150877e-06  -1.9495426705408681e-09  -3.1003486812425957e-05  -5.6897282835086951e-08  -2.2684383955083576e-06  2.2340284634255357e-07  3.8593121869904753e-05  -2.8892012006698823e-06
5.0666666666667304e+00  6.9381112651387667e-05  7.6518493765174555e-05  6.1091255676142464e-05  -2.8621717432069644e-06  -4.3391605720299173e-05  -2.0327613363302537e-07  -8.8778393668752513e-05  -9.9276772998604268e-07  7.0558428259889056e-05  -7.6539400812943321e-05  3.9221352168011064e-05  3.1049556055948307e-06  2.8072424377969450e-06  1.2898142671338750e-07  -3.1066438596208347e-05  7.2780472077378933e-08  -2.0590488233423706e-06  1.1891200675383600e-07  3.8915333256777869e-05  -3.0645951341423119e-06
5.3333333333333997e+00  7.0605656603335700e-05  7.5892794022155695e-05  6.1513906930006374e-05  -2.2880844306714360e-06  -4.2912001374659567e-05  -1.2887899431208058e-07  -8.7433463819910039e-05  -1.2449053323434503e-06  7.1052253679776197e-05  -7.5835228549567965e-05  3.9374423472069076e-05  2.7272215750219855e-06  2.9598377179505060e-06  2.1445137359683754e-07  -3.1164354516029897e-05  -7.6226350401506676e-08  -2.0983758213697989e-06  1.1202551680949516e-07  3.9555359597480099e-05  -2.8889446946955256e-06
5.6000000000000796e+00  7.4566128337367078e-05  7.5329092419489565e-05  6.1342133548813267e-05  -1.7686291870582456e-06  -4.5872996211889657e-05  -7.9776163154406372e-08  -8.6487863664772729e-05  -1.7894949338096209e-06  7.4125750999156769e-05  -7.5204480678030833e-05  3.9478380205416667e-05  2.5262936298405594e-06  2.2309848381453176e-06  3.2289145019297758e-07  -3.0716830118137737e-05  -8.8097326887742346e-08  -2.3397406989185469e-06  -1.6850315899507247e-07  4.0018031772559046e-05  -2.5211017077353074e-06
5.8666666666667497e+00  7.9917449233288522e-05  7.4931620062266036e-05  5.8959198399100021e-05  -1.8095133604705568e-06  -4.7951855076096540e-05  -7.8841999567724450e-08  -8.7435723247578112e-05  -1.9845253956447320e-06  7.9331429157381280e-05  -7.4797173919926010e-05  4.0123321321990996e-05  3.1428963721090072e-06  2.2336805976952439e-06  -3.1581565901821905e-08  -3.0524455287636687e-05  1.4783156958310071e-07  -2.4133028383850304e-06  -1.3564204861367929e-07  3.9977164267524483e-05  -2.9308629726211556e-06
6.1333333333334199e+00  8.3380464047147921e-05  7.4421072939655819e-05  5.6941252531011533e-05  -2.1254147676892509e-06  -4.6985833612312383e-05  -1.1603819865689316e-07  -8.8024350291322881e-05  -1.6483225909550355e-06  8.3291427013742927e-05  -7.4337339099586264e-05  4.0869153400312118e-05  3.5319472309653042e-06  2.9724872277105271e-06  -3.7603123228620744e-07  -3.1341845310710572e-05  4.6683757505871543e-08  -2.2536034958295430e-06  5.2951758231991737e-07  4.0551586165466187e-05  -3.5594159976404565e-06
6.4000000000000901e+00  8.4953464503529551e-05  7.3768020491553620e-05  5.7292986562573842e-05  -1.9849864528989794e-06  -4.6044861117850266e-05  -1.4108795206514809e-07  -8.6565903147357176e-05  -1.4146058496376194e-06  8.4922683780185520e-05  -7.3738825998259921e-05  4.1285122673855430e-05  3.0451913462068957e-06  2.7865638068865910e-06  3.1169419469441307e-08  -3.1550342269548723e-05  -1.9002789981377448e-07  -2.3878850326622040e-06  5.4031663045115157e-07  4.1561275544132776e-05  -3.2130090885529689e-06
6.6666666666667700e+00  8.8212009887056616e-05  7.3277044486840342e-05  5.7888359252946970e-05  -1.6476620063746884e-06  -4.7941696367152453e-05  -1.0092302013857303e-07  -8.4971154697114260e-05  -1.7087495844309584e-06  8.7596332356702468e-05  -7.3206231824975723e-05  4.1674630444839123e-05  2.6806222666339926e-06  2.1353761649954529e-06  4.1559378231880296e-07  -3.0691002313354960e-05  -6.1252675861927504e-09  -2.7310677205847126e-06  -1.7109090948706265e-07  4.1868775749197721e-05  -2.6295058061443752e-06
6.9333333333334402e+00  9.3287142816423296e-05  7.2889067599513972e-05  5.6770258579393073e-05  -1.6276730973694387e-06  -5.0504368838038511e-05  -9.2381781390669634e-08  -8.4962898435601147e-05  -1.9119351515185104e-06  9.2460350031059604e-05  -7.2790483578346704e-05  4.2330254789548729e-05  2.8901122395820545e-06  2.3738991014478063e-06  4.4517039142375158e-07  -3.0623708421000838e-05  1.6461377598512200e-07  -2.6772557296180931e-06  -3.9345006684933253e-07  4.2082055450354989e-05  -2.7739029492300891e-06
7.2000000000001103e+00  9.8034279579277010e-05  7.2354763913163404e-05  5.4888190097948241e-05  -1.4780512392378228e-06  -5.1180888381093523e-05  -1.4758741839134115e-07  -8.5591571226367302e-05  -1.9177429673760225e-06  9.7090092429953265e-05  -7.2312851437060377e-05  4.2976183707413556e-05  3.2456710245972713e-06  2.8712978842925841e-06  2.3595495530635132e-07  -3.1213681558896947e-05  7.7749027708825846e-08  -2.4274345337530238e-06  -5.2273472795225367e-08  4.2909109731349711e-05  -3.1837063335325030e-06
7.4666666666667796e+00  1.0266739911551062e-04  7.1772083834306809e-05  5.3492723600612625e-05  -1.3253614406175155e-06  -5.1122308666137649e-05  -1.2609123243184822e-07  -8.5679274011468210e-05  -1.9738414665351486e-06  1.0146275592237927e-04  -7.1709834971397403e-05  4.3663224290196149e-05  3.5304638985316254e-06  2.7604796954470951e-06  -3.4449995840767701e-07  -3.1003366777516861e-05  4.0862589367431700e-08  -2.4330681960945999e-06  4.2283092950431094e-07  4.3785701707603958e-05  -3.4696967680836891e-06
7.7333333333334604e+00  1.0715648878422952e-04  7.1309496906414986e-05  5.2816937084463429e-05  -1.5914913738841176e-06  -5.1220487424810685e-05  -6.3044696070596069e-08  -8.5233157298843969e-05  -1.8364790127293117e-06  1.0627683074529548e-04  -7.1200165182438632e-05  4.4521117305224097e-05  3.6001083750218493e-06  2.5707225046247428e-06  -5.1814796549124046e-07  -3.0588654756071666e-05  -5.4944727223488461e-08  -2.6901120208428273e-06  7.6257908266504765e-07  4.4383409236585048e-05  -3.6873674203786551e-06
8.0000000000001297e+00  1.1072973433158914e-04  7.0923009538553634e-05  5.2713315664967820e-05  -1.5486254723558563e-06  -5.0886203116163381e-05  -9.9566488172976466e-08  -8.4436828423230096e-05  -1.7944882482048965e-06  1.1007372811272956e-04  -7.0878567891914600e-05  4.5181679657719875e-05  3.3845769833553233e-06  2.5678611556745112e-06  1.6658280292545475e-07  -3.0573448273070953e-05  -1.6053996088954748e-07  -3.0680882340335694e-06  4.7241680784640255e-07  4.4917359297978546e-05  -3.5417153336367231e-06
