# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
0.0000000000000000e+00  1.5905702665541845e+01  4.0000474276058156e+01  3.1999883997441877e+01  3.1999884186480351e+01  5.0451367763932415e+00  2.1008126912274690e+01  2.4000691479979423e+01  3.2000123110863470e+01  3.2000123075184675e+01  5.4268870913737786e+00
2.0000000000000001e-01  1.5905950765992699e+01  4.0000475995124219e+01  3.1999881593603401e+01  3.1999881773914989e+01  5.0451845684568264e+00  2.1009857398769153e+01  2.4000700567219329e+01  3.2000125925386392e+01  3.2000125894009251e+01  5.4268526682407945e+00
4.0000000000000002e-01  1.5905118263461523e+01  4.0000481461573635e+01  3.1999874940431582e+01  3.1999875092526526e+01  5.0453255679706093e+00  2.1012853985656189e+01  2.4000726703880591e+01  3.2000133744921861e+01  3.2000133725804055e+01  5.4267548255969826e+00
5.9999999999999998e-01  1.5903351247084574e+01  4.0000490102527927e+01  3.1999864616241457e+01  3.1999864723015111e+01  5.0455460662365379e+00  2.1016886967556786e+01  2.4000767177968761e+01  3.2000145805195402e+01  3.2000145805665539e+01  5.4266099685978855e+00
8.0000000000000104e-01  1.5900882850290397e+01  4.0000500606253276e+01  3.1999851081817841e+01  3.1999851132449940e+01  5.0458236932718501e+00  2.1021644262341624e+01  2.4000818471588026e+01  3.2000161394534224e+01  3.2000161421548995e+01  5.4264399241939829e+00
1.0000000000000000e+00  1.5897998866390411e+01  4.0000511370043824e+01  3.1999834841891399e+01  3.1999834833858351e+01  5.0461311652978491e+00  2.1026782837818853e+01  2.4000876617654832e+01  3.2000179748186362e+01  3.2000179808306719e+01  5.4262677655185243e+00
1.2000000000000000e+00  1.5894995972236497e+01  4.0000520804146269e+01  3.1999816433824851e+01  3.1999816373496969e+01  5.0464409427765160e+00  2.1031982064364271e+01  2.4000937774698862e+01  3.2000200113493413e+01  3.2000200212630894e+01  5.4261136982462732e+00
1.3999999999999899e+00  1.5892140489219409e+01  4.0000527553701211e+01  3.1999796355679976e+01  3.1999796257468663e+01  5.0467299489688209e+00  2.1036987489504547e+01  2.4000998771781756e+01  3.2000221857281879e+01  3.2000222000248179e+01  5.4259916297587516e+00
1.5999999999999901e+00  1.5889635899423817e+01  4.0000530634203159e+01  3.1999774995425522e+01  3.1999774879576744e+01  5.0469834484054665e+00  2.1041637511979438e+01  2.4001057479154671e+01  3.2000244551870914e+01  3.2000244741906933e+01  5.4259070624202348e+00
1.7999999999999801e+00  1.5887605162643965e+01  4.0000529467107349e+01  3.1999752596682335e+01  3.1999752486324486e+01  5.0471973156676064e+00  2.1045869651979121e+01  2.4001112924608680e+01  3.2000268006592613e+01  3.2000268245116501e+01  5.4258566675428366e+00
1.9999999999999800e+00  1.5886090246824667e+01  4.0000523816474768e+01  3.1999729271011741e+01  3.1999729189340329e+01  5.0473782714793458e+00  2.1049706600030163e+01  2.4001165147730010e+01  3.2000292239404871e+01  3.2000292526111245e+01  5.4258294944093617e+00
2.1999999999999802e+00  1.5885067485111183e+01  4.0000513649122510e+01  3.1999705049167694e+01  3.1999705017431499e+01  5.0475421614593294e+00  2.1053226308950308e+01  2.4001214852770016e+01  3.2000317403197236e+01  3.2000317736449482e+01  5.4258094481439985e+00
2.3999999999999702e+00  1.5884473700506005e+01  4.0000498963527818e+01  3.1999679952479795e+01  3.1999679988841521e+01  5.0477107755218036e+00  2.1056525496084078e+01  2.4001262954741751e+01  3.2000343683543193e+01  3.2000344060837740e+01  5.4257785243636043e+00
2.5999999999999699e+00  1.5884235814929504e+01  4.0000479648234730e+01  3.1999654062481643e+01  3.1999654181321013e+01  5.0479079512496750e+00  2.1059686293742011e+01  2.4001310131366040e+01  3.2000371186986492e+01  3.2000371605303343e+01  5.4257200872256259e+00
2.7999999999999599e+00  1.5884296663540834e+01  4.0000455424180707e+01  3.1999627567076114e+01  3.1999627778305499e+01  5.0481557560350465e+00  2.1062752998217334e+01  2.4001356500372250e+01  3.2000399850109687e+01  3.2000400306145337e+01  5.4256214663903730e+00
2.9999999999999600e+00  1.5884631207502206e+01  4.0000425897451862e+01  3.1999600762491934e+01  3.1999601070814311e+01  5.0484714126165873e+00  2.1065723377448855e+01  2.4001401527155053e+01  3.2000429407933453e+01  3.2000429898237684e+01  5.4254754416264124e+00
3.1999999999999500e+00  1.5885249688724546e+01  4.0000390717699545e+01  3.1999573999387014e+01  3.1999574403777832e+01  5.0488654010035576e+00  2.1068555925054145e+01  2.4001444216158067e+01  3.2000459446716285e+01  3.2000459967743311e+01  5.4252805321949795e+00
3.3999999999999502e+00  1.5886187263692229e+01  4.0000349814415529e+01  3.1999547579405835e+01  3.1999548073232560e+01  5.0493409024578737e+00  2.1071190724988419e+01  2.4001483559600899e+01  3.2000489533461391e+01  3.2000490081614338e+01  5.4250402896856160e+00
3.5999999999999499e+00  1.5887482838457167e+01  4.0000303668298969e+01  3.1999521625905917e+01  3.1999522197980983e+01  5.0498944716652767e+00  2.1073578363140875e+01  2.4001519143188904e+01  3.2000519385935640e+01  3.2000519957590434e+01  5.4247619900959698e+00
3.7999999999999399e+00  1.5889152550433788e+01  4.0000253566255232e+01  3.1999495962240651e+01  3.1999496598844754e+01  5.0505175648826555e+00  2.1075709425144652e+01  2.4001551764498032e+01  3.2000549036464434e+01  3.2000549627882137e+01  5.4244552013488088e+00
