# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  3.1908463347847949e+01  3.8407626172929629e-02  6.4371670951242805e+00  3.1658576712103131e-01  3.1999577324958278e+01  3.1999684943427706e+01  3.1999684943427706e+01  4.7999999999999998e+00  3.2768663959870125e+01  6.4338118386784764e+00  3.1700541701467416e-01  6.4371670951242805e+00  3.1658576712103131e-01  nan  nan  1.0000000000000000e+00  9.8127351337654589e-01
4.0000000000000002e-01  3.2851445879813397e+01  7.4137492837543478e-02  6.3662590003001522e+00  3.3218833129195036e-01  3.1998891333783945e+01  3.1999031415817242e+01  3.1999031415820010e+01  4.7999999999999998e+00  3.2908781939578404e+01  6.3799554494209971e+00  3.3044706240453969e-01  6.3662590003001522e+00  3.3218833129195036e-01  nan  nan  1.0000000000000000e+00  9.8433050584871495e-01
8.0000000000000004e-01  3.2871689635579500e+01  6.4667523855809719e-02  6.3800167687032658e+00  3.2823909771643195e-01  3.1997833447772294e+01  3.1998090253357176e+01  3.1998090253343449e+01  4.7999999999999998e+00  3.2200895290240979e+01  6.4094220398575583e+00  3.2440796749304401e-01  6.3800167687032658e+00  3.2823909771643195e-01  nan  nan  1.0000000000000000e+00  9.8525654355880576e-01
1.2000000000000000e+00  3.3023722793515915e+01  5.0032886359465741e-02  6.3814252774579767e+00  3.2676629916569844e-01  3.1996582390832216e+01  3.1996958274337960e+01  3.1996958274303811e+01  4.7999999999999998e+00  3.1735653125007417e+01  6.4246213722600185e+00  3.2092263573238178e-01  6.3814252774579767e+00  3.2676629916569844e-01  nan  nan  1.0000000000000000e+00  9.8602006390656471e-01
1.6000000000000001e+00  3.3327497451013343e+01  5.2216594085647480e-02  6.3692942390350611e+00  3.2819931514963224e-01  3.1995323219884959e+01  3.1995809698385184e+01  3.1995809698363619e+01  4.7999999999999998e+00  3.1528536845661556e+01  6.4237009730305337e+00  3.2049660164803334e-01  6.3692942390350611e+00  3.2819931514963224e-01  nan  nan  1.0000000000000000e+00  9.8670016631397772e-01
2.0000000000000000e+00  3.3790239669128653e+01  4.3198218802167787e-02  6.3412547844173908e+00  3.3284442883203513e-01  3.1994114396865452e+01  3.1994753356076234e+01  3.1994753356075293e+01  4.7999999999999998e+00  3.1572574590633522e+01  6.4042694548436359e+00  3.2347128012869047e-01  6.3412547844173908e+00  3.3284442883203513e-01  nan  nan  1.0000000000000000e+00  9.8733871610966073e-01
2.3999999999999901e+00  3.4135060215282003e+01  3.5749187591186164e-02  6.3204863827630362e+00  3.3533272732535180e-01  3.1992977777883020e+01  3.1993757389579208e+01  3.1993757389601200e+01  4.7999999999999998e+00  3.1608991521750731e+01  6.3888223236032191e+00  3.2470516641761205e-01  6.3204863827630362e+00  3.3533272732535180e-01  nan  nan  1.0000000000000000e+00  9.8794125980393144e-01
2.7999999999999798e+00  3.4382724087936076e+01  3.3507697454371800e-02  6.3047686432174235e+00  3.3596816369873272e-01  3.1991947231414056e+01  3.1992810480886160e+01  3.1992810480917136e+01  4.7999999999999998e+00  3.1650530449058788e+01  6.3752862077174441e+00  3.2457450328557169e-01  6.3047686432174235e+00  3.3596816369873272e-01  nan  nan  1.0000000000000000e+00  9.8850699003149023e-01
3.1999999999999802e+00  3.4460653894467306e+01  3.3138059966834769e-02  6.3002345649180347e+00  3.3292587980419713e-01  3.1990962955145005e+01  3.1991657298561407e+01  3.1991657298562217e+01  4.7999999999999998e+00  3.1625506150848516e+01  6.3698256131838820e+00  3.2137323428592007e-01  6.3002345649180347e+00  3.3292587980419713e-01  nan  nan  1.0000000000000000e+00  9.8903356247175622e-01
3.5999999999999699e+00  3.4320619368921442e+01  3.2953958677935248e-02  6.3104985111456031e+00  3.2543566350802683e-01  3.1990052449454232e+01  3.1990302686748144e+01  3.1990302686707089e+01  4.7999999999999998e+00  3.1482231959086896e+01  6.3763290713098089e+00  3.1345935291906918e-01  6.3104985111456031e+00  3.2543566350802683e-01  nan  nan  1.0000000000000000e+00  9.8953013406815182e-01
