# time  Re(R=8)  Im(R=8)  Re(R=16)  Im(R=16)
0.0000000000000000e+00  -6.4826152543882019e-04  -5.9186034894947636e-06  -2.7795207070252151e-04  -3.9711905429553049e-07
2.6666666666666600e-01  -6.7248439343166734e-04  2.9638551182724318e-06  -2.3523123615548158e-05  -1.2656043432358834e-08
5.3333333333333299e-01  -7.1733293152669172e-04  3.5742337846772149e-09  -1.1918785796733767e-05  -7.2926905973904534e-08
8.0000000000000104e-01  -7.6290700362012292e-04  -3.0841609527755343e-06  -3.3663160648858527e-05  -2.5354974372228168e-08
1.0666666666666700e+00  -8.0039913810582282e-04  -3.3200297460767836e-06  -2.0192822699731635e-05  1.4767529888722556e-07
1.3333333333333299e+00  -7.4217791985899866e-04  6.2296335299768247e-07  -3.5210527720358196e-06  3.0677243849690567e-07
1.6000000000000001e+00  -5.6619541378492746e-04  2.9091203834986955e-06  7.6306419596274648e-06  2.6657677540176625e-07
1.8666666666666600e+00  -4.0808617800691747e-04  4.2656741369656691e-06  1.9137414459802961e-05  8.9042393085216313e-08
2.1333333333333302e+00  -3.6053581580300104e-04  5.2280334577887904e-06  3.5815049937362109e-05  9.3942975832070611e-08
2.3999999999999999e+00  -3.7425594235195297e-04  5.4322643037274457e-06  4.2091867951932535e-05  3.5962157565632484e-07
2.6666666666666701e+00  -3.5625282399968060e-04  4.3984654125047806e-06  1.7952800555884666e-05  4.4159321116677356e-07
2.9333333333333500e+00  -2.5803619962331398e-04  2.7697252938308301e-06  -3.2715951503017234e-05  1.0785898075935500e-08
3.2000000000000202e+00  -7.4626437181555334e-05  9.9039522351718986e-07  -8.6432225391530718e-05  5.2318571223059389e-08
3.4666666666666899e+00  1.5635978705314023e-04  -9.8787691061736482e-07  -1.2461563884539909e-04  1.4512955124506376e-06
3.7333333333333698e+00  3.4808000665261679e-04  -1.9752743323380788e-06  -1.5531153440909935e-04  2.0084393069196078e-06
4.0000000000000400e+00  4.2576092000653278e-04  -1.1894476411146462e-06  -1.9917677241163960e-04  -9.3050904002762809e-07
4.2666666666667101e+00  3.9107992610812618e-04  -5.1229918560184323e-07  -2.4906035472873218e-04  -6.0441742757434066e-06
4.5333333333333803e+00  2.8895791683136127e-04  -1.3760825436339454e-06  -2.7117190459029065e-04  -9.5442289465396275e-06
4.8000000000000602e+00  1.5010829510728286e-04  -2.1619139365295004e-06  -2.5120720898670444e-04  -8.1373579605905448e-06
5.0666666666667304e+00  -1.7290776817679347e-05  -1.2178874710466082e-06  -2.1611326014282697e-04  -6.4023468795596601e-07
5.3333333333333997e+00  -1.7451793739730600e-04  5.6924686560521399e-07  -2.0829688337504397e-04  1.0126849664956209e-05
5.6000000000000796e+00  -2.1589283493149593e-04  1.6799424076793672e-06  -2.5188145836523295e-04  1.8265411994847779e-05
5.8666666666667497e+00  -1.2978552537017235e-04  1.9364331883047450e-06  -3.3998850365378681e-04  1.9546243902247112e-05
6.1333333333334199e+00  -1.0221712791171067e-04  1.7260016639022829e-06  -4.4400573530739069e-04  1.4775277558564384e-05
6.4000000000000901e+00  -2.1278826385828260e-04  1.1436295402486395e-06  -5.3524748787288432e-04  7.5789516597011983e-06
6.6666666666667700e+00  -2.7792893096457213e-04  4.5719132835222714e-07  -6.0016777054447531e-04  -2.5954868358226432e-07
6.9333333333334402e+00  -2.7081252583472412e-04  -8.0749144759546405e-08  -6.3920269133558672e-04  -8.5914975343805969e-06
7.2000000000001103e+00  -4.7100504908242777e-04  -1.0129379602624397e-06  -6.6157347027867813e-04  -1.4926104384615452e-05
7.4666666666667796e+00  -9.1495518664794261e-04  -1.9168278007548826e-06  -6.8375476869142319e-04  -1.5766450741420098e-05
7.7333333333334604e+00  -1.2063588979116966e-03  -3.8197601969982650e-07  -7.2184818391562338e-04  -1.1858878269972391e-05
8.0000000000001297e+00  -1.0773753116299946e-03  3.5741705993154598e-06  -7.7787277731599454e-04  -7.2952334548073677e-06
8.2666666666667705e+00  -6.6475157243271906e-04  5.7868192502255238e-06  -8.3707803062008546e-04  -3.9025640635879123e-06
8.5333333333334007e+00  -1.8058617458020150e-04  3.8141460970864074e-06  -8.8215834226317751e-04  -4.9822523513606473e-07
8.8000000000000398e+00  3.2074091875739457e-04  6.6943929198769040e-07  -9.0627537280515372e-04  3.2091958267949002e-06
9.0666666666666806e+00  8.2047512619803106e-04  1.0316407552620857e-08  -9.0911095423832624e-04  5.2266709163515418e-06
9.3333333333333197e+00  1.2407034098387839e-03  4.9595852675020702e-07  -8.8894375446306104e-04  3.8581921943665544e-06
9.5999999999999499e+00  1.5530184287982549e-03  -6.0391965108638516e-07  -8.4693418274198672e-04  1.0025116814590864e-07
9.8666666666665908e+00  1.8438992232107244e-03  -1.8138358005275873e-06  -7.8972570062059108e-04  -3.2769864914641431e-06
1.0133333333333200e+01  2.2174111702664874e-03  -7.3463364279600894e-07  -7.1795365272563159e-04  -4.3729053315375526e-06
1.0399999999999901e+01  2.6677496293960861e-03  5.7514595183283852e-07  -6.2264277615292879e-04  -3.1613697141473981e-06
1.0666666666666501e+01  3.0195664722183560e-03  -1.9102104717037111e-07  -5.0761408860855223e-04  -4.2282578147174042e-07
1.0933333333333101e+01  2.9966615147738996e-03  -2.0336750839160103e-07  -4.0345148298965151e-04  3.0239631626568776e-06
1.1199999999999800e+01  2.4476032674692104e-03  3.2611449806079843e-06  -3.3025711035592262e-04  5.9343935895150729e-06
1.1466666666666400e+01  1.5235047947025980e-03  7.3895492077317980e-06  -2.6011316321833009e-04  6.9071529538645712e-06
