# time  chi_mean_R8  chi_min_R8  chi_max_R8  lapse_mean_R8  lapse_min_R8  lapse_max_R8  K_mean_R8  K_min_R8  K_max_R8  chi_mean_R16  chi_min_R16  chi_max_R16  lapse_mean_R16  lapse_min_R16  lapse_max_R16  K_mean_R16  K_min_R16  K_max_R16
0.0000000000000000e+00  9.8359251801952041e-01  9.8318878610459970e-01  9.8405833666615494e-01  9.8447340630446256e-01  9.7777526779361401e-01  9.8610573408626434e-01  2.1630421473081980e-02  2.6063595657195068e-03  7.9097537550654420e-02  9.9004895295317896e-01  9.8879375535448177e-01  9.9058214972293057e-01  9.9207839318796875e-01  9.9134228323063056e-01  9.9239925471006252e-01  2.1538040284971467e-05  2.4069050181424468e-06  1.6328443185542889e-04
2.0000000000000001e-01  9.8637126970780320e-01  9.8417635357875055e-01  9.9349434267141168e-01  9.7604037120413789e-01  9.4920918965980838e-01  9.8490930713553937e-01  2.1739049685102589e-02  2.9018036953610219e-03  7.7697593957558209e-02  9.9006347110695980e-01  9.8891562496419538e-01  9.9047149627909092e-01  9.9207660125058961e-01  9.9136075696280479e-01  9.9232501130156792e-01  5.4149110641555291e-05  -2.7433815258951812e-04  4.3698834448441953e-04
4.0000000000000002e-01  9.8911620281840207e-01  9.8470099153282431e-01  1.0028402942472270e+00  9.6772374389286409e-01  9.2095437335668850e-01  9.8368999331428908e-01  2.1761141328365707e-02  3.3451211492283267e-03  7.7541923294724174e-02  9.9006886956978402e-01  9.8894531251026052e-01  9.9047445509887666e-01  9.9206093590470346e-01  9.9127715919359138e-01  9.9231323079912115e-01  4.1153362065903684e-05  -3.1538443695943724e-06  2.0635693314336408e-04
5.9999999999999998e-01  9.9182486815152304e-01  9.8523321051689838e-01  1.0122071159370818e+00  9.5954373254671832e-01  8.9280199549503936e-01  9.8227934296678932e-01  2.1749642547385796e-02  3.9534199039464374e-03  7.8702442229412570e-02  9.9007533863654995e-01  9.8897447171136466e-01  9.9047446738829037e-01  9.9204149757807458e-01  9.9118772667036936e-01  9.9230542851094616e-01  5.5803995356097533e-05  2.1140201731293197e-05  2.5069065776843680e-04
8.0000000000000104e-01  9.9450263357441826e-01  9.8583390629003131e-01  1.0214028301628362e+00  9.5148271180326394e-01  8.6510634462717628e-01  9.8061293760834267e-01  2.1736392713959517e-02  4.6536960268366177e-03  7.8354841155068300e-02  9.9008418319475533e-01  9.8901496475484230e-01  9.9047855551427988e-01  9.9201639411128217e-01  9.9107598595310964e-01  9.9229430792939743e-01  7.0627657461654373e-05  2.9438721354694485e-05  3.1016408568593332e-04
1.0000000000000000e+00  9.9715916664604298e-01  9.8656843451263243e-01  1.0299991514888889e+00  9.4351305628022497e-01  8.3899912791062026e-01  9.7864008525796609e-01  2.1744192197724027e-02  5.5389922984726237e-03  7.4166469245770361e-02  9.9009535153365835e-01  9.8906489303767475e-01  9.9048324941735932e-01  9.9198523468664079e-01  9.9094067520533202e-01  9.9228066004595594e-01  8.6840930011997821e-05  3.8185958311984801e-05  3.7465805235674268e-04
1.2000000000000000e+00  9.9981024096165416e-01  9.8749338284234067e-01  1.0371898912795163e+00  9.3559798064841793e-01  8.1555432609382816e-01  9.7626107024325182e-01  2.1808239134210799e-02  6.7300047544713104e-03  6.7038236310290197e-02  9.9010930792438978e-01  9.8912732361300293e-01  9.9048916683805888e-01  9.9194712325883960e-01  9.9077616026062243e-01  9.9226380025860117e-01  1.0558398716511148e-04  4.6311371497010127e-05  4.5694118843621150e-04
1.3999999999999899e+00  1.0024755193424513e+00  9.8865837975300119e-01  1.0428271224555683e+00  9.2769433548795610e-01  7.9529095292328922e-01  9.7336265756320617e-01  2.1955120953492301e-02  8.2073443407155028e-03  5.8563071740259313e-02  9.9012653886632562e-01  9.8920566751278249e-01  9.9049634644242157e-01  9.9190102672675984e-01  9.9057537026706510e-01  9.9224357217618031e-01  1.2715611011562562e-04  5.5046122341367378e-05  5.5726472885917605e-04
1.5999999999999901e+00  1.0051751180944035e+00  9.9010593500385613e-01  1.0470475733354858e+00  9.1975715296651606e-01  7.7823195659993250e-01  9.6983538785516255e-01  2.2196562078331126e-02  1.0018199268832333e-02  4.9923119395862713e-02  9.9014762480937946e-01  9.8930251459404783e-01  9.9050492117942690e-01  9.9184568197654677e-01  9.9033178504401154e-01  9.9221975125652517e-01  1.5230701160577034e-04  6.4447768524645996e-05  6.7288756707882015e-04
1.7999999999999801e+00  1.0079231886181401e+00  9.9189815184216357e-01  1.0501199072044489e+00  9.1174932178770218e-01  7.6411420500456906e-01  9.6554309642738456e-01  2.2500648670889821e-02  1.2255740064348073e-02  4.1860032316435362e-02  9.9017325867255512e-01  9.8942132250317050e-01  9.9051505091178571e-01  9.9177953269515728e-01  9.9003760773076288e-01  9.9219217436995377e-01  1.8187364312898920e-04  7.4733632497872075e-05  8.1614944296009521e-04
