# time  f_op  f_geo  geo_trustworthy  max_local_speed  superluminal_fraction  max_shift  structure_coherence  reachable  n_rays  n_reached  max_h_rel_drift  f_geo_evol  f_geo_evol_ok
0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0151619955126119e+00  0.0000000000000000e+00  0.0000000000000000e+00  nan  1  5  5  1.2434590736838674e-05  0.0000000000000000e+00  0
2.0000000000000001e-01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0151367298055423e+00  0.0000000000000000e+00  6.3318364603240043e-06  nan  1  5  5  9.8783390722964558e-06  0.0000000000000000e+00  0
4.0000000000000002e-01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0150598443320544e+00  0.0000000000000000e+00  1.7221946252144931e-05  nan  1  5  5  9.6613762548908059e-06  0.0000000000000000e+00  0
5.9999999999999998e-01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0149339253327059e+00  0.0000000000000000e+00  3.1901946105041382e-05  nan  1  5  5  1.0460040725511322e-05  0.0000000000000000e+00  0
8.0000000000000104e-01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0147605171559133e+00  0.0000000000000000e+00  5.3249042439410193e-05  nan  1  5  5  1.0982652412646347e-05  0.0000000000000000e+00  0
1.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0145427906020821e+00  0.0000000000000000e+00  6.5608604191819025e-05  nan  1  5  5  1.1001233683841551e-05  0.0000000000000000e+00  0
1.2000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0142760104453539e+00  0.0000000000000000e+00  8.8814346092282295e-05  nan  1  5  5  1.1879478662349965e-05  0.0000000000000000e+00  0
1.3999999999999899e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0139698063827047e+00  0.0000000000000000e+00  1.3972609212615638e-04  nan  1  5  5  1.1882239208691794e-05  0.0000000000000000e+00  0
1.5999999999999901e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0136370784610111e+00  0.0000000000000000e+00  2.0275644659833837e-04  nan  1  5  5  1.2314258020439744e-05  0.0000000000000000e+00  0
1.7999999999999801e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0132620160909240e+00  0.0000000000000000e+00  2.6751671872408700e-04  nan  1  5  5  1.1868012374291183e-05  0.0000000000000000e+00  0
1.9999999999999800e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0128398314353388e+00  0.0000000000000000e+00  3.1440959325011801e-04  nan  1  5  5  1.0995289831728381e-05  0.0000000000000000e+00  0
2.1999999999999802e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0123311474176202e+00  0.0000000000000000e+00  3.4040969783015251e-04  nan  1  5  5  1.0266387927825967e-05  0.0000000000000000e+00  0
2.3999999999999702e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0117350573488970e+00  0.0000000000000000e+00  3.6764565794196132e-04  nan  1  5  5  9.5096280922361056e-06  0.0000000000000000e+00  0
2.5999999999999699e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0109953727105425e+00  0.0000000000000000e+00  4.1460514107792643e-04  nan  1  5  5  9.7273840140410710e-06  0.0000000000000000e+00  0
2.7999999999999599e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0101718665708459e+00  0.0000000000000000e+00  4.3490544671416167e-04  nan  1  5  5  1.0131261952146100e-05  0.0000000000000000e+00  0
2.9999999999999600e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0094335257121654e+00  0.0000000000000000e+00  4.6551395414973115e-04  nan  1  5  5  8.9365508279298166e-06  0.0000000000000000e+00  0
3.1999999999999500e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0089048649300234e+00  0.0000000000000000e+00  5.4700399693566001e-04  nan  1  5  5  8.9569110287262032e-06  0.0000000000000000e+00  0
3.3999999999999502e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0084317822405473e+00  0.0000000000000000e+00  6.4044442915381524e-04  nan  1  5  5  1.0573610495200984e-05  0.0000000000000000e+00  0
3.5999999999999499e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0079938668037554e+00  0.0000000000000000e+00  7.4259073179467705e-04  nan  1  5  5  9.0285513608128230e-06  0.0000000000000000e+00  0
3.7999999999999399e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0076993053130101e+00  0.0000000000000000e+00  8.5256794943157777e-04  nan  1  5  5  7.6288371658578103e-06  0.0000000000000000e+00  0
3.9999999999999400e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0075075821512827e+00  0.0000000000000000e+00  9.6917642689191524e-04  nan  1  5  5  8.0971689827804550e-06  0.0000000000000000e+00  0
4.1999999999999300e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0074214393063097e+00  0.0000000000000000e+00  1.0932072866580431e-03  nan  1  5  5  7.6166821162211122e-06  0.0000000000000000e+00  0
4.3999999999999302e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0075016136349839e+00  0.0000000000000000e+00  1.2264631635296723e-03  nan  1  5  5  8.0450227185042053e-06  0.0000000000000000e+00  0
