# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
0.0000000000000000e+00  1.5905633131697620e+01  3.6000964968232125e+01  3.1999898261984633e+01  3.1999898584951364e+01  5.0452161034491807e+00  1.0085610283100952e+01  2.8001864027569983e+01  3.2000068545888844e+01  3.2000068857341930e+01  4.6313576953285009e+00
2.0000000000000001e-01  1.5905863817467509e+01  3.6000976413383420e+01  3.1999896215086171e+01  3.1999896525001059e+01  5.0452681465164959e+00  1.0086865160747148e+01  2.8001889107181515e+01  3.2000069919328055e+01  3.2000070221859758e+01  4.6312820013858591e+00
4.0000000000000002e-01  1.5904980332157677e+01  3.6001010852967035e+01  3.1999890550483794e+01  3.1999890822530190e+01  5.0454217655679736e+00  1.0089306328348952e+01  2.8001962326957383e+01  3.2000073571330169e+01  3.2000073851956920e+01  4.6310630770829349e+00
5.9999999999999998e-01  1.5903136708940266e+01  3.6001065418152955e+01  3.1999881739731372e+01  3.1999881952805310e+01  5.0456622171486414e+00  1.0092740003341479e+01  2.8002077244081505e+01  3.2000079192659499e+01  3.2000079441964573e+01  4.6307294270129962e+00
8.0000000000000104e-01  1.5900579215576414e+01  3.6001135028130157e+01  3.1999870138392776e+01  3.1999870276430318e+01  5.0459655247867712e+00  1.0096887791636192e+01  2.8002224827950357e+01  3.2000086709522648e+01  3.2000086919359028e+01  4.6303207638074673e+00
1.0000000000000000e+00  1.5897610094609721e+01  3.6001213344767940e+01  3.1999856134952282e+01  3.1999856187716304e+01  5.0463024216936843e+00  1.0101428402528052e+01  2.8002394214212121e+01  3.2000096076231046e+01  3.2000096238978117e+01  4.6298805434098007e+00
1.2000000000000000e+00  1.5894543728015471e+01  3.6001293623501269e+01  3.1999840146438682e+01  3.1999840109402424e+01  5.0466432630645492e+00  1.0106041552113972e+01  2.8002573772313735e+01  3.2000107211905600e+01  3.2000107319965920e+01  4.6294482616877790e+00
1.3999999999999899e+00  1.5891663258827842e+01  3.6001369479359418e+01  3.1999822558183006e+01  3.1999822431413818e+01  5.0469630215082519e+00  1.0110445347177794e+01  2.8002752143357643e+01  3.2000119991514175e+01  3.2000120036807374e+01  4.6290529400811193e+00
1.5999999999999901e+00  1.5889186214856744e+01  3.6001435476845387e+01  3.1999803662908970e+01  3.1999803449331619e+01  5.0472454250873913e+00  1.0114421680277076e+01  2.8002919097761104e+01  3.2000134259151324e+01  3.2000134232831293e+01  4.6287088589645462e+00
1.7999999999999801e+00  1.5887245516926537e+01  3.6001487460333180e+01  3.1999783631374623e+01  3.1999783335232195e+01  5.0474854265427593e+00  1.0117827261304623e+01  2.8003066152733442e+01  3.2000149845513761e+01  3.2000149738049089e+01  4.6284140757592827e+00
1.9999999999999800e+00  1.5885888491189181e+01  3.6001522601080282e+01  3.1999762524167966e+01  3.1999762150380569e+01  5.0476895454582289e+00  1.0120590283252977e+01  2.8003186935499368e+01  3.2000166581712328e+01  3.2000166383304304e+01  4.6281517589749388e+00
2.1999999999999802e+00  1.5885092518525077e+01  3.6001539208427154e+01  3.1999740338774636e+01  3.1999739893224380e+01  5.0478741419355977e+00  1.0122695304759883e+01  2.8003277298043496e+01  3.2000184304712754e+01  3.2000184006044456e+01  4.6278939234469272e+00
2.3999999999999702e+00  1.5884792099008244e+01  3.6001536415559343e+01  3.1999717075821515e+01  3.1999716565941380e+01  5.0480621261715148e+00  1.0124162044534319e+01  2.8003335217961883e+01  3.2000202847699803e+01  3.2000202441007580e+01  4.6276067403790151e+00
