# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  2.4989319831462753e-01  2.5000000000000000e-01
4.0000000000000002e-01  2.4990059240098655e-01  2.5000000000000000e-01
8.0000000000000004e-01  2.4992002721330600e-01  2.5000000000000000e-01
1.2000000000000000e+00  2.4993992295841749e-01  2.5000000000000000e-01
1.6000000000000001e+00  2.4995044094059815e-01  2.5000000000000000e-01
2.0000000000000000e+00  2.4995060513264536e-01  2.5000000000000000e-01
2.3999999999999901e+00  2.4994554564937746e-01  2.5000000000000000e-01
2.7999999999999798e+00  2.4994117965267179e-01  2.5000000000000000e-01
3.1999999999999802e+00  2.4993789351859913e-01  2.5000000000000000e-01
3.5999999999999699e+00  2.4993220828506041e-01  2.5000000000000000e-01
3.9999999999999600e+00  2.4992210509830709e-01  2.5000000000000000e-01
4.3999999999999497e+00  2.4990688650495146e-01  2.5000000000000000e-01
4.7999999999999403e+00  2.4988759278695716e-01  2.5000000000000000e-01
5.1999999999999300e+00  2.4986670480920503e-01  2.5000000000000000e-01
5.5999999999999304e+00  2.4984470749976068e-01  2.5000000000000000e-01
5.9999999999999201e+00  2.4982259247732541e-01  2.5000000000000000e-01
6.3999999999999098e+00  2.4980536071485124e-01  2.5000000000000000e-01
6.7999999999999003e+00  2.4979746632012981e-01  2.5000000000000000e-01
7.1999999999998900e+00  2.4979779369994473e-01  2.5000000000000000e-01
7.5999999999998797e+00  2.4980161919745014e-01  2.5000000000000000e-01
7.9999999999998703e+00  2.4980593340443058e-01  2.5000000000000000e-01
8.3999999999998707e+00  2.4981098569647658e-01  2.5000000000000000e-01
8.7999999999998604e+00  2.4981731681913749e-01  2.5000000000000000e-01
9.1999999999998501e+00  2.4982391172234406e-01  2.5000000000000000e-01
9.5999999999998398e+00  2.4982942278448925e-01  2.5000000000000000e-01
9.9999999999998295e+00  2.4983348871916605e-01  2.5000000000000000e-01
1.0399999999999800e+01  2.4983664362584104e-01  2.5000000000000000e-01
1.0799999999999800e+01  2.4983953180741811e-01  2.5000000000000000e-01
1.1199999999999800e+01  2.4984233809508152e-01  2.5000000000000000e-01
1.1599999999999801e+01  2.4984488556262527e-01  2.5000000000000000e-01
1.1999999999999799e+01  2.4984709323123075e-01  2.5000000000000000e-01
1.2399999999999800e+01  2.4984920410747061e-01  2.5000000000000000e-01
1.2799999999999800e+01  2.4985165163254891e-01  2.5000000000000000e-01
1.3199999999999800e+01  2.4985478648968631e-01  2.5000000000000000e-01
1.3599999999999801e+01  2.4985868842210010e-01  2.5000000000000000e-01
1.3999999999999700e+01  2.4986318272164576e-01  2.5000000000000000e-01
1.4399999999999700e+01  2.4986800150173222e-01  2.5000000000000000e-01
1.4799999999999701e+01  2.4987290010520408e-01  2.5000000000000000e-01
1.5199999999999701e+01  2.4987763751382452e-01  2.5000000000000000e-01
1.5599999999999699e+01  2.4988192346280447e-01  2.5000000000000000e-01
1.5999999999999700e+01  2.4988546059146879e-01  2.5000000000000000e-01
1.6399999999999800e+01  2.4988806032840344e-01  2.5000000000000000e-01
1.6799999999999802e+01  2.4988970959445694e-01  2.5000000000000000e-01
1.7199999999999900e+01  2.4989053041076900e-01  2.5000000000000000e-01
1.7600000000000001e+01  2.4989068559003313e-01  2.5000000000000000e-01
1.8000000000000000e+01  2.4989030343133289e-01  2.5000000000000000e-01
1.8400000000000102e+01  2.4988944587525505e-01  2.5000000000000000e-01
1.8800000000000100e+01  2.4988810859117966e-01  2.5000000000000000e-01
1.9200000000000198e+01  2.4988623488835610e-01  2.5000000000000000e-01
1.9600000000000300e+01  2.4988373146800313e-01  2.5000000000000000e-01
2.0000000000000298e+01  2.4988048571706944e-01  2.5000000000000000e-01
2.0400000000000400e+01  2.4987639208060800e-01  2.5000000000000000e-01
2.0800000000000502e+01  2.4987138801184963e-01  2.5000000000000000e-01
2.1200000000000500e+01  2.4986548368458461e-01  2.5000000000000000e-01
2.1600000000000598e+01  2.4985876262798645e-01  2.5000000000000000e-01
2.2000000000000600e+01  2.4985134332624567e-01  2.5000000000000000e-01
2.2400000000000698e+01  2.4984331579138488e-01  2.5000000000000000e-01
2.2800000000000800e+01  2.4983468331724917e-01  2.5000000000000000e-01
2.3200000000000799e+01  2.4982533727014422e-01  2.5000000000000000e-01
2.3600000000000900e+01  2.4981507568111921e-01  2.5000000000000000e-01
2.4000000000000998e+01  2.4980365662761789e-01  2.5000000000000000e-01
2.4400000000001000e+01  2.4979086619004298e-01  2.5000000000000000e-01
2.4800000000001098e+01  2.4977658105558853e-01  2.5000000000000000e-01
2.5200000000001101e+01  2.4976081109086795e-01  2.5000000000000000e-01
2.5600000000001199e+01  2.4974371017251329e-01  2.5000000000000000e-01
2.6000000000001300e+01  2.4972554532253061e-01  2.5000000000000000e-01
2.6400000000001299e+01  2.4970662228713317e-01  2.5000000000000000e-01
2.6800000000001400e+01  2.4968718290453165e-01  2.5000000000000000e-01
2.7200000000001499e+01  2.4966730661714268e-01  2.5000000000000000e-01
2.7600000000001501e+01  2.4964685179543447e-01  2.5000000000000000e-01
2.8000000000001599e+01  2.4962545887356036e-01  2.5000000000000000e-01
2.8400000000001601e+01  2.4960261567648803e-01  2.5000000000000000e-01
2.8800000000001699e+01  2.4957776668964798e-01  2.5000000000000000e-01
2.9200000000001801e+01  2.4955043748137185e-01  2.5000000000000000e-01
2.9600000000001799e+01  2.4952034271666576e-01  2.5000000000000000e-01
3.0000000000001901e+01  2.4948744919939597e-01  2.5000000000000000e-01
3.0400000000001999e+01  2.4945197368761701e-01  2.5000000000000000e-01
3.0800000000002001e+01  2.4941431038429693e-01  2.5000000000000000e-01
3.1200000000002099e+01  2.4937490447024219e-01  2.5000000000000000e-01
3.1600000000002101e+01  2.4933410839619877e-01  2.5000000000000000e-01
3.2000000000002203e+01  2.4929206543339774e-01  2.5000000000000000e-01
3.2400000000002102e+01  2.4924865502254012e-01  2.5000000000000000e-01
3.2800000000002001e+01  2.4920351303521163e-01  2.5000000000000000e-01
3.3200000000001999e+01  2.4915611821288464e-01  2.5000000000000000e-01
3.3600000000001899e+01  2.4910592035225340e-01  2.5000000000000000e-01
3.4000000000001798e+01  2.4905247667473948e-01  2.5000000000000000e-01
3.4400000000001697e+01  2.4899555941211554e-01  2.5000000000000000e-01
3.4800000000001603e+01  2.4893520192733817e-01  2.5000000000000000e-01
3.5200000000001602e+01  2.4887166592055812e-01  2.5000000000000000e-01
3.5600000000001501e+01  2.4880533754993409e-01  2.5000000000000000e-01
3.6000000000001400e+01  2.4873658716469446e-01  2.5000000000000000e-01
3.6400000000001299e+01  2.4866564283352063e-01  2.5000000000000000e-01
3.6800000000001198e+01  2.4859252299311363e-01  2.5000000000000000e-01
3.7200000000001197e+01  2.4851705019330803e-01  2.5000000000000000e-01
3.7600000000001103e+01  2.4843893717729576e-01  2.5000000000000000e-01
3.8000000000001002e+01  2.4835791104785460e-01  2.5000000000000000e-01
3.8400000000000901e+01  2.4827382903396300e-01  2.5000000000000000e-01
3.8800000000000800e+01  2.4818674258236234e-01  2.5000000000000000e-01
3.9200000000000799e+01  2.4809688362067295e-01  2.5000000000000000e-01
3.9600000000000698e+01  2.4800457389912289e-01  2.5000000000000000e-01
4.0000000000000597e+01  2.4791008836780937e-01  2.5000000000000000e-01
4.0400000000000503e+01  2.4781352619334357e-01  2.5000000000000000e-01
4.0800000000000502e+01  2.4771474673233240e-01  2.5000000000000000e-01
4.1200000000000401e+01  2.4761340626679107e-01  2.5000000000000000e-01
