# time  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)  Re_m-2(R=24)  Im_m-2(R=24)  Re_m-1(R=24)  Im_m-1(R=24)  Re_m0(R=24)  Im_m0(R=24)  Re_m1(R=24)  Im_m1(R=24)  Re_m2(R=24)  Im_m2(R=24)  Re_m-2(R=32)  Im_m-2(R=32)  Re_m-1(R=32)  Im_m-1(R=32)  Re_m0(R=32)  Im_m0(R=32)  Re_m1(R=32)  Im_m1(R=32)  Re_m2(R=32)  Im_m2(R=32)  Re_m-2(R=40)  Im_m-2(R=40)  Re_m-1(R=40)  Im_m-1(R=40)  Re_m0(R=40)  Im_m0(R=40)  Re_m1(R=40)  Im_m1(R=40)  Re_m2(R=40)  Im_m2(R=40)
0.0000000000000000e+00  1.0303297015407137e-05  -1.9113723100028725e-06  1.2384786752928224e-05  6.2262772569073744e-07  -9.3416092215236188e-06  7.7600497553055688e-07  -3.4158359059967330e-06  4.6615660805620023e-07  1.1967022294088827e-05  -5.2965541846612516e-06  1.4973369328046701e-06  -3.2178379165384504e-08  2.1025751100751514e-08  9.1433239700903768e-09  -1.2404813150115049e-06  -1.6878963040568246e-10  -7.8500286643627249e-10  -1.4267071090960641e-08  1.4970220766766475e-06  3.1450525292214712e-08  4.6156395505871284e-07  -7.9386532023799321e-10  2.6915239040887412e-09  -2.6803581915657137e-10  -3.7745167267296208e-07  -2.3135915402663106e-13  2.3738830869376264e-09  -1.3485842522818454e-09  4.6156051100653678e-07  7.9307882019998480e-10  1.8010385925313204e-07  -4.7247028708417942e-10  -1.3141515663312209e-09  7.8802582751087007e-11  -1.4535196349609353e-07  -3.7813929377890208e-14  -1.4413137772264392e-09  -7.2569834198252294e-10  1.8010282554767468e-07  4.7184184950504776e-10
4.0000000000000002e-01  1.2179698971300261e-05  4.3248696672897624e-06  1.8760185293617298e-06  -4.7022432282817592e-08  -9.4884095625973711e-06  2.0099287999247397e-09  -2.7676483265551612e-06  1.7037789680132587e-07  1.1910409035419077e-05  -4.4007394173225368e-06  1.4948783117239881e-06  3.1804314522904056e-09  -2.1311856497102600e-09  -1.7267056733967602e-09  -1.2188240474924912e-06  2.8847827416035428e-11  -4.2684726958163776e-09  -3.3019437159723462e-09  1.4965814605894757e-06  -3.1708764644660251e-09  4.6069692435272183e-07  -8.0002345687953879e-10  2.1093721270809970e-09  -1.9901770838877401e-10  -3.7739971911502296e-07  -1.9077320045120949e-13  1.7917164245777224e-09  -1.4176031283385658e-09  4.6069348509587520e-07  7.9926963280994420e-10  1.8010247453906228e-07  -4.6707966566588521e-10  -1.3588748408028383e-09  7.0384322550560075e-11  -1.4480335696594562e-07  -3.0064538963522589e-14  -1.4860465796526531e-09  -7.1727490393042639e-10  1.8010144160543656e-07  4.6645848507824853e-10
8.0000000000000004e-01  1.1688931142781521e-05  4.1843286594985515e-06  2.9393772355618343e-06  -2.1919972776017691e-07  -1.0002424519407459e-05  8.0155439479091387e-09  -2.3962022565243174e-06  2.3514060537143194e-07  1.1516556201744646e-05  -4.2562207456221137e-06  1.4947791972149730e-06  -8.5112775197827490e-09  -3.9503149988388338e-09  1.7949671238398506e-09  -1.2196839802263249e-06  6.8713808213971141e-12  -6.3581538939002155e-09  -7.2096098751299094e-09  1.4921429605347862e-06  8.3444041155560925e-09  4.6061638878675885e-07  -7.9642978848796348e-10  3.1563420033331029e-09  -2.6137661023414782e-10  -3.7674858535996553e-07  -1.4613460019788250e-13  2.8386800827618890e-09  -1.3552538396866059e-09  4.6061295793438219e-07  7.9571318343228528e-10  1.7969258303960526e-07  -4.7981551605611916e-10  -1.2079904258493745e-09  7.4476999333649521e-11  -1.4549396004503773e-07  -2.0894543977535175e-14  -1.3351664993082985e-09  -7.2137055932966077e-10  1.7969155192581477e-07  4.7920206726513687e-10
1.2000000000000000e+00  1.1077923185601598e-05  3.9947763656424474e-06  3.2109870887652697e-06  -2.3025679807288457e-07  -9.2275449956520587e-06  -1.5531462336484371e-08  -3.2496317751805128e-06  3.5760941740372104e-07  1.1244874287985298e-05  -4.0630303775239960e-06  1.4851209946896916e-06  3.6982166869270129e-10  9.0558613085992197e-10  -1.6919745241804374e-09  -1.2127900341021044e-06  -6.8123087498376421e-11  -8.1486319042252344e-09  -3.3091363837017284e-09  1.4887862432960996e-06  -5.2931004564157100e-10  4.5983960974447015e-07  -7.8921810401700289e-10  2.5348610860909609e-09  -2.9797501399937415e-10  -3.7574268114117327e-07  -9.9616606795207943e-14  2.2171937689787664e-09  -1.3186655827819981e-09  4.5983618685817027e-07  7.8854070622530407e-10  1.7974363223036952e-07  -4.6945720532647600e-10  -1.5825836521377065e-09  8.5010232652625500e-11  -1.4491714798141616e-07  -1.1114399003640410e-14  -1.7097617548857318e-09  -7.3190389772009991e-10  1.7974260523457447e-07  4.6885124155286795e-10
1.6000000000000001e+00  1.1312877694527935e-05  4.0028962401172041e-06  3.0944243180864972e-06  1.5689993628873078e-08  -9.3271070394891775e-06  -8.2456358499896779e-08  -3.3195551507702991e-06  1.6777937338648021e-07  1.1199478999549364e-05  -4.0193682418234781e-06  1.4824743223570085e-06  -5.7199969994644427e-09  3.5328765321287914e-09  4.5514738628058215e-10  -1.2174672720794418e-06  8.7808809453100235e-11  -9.6200439639863861e-09  -5.5000244403201298e-09  1.4850227080093410e-06  5.6412474161930392e-09  4.5925760525636785e-07  -7.9677909163705629e-10  2.6007280904813339e-09  -2.4587818991667974e-10  -3.7579661759909526e-07  -4.5463344686614226e-14  2.2830564662410398e-09  -1.3707719207429384e-09  4.5925419147416470e-07  7.9614878362071743e-10  1.7937185324125748e-07  -4.7214389683550723e-10  -1.1188588003828023e-09  7.5971123152617233e-11  -1.4472558365049977e-07  -1.4016985992646958e-15  -1.2460389608467599e-09  -7.2286818060457966e-10  1.7937082867046230e-07  4.7154651698112525e-10
2.0000000000000000e+00  1.2466179432772409e-05  3.6045861080027547e-06  3.1743971604468051e-06  3.7487321877306923e-07  -9.8931090224981419e-06  2.3452343574133137e-08  -2.9265163845161819e-06  -3.9978615322254624e-07  1.1333626138429047e-05  -3.6269849685788080e-06  1.4938489873374341e-06  -5.3085513843597863e-09  -2.2055518695824299e-08  -2.0761922051237505e-10  -1.2039173148192309e-06  3.1075323447290275e-10  5.7167771063535984e-09  -5.1494201439995303e-09  1.4888624335285247e-06  5.7095428460426614e-09  4.5858254679165620e-07  -7.9396058472259303e-10  2.8732013548920247e-09  -2.7232568436421511e-10  -3.7497132723968949e-07  1.6291891358326617e-14  2.5554306699346470e-09  -1.3443367821700579e-09  4.5857917528636209e-07  7.9338253961847385e-10  1.7942762675215332e-07  -4.7382624943447032e-10  -1.2967088546166081e-09  8.1524719257184046e-11  -1.4481053572230935e-07  8.9382472556485432e-15  -1.4238938964907517e-09  -7.2842496236992087e-10  1.7942659553520758e-07  4.7323644773584497e-10
2.3999999999999901e+00  1.1056733129931833e-05  4.6262163464373380e-06  4.0622113209577819e-06  -7.2408077116591724e-07  -9.0981051138310083e-06  3.8898419801404313e-07  -3.9066714307473085e-06  1.7526022208759449e-07  1.1895774670847581e-05  -4.2399044773386013e-06  1.4377544083450787e-06  1.7694413427297307e-08  4.9988976285355690e-08  -7.1713129757555387e-09  -1.1960237727042328e-06  1.4505312650482785e-10  -3.2856399380975625e-08  1.5594215043444306e-09  1.4617578821537446e-06  -1.7958452943591500e-08  4.5784965275238665e-07  -7.9628232839029950e-10  2.5629739519371597e-09  -2.6778418055511128e-10  -3.7434957819619720e-07  5.9815757924567591e-14  2.2461117258895123e-09  -1.3488734884509607e-09  4.5784593404100133e-07  7.9574115440642859e-10  1.7915498504006978e-07  -4.7266695237828234e-10  -1.3925262559530815e-09  7.7868165496057362e-11  -1.4460174875106110e-07  2.0769070604778231e-14  -1.5197126592983372e-09  -7.2477186003738493e-10  1.7915396173561069e-07  4.7208796952769220e-10
2.7999999999999798e+00  8.3426807245938545e-06  4.0461851212433594e-06  4.8859036112823709e-06  -6.8868858893567640e-07  -9.0455465862133975e-06  -4.2855036564799858e-07  -3.3540668764081101e-06  1.2281787038744691e-06  1.0442739786739096e-05  -4.5749282254600374e-06  1.4693666576273240e-06  -9.1650934304053905e-09  1.5476842474920530e-08  4.9218182340549225e-09  -1.2193291531048749e-06  -9.5899177468226934e-10  -1.1559418667092112e-08  -8.5752378129557895e-09  1.4676115818264425e-06  8.0173112751740383e-09  4.5707911642390244e-07  -7.9046937337352579e-10  2.7033158596399199e-09  -2.6597479115366048e-10  -3.7384471997508017e-07  2.6467723561300075e-13  2.3808408307735429e-09  -1.3507815801476480e-09  4.5707762061012525e-07  7.9011418854215768e-10  1.7888313250316876e-07  -4.7164385726607167e-10  -1.3014788554945927e-09  7.5169340339547073e-11  -1.4435887745828160e-07  3.4956701975921830e-14  -1.4286732985853665e-09  -7.2207465930979258e-10  1.7888210987607606e-07  4.7107783667517346e-10
3.1999999999999802e+00  1.1569097388064868e-05  3.0053403853052551e-06  1.9770339415978283e-06  1.2668474384381985e-06  -7.8017603588598240e-06  -3.4376443943829927e-07  -3.5046118720034484e-06  -7.5758418853539553e-08  9.3199056427176930e-06  -3.1507968341975524e-06  1.5008895947292145e-06  -2.7078341934753974e-08  -5.0311275308379707e-08  8.1236221275467927e-09  -1.2031974586765537e-06  7.1253452334751411e-10  2.7033986851390036e-08  -1.5564377721420026e-08  1.4749286362443895e-06  2.7858203024663749e-08  4.5619214314397654e-07  -8.0778039404474089e-10  2.7353849937755499e-09  -2.6206170048636576e-10  -3.7305174925545133e-07  -1.4305125328757865e-13  2.4349035322044067e-09  -1.3545445903250525e-09  4.5618137612963115e-07  8.0701655091088985e-10  1.7876649194262655e-07  -4.7368636401933094e-10  -1.2893148235758620e-09  8.3421648523894482e-11  -1.4423616777189386e-07  4.9405015240920553e-14  -1.4165107347180424e-09  -7.3033302904776628e-10  1.7876547256077733e-07  4.7313300157049041e-10
3.5999999999999699e+00  1.3769095713422165e-05  4.0158667965853948e-06  2.9378171679806238e-06  6.9696871519552440e-07  -9.3005850626118108e-06  3.8195142214304155e-07  -3.7379171207608114e-06  -1.5153977025847340e-06  1.1470395911400096e-05  -3.5261523382415237e-06  1.4575939094823059e-06  -3.1065741474523168e-09  2.3956979924676868e-09  -4.5733204821306623e-09  -1.1898695759210756e-06  2.0454676982678189e-09  -6.8549067023306501e-09  -6.0920381454481022e-10  1.4692935591810083e-06  5.1409997126240875e-09  4.5530846710236755e-07  -7.6410882449357873e-10  2.6645483057913671e-09  -2.7872955764740940e-10  -3.7236503398951943e-07  9.5634463721126812e-13  2.3141346518884012e-09  -1.3373600011707751e-09  4.5532276812237033e-07  7.6451343251358853e-10  1.7856774850712241e-07  -4.7307709658278401e-10  -1.3197931899565846e-09  8.1982280228955356e-11  -1.4410012731193853e-07  6.3262745755221558e-14  -1.4469915174953980e-09  -7.2889570030302460e-10  1.7856673482044109e-07  4.7253322380113179e-10
