# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  3.6914450196523248e+01  2.2572140399203116e-02  9.5131650624915398e+00  7.7037904360009554e-02  6.2894728138237170e+01  6.4000052811484025e+01  6.4000052738191243e+01  4.7999999999999998e+00  3.6701968707491929e+01  9.5310857234644626e+00  7.3008766451298210e-02  5.0451654827553520e+00  5.5929148078757340e-01  5.4268602517157776e+00  4.5500824198741113e-01  4.3088085066575654e-01  9.7693121973008468e-01
4.0000000000000002e-01  3.6922298576849315e+01  2.2573285010589580e-02  9.5130363763399952e+00  7.7093594688507308e-02  6.2893715842464587e+01  6.4000058163460324e+01  6.4000058098077389e+01  4.7999999999999998e+00  3.6709359442078650e+01  9.5310189916650785e+00  7.3019338493906238e-02  5.0453598153671111e+00  5.5912043917931831e-01  5.4267322945895220e+00  4.5504082247516459e-01  4.3081592314843331e-01  9.7688990104492235e-01
8.0000000000000004e-01  3.6930165227093489e+01  2.2569511044427580e-02  9.5127237435339325e+00  7.7127264792517289e-02  6.2891062804017665e+01  6.4000071839483709e+01  6.4000071793988127e+01  4.7999999999999998e+00  3.6716046353966689e+01  9.5308629849599615e+00  7.3041424308828748e-02  5.0458993328497099e+00  5.5893174190923089e-01  5.4264524440524289e+00  4.5506224952367080e-01  4.3064577416080824e-01  9.7676517824830023e-01
1.2000000000000000e+00  3.6937459906708725e+01  2.2565453694177263e-02  9.5123549249613273e+00  7.6895813908671728e-02  6.2887728446749257e+01  6.4000089575237411e+01  6.4000089577457743e+01  4.7999999999999998e+00  3.6721610142853223e+01  9.5307197021588639e+00  7.3064720787534884e-02  5.0465894956247510e+00  5.5877755354969638e-01  5.4261942014207092e+00  4.5503406187151479e-01  4.3043189098124890e-01  9.7655883160558177e-01
1.6000000000000001e+00  3.6944772627174601e+01  2.2563302989110214e-02  9.5120227805210398e+00  7.6938061445036787e-02  6.2884658593572567e+01  6.4000107901333323e+01  6.4000107995313130e+01  4.7999999999999998e+00  3.6726801730720283e+01  9.5306613919002725e+00  7.3090629317229122e-02  5.0471968499091275e+00  5.5869538011836617e-01  5.4260574702575246e+00  4.5494140394234717e-01  4.3023482071425301e-01  9.7627249685163686e-01
2.0000000000000000e+00  3.6952923873328714e+01  2.2559473878121079e-02  9.5117555557357552e+00  7.6974527954374330e-02  6.2882333457840723e+01  6.4000125836428211e+01  6.4000126067548450e+01  4.7999999999999998e+00  3.6732551453770931e+01  9.5307021876514995e+00  7.3107955293569116e-02  5.0476204001312679e+00  5.5868984597631066e-01  5.4260230241388827e+00  4.5479545835696178e-01  4.3008523929502090e-01  9.7593223363089532e-01
2.3999999999999901e+00  3.6962035377411510e+01  2.2578768188020588e-02  9.5115374312871275e+00  7.7005310319978371e-02  6.2880705331963455e+01  6.4000144876654119e+01  6.4000145271196615e+01  4.7999999999999998e+00  3.6739037921991802e+01  9.5308207233934414e+00  7.3126111641394001e-02  5.0479580293645663e+00  5.5873248368222916e-01  5.4259931186326051e+00  4.5462640589848385e-01  4.2998006994975640e-01  9.7549992914353367e-01
2.7999999999999798e+00  3.6971554713696683e+01  2.2598212708523781e-02  9.5113541851286953e+00  7.7034075277823438e-02  6.2879515005448603e+01  6.4000167199767944e+01  6.4000167757039094e+01  4.7999999999999998e+00  3.6745745803233028e+01  9.5310004458194229e+00  7.3133223995454924e-02  5.0484248652390109e+00  5.5877370806935700e-01  5.4258679740160041e+00  4.5446848172355975e-01  4.2990283639265953e-01  9.7468762748982141e-01
3.1999999999999802e+00  3.6980974339642472e+01  2.2634540927742391e-02  9.5112202734149047e+00  7.7064384651217163e-02  6.2878646465679324e+01  6.4000193204141240e+01  6.4000193906924778e+01  4.7999999999999998e+00  3.6752217795202839e+01  9.5312487649321849e+00  7.3141785527205558e-02  5.0492031694770096e+00  5.5876676144939963e-01  5.4255971940190619e+00  4.5434095842016953e-01  4.2984638281491944e-01  9.7391259903902083e-01
3.5999999999999699e+00  3.6990514279622985e+01  2.2673242343852266e-02  9.5111643341959464e+00  7.7096896138536569e-02  6.2878205574418004e+01  6.4000221123119374e+01  6.4000221948820979e+01  4.7999999999999998e+00  3.6758746848139452e+01  9.5315801030296701e+00  7.2761703147608880e-02  5.0503399386764851e+00  5.5869395166317770e-01  5.4251829879042512e+00  4.5423831618891203e-01  4.2981766813837946e-01  9.7328473854426001e-01
3.9999999999999600e+00  3.7001114996618995e+01  2.2653980434154380e-02  9.5111900356721115e+00  7.7129926358545847e-02  6.2878287825273631e+01  6.4000249417427639e+01  6.4000250342523699e+01  4.7999999999999998e+00  3.6766345969821977e+01  9.5319825836315406e+00  7.2106909253570328e-02  5.0517529691018979e+00  5.5857551505324443e-01  5.4246595203922592e+00  4.5413738717084312e-01  4.2982242860326070e-01  9.7231251561297138e-01
4.3999999999999497e+00  3.7013736464299939e+01  2.2590785291323068e-02  9.5112506476746876e+00  7.7162817842550871e-02  6.2878661007706604e+01  6.4000279575545875e+01  6.4000280583396147e+01  4.7999999999999998e+00  3.6776010033187760e+01  9.5324017317436116e+00  7.2119567663431708e-02  5.0533152781575570e+00  5.5845327556337632e-01  5.4240882780478916e+00  4.5401187401558835e-01  4.2984451102567772e-01  9.7208987285288384e-01
4.7999999999999403e+00  3.7028627222676420e+01  2.2598701049672851e-02  9.5112629712930641e+00  7.7198397760596907e-02  6.2878685615007150e+01  6.4000316844167003e+01  6.4000317941812483e+01  4.7999999999999998e+00  3.6787973341994430e+01  9.5327576932072340e+00  7.2250666905362970e-02  5.0549233372748974e+00  5.5836526819540844e-01  5.4235796348778313e+00  4.5384060623359002e-01  4.2984085481828510e-01  9.7254460996579217e-01
5.1999999999999300e+00  3.7045271025863912e+01  2.2606990294135015e-02  9.5111510253072300e+00  7.7540787536992256e-02  6.2877592747832061e+01  6.4000368313768718e+01  6.4000369546699872e+01  4.7999999999999998e+00  3.6801692096355488e+01  9.5329820801721663e+00  7.2620205161155346e-02  5.0564870353710436e+00  5.5833269812063613e-01  5.4233094436066196e+00  4.5360757273813873e-01  4.2975985866725980e-01  9.7311133331717503e-01
