# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  3.9483896712342393e-09  1.0704380223605619e-09  6.5357616972121479e-01  3.6143046788848592e+00  1.2866416354800274e+00
4.0000000000000002e-01  2.1208162817346636e-09  1.0756825308682212e-09  6.9372686955210283e-01  3.7749074782084113e+00  1.2582914726069283e+00
8.0000000000000004e-01  1.9128234087008447e-09  1.3994911189130625e-09  7.4581839718433940e-01  3.9832735887373576e+00  1.2428716357699259e+00
1.2000000000000000e+00  1.7798449326235757e-09  1.3583856518340707e-09  7.5364136325282716e-01  4.0145654530113086e+00  1.2307046242369548e+00
1.6000000000000001e+00  1.8542913605935781e-09  1.2696851192029217e-09  7.3219113911217582e-01  3.9287645564487033e+00  1.2368408862316356e+00
2.0000000000000000e+00  1.8524482959636374e-09  1.3620539385745178e-09  7.4530781140567415e-01  3.9812312456226966e+00  1.2373621411323417e+00
2.3999999999999901e+00  1.8194203541791570e-09  1.3570658984273709e-09  7.4903562090480003e-01  3.9961424836192001e+00  1.2356729599011336e+00
2.7999999999999798e+00  1.8200751879779794e-09  1.3196498624283393e-09  7.4331691945324785e-01  3.9732676778129914e+00  1.2353357249541534e+00
3.1999999999999802e+00  1.8286350116191232e-09  1.3240392073078308e-09  7.4253172565681169e-01  3.9701269026272468e+00  1.2377039389484608e+00
3.5999999999999699e+00  1.8235636501855035e-09  1.3470487670881294e-09  7.4740892227911204e-01  3.9896356891164482e+00  1.2382029981534239e+00
3.9999999999999600e+00  1.8078466678519633e-09  1.3316430153106794e-09  7.4404600710614055e-01  3.9761840284245622e+00  1.2362521650262603e+00
4.3999999999999497e+00  1.8336940281122668e-09  1.3386293927954746e-09  7.4668017134492837e-01  3.9867206853797135e+00  1.2414362682930313e+00
4.7999999999999403e+00  1.8756569710513830e-09  1.3784428448149688e-09  7.4830805974805004e-01  3.9932322389922001e+00  1.2450007625401021e+00
5.1999999999999300e+00  1.9170031837169903e-09  1.4178463127228688e-09  7.3973323150798054e-01  3.9589329260319222e+00  1.2470359853467827e+00
5.5999999999999304e+00  1.9482152655145779e-09  1.4467454158419738e-09  7.5166748245393111e-01  4.0066699298157245e+00  1.2557431361124127e+00
5.9999999999999201e+00  1.9811399529204319e-09  1.4772331834299441e-09  7.5785180592636658e-01  4.0314072237054663e+00  1.2626230155195599e+00
6.3999999999999098e+00  2.0033693380575357e-09  1.5087638520187002e-09  7.3833617850949507e-01  3.9533447140379803e+00  1.2616357076505373e+00
6.7999999999999003e+00  2.0249827063926174e-09  1.5402787565093855e-09  7.4566416075812225e-01  3.9826566430324890e+00  1.2644021081570398e+00
7.1999999999998900e+00  2.1174451956272723e-09  1.6151531015246336e-09  7.6957763256155753e-01  4.0783105302462301e+00  1.2764503067344095e+00
7.5999999999998797e+00  2.1984916975957008e-09  1.6906025504773183e-09  7.6026432331554283e-01  4.0410572932621713e+00  1.2893631495095426e+00
7.9999999999998703e+00  2.2155047036271608e-09  1.7321313823983012e-09  7.4055739061047976e-01  3.9622295624419190e+00  1.2939798842023602e+00
8.3999999999998707e+00  2.2622902266795246e-09  1.7916721934776016e-09  7.5234134239785921e-01  4.0093653695914373e+00  1.2927561061787043e+00
8.7999999999998604e+00  2.3441723296507904e-09  1.8722470110914195e-09  7.6846480515800497e-01  4.0738592206320199e+00  1.2953643837230246e+00
9.1999999999998501e+00  2.4136310032947001e-09  1.9499698540698010e-09  7.7360138356162467e-01  4.0944055342464987e+00  1.3099707831053204e+00
9.5999999999998398e+00  2.4878204569233457e-09  2.0383576925531879e-09  7.7509329883122435e-01  4.1003731953248970e+00  1.3238350391768130e+00
9.9999999999998295e+00  2.5532652251956153e-09  2.1227816028498598e-09  7.6440435931087880e-01  4.0576174372435148e+00  1.3246341053336803e+00
1.0399999999999800e+01  2.6052989659234995e-09  2.1970751071104794e-09  7.4836614157845704e-01  3.9934645663138282e+00  1.3246118656915769e+00
1.0799999999999800e+01  2.6969241647249323e-09  2.3033697870839511e-09  7.6970429252845940e-01  4.0788171701138376e+00  1.3404941158301844e+00
1.1199999999999800e+01  2.8368859672418425e-09  2.4512820686272091e-09  8.0842345426047846e-01  4.2336938170419138e+00  1.3576341367083573e+00
1.1599999999999801e+01  2.9712001211067610e-09  2.5968542717139935e-09  8.0171946912761594e-01  4.2068778765104637e+00  1.3751699406409730e+00
1.1999999999999799e+01  3.0905393675621952e-09  2.7312817288712287e-09  7.6688640039270084e-01  4.0675456015708029e+00  1.4080446772287831e+00
1.2399999999999800e+01  3.2421257440989491e-09  2.8987671447703320e-09  7.7271564900350520e-01  4.0908625960140208e+00  1.4320111497472270e+00
1.2799999999999800e+01  3.4570106277938336e-09  3.1263240928124615e-09  7.9849654526402514e-01  4.1939861810561005e+00  1.4254120422539591e+00
1.3199999999999800e+01  3.7204549167432471e-09  3.3957230884851848e-09  7.9375193489261886e-01  4.1750077395704750e+00  1.4326190995044266e+00
1.3599999999999801e+01  3.9843866719756952e-09  3.6669681377724400e-09  7.7422372019766972e-01  4.0968948807906784e+00  1.4702917477386213e+00
1.3999999999999700e+01  4.2215726398010872e-09  3.9213283543633989e-09  7.9338665437141698e-01  4.1735466174856679e+00  1.4934214767037115e+00
1.4399999999999700e+01  4.4629383857715176e-09  4.1840958368122185e-09  8.2988040329361046e-01  4.3195216131744418e+00  1.4976662582163769e+00
1.4799999999999701e+01  4.7424793987641601e-09  4.4808770555219917e-09  8.3133463459250845e-01  4.3253385383700333e+00  1.5216760688240099e+00
1.5199999999999701e+01  5.0225082220578754e-09  4.7792026329623370e-09  7.9269318672510136e-01  4.1707727469004059e+00  1.5557566981572117e+00
1.5599999999999699e+01  5.2423584409160249e-09  5.0255726596177597e-09  7.8557887338873666e-01  4.1423154935549462e+00  1.5777857399137147e+00
1.5999999999999700e+01  5.4238173700449735e-09  5.2348764633470651e-09  8.2525488435070160e-01  4.3010195374028068e+00  1.5938436669271030e+00
1.6399999999999800e+01  5.6290612263284326e-09  5.4617121461250977e-09  7.3261478648536260e-01  3.9304591459414504e+00  1.6008365302757164e+00
1.6799999999999802e+01  5.8490860120519968e-09  5.6994955821857559e-09  6.9351189376426881e-01  3.7740475750570752e+00  1.5920634992601068e+00
1.7199999999999900e+01  6.0302272751100871e-09  5.8947211887842478e-09  7.2408506712763887e-01  3.8963402685105555e+00  1.5672204217294752e+00
1.7600000000000001e+01  6.1618124699842533e-09  6.0295678049286006e-09  7.8874477271563759e-01  4.1549790908625504e+00  1.5380761442711319e+00
1.8000000000000000e+01  6.2648979155213550e-09  6.1195804225200722e-09  7.7103202098748969e-01  4.0841280839499587e+00  1.5028088296756943e+00
1.8400000000000102e+01  6.3574111657930036e-09  6.1806767548666712e-09  7.3073775814228670e-01  3.9229510325691468e+00  1.4647298638902362e+00
1.8800000000000100e+01  6.4822779143783824e-09  6.2542007746125602e-09  7.3634148682622413e-01  3.9453659473048965e+00  1.4517590718823130e+00
1.9200000000000198e+01  6.6975350222647504e-09  6.4015808676430399e-09  8.0741149235993581e-01  4.2296459694397432e+00  1.4584890834111339e+00
1.9600000000000300e+01  7.0047666156710150e-09  6.6288919835804546e-09  7.3870701059956356e-01  3.9548280423982543e+00  1.4453487191416026e+00
2.0000000000000298e+01  7.3507606407719265e-09  6.8781720941947198e-09  6.2207181702033099e-01  3.4882872680813239e+00  1.4060076562891646e+00
2.0400000000000400e+01  7.7191539851592158e-09  7.1267140683005486e-09  7.4386455704558863e-01  3.9754582281823545e+00  1.3872499511943648e+00
2.0800000000000502e+01  8.1641089719319366e-09  7.4332321498735024e-09  7.8089004766193182e-01  4.1235601906477273e+00  1.3917565301979868e+00
2.1200000000000500e+01  8.7437479777771306e-09  7.8673877978536646e-09  7.4309308353916415e-01  3.9723723341566566e+00  1.3909468442622042e+00
