# time  core_x_canon  core_y_canon  core_z_canon  peak_canon  core_x_phantom  core_y_phantom  core_z_phantom  peak_phantom  coord_sep  proper_sep  px_canon  px_phantom  px_total  shift_x_canon  shift_x_phantom  max_abs_shift
0.0000000000000000e+00  7.1999932932963503e+01  6.3998890621768872e+01  6.3998890608953765e+01  2.2571136961423398e-02  5.6002337978836970e+01  6.4001161500502974e+01  6.4001161491200875e+01  2.2255131848229609e-02  1.5997594954126534e+01  1.4989337950731770e+01  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
4.0000000000000002e-01  7.2000004228192054e+01  6.3998762568864237e+01  6.3998762814303326e+01  2.2572281359588144e-02  5.6002718123157379e+01  6.4001305827069743e+01  6.4001305828123463e+01  2.2262048241375600e-02  1.5997286105034675e+01  1.4989331129089226e+01  2.8243717727098150e-06  1.3081164498541520e-05  -1.0256792725831705e-05  -1.0595882087629600e-08  2.8315570164528542e-08  2.2674348718931423e-05
8.0000000000000004e-01  7.2000206159864433e+01  6.3998442000189712e+01  6.3998442918208561e+01  2.2568507599685615e-02  5.6003681928777262e+01  6.4001661862937397e+01  6.4001661882940184e+01  2.2270963635430716e-02  1.5996524231087172e+01  1.4989357686293280e+01  5.6165095677472127e-06  2.6161175747065222e-05  -2.0544666179318010e-05  -6.3522635427102869e-08  3.7360446538513308e-07  1.0375084037361124e-04
1.2000000000000000e+00  7.2000529947132577e+01  6.3998050309545619e+01  6.3998052120534588e+01  2.2564450778053722e-02  5.6004784114858609e+01  6.4002042223228855e+01  6.4002042303177447e+01  2.2276708395413857e-02  1.5995745832273968e+01  1.4989428641453722e+01  8.4426609647557973e-06  3.9189045182534486e-05  -3.0746384217778687e-05  -6.8705034556996946e-07  1.2022611377211334e-06  1.6742147440309941e-04
1.6000000000000001e+00  7.2000794499995123e+01  6.3997828842398086e+01  6.3997831603124837e+01  2.2562300785649171e-02  5.6005602550352933e+01  6.4002280538110014e+01  6.4002280742984439e+01  2.2277245794267850e-02  1.5995191949642191e+01  1.4989540241040419e+01  1.1474048733683300e-05  5.2052143005130181e-05  -4.0578094271446881e-05  -6.8451221878629500e-07  1.1039735109182523e-06  2.3764651409935171e-04
2.0000000000000000e+00  7.2001049455813884e+01  6.3997778271831955e+01  6.3997782028931169e+01  2.2558472457434049e-02  5.6005969950049909e+01  6.4002329935555622e+01  6.4002330288180701e+01  2.2274905468075250e-02  1.5995079505763975e+01  1.5482752128309953e+01  1.4870148945520082e-05  6.4651973306219842e-05  -4.9781824360699762e-05  1.1835459425289573e-05  2.7538562896249182e-06  3.3119985140500321e-04
2.3999999999999901e+00  7.2001226161688464e+01  6.3997815460919767e+01  6.3997820351663030e+01  2.2577244282630079e-02  5.6006008149603758e+01  6.4002264191064441e+01  6.4002264634440692e+01  2.2280134447772427e-02  1.5995218012084706e+01  1.3990516499666791e+01  1.8689570926033524e-05  7.6965921638377560e-05  -5.8276350712344036e-05  -1.3472033770947487e-04  1.7677636158710107e-04  4.2376680959072514e-04
2.7999999999999798e+00  7.2001340180521510e+01  6.3997863441618584e+01  6.3997869590518498e+01  2.2596666442788901e-02  5.6005977236455003e+01  6.4002198797284564e+01  6.4002199223087217e+01  2.2293884061510384e-02  1.5995362944066507e+01  1.4483531339683179e+01  2.2890158256558397e-05  8.9003322951244253e-05  -6.6113164694685863e-05  -2.9171809818939580e-04  1.5781603105390326e-04  5.3008603160928521e-04
3.1999999999999802e+00  7.2001437229395648e+01  6.3997854780213302e+01  6.3997862201642192e+01  2.2633540406248338e-02  5.6006074287960502e+01  6.4002203530760468e+01  6.4002203835794035e+01  2.2307411679939076e-02  1.5995362941435147e+01  1.5975224142978341e+01  2.7376641749540224e-05  1.0071981696708932e-04  -7.3343175217549094e-05  -4.5198366438915002e-04  2.7783232364392974e-04  8.1621472235253825e-04
3.5999999999999699e+00  7.2001562701397177e+01  6.3997781118708694e+01  6.3997789780039682e+01  2.2672242612048057e-02  5.6006336236278358e+01  6.4002272669274362e+01  6.4002272809738216e+01  2.2341053881115305e-02  1.5995226465118819e+01  1.5974101502065436e+01  3.2023406881537416e-05  1.1203996336523885e-04  -8.0016556483701433e-05  -4.7000275668003088e-04  5.1435056707965798e-04  8.8824613670990271e-04
3.9999999999999600e+00  7.2001737929311815e+01  6.3997666491337085e+01  6.3997676361396032e+01  2.2652983555808331e-02  5.6006735099202842e+01  6.4002382134750164e+01  6.4002382147053595e+01  2.2342415179395739e-02  1.5995002830108973e+01  1.5972782751343205e+01  3.6669320117337312e-05  1.2292568348057129e-04  -8.6256363363233974e-05  -1.6647078669259943e-04  4.2654679887148050e-04  7.3494186417836854e-04
4.3999999999999497e+00  7.2001956102675067e+01  6.3997518688452679e+01  6.3997529689171223e+01  2.2589803259990979e-02  5.6007302915388919e+01  6.4002516565605859e+01  6.4002516522528339e+01  2.2274469889316462e-02  1.5994653187286147e+01  1.5972021523638832e+01  4.1127130497501783e-05  1.3337310519959258e-04  -9.2245974702090790e-05  1.3976139960321848e-04  7.0778214797063551e-05  8.8195008978196100e-04
4.7999999999999403e+00  7.2002198047349466e+01  6.3997310099775916e+01  6.3997322104553795e+01  2.2597288133617662e-02  5.6007831650268557e+01  6.4002701688376519e+01  6.4002701625267690e+01  2.2246927080081750e-02  1.5994366397080910e+01  1.6956454730889583e+01  4.5205199028957647e-05  1.4335700102235320e-04  -9.8151801993395552e-05  1.7623180416294695e-04  -3.2060263442308667e-04  1.0755461781156053e-03
5.1999999999999300e+00  7.2002452744515622e+01  6.3997005404091389e+01  6.3997018322014100e+01  2.2606598584781902e-02  5.6008603142822452e+01  6.4002987800560490e+01  6.4002987681713478e+01  2.2254011993204922e-02  1.5993849601693171e+01  1.7969285985408423e+01  4.8719149396975367e-05  1.5279658966422925e-04  -1.0407744026725389e-04  -3.7015880932599271e-04  -4.6940107433791689e-04  1.2163900107101933e-03
5.5999999999999304e+00  7.2002722645921310e+01  6.3996602345502147e+01  6.3996616184936052e+01  2.2609346238375509e-02  5.6009647238046441e+01  6.4003389180993693e+01  6.4003388924163957e+01  2.2248607979063927e-02  1.5993075407874869e+01  1.7462524618739486e+01  5.1485428555062815e-05  1.6156581408525655e-04  -1.1008038553019374e-04  -5.1466687080064709e-05  -5.6301909160904543e-04  1.4499637924785288e-03
5.9999999999999201e+00  7.2003008168407476e+01  6.3996141997771517e+01  6.3996156864096776e+01  2.2657272549757194e-02  5.6010856109640493e+01  6.4003835565199466e+01  6.4003835089356684e+01  2.2232408753270178e-02  1.5992152058766983e+01  1.7462542370769985e+01  5.3299894286369132e-05  1.6953828442025886e-04  -1.1623839013388972e-04  -4.2139909666130627e-05  -4.9505374428444513e-04  1.7578476899215202e-03
6.3999999999999098e+00  7.2003288905592825e+01  6.3995680460761058e+01  6.3995696532266962e+01  2.2664572993547634e-02  5.6012148920660614e+01  6.4004336189956916e+01  6.4004335455810178e+01  2.2281147546487853e-02  1.5991139984932211e+01  1.5985871158565143e+01  5.3940145157425097e-05  1.7664416952435909e-04  -1.2270402436693399e-04  1.3314591520663934e-05  7.3192346202455050e-05  2.0852778778928417e-03
6.7999999999999003e+00  7.2003524772568539e+01  6.3995252517997059e+01  6.3995270039526375e+01  2.2638784168928974e-02  5.6013300810717595e+01  6.4004761154599095e+01  6.4004760181426064e+01  2.2308724330120457e-02  1.5990223961850944e+01  1.5985574436167429e+01  5.3228166285895283e-05  1.8289557033147731e-04  -1.2966740404558202e-04  4.5056870788149233e-05  7.7103072605483854e-06  2.3962674898422983e-03
7.1999999999998900e+00  7.2003680130096242e+01  6.3994861484560921e+01  6.3994880766035145e+01  2.2601844699827345e-02  5.6014231823559427e+01  6.4005094842528507e+01  6.4005093687512144e+01  2.2307200301702076e-02  1.5989448306536815e+01  1.5985302976430432e+01  5.1114359474722476e-05  1.8833049838965686e-04  -1.3721613891493439e-04  7.3633185937809723e-05  3.8640515788513260e-06  2.6757668536876969e-03
7.5999999999998797e+00  7.2003755463961781e+01  6.3994482320888160e+01  6.3994497113227418e+01  2.2564683286016258e-02  5.6015073798696896e+01  6.4005439099049710e+01  6.4005437806929834e+01  2.2304334563706747e-02  1.5988681665264885e+01  1.4999533179430760e+01  4.7681521518829112e-05  1.9289215682502306e-04  -1.4521063530619394e-04  1.2863897260716363e-04  -3.4862673923654471e-05  2.9808220630311820e-03
7.9999999999998703e+00  7.2003776160358740e+01  6.3994082333030768e+01  6.3994105969532008e+01  2.2530241972989071e-02  5.6015849378237306e+01  6.4005795282518491e+01  6.4005793843629576e+01  2.2312294042776043e-02  1.5987926782121434e+01  1.5998309649043094e+01  4.3042629997340644e-05  1.9636136805402225e-04  -1.5331873805668161e-04  3.3974475971306628e-04  -1.9775781848502787e-07  3.3886730746557703e-03
8.3999999999998707e+00  7.2003704856592478e+01  6.3993700219175224e+01  6.3993726085352804e+01  2.2500791466583139e-02  5.6016578805248940e+01  6.4006156048946494e+01  6.4006154408457547e+01  2.2309798179764653e-02  1.5987126051343537e+01  1.4492152299561225e+01  3.7230804366752303e-05  1.9843482558237936e-04  -1.6120402121562704e-04  6.5928605965688471e-05  -1.2405395879546013e-04  3.8325766648088727e-03
8.7999999999998604e+00  7.2003654953720172e+01  6.3993371948231562e+01  6.3993399853651283e+01  2.2484117251486295e-02  5.6017278013166866e+01  6.4006512630858083e+01  6.4006510748689635e+01  2.2297427222365974e-02  1.5986376940553306e+01  1.4478910481161764e+01  3.0184947694487797e-05  1.9889990951212105e-04  -1.6871496181763325e-04  -1.6922963066137232e-04  -4.6810350489048292e-06  4.2318882607792312e-03
9.1999999999998501e+00  7.2003590674144903e+01  6.3993020316652824e+01  6.3993050180684982e+01  2.2489461399318643e-02  5.6017984024516750e+01  6.4006875923946566e+01  6.4006873819030162e+01  2.2302473052518569e-02  1.5985606649628153e+01  1.4466467237565970e+01  2.1825411402971205e-05  1.9775054238192131e-04  -1.7592513097895011e-04  -4.6496823576802436e-04  1.7043022283950399e-04  4.7502735756963163e-03
9.5999999999998398e+00  7.2003462626203927e+01  6.3992608524179005e+01  6.3992640500676586e+01  2.2519638767531009e-02  5.6018789168242755e+01  6.4007297523971388e+01  6.4007295247675160e+01  2.2305462353935202e-02  1.5984673457961172e+01  1.5970640711858721e+01  1.2131513808064669e-05  1.9513755965371786e-04  -1.8300604584565319e-04  9.8308931295887258e-05  4.1396688326785695e-04  5.3038119724439061e-03
9.9999999999998295e+00  7.2003361843768317e+01  6.3992135025826130e+01  6.3992169391338081e+01  2.2556929616780966e-02  5.6019773602637017e+01  6.4007811114630854e+01  6.4007808681653728e+01  2.2292214257108468e-02  1.5983588241131301e+01  1.5970721206915346e+01  1.1611610796805651e-06  1.9122621419754302e-04  -1.9006505311786246e-04  1.0613023863995943e-04  4.6290804249274201e-04  5.8279215285345068e-03
1.0399999999999800e+01  7.2003162641601932e+01  6.3991595429822112e+01  6.3991632439619124e+01  2.2590059392332364e-02  5.6020893890074248e+01  6.4008408983465898e+01  6.4008406335530694e+01  2.2255194333909278e-02  1.5982268751527684e+01  1.5970666050754934e+01  -1.0969844760330153e-05  1.8613180519461489e-04  -1.9710164995494504e-04  1.0436309833213031e-04  5.0366780984340952e-04  6.3627193142815897e-03
1.0799999999999800e+01  7.2002946131436147e+01  6.3991057927149882e+01  6.3991097743900809e+01  2.2618127319295453e-02  5.6022103398831234e+01  6.4009012686068772e+01  6.4009009716421588e+01  2.2216843034632644e-02  1.5980842732604913e+01  1.6956265070068810e+01  -2.4107127776126456e-05  1.7997735539291391e-04  -2.0408448316904036e-04  9.8405395061439268e-05  1.2757646009603340e-03  6.9345024898083089e-03
1.1199999999999800e+01  7.2002663298976529e+01  6.3990543588466835e+01  6.3990586309988956e+01  2.2641460833574659e-02  5.6023241724227901e+01  6.4009612421490132e+01  6.4009609036512245e+01  2.2191963302547461e-02  1.5979421574748628e+01  1.7448760686080295e+01  -3.8065220126199951e-05  1.7296188772229643e-04  -2.1102710784849638e-04  8.9616238333069335e-05  1.8308557892687141e-03  7.4933341164340255e-03
1.1599999999999801e+01  7.2002302620032680e+01  6.3990086948171630e+01  6.3990132625896003e+01  2.2657187631503938e-02  5.6024171039009431e+01  6.4010145743079804e+01  6.4010141896758441e+01  2.2177016846158172e-02  1.5978131581023248e+01  1.7954428838199188e+01  -5.2634203567055144e-05  1.6535865200151655e-04  -2.1799285556857169e-04  6.8012168654477275e-04  1.9974845890835084e-03  8.0261178982082258e-03
1.1999999999999799e+01  7.2001861192378470e+01  6.3989670146677454e+01  6.3989718823729476e+01  2.2653356496800520e-02  5.6024903932750632e+01  6.4010620832498716e+01  6.4010616516356961e+01  2.2174077574673778e-02  1.5976957259627838e+01  1.4501618484229493e+01  -6.7589566114142820e-05  1.5746971327408924e-04  -2.2505927938823206e-04  7.1818887147703054e-04  -1.4549374518820607e-03  8.5346892333482745e-03
1.2399999999999800e+01  7.2001316156942465e+01  6.3989280614040602e+01  6.3989332364504087e+01  2.2626549447058927e-02  5.6025448620861255e+01  6.4011029518174496e+01  6.4011024731451514e+01  2.2181282320250989e-02  1.5975867536081211e+01  1.4501426185146361e+01  -8.2701802021944862e-05  1.4958180448123231e-04  -2.3228360650317717e-04  7.5142818957806348e-04  -1.6267279143898138e-03  9.0332874703060433e-03
1.2799999999999800e+01  7.2000724381485156e+01  6.3988910702646280e+01  6.3988965637745380e+01  2.2585335637492491e-02  5.6025864909247460e+01  6.4011431183727026e+01  6.4011425918966196e+01  2.2189630291705540e-02  1.5974859472237696e+01  1.4995434660716581e+01  -9.7744980979617394e-05  1.4193390171295816e-04  -2.3967888269257556e-04  7.7900295136126916e-04  -1.1570403265489210e-03  9.5438679135366866e-03
1.3199999999999800e+01  7.2000081920139380e+01  6.3988521088823511e+01  6.3988579336028160e+01  2.2552645618668578e-02  5.6026272085555163e+01  6.4011830656862529e+01  6.4011824909768549e+01  2.2204076781518700e-02  1.5973809834584216e+01  1.5488955141642165e+01  -1.1250622384233975e-04  1.3470009387060887e-04  -2.4720631771294865e-04  8.0445958007662713e-04  -6.1019820111798875e-04  1.0061035941804969e-02
